general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200415,Consumer Education,504278.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200416,Vocational Education Match,2570425.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200417,Professional Development,436.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200420,Technical Systems Development,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200421,Alternative Education Programs,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200422,School Management Assistance,1009209.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200423,Teacher Recruitment,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200424,Policy Analysis,417312.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200425,Tech Prep Administration,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200426,Ohio Educational Computer Network,21562402.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200429,Local Professional Development Block,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200431,School Improvement Models,11066804.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200432,School Conflict Management,394431.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200437,Student Proficiency,10461338.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200441,American Sign Language,281657.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200442,Child Care Licensing,1511264.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200443,DeRolph Litigation Expenses,1311730.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200445,OhioReads Administration/Volunteer S,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200446,Management Information System,11922195.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200447,GED Testing/Adult High School,1427707.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200450,Summer Institute for Reading Interventi,0.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200455,Community Schools,2300000.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200500,School Finance Equity,67854112.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200501,Base Cost Funding,3035363396.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200502,Pupil Transportation,225814316.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200503,Bus Purchase Allowance,31762132.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200504,Special Education,8816421.00
124,hb94,1999,actual,hb94-greenbook,1,,GRF,200505,School Lunch Match,8642209.00
