irn,district,county,foundation_funding_pre_reduction,net_open_enrollment,net_excess_cost,scholarship_deduction,community_stem_deduction,student_wellness_success,enrollment_growth_supplement,funding_base
048082,Indian Lake Local SD,Logan,4512210.56,443971.75,0,-31176.43,-229911.89,768679.84,0,5463773.83
048090,Riverside Local SD,Logan,5229869.83,86757.03,0,0,-97781.91,181556.17,0,5400401.12
048116,Avon Local SD,Lorain,4911849.74,-85724.8,0,-474981.89,-423824.38,202750.23,155003.68,4285072.58
048124,Avon Lake City SD,Lorain,3379145.63,-73805.2,0,-456223.9,-219977.5,174172.51,71392.75,2874704.29
048132,Clearview Local SD,Lorain,11114385.01,3622585.82,0,-113568.43,-900245.82,560588.4,50807.9,14334552.88
048140,Columbia Local SD,Lorain,2132641.7,479914.06,0,-37434.41,-179575.26,87117.89,0,2482663.98
048157,Firelands Local SD,Lorain,6829299.01,1732237.41,0,-132192.5,-232300.82,240954.04,15213.55,8453210.69
048165,Keystone Local SD,Lorain,6140905.13,350423.06,0,-72245.38,-161816.98,87904.58,0,6345170.41
048173,Midview Local SD,Lorain,10652061.54,2054727.15,0,-123621.53,-575469.51,198552.59,0,12206250.24
048207,Anthony Wayne Local SD,Lucas,8080316.3,-494554.23,0,-540426.41,-838457.48,246992.26,43399.7,6497270.14
048215,Ottawa Hills Local SD,Lucas,2622382.17,-18404.58,0,-134920,-117298.93,41223.41,82219.81,2475201.88
048223,Springfield Local SD,Lucas,8970828.04,-724757.72,0,-634172.44,-2136724.17,520141.05,0,5995314.76
048231,Washington Local SD,Lucas,30542718.17,-881730.8,0,-1371595.02,-3291604.92,2234532.54,14610.25,27246930.22
048256,Jefferson Local SD,Madison,4336319.71,273982.24,0,-82785,-214707.48,117697.29,0,4430506.76
048264,Jonathan Alder Local SD,Madison,7878305.3,545316.04,0,-211952.9,-172228.9,284105.89,42175.71,8365721.14
048272,Madison-Plains Local SD,Madison,5097410.13,-622075.93,0,-28471.71,-350486.48,219652.54,0,4316028.55
048298,Austintown Local SD,Mahoning,21666267.32,506695.08,0,-883264.76,-1097524.32,1264913.06,0,21457086.38
048306,Boardman Local SD,Mahoning,9741447.13,-1234341.35,0,-1329348.38,-1133929.16,537541.9,0,6581370.14
048314,Canfield Local SD,Mahoning,6048115.79,-731180.98,0,-397376.67,-438812.23,167008.1,0,4647754.01
048322,Jackson-Milton Local SD,Mahoning,2107257.45,486873.41,0,-10025,-220564.63,341215.21,36371.6,2741128.04
048330,Lowellville Local SD,Mahoning,2063178.03,1515703.56,0,-159299.25,-16221.12,112982.2,0,3516343.42
048348,Poland Local SD,Mahoning,5393556.19,-302728.02,0,-347015,-362194.6,89409.17,0,4471027.74
048355,Sebring Local SD,Mahoning,5317995.62,-356813.26,0,0,-95042.26,137343.6,0,5003483.7
048363,South Range Local SD,Mahoning,4494848.05,1764890.43,0,-110900.78,-343394.08,93274.18,0,5898717.8
048371,Springfield Local SD,Mahoning,4650077.18,-218031.16,0,-205891.9,-337457.6,206656.04,0,4095352.56
048389,West Branch Local SD,Mahoning,11019275.47,854726.25,0,0,-434150.04,671516.32,0,12111368
048397,Western Reserve Local SD,Mahoning,2304776.55,1078592.78,0,-81000,-128207.82,163076.79,0,3337238.3
048413,Elgin Local SD,Marion,6059607.35,659581.74,0,-67230,-232748.46,407886.81,0,6827097.44
048421,Pleasant Local SD,Marion,4268537.11,838562.7,0,-49523.5,-393104.05,398076.4,0,5062548.66
048439,Ridgedale Local SD,Marion,3031039.1,135212.39,0,-52900.5,-250368.68,338931.1,0,3201913.41
048447,River Valley Local SD,Marion,7282049.79,1143592.74,0,-36350,-695249.67,265369.16,3018.09,7962430.11
048462,Black River Local SD,Medina,7007062.38,-654373.96,0,-59407.85,-405444.22,458049.5,0,6345885.85
048470,Buckeye Local SD,Medina,4867061.28,814817.64,0,-91004.31,-385529.91,150771.11,84346.35,5440462.16
048488,Cloverleaf Local SD,Medina,8746886.57,-112236.21,0,-127434.49,-430040.52,231292.17,10735.54,8319203.06
048496,Highland Local SD,Medina,4866903.55,-117504.48,0,-292816.72,-239988.55,187241.94,110740.93,4514576.67
048512,Eastern Local SD,Meigs,6624349.46,158460.82,0,-44550,-110404.39,281561.38,0,6909417.27
048520,Meigs Local SD,Meigs,17217698.59,-461026.65,0,-171214.8,-363487.18,881299.46,0,17103269.42
048538,Southern Local SD,Meigs,5658301.13,2079.02,0,-10224,-131899.05,379895.78,0,5898152.88
048553,Marion Local SD,Mercer,5089914.07,275341.17,0,0,-16280.12,136142.7,0,5485117.82
048579,Parkway Local SD,Mercer,5424709.96,375872.38,0,-4069.5,-88326.2,356060.98,0,6064247.62
048587,St Henry Consolidated Local,Mercer,5457508.66,9083.88,0,0,-6020,47171.59,0,5507744.13
048595,Fort Recovery Local SD,Mercer,5731130.45,219484.6,0,0,0,94019.89,14142.13,6058777.07
048611,Bethel Local SD,Miami,4607214.82,-139236.86,0,-73602.5,-372001.94,147156.68,400235.67,4569765.87
048629,Miami East Local SD,Miami,5540536.6,-173369.77,0,-40032.49,-171370,212181.53,15998.68,5383944.55
048637,Newton Local SD,Miami,3154269.92,658772.89,0,0,-56761.59,190071.24,28080.17,3974432.63
048652,Switzerland Of Ohio Local SD,Monroe,13547315.64,-823914.76,0,0,-396227.13,915075.39,0,13242249.14
048678,Brookville Local SD,Montgomery,6372322.35,-143787.36,0,-27000,-143422.96,119461.61,29817.14,6207390.78
048686,Jefferson Township Local SD,Montgomery,3480307.28,-438179.57,0,-503058.57,-909668.68,177739.29,0,1807139.75
048694,Trotwood-Madison City SD,Montgomery,28766778.01,600713.89,0,-619963.02,-5271818.59,914119.2,147633,24537462.49
048702,Mad River Local SD,Montgomery,26156687.75,4270585.87,0,-514389.88,-1719870,1327086,0,29520099.74
048710,New Lebanon Local SD,Montgomery,7142294.89,927192.98,0,-58529.92,-190475.25,542269.89,0,8362752.59
048728,Northmont City SD,Montgomery,24152775.84,-610593,0,-601650.24,-968349.4,588654.61,0,22560837.81
048736,Northridge Local SD,Montgomery,12126147.17,1370028.75,0,-133725,-1069388.68,557593.2,0,12850655.44
048744,Valley View Local SD,Montgomery,8814934.42,-271623.8,0,-78679.93,-284501.81,518529.15,0,8698658.03
048751,Huber Heights City SD,Montgomery,35893350.06,-1216783.22,0,-747852.39,-3097128.77,1520532.04,88317.31,32440435.03
048777,Morgan Local SD,Morgan,14903023.88,-1086971.32,0,-50800,-319199.02,921812.4,0,14367865.94
048793,Cardington-Lincoln Local SD,Morrow,7030361.63,-94462.97,0,-54000,-360844.92,339768.73,0,6860822.47
048801,Highland Local SD,Morrow,9621484.41,704368.53,0,-55745.68,-315627.18,520999.85,0,10475479.93
048819,Northmor Local SD,Morrow,5288952.02,16640.64,0,-19569.81,-312947.28,460180.16,0,5433255.73
048835,East Muskingum Local SD,Muskingum,9466586.79,844980.8,0,-56549.35,-476058.3,323740.6,41539.29,10144239.83
048843,Franklin Local SD,Muskingum,12394653.45,-121607.65,0,-41850,-466133.1,791425.36,0,12556488.06
048850,Maysville Local SD,Muskingum,13495375.63,1926970.37,0,-68623.25,-812357.73,874340.85,0,15415705.87
