fiscal_year,irn,district,enrolled_adm,special_education_1,special_education_2,special_education_3,special_education_4,special_education_5,special_education_6,english_learner_1,english_learner_2,english_learner_3,gifted_k_8,gifted_9_12,career_technical_1,career_technical_2,career_technical_3,career_technical_4,career_technical_5,school_buildings
2027,046136,New Miami Local,578.117823,17.114943,69.712643,11.241379,1,3,16.775861,2.982759,20.74138,3.942529,10.98534,4.409302,0,0,0,0,0,3
2027,046144,Ross Local,2190.858342,46.363769,209.265844,7.174974,2,13.498744,26.11,1,14.672111,5.874372,307.669914,181.324861,0,0,0,0,0,5
2027,046151,Talawanda City,2662.287095,51.961823,222.81619,18.884116,2,22.460001,44.198065,20.02832,74.422166,25.406684,284.012159,212.945754,0,0,0,0,7.397599,5
2027,046177,Brown Local,551.856869,19.154581,60.265715,0.051429,0,0,12,0,0,0,48.237181,31.933699,0,0,0,0,0,3
2027,046193,Graham Local,1321.456633,11.549917,142.735117,11.515746,1.126506,9.424424,24.504492,0,1.72,0,104.65045,36.347603,3.411353,0,0,0,0,3
2027,046201,Triad Local,734.759003,19.70115,83.23937,4.854253,1,2.465517,13.250805,0,1,2,45.53308,39.074473,0,0,0,0,0,3
2027,046219,West Liberty-Salem Local,1083.950263,16.079649,68.701308,4,1,8,10.012253,0,1,0,47.126456,93.248561,18.580647,0,0,0,12.170106,3
2027,046235,Greenon Local,1508.691001,41.307082,142.75644,12.305403,2.970248,10,22.397597,1.941682,2,0.994143,71.695739,21.5,47.585857,0,0,0,0,3
2027,046243,Tecumseh Local,2546.069754,69.203972,305.144713,16.045592,2,19.158024,54.948976,26.163144,183.602535,41,212.044704,88.816149,33.144728,0,0,0,18.17127,5
2027,046250,Northeastern Local,2705.23913,50.242639,266.544484,13.80781,2.977401,12.954802,60.698158,6.731985,10.977401,2,197.654287,93.238457,23.273644,0,11.684923,0,28.045479,4
2027,046268,Northwestern Local,1432.330369,35.583666,123.49115,3,1,7.72,22.493882,3.86,9.598278,4.44,144.224247,58.202943,0,0,0,0,0,2
2027,046276,Southeastern Local,650.415019,17,75.462046,1.371435,0,5.8,14.219175,0,0,0,53.727277,32.496131,7.537519,0,0,1.154963,4.981308,3
2027,046284,Clark-Shawnee Local,1527.164731,39.895,140.893862,8.570655,0,16.19548,39.989769,8.060198,18.943503,11.86,113.019172,44.167034,6.05681,0,0,0,8.978265,2
