fiscal_year,average_base_cost_per_pupil,career_technical_base_cost_per_pupil,special_education_weight_1,special_education_weight_2,special_education_weight_3,special_education_weight_4,special_education_weight_5,special_education_weight_6,career_technical_weight_1,career_technical_weight_2,career_technical_weight_3,career_technical_weight_4,career_technical_weight_5,career_technical_associated_weight,english_learner_weight_1,english_learner_weight_2,english_learner_weight_3,dpia_per_pupil,dpia_statewide_percentage,dpia_weight_economically_disadvantaged,dpia_weight_directly_certified,performance_supplement_per_pupil,base_funding_supplement_per_pupil,enrolment_growth_supplement_per_pupil,enrolment_growth_supplement_pct_cell,preschool_base_amount,preschool_proration_factor,preschool_appropriation_cell,benchmark_ratio,median_weighted_wealth,median_weighted_wealth_per_pupil,fy2019_maximum_targeted_assistance,preschool_total_funds
2026,8241.610000000001,9855.620000000001,0.2435,0.6179,1.4845,1.9812,2.683,3.9554,0.623,0.5905,0.2154,0.183,0.157,0.0294,0.2104,0.1577,0.1053,422,0.565990245,0.75,0.25,13,27,225,1,4000,0.96853811,147500000,1.46670942,362326436.800000011921,253337.380000000005,2.819961526,153976835.57
2027,8241.610000000001,9855.620000000001,0.2435,0.6179,1.4845,1.9812,2.683,3.9554,0.623,0.5905,0.2154,0.183,0.157,0.0294,0.2104,0.1577,0.1053,422,0.533380310607,0.65,0.35,13,40,250,1,4000,0.96854448,147500000,1.46503636,392151306.632980763912,276708.969999999972,2.819961526,148408183.73
