irn,house_district,population,population_under_18,share
049338,082,1934,478,1.0
049346,082,3444,836,1.0
049353,082,3670,949,1.0
049361,082,2046,586,1.0
049379,082,9180,2376,1.0
049387,082,2651,628,1.0
049395,078,39,3,0.00340909
049395,082,3463,877,0.99659091
049411,076,9842,2293,0.87652905
049411,098,910,323,0.12347095
049429,067,2245,676,0.32068311
049429,076,5079,1432,0.67931689
049437,076,16052,3501,0.93986577
049437,087,1023,224,0.06013423
049445,067,135,28,0.03830369
049445,076,3285,703,0.96169631
049452,076,27167,4691,1.0
049460,054,890,214,0.15643275
049460,076,4124,1144,0.83625731
049460,087,47,10,0.00730994
049478,076,11380,2377,1.0
049494,012,73,15,0.00861574
049494,091,5737,1453,0.83457783
049494,092,1211,273,0.15680643
049502,092,6069,1446,1.0
049510,091,5997,1279,1.0
049528,092,6182,1374,1.0
049536,091,18,6,0.00221402
049536,092,15883,2704,0.99778598
049544,092,9400,2013,1.0
049569,075,2394,608,0.39868852
049569,088,4266,917,0.60131148
049577,044,129,29,0.02083333
049577,088,3515,766,0.55028736
049577,089,2844,597,0.42887931
049593,090,4482,1000,1.0
049601,090,3510,706,1.0
049619,090,4107,864,1.0
049627,090,7628,1777,1.0
049635,090,9382,2038,1.0
049643,090,6199,1079,1.0
049650,090,7564,1720,1.0
049668,090,8503,1836,1.0
049684,054,626,147,0.12940141
049684,088,4351,989,0.87059859
049700,088,4274,982,1.0
049718,088,1856,455,1.0
049726,088,3116,692,1.0
049759,085,5297,1339,1.0
049767,084,346,76,0.12991453
049767,085,1950,509,0.87008547
049775,085,2077,480,1.0
049783,084,12,0,0.0
049783,085,4058,1129,1.0
049791,085,4689,1181,1.0
049809,083,110,30,0.04310345
049809,084,59,6,0.00862069
049809,085,2436,660,0.94827586
049817,084,40,9,0.01750973
049817,085,1796,505,0.98249027
049833,049,588,192,0.07963501
049833,050,10164,1918,0.79552053
049833,051,1593,301,0.12484446
049841,050,124,32,0.01277955
049841,051,12043,2472,0.98722045
049858,049,33837,7123,0.82585507
049858,050,6698,1502,0.17414493
049866,048,20214,4872,0.99958966
049866,072,37,2,0.00041034
049874,048,18798,4014,0.99950199
049874,049,2,1,0.000249
049874,050,9,1,0.000249
049882,048,10668,2069,0.71740638
049882,050,4223,815,0.28259362
049890,050,5888,1250,0.48487199
049890,079,5894,1328,0.51512801
049908,032,1982,365,0.13931298
049908,050,11094,2246,0.85725191
049908,077,70,9,0.00343511
049916,049,85,23,0.02143523
049916,050,5136,1050,0.97856477
049916,079,1,0,0.0
049924,050,30454,6053,1.0
049932,048,25053,5091,0.53398364
049932,049,23602,4443,0.46601636
049940,050,3411,726,0.43086053
049940,051,3561,729,0.43264095
049940,079,1061,230,0.13649852
049957,050,5448,1187,0.59113546
049957,051,3710,807,0.40189243
049957,077,77,14,0.00697211
049973,031,12413,2443,0.718107
049973,033,2472,193,0.05673133
049973,034,4591,766,0.22516167
049981,031,13516,2928,0.66035183
049981,033,8436,1506,0.33964817
049999,031,411,123,0.06243655
049999,032,12212,1847,0.93756345
050005,032,8746,1746,1.0
050013,032,27492,6103,1.0
050021,031,2303,615,0.09390747
050021,034,23074,5934,0.90609253
050039,032,2799,639,0.72531215
050039,072,1345,242,0.27468785
050047,031,377,68,0.0115352
050047,035,32500,5827,0.9884648
050054,031,20028,4294,0.91361702
050054,033,1953,406,0.08638298
050062,032,18074,3326,0.98315105
050062,072,374,57,0.01684895
050070,035,27452,6245,1.0
050096,065,4396,1610,1.0
050112,064,5708,1605,1.0
050120,065,8447,1413,1.0
050138,064,9343,1820,1.0
050138,065,42,0,0.0
050153,064,22,5,0.00459982
050153,065,6839,1082,0.99540018
050161,064,22153,3825,1.0
050179,065,5957,1094,1.0
050187,064,247,84,0.03513174
050187,065,12417,2307,0.96486826
050195,065,11916,2180,1.0
050203,064,3332,582,1.0
050211,065,5065,921,1.0
050229,064,3810,811,0.99387255
050229,065,7,5,0.00612745
050237,064,3720,802,1.0
050245,064,8198,1318,1.0
050252,058,602,126,0.12765957
050252,064,4812,861,0.87234043
050278,051,9764,2964,0.81116585
050278,098,1828,690,0.18883415
050286,051,10188,2303,1.0
050294,051,4670,892,1.0
050302,051,10182,2092,1.0
050328,012,596,161,0.09247559
050328,086,6330,1580,0.90752441
050336,060,242,52,0.02634245
050336,061,62,15,0.00759878
050336,086,7905,1907,0.96605876
050351,082,4632,1125,1.0
050369,082,4321,1108,1.0
050393,092,12715,2787,0.99820917
050393,093,31,5,0.00179083
050419,037,1290,296,0.13051146
050419,040,42,8,0.00352734
050419,055,8926,1964,0.8659612
050427,037,902,295,0.03044376
050427,055,33903,9351,0.96501548
050427,056,149,44,0.00454076
050435,055,2566,774,0.10326885
050435,056,27621,6721,0.89673115
050443,055,35593,9069,0.97046549
050443,056,981,264,0.0282504
050443,062,48,12,0.00128411
050450,045,868,189,0.01298166
050450,056,53673,14370,0.98701834
050468,055,9235,2156,0.9862763
050468,070,112,30,0.0137237
050484,094,5245,1176,0.87305122
050484,095,686,171,0.12694878
050492,094,4679,928,1.0
050500,094,14186,2995,0.99041005
050500,095,93,29,0.00958995
050518,094,3397,808,1.0
050534,077,9068,1813,1.0
050542,077,7644,2144,1.0
050559,077,7001,1650,1.0
050567,066,129,27,0.01378254
050567,077,8038,1932,0.98621746
050575,067,464,148,0.07411117
050575,077,7462,1849,0.92588883
050583,077,15665,5704,0.85851896
050583,098,2969,940,0.14148104
050591,077,13273,2952,0.98762128
050591,098,142,37,0.01237872
050617,081,3800,851,1.0
050625,081,3221,773,1.0
050633,081,3589,787,1.0
050641,081,4094,952,1.0
050658,081,3494,681,1.0
050674,075,8774,1977,1.0
050682,075,6061,1530,0.98329049
050682,083,92,26,0.01670951
050690,044,527,70,0.02952341
050690,075,11105,2301,0.97047659
050708,075,4161,995,0.99103586
050708,083,26,9,0.00896414
050716,044,5114,1093,1.0
050724,044,1211,250,0.11101243
050724,075,8269,1934,0.85879218
050724,081,298,68,0.03019538
050740,087,2815,627,0.53452685
050740,088,2988,546,0.46547315
061903,090,22770,5475,0.97229622
061903,091,666,156,0.02770378
064964,040,459,130,0.74285714
064964,047,188,45,0.25714286
065680,093,15124,3739,1.0
069682,095,7369,1742,0.99942628
069682,097,12,1,0.00057372
091397,040,5522,1198,0.98277276
091397,080,60,21,0.01722724
139303,046,15671,4333,0.99380734
139303,056,118,27,0.00619266
