irn,house_district,population,population_under_18,share
044313,026,6389,1620,0.68153134
044313,027,2355,757,0.31846866
044321,094,22959,4193,1.0
044339,086,29051,7241,1.0
044347,096,9435,2023,1.0
044354,050,27806,6014,0.97471637
044354,051,792,156,0.02528363
044362,041,17422,3618,1.0
044370,019,29077,5478,0.84263959
044370,023,5620,1023,0.15736041
044388,066,46595,10414,1.0
044396,037,19708,4027,0.47138008
044396,040,20194,4516,0.52861992
044404,046,48531,11334,0.9580727
044404,055,2252,459,0.03879966
044404,056,213,37,0.00312764
044412,027,5857,1546,0.24539683
044412,029,19048,4754,0.75460317
044420,061,6275,1341,0.21459434
044420,098,25146,4908,0.78540566
044438,081,14361,3139,1.0
044446,092,1178,250,0.16254876
044446,094,6889,1288,0.83745124
044453,068,50018,11000,0.99927326
044453,069,67,8,0.00072674
044461,090,2297,513,1.0
044479,069,4006,974,0.37854644
044479,092,6685,1599,0.62145356
044487,051,22558,4742,1.0
044495,064,18165,3420,0.99854015
044495,065,18,5,0.00145985
044503,048,29853,6096,0.98944976
044503,049,253,65,0.01055024
044511,027,54,19,0.00697248
044511,029,10852,2706,0.99302752
044529,015,32198,6008,1.0
044537,052,35280,7579,0.99920897
044537,054,8,6,0.00079103
044545,014,28,3,0.00042955
044545,017,37402,6981,0.99957045
044552,031,11722,2440,0.84022039
044552,032,2307,464,0.15977961
044560,054,18856,4397,1.0
044578,026,19043,3531,1.0
044586,036,9547,2753,1.0
044594,052,21,1,0.00066357
044594,054,10917,1506,0.99933643
044602,042,22934,4569,1.0
044610,077,11040,2585,1.0
044628,057,16774,4410,1.0
044636,014,101981,18506,0.91718293
044636,019,11720,1671,0.08281707
044644,080,23760,5499,1.0
044651,089,13203,2226,1.0
044669,090,19720,4193,1.0
044677,027,7079,1706,0.17918286
044677,028,29060,5946,0.62451423
044677,029,2812,496,0.05209537
044677,045,3637,1112,0.11679445
044677,056,1113,261,0.02741309
044685,035,12,5,0.00126871
044685,072,20280,3936,0.99873129
044693,027,10751,2250,1.0
044701,016,22150,4453,1.0
044719,025,6157,1361,1.0
044727,078,767,170,0.05386565
044727,084,12642,2986,0.94613435
044735,079,16593,3337,1.0
044743,089,25060,5618,1.0
044750,018,29439,7053,0.91680749
044750,022,3749,640,0.08319251
044768,053,13474,2481,1.0
044776,076,13114,3042,1.0
044784,085,24714,5903,1.0
044792,021,34364,6369,0.98211257
044792,023,695,116,0.01788743
044800,001,29,3,8.214e-05
044800,006,50955,13195,0.36125941
044800,007,264,113,0.00309377
044800,010,85683,21100,0.57768652
044800,012,10346,2114,0.05787817
044818,074,54963,13206,1.0
044826,096,15494,3224,1.0
044834,031,139,23,0.00291841
044834,034,39532,7813,0.99137165
044834,072,234,45,0.00570994
044842,017,46491,9251,0.9868786
044842,054,507,123,0.0131214
044859,058,1239,174,0.07675342
044859,059,9927,2093,0.92324658
044867,027,20,9,0.00101845
044867,028,36396,8828,0.99898155
044875,041,196,21,0.00169069
044875,043,4448,863,0.06947911
044875,044,50198,11537,0.92883021
044883,034,18145,3621,0.97548491
044883,072,290,91,0.02451509
044891,088,22399,4418,1.0
044909,041,65029,13306,0.26967977
044909,042,91294,23511,0.47650993
044909,043,57800,12242,0.24811512
044909,044,1181,281,0.00569518
044917,096,5654,1132,1.0
044925,080,31289,7276,1.0
044933,006,450,47,0.00489278
044933,007,36295,9513,0.99031855
044933,008,141,46,0.00478867
044941,085,14625,3160,1.0
044958,038,507,112,0.02254882
044958,039,24003,4855,0.97745118
044966,082,14098,3220,1.0
044974,066,28694,6547,1.0
044982,078,6999,1497,0.33489933
044982,084,12278,2973,0.66510067
044990,064,34821,8255,1.0
045005,018,15427,3476,0.99942496
045005,021,6,2,0.00057504
045013,091,13879,3243,1.0
045021,093,8980,2167,1.0
045039,079,4393,953,1.0
045047,003,1020,411,0.01701229
045047,004,31003,6716,0.27799164
045047,009,44055,11443,0.47365371
045047,060,8125,1679,0.06949791
045047,061,15945,3910,0.16184445
045054,037,28208,5555,1.0
045062,016,34228,6180,1.0
045070,002,20127,5416,1.0
045088,023,12652,2385,1.0
045096,054,10674,2525,1.0
045104,023,66538,11600,0.99870857
045104,057,101,15,0.00129143
045112,071,20953,4504,1.0
045120,077,29921,5636,1.0
045138,008,61795,14961,0.9216411
045138,009,4925,1253,0.07718844
045138,011,119,19,0.00117046
045146,027,8675,2588,1.0
045153,055,21,6,0.00079491
045153,070,2881,513,0.06796502
045153,071,33647,7029,0.93124006
045161,058,60977,13333,0.98872822
045161,059,1094,152,0.01127178
045179,097,26018,6072,1.0
045187,083,7269,1266,1.0
045195,052,4498,826,0.15638016
045195,053,20882,4456,0.84361984
045203,095,6338,1392,0.76863611
045203,096,1501,419,0.23136389
045211,078,6281,1398,0.98659139
045211,083,157,19,0.01340861
045229,080,1706,425,0.54557125
045229,084,1434,353,0.45314506
045229,085,13,1,0.0012837
045237,095,20,6,0.00552995
045237,096,6010,1079,0.99447005
045245,079,11,0,0.0
045245,095,12335,2604,0.98449905
045245,096,106,41,0.01550095
045252,094,326,72,0.05844156
045252,095,7922,1160,0.94155844
045260,087,4924,1175,0.96548891
045260,088,216,42,0.03451109
