edition	fund	ali	name	legal_basis
2006	GRF	200520	Disadvantaged Pupil Impact Aid	Discontinued line item (originally established in ORC 3317.029)
2006	GRF	200521	Gifted Pupil Program	ORC 3317.024; Section 206.09.27 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200525	Parity Aid	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200532	Nonpublic Administrative Cost Reimbursement	ORC 3317.063; Section 206.09.27 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 694 of the 114th G.A.)
2006	GRF	200533	School-Age Child Care	Discontinued line item (originally established in ORC 3301.59 by Am. Sub. H.B. 238 of the 116th G.A.)
2006	GRF	200534	Desegregation Costs	Discontinued line item (originally established in ORC 3301.18)
2006	GRF	200540	Special Education Enhancements	ORC 3317.20, 3317.052, and 3317.05; Section 206.09.30 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2006	GRF	200545	Career-Technical Education Enhancements	Section 206.09.33 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2006	GRF	200546	Charge-Off Supplement	Discontinued line item (originally established by Am. Sub. H.B. 650 of the 122nd G.A.)
2006	GRF	200547	Power Equalization	Discontinued line item (originally established by Am. Sub. H.B. 650 of the 122nd G.A.; ORC 3317.0215)
2006	GRF	200550	Foundation Funding	ORC 3317; Sections 206.09.36, 206.09.39, and 206.09.42 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 66 of the 126th G.A.)
2006	GRF	200552	County MR/DD Boards Vehicle Purchases	Discontinued line item (originally established in ORC 3317.07)
2006	GRF	200553	County MR/DD Boards Transportation Operating	Discontinued line item (originally established in ORC 3317.024)
2006	GRF	200558	Emergency Loan Interest Subsidy	ORC 3313.484; Section 206.09.42 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200566	Reading/Writing Improvement Classroom Grants	Section 206.09.45 of Am. Sub. H.B. 66 of the 126th G.A. (originally established by Am. Sub. H.B. 1 and modified by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200570	School Improvement Incentive Grants	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200572	Teacher Incentive Grants	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200574	Substance Abuse Prevention	Discontinued line item (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
2006	GRF	200578	Safe and Supportive Schools	Section 206.09.45 of Am. Sub. H.B. 66 of the 126th G.A.
2006	GRF	200580	Bethel School Clean-Up	Discontinued line item. (originally established by Am. Sub. H.B. 282 of the 123rd G.A.)
