chamber,irn,district,population,population_under_18,share
house,048470,066,2193,641,0.20119272
house,048470,067,13191,2544,0.79849341
house,048488,066,17474,3288,0.89154013
house,048488,067,2213,400,0.10845987
house,048496,031,314,89,0.0180674
house,048496,066,19604,4801,0.97462444
house,048496,067,175,36,0.00730816
house,048512,094,5018,1063,1.0
house,048520,094,11326,2431,1.0
house,048538,094,4646,955,1.0
house,048553,084,4045,1270,1.0
house,048579,082,1021,273,0.18458418
house,048579,084,4905,1206,0.81541582
house,048587,084,4768,1356,1.0
house,048595,084,4113,1225,1.0
house,048611,080,10185,2580,1.0
house,048629,080,8455,1955,0.99846782
house,048629,085,15,3,0.00153218
house,048637,080,3349,831,1.0
house,048652,095,291,51,0.01626794
house,048652,096,16109,3084,0.98373206
house,048678,038,52,7,0.00328176
house,048678,040,9696,2126,0.99671824
house,048686,037,5022,911,0.90019763
house,048686,038,546,101,0.09980237
house,048694,037,536,191,0.04100472
house,048694,038,18643,4312,0.92571919
house,048694,039,544,155,0.03327608
house,048702,036,21227,4979,1.0
house,048702,039,2,0,0.0
house,048710,037,163,47,0.03114645
house,048710,038,356,63,0.0417495
house,048710,040,6267,1399,0.92710404
house,048728,038,82,20,0.00273898
house,048728,039,30077,6420,0.87921118
house,048728,040,4358,853,0.11681731
house,048728,080,108,9,0.00123254
house,048736,038,2533,599,0.24896093
house,048736,039,7389,1807,0.75103907
house,048744,037,24,14,0.00526514
house,048744,040,10951,2645,0.99473486
house,048751,036,4684,1180,0.11959055
house,048751,038,2,1,0.00010135
house,048751,039,37786,8686,0.8803081
house,048777,094,10,1,0.0003785
house,048777,095,12968,2641,0.9996215
house,048793,087,6484,1516,1.0
house,048801,061,325,59,0.0243701
house,048801,087,10102,2362,0.9756299
house,048819,076,343,99,0.0514553
house,048819,087,7563,1825,0.9485447
house,048835,097,13037,2862,1.0
house,048843,069,1418,376,0.1298791
house,048843,097,11129,2519,0.8701209
house,048850,097,10344,2232,1.0
house,048876,097,16886,4163,0.96298867
house,048876,098,563,160,0.03701133
house,048884,069,920,171,0.06261443
house,048884,097,13113,2560,0.93738557
house,048900,095,5721,1448,0.91587603
house,048900,096,354,133,0.08412397
house,048926,089,9963,2077,1.0
house,048934,089,4943,600,1.0
house,048942,044,8427,1790,1.0
house,048975,089,677,77,1.0
house,048991,082,3832,938,1.0
house,049031,082,5331,1306,1.0
house,049056,069,14275,3369,0.99029982
house,049056,073,133,33,0.00970018
house,049064,092,4373,1012,1.0
house,049080,012,9218,1885,0.70731707
house,049080,092,3726,780,0.29268293
house,049098,005,51,31,0.00515121
house,049098,012,24822,5816,0.96643403
house,049098,069,739,171,0.02841476
house,049106,012,8280,1850,1.0
house,049122,090,550,130,0.10869565
house,049122,091,3998,974,0.81438127
house,049122,093,289,92,0.07692308
house,049130,090,66,24,0.01232033
house,049130,091,8180,1924,0.98767967
house,049148,091,10626,2429,0.95292271
house,049148,092,514,120,0.04707729
house,049155,091,4284,1134,1.0
house,049171,035,17955,3943,1.0
house,049189,035,4576,816,0.34386852
house,049189,072,9074,1557,0.65613148
house,049197,072,17494,3276,1.0
house,049205,072,8699,1878,1.0
house,049213,072,8699,1763,1.0
house,049221,072,11127,2273,1.0
house,049239,035,17069,3299,1.0
house,049247,072,7937,1664,1.0
house,049270,040,6641,1480,0.99462366
house,049270,080,24,8,0.00537634
house,049288,040,8959,2053,1.0
house,049296,040,5491,1264,1.0
house,049312,078,489,128,0.0960961
house,049312,082,4631,1204,0.9039039
house,049320,082,3369,813,1.0
house,049338,082,1934,478,1.0
house,049346,082,3444,836,1.0
house,049353,082,3670,949,1.0
house,049361,082,2046,586,1.0
house,049379,082,9180,2376,1.0
house,049387,082,2651,628,1.0
house,049395,078,39,3,0.00340909
house,049395,082,3463,877,0.99659091
house,049411,076,9842,2293,0.87652905
house,049411,098,910,323,0.12347095
house,049429,067,2245,676,0.32068311
house,049429,076,5079,1432,0.67931689
house,049437,076,16052,3501,0.93986577
house,049437,087,1023,224,0.06013423
house,049445,067,135,28,0.03830369
house,049445,076,3285,703,0.96169631
house,049452,076,27167,4691,1.0
house,049460,054,890,214,0.15643275
house,049460,076,4124,1144,0.83625731
house,049460,087,47,10,0.00730994
house,049478,076,11380,2377,1.0
house,049494,012,73,15,0.00861574
house,049494,091,5737,1453,0.83457783
house,049494,092,1211,273,0.15680643
house,049502,092,6069,1446,1.0
house,049510,091,5997,1279,1.0
house,049528,092,6182,1374,1.0
house,049536,091,18,6,0.00221402
house,049536,092,15883,2704,0.99778598
house,049544,092,9400,2013,1.0
house,049569,075,2394,608,0.39868852
house,049569,088,4266,917,0.60131148
house,049577,044,129,29,0.02083333
house,049577,088,3515,766,0.55028736
house,049577,089,2844,597,0.42887931
house,049593,090,4482,1000,1.0
house,049601,090,3510,706,1.0
house,049619,090,4107,864,1.0
house,049627,090,7628,1777,1.0
house,049635,090,9382,2038,1.0
house,049643,090,6199,1079,1.0
house,049650,090,7564,1720,1.0
house,049668,090,8503,1836,1.0
house,049684,054,626,147,0.12940141
house,049684,088,4351,989,0.87059859
house,049700,088,4274,982,1.0
house,049718,088,1856,455,1.0
house,049726,088,3116,692,1.0
house,049759,085,5297,1339,1.0
house,049767,084,346,76,0.12991453
house,049767,085,1950,509,0.87008547
house,049775,085,2077,480,1.0
house,049783,084,12,0,0.0
house,049783,085,4058,1129,1.0
house,049791,085,4689,1181,1.0
house,049809,083,110,30,0.04310345
house,049809,084,59,6,0.00862069
house,049809,085,2436,660,0.94827586
house,049817,084,40,9,0.01750973
house,049817,085,1796,505,0.98249027
house,049833,049,588,192,0.07963501
house,049833,050,10164,1918,0.79552053
house,049833,051,1593,301,0.12484446
house,049841,050,124,32,0.01277955
house,049841,051,12043,2472,0.98722045
house,049858,049,33837,7123,0.82585507
house,049858,050,6698,1502,0.17414493
house,049866,048,20214,4872,0.99958966
house,049866,072,37,2,0.00041034
house,049874,048,18798,4014,0.99950199
house,049874,049,2,1,0.000249
house,049874,050,9,1,0.000249
house,049882,048,10668,2069,0.71740638
house,049882,050,4223,815,0.28259362
house,049890,050,5888,1250,0.48487199
house,049890,079,5894,1328,0.51512801
house,049908,032,1982,365,0.13931298
house,049908,050,11094,2246,0.85725191
house,049908,077,70,9,0.00343511
house,049916,049,85,23,0.02143523
house,049916,050,5136,1050,0.97856477
house,049916,079,1,0,0.0
house,049924,050,30454,6053,1.0
house,049932,048,25053,5091,0.53398364
house,049932,049,23602,4443,0.46601636
house,049940,050,3411,726,0.43086053
house,049940,051,3561,729,0.43264095
house,049940,079,1061,230,0.13649852
house,049957,050,5448,1187,0.59113546
house,049957,051,3710,807,0.40189243
house,049957,077,77,14,0.00697211
house,049973,031,12413,2443,0.718107
house,049973,033,2472,193,0.05673133
house,049973,034,4591,766,0.22516167
house,049981,031,13516,2928,0.66035183
house,049981,033,8436,1506,0.33964817
house,049999,031,411,123,0.06243655
house,049999,032,12212,1847,0.93756345
house,050005,032,8746,1746,1.0
house,050013,032,27492,6103,1.0
house,050021,031,2303,615,0.09390747
house,050021,034,23074,5934,0.90609253
house,050039,032,2799,639,0.72531215
house,050039,072,1345,242,0.27468785
house,050047,031,377,68,0.0115352
house,050047,035,32500,5827,0.9884648
house,050054,031,20028,4294,0.91361702
house,050054,033,1953,406,0.08638298
house,050062,032,18074,3326,0.98315105
house,050062,072,374,57,0.01684895
house,050070,035,27452,6245,1.0
house,050096,065,4396,1610,1.0
house,050112,064,5708,1605,1.0
house,050120,065,8447,1413,1.0
house,050138,064,9343,1820,1.0
house,050138,065,42,0,0.0
house,050153,064,22,5,0.00459982
house,050153,065,6839,1082,0.99540018
house,050161,064,22153,3825,1.0
house,050179,065,5957,1094,1.0
house,050187,064,247,84,0.03513174
house,050187,065,12417,2307,0.96486826
house,050195,065,11916,2180,1.0
house,050203,064,3332,582,1.0
house,050211,065,5065,921,1.0
house,050229,064,3810,811,0.99387255
house,050229,065,7,5,0.00612745
house,050237,064,3720,802,1.0
house,050245,064,8198,1318,1.0
house,050252,058,602,126,0.12765957
house,050252,064,4812,861,0.87234043
house,050278,051,9764,2964,0.81116585
house,050278,098,1828,690,0.18883415
house,050286,051,10188,2303,1.0
house,050294,051,4670,892,1.0
house,050302,051,10182,2092,1.0
house,050328,012,596,161,0.09247559
house,050328,086,6330,1580,0.90752441
house,050336,060,242,52,0.02634245
house,050336,061,62,15,0.00759878
house,050336,086,7905,1907,0.96605876
house,050351,082,4632,1125,1.0
house,050369,082,4321,1108,1.0
house,050393,092,12715,2787,0.99820917
house,050393,093,31,5,0.00179083
house,050419,037,1290,296,0.13051146
house,050419,040,42,8,0.00352734
house,050419,055,8926,1964,0.8659612
house,050427,037,902,295,0.03044376
house,050427,055,33903,9351,0.96501548
house,050427,056,149,44,0.00454076
house,050435,055,2566,774,0.10326885
house,050435,056,27621,6721,0.89673115
house,050443,055,35593,9069,0.97046549
house,050443,056,981,264,0.0282504
house,050443,062,48,12,0.00128411
house,050450,045,868,189,0.01298166
house,050450,056,53673,14370,0.98701834
house,050468,055,9235,2156,0.9862763
house,050468,070,112,30,0.0137237
house,050484,094,5245,1176,0.87305122
house,050484,095,686,171,0.12694878
house,050492,094,4679,928,1.0
house,050500,094,14186,2995,0.99041005
house,050500,095,93,29,0.00958995
house,050518,094,3397,808,1.0
house,050534,077,9068,1813,1.0
house,050542,077,7644,2144,1.0
house,050559,077,7001,1650,1.0
house,050567,066,129,27,0.01378254
house,050567,077,8038,1932,0.98621746
house,050575,067,464,148,0.07411117
house,050575,077,7462,1849,0.92588883
house,050583,077,15665,5704,0.85851896
house,050583,098,2969,940,0.14148104
house,050591,077,13273,2952,0.98762128
house,050591,098,142,37,0.01237872
house,050617,081,3800,851,1.0
house,050625,081,3221,773,1.0
house,050633,081,3589,787,1.0
house,050641,081,4094,952,1.0
house,050658,081,3494,681,1.0
house,050674,075,8774,1977,1.0
house,050682,075,6061,1530,0.98329049
house,050682,083,92,26,0.01670951
house,050690,044,527,70,0.02952341
house,050690,075,11105,2301,0.97047659
house,050708,075,4161,995,0.99103586
house,050708,083,26,9,0.00896414
house,050716,044,5114,1093,1.0
house,050724,044,1211,250,0.11101243
house,050724,075,8269,1934,0.85879218
house,050724,081,298,68,0.03019538
house,050740,087,2815,627,0.53452685
house,050740,088,2988,546,0.46547315
house,061903,090,22770,5475,0.97229622
house,061903,091,666,156,0.02770378
house,064964,040,459,130,0.74285714
house,064964,047,188,45,0.25714286
house,065680,093,15124,3739,1.0
house,069682,095,7369,1742,0.99942628
house,069682,097,12,1,0.00057372
house,091397,040,5522,1198,0.98277276
house,091397,080,60,21,0.01722724
house,139303,046,15671,4333,0.99380734
house,139303,056,118,27,0.00619266
senate,000442,014,4586,1071,1.0
senate,043489,027,100,24,0.00060997
senate,043489,028,181031,39322,0.99939003
senate,043497,029,20226,4180,0.96025729
senate,043497,033,798,173,0.03974271
senate,043505,022,25315,5276,1.0
senate,043513,032,26836,5803,1.0
senate,043521,030,34433,3981,1.0
senate,043539,027,24726,5123,0.99844085
senate,043539,028,63,8,0.00155915
senate,043547,023,16163,3936,1.0
senate,043554,021,14034,2892,1.0
senate,043562,018,5605,663,0.13017868
senate,043562,021,24151,4430,0.86982132
senate,043570,030,9276,1769,1.0
senate,043588,012,16152,3899,1.0
senate,043596,002,4993,1203,0.39860835
senate,043596,013,119,21,0.00695825
senate,043596,026,8085,1794,0.5944334
senate,043604,030,8969,1738,1.0
senate,043612,024,53457,9111,1.0
senate,043620,015,13928,3669,1.0
senate,043638,001,14,8,0.00151172
senate,043638,002,36052,5284,0.99848828
senate,043646,018,13635,2869,0.49439945
senate,043646,024,13856,2934,0.50560055
senate,043653,024,11359,2029,1.0
senate,043661,022,48001,10429,1.0
senate,043679,001,13377,2929,1.0
senate,043687,026,10285,2164,1.0
senate,043695,030,272,42,0.01323251
senate,043695,031,14799,3132,0.98676749
senate,043703,033,7825,1748,1.0
senate,043711,029,60596,14811,1.0
senate,043729,012,18881,4169,1.0
senate,043737,006,61382,12523,1.0
senate,043745,017,23234,4917,1.0
senate,043752,007,639,109,0.0015277
senate,043752,008,27002,5568,0.07803894
senate,043752,009,315677,65672,0.92043336
senate,043760,003,15224,3351,1.0
senate,043778,031,11834,2909,1.0
senate,043786,018,9408,1589,0.01976417
senate,043786,021,74563,16298,0.20271649
senate,043786,023,235104,49704,0.61822433
senate,043786,024,55482,12807,0.15929501
senate,043794,021,57703,12188,0.99991796
senate,043794,023,9,1,8.204e-05
senate,043802,003,55833,11860,0.105501
senate,043802,015,292394,65052,0.57867208
senate,043802,016,55960,6913,0.06149481
senate,043802,025,167333,28591,0.25433212
senate,043810,032,13950,2583,1.0
senate,043828,019,11255,2649,1.0
senate,043836,027,38286,6974,0.94192328
senate,043836,028,2516,430,0.05807672
senate,043844,005,14425,2809,0.08730381
senate,043844,006,133519,29366,0.91269619
senate,043851,007,11381,2002,0.96621622
senate,043851,008,352,70,0.03378378
senate,043869,001,16711,3853,1.0
senate,043877,019,38475,8926,1.0
senate,043885,001,4207,992,0.44226482
senate,043885,012,5696,1251,0.55773518
senate,043893,031,17426,3782,1.0
senate,043901,021,16884,3436,1.0
senate,043919,033,15084,3308,1.0
senate,043927,033,8030,1715,1.0
senate,043935,005,14085,3132,1.0
senate,043943,013,50616,10701,1.0
senate,043950,018,18,3,0.00027652
senate,043950,021,49692,10846,0.99972348
senate,043968,006,2221,521,0.06469639
senate,043968,010,39414,7532,0.93530361
senate,043976,023,16896,3243,1.0
senate,043984,001,40497,8303,1.0
senate,043992,001,2439,532,0.15861658
senate,043992,002,2092,393,0.11717352
senate,043992,026,9429,2429,0.7242099
senate,044008,007,20583,4544,1.0
senate,044016,026,28689,6325,1.0
senate,044024,022,324,90,0.03182461
senate,044024,026,12971,2738,0.96817539
senate,044032,017,13992,3026,1.0
senate,044040,021,27577,6606,1.0
senate,044057,032,15896,3128,1.0
senate,044065,032,10679,2172,1.0
senate,044073,025,8719,1585,1.0
senate,044081,007,19377,4920,0.74568051
senate,044081,008,8630,1678,0.25431949
senate,044099,005,1785,342,0.07454228
senate,044099,012,20049,4246,0.92545772
senate,044107,004,63245,14939,1.0
senate,044115,020,10346,2275,1.0
senate,044123,017,16397,3648,1.0
senate,044131,002,10548,1946,1.0
senate,044149,017,10358,2164,1.0
senate,044156,017,15764,3607,1.0
senate,044164,027,33725,4385,1.0
senate,044172,001,11417,2754,0.99710355
senate,044172,026,41,8,0.00289645
senate,044180,006,58146,12046,1.0
senate,044198,023,50852,7798,1.0
senate,044206,020,49114,10414,1.0
senate,044214,007,40917,9064,1.0
senate,044222,012,28122,7208,1.0
senate,044230,008,3514,804,0.81294237
senate,044230,009,823,185,0.18705763
senate,044248,017,23702,5240,1.0
senate,044255,003,14421,3253,1.0
senate,044263,013,54264,13543,1.0
senate,044271,007,15059,3942,0.54014799
senate,044271,014,12712,3356,0.45985201
senate,044289,008,9389,2602,1.0
senate,044297,022,33456,7497,1.0
senate,044305,021,23701,5736,1.0
senate,044313,008,2355,757,0.31846866
senate,044313,009,6389,1620,0.68153134
senate,044321,030,22959,4193,1.0
senate,044339,026,29051,7241,1.0
senate,044347,030,9435,2023,1.0
senate,044354,029,27806,6014,0.97471637
senate,044354,031,792,156,0.02528363
senate,044362,011,17422,3618,1.0
senate,044370,018,34697,6501,1.0
senate,044388,022,46595,10414,1.0
senate,044396,005,20194,4516,0.52861992
senate,044396,006,19708,4027,0.47138008
senate,044404,004,48531,11334,0.9580727
senate,044404,007,2465,496,0.0419273
senate,044412,008,24905,6300,1.0
senate,044420,019,31421,6249,1.0
senate,044438,001,14361,3139,1.0
senate,044446,017,1178,250,0.16254876
senate,044446,030,6889,1288,0.83745124
senate,044453,020,50085,11008,1.0
senate,044461,014,2297,513,1.0
senate,044479,017,6685,1599,0.62145356
senate,044479,020,4006,974,0.37854644
senate,044487,031,22558,4742,1.0
senate,044495,032,18183,3425,1.0
senate,044503,029,30106,6161,1.0
senate,044511,008,10906,2725,1.0
senate,044529,024,32198,6008,1.0
senate,044537,013,35288,7585,1.0
senate,044545,024,37430,6984,1.0
senate,044552,027,11722,2440,0.84022039
senate,044552,028,2307,464,0.15977961
senate,044560,013,18856,4397,1.0
senate,044578,009,19043,3531,1.0
senate,044586,006,9547,2753,1.0
senate,044594,013,10938,1507,1.0
senate,044602,011,22934,4569,1.0
senate,044610,031,11040,2585,1.0
senate,044628,018,16774,4410,1.0
senate,044636,018,11720,1671,0.08281707
senate,044636,024,101981,18506,0.91718293
senate,044644,005,23760,5499,1.0
senate,044651,002,13203,2226,1.0
senate,044669,014,19720,4193,1.0
senate,044677,004,3637,1112,0.11679445
senate,044677,007,30173,6207,0.65192732
senate,044677,008,9891,2202,0.23127823
senate,044685,027,20292,3941,1.0
senate,044693,008,10751,2250,1.0
senate,044701,023,22150,4453,1.0
senate,044719,009,6157,1361,1.0
senate,044727,012,13409,3156,1.0
senate,044735,033,16593,3337,1.0
senate,044743,002,25060,5618,1.0
senate,044750,021,33188,7693,1.0
senate,044768,013,13474,2481,1.0
senate,044776,022,13114,3042,1.0
senate,044784,012,24714,5903,1.0
senate,044792,018,695,116,0.01788743
senate,044792,021,34364,6369,0.98211257
senate,044800,003,96029,23214,0.63556468
senate,044800,015,29,3,8.214e-05
senate,044800,025,51219,13308,0.36435318
senate,044818,010,54963,13206,1.0
senate,044826,030,15494,3224,1.0
senate,044834,027,373,68,0.00862835
senate,044834,028,39532,7813,0.99137165
senate,044842,013,507,123,0.0131214
senate,044842,024,46491,9251,0.9868786
senate,044859,033,11166,2267,1.0
senate,044867,007,36396,8828,0.99898155
senate,044867,008,20,9,0.00101845
senate,044875,002,50198,11537,0.92883021
senate,044875,011,4644,884,0.07116979
senate,044883,027,290,91,0.02451509
senate,044883,028,18145,3621,0.97548491
senate,044891,026,22399,4418,1.0
senate,044909,002,1181,281,0.00569518
senate,044909,011,214123,49059,0.99430482
senate,044917,030,5654,1132,1.0
senate,044925,005,31289,7276,1.0
senate,044933,016,141,46,0.00478867
senate,044933,025,36745,9560,0.99521133
senate,044941,012,14625,3160,1.0
senate,044958,005,24003,4855,0.97745118
senate,044958,006,507,112,0.02254882
senate,044966,001,14098,3220,1.0
senate,044974,022,28694,6547,1.0
senate,044982,012,19277,4470,1.0
senate,044990,032,34821,8255,1.0
senate,045005,021,15433,3478,1.0
senate,045013,017,13879,3243,1.0
senate,045021,017,8980,2167,1.0
senate,045039,033,4393,953,1.0
senate,045047,015,1020,411,0.01701229
senate,045047,016,31003,6716,0.27799164
senate,045047,019,24070,5589,0.23134236
senate,045047,025,44055,11443,0.47365371
senate,045054,006,28208,5555,1.0
senate,045062,023,34228,6180,1.0
senate,045070,015,20127,5416,1.0
senate,045088,018,12652,2385,1.0
senate,045096,013,10674,2525,1.0
senate,045104,018,66639,11615,1.0
senate,045112,010,20953,4504,1.0
senate,045120,031,29921,5636,1.0
senate,045138,016,61914,14980,0.92281156
senate,045138,025,4925,1253,0.07718844
senate,045146,008,8675,2588,1.0
senate,045153,007,21,6,0.00079491
senate,045153,010,36528,7542,0.99920509
senate,045161,033,62071,13485,1.0
senate,045179,031,26018,6072,1.0
senate,045187,001,7269,1266,1.0
senate,045195,013,25380,5282,1.0
senate,045203,030,7839,1811,1.0
senate,045211,001,157,19,0.01340861
senate,045211,012,6281,1398,0.98659139
senate,045229,005,1706,425,0.54557125
senate,045229,012,1447,354,0.45442875
senate,045237,030,6030,1085,1.0
senate,045245,030,12441,2645,1.0
senate,045245,033,11,0,0.0
senate,045252,030,8248,1232,1.0
senate,045260,026,5140,1217,1.0
senate,045278,033,15803,3385,1.0
senate,045286,018,5957,1284,0.53589316
senate,045286,027,5283,1076,0.4490818
senate,045286,032,213,36,0.01502504
senate,045294,017,7129,1537,1.0
senate,045302,026,12431,2784,1.0
senate,045310,012,6927,1937,1.0
senate,045328,033,8048,1443,1.0
senate,045336,005,4958,1186,1.0
senate,045344,022,395,88,0.07068273
senate,045344,026,4933,1157,0.92931727
senate,045351,017,1506,336,0.26687847
senate,045351,020,3691,923,0.73312153
senate,045369,018,3122,557,1.0
senate,045377,014,6686,1518,1.0
senate,045385,002,69,17,0.01523297
senate,045385,026,5096,1099,0.98476703
senate,045393,020,14524,3464,1.0
senate,045401,017,12347,3136,1.0
senate,045419,001,5281,1354,1.0
senate,045427,032,12969,2302,0.99913194
senate,045427,033,53,2,0.00086806
senate,045435,007,7179,1741,0.51877235
senate,045435,008,6504,1615,0.48122765
senate,045443,033,4417,970,1.0
senate,045450,033,5363,1049,1.0
senate,045468,019,1113,277,0.15965418
senate,045468,022,6794,1458,0.84034582
senate,045476,026,34636,8245,1.0
senate,045484,003,75,15,0.01296456
senate,045484,012,4726,1142,0.98703544
senate,045492,018,60694,11211,0.99884177
senate,045492,032,76,13,0.00115823
senate,045500,008,27,5,0.00046637
senate,045500,014,44631,10716,0.99953363
senate,045518,005,9499,2018,1.0
senate,045526,001,5569,1259,1.0
senate,045534,026,7902,1679,1.0
senate,045542,019,289,58,0.04312268
senate,045542,030,25,2,0.00148699
senate,045542,031,5887,1285,0.95539033
senate,045559,014,13517,3054,1.0
senate,045567,032,8504,1570,1.0
senate,045575,001,9764,2327,1.0
senate,045583,002,32778,8190,1.0
senate,045591,022,99,13,0.00855826
senate,045591,031,6796,1506,0.99144174
senate,045609,002,13571,2552,1.0
senate,045617,005,15296,3520,1.0
senate,045625,026,11376,2456,1.0
senate,045633,012,6553,1764,1.0
senate,045641,001,10457,2542,1.0
senate,045658,013,8568,1663,1.0
senate,045666,027,3457,730,1.0
senate,045674,010,4344,716,1.0
senate,045757,012,5908,1432,1.0
senate,045765,012,12101,2371,1.0
senate,045773,012,18876,4332,1.0
senate,045781,012,3660,824,1.0
senate,045799,012,17056,3821,1.0
senate,045807,001,512,120,0.09324009
senate,045807,012,4652,1167,0.90675991
senate,045823,022,6350,1407,0.93117141
senate,045823,031,373,104,0.06882859
senate,045831,013,57,5,0.00300842
senate,045831,022,6717,1657,0.99699158
senate,045856,032,10630,2129,1.0
senate,045864,032,10060,2983,1.0
senate,045872,032,11502,2538,1.0
senate,045880,032,8700,1998,1.0
senate,045906,017,35,11,0.00497288
senate,045906,030,10344,2201,0.99502712
senate,045914,030,7842,1623,1.0
senate,045922,030,4207,979,1.0
senate,045948,012,4611,1265,1.0
senate,045955,012,4578,1120,1.0
senate,045963,012,1936,488,1.0
senate,045971,001,52,7,0.01190476
senate,045971,012,2646,581,0.98809524
senate,045997,030,16111,2470,1.0
senate,046003,030,5051,892,1.0
senate,046011,030,8828,1978,1.0
senate,046037,014,8604,2050,1.0
senate,046037,017,31,0,0.0
senate,046045,010,21,8,0.00766284
senate,046045,014,4591,1036,0.99233716
senate,046060,014,17273,4088,1.0
senate,046078,014,6378,1227,1.0
senate,046094,004,2103,432,0.08381839
senate,046094,005,17703,4722,0.91618161
senate,046102,004,68279,15368,1.0
senate,046110,004,104217,27246,1.0
senate,046128,004,8009,1840,0.94698919
senate,046128,005,254,103,0.05301081
senate,046136,004,3886,862,1.0
senate,046144,004,16235,3959,1.0
senate,046151,004,33496,3907,0.81959304
senate,046151,005,3821,860,0.18040696
senate,046177,029,45,11,0.01160338
senate,046177,033,4812,937,0.98839662
senate,046193,012,11312,2595,1.0
senate,046201,012,5304,1253,0.94210526
senate,046201,026,328,77,0.05789474
senate,046219,012,5974,1423,1.0
senate,046235,010,12042,2488,1.0
senate,046243,005,205,47,0.01105102
senate,046243,010,18399,4206,0.98894898
senate,046250,010,22976,4439,0.98930243
senate,046250,012,191,48,0.01069757
senate,046268,010,10853,2342,0.99744463
senate,046268,012,42,6,0.00255537
senate,046276,010,4293,1000,1.0
senate,046284,010,12191,2576,1.0
senate,046300,014,14712,3796,1.0
senate,046318,014,9289,2130,1.0
senate,046326,014,12665,2612,1.0
senate,046334,014,4956,1138,1.0
senate,046342,007,685,144,0.03552924
senate,046342,014,15764,3909,0.96447076
senate,046359,014,72462,15411,1.0
senate,046367,014,6335,1316,1.0
senate,046383,007,228,49,0.0244511
senate,046383,010,6915,1595,0.79590818
senate,046383,014,1656,360,0.17964072
senate,046391,007,3131,700,0.30276817
senate,046391,010,7023,1612,0.69723183
senate,046409,010,6642,1531,0.85150167
senate,046409,017,1178,267,0.14849833
senate,046425,033,15158,2362,1.0
senate,046433,033,5791,1310,1.0
senate,046441,030,50,12,0.01071429
senate,046441,033,5234,1108,0.98928571
senate,046458,033,7116,1469,1.0
senate,046474,019,8563,2029,0.96298054
senate,046474,031,358,78,0.03701946
senate,046482,019,13858,3244,0.93784331
senate,046482,020,881,215,0.06215669
senate,046508,013,12,3,0.00277008
senate,046508,022,17,10,0.00923361
senate,046508,026,5006,1070,0.98799631
senate,046516,026,5475,1044,1.0
senate,046524,026,6196,1381,1.0
senate,046557,018,3989,769,1.0
senate,046565,018,7584,1611,1.0
senate,046573,013,681,166,0.03254902
senate,046573,024,23022,4934,0.96745098
senate,046581,018,10560,2431,0.73178808
senate,046581,021,4058,871,0.26219145
senate,046581,032,136,20,0.00602047
senate,046599,018,10088,1604,1.0
senate,046607,018,24835,6092,1.0
senate,046623,012,3350,898,1.0
senate,046631,005,6050,1467,1.0
senate,046649,005,3352,832,0.98695136
senate,046649,012,16,11,0.01304864
senate,046672,012,3898,943,1.0
senate,046680,005,4130,1024,0.99707887
senate,046680,012,7,3,0.00292113
senate,046706,001,4006,878,1.0
senate,046714,001,6021,1485,1.0
senate,046722,001,6281,1293,1.0
senate,046748,019,23045,6078,1.0
senate,046755,019,16122,3522,0.90307692
senate,046755,026,1593,378,0.09692308
senate,046763,016,65,14,0.00045998
senate,046763,019,102938,30422,0.99954002
senate,046789,002,7196,1460,0.73774634
senate,046789,013,2053,519,0.26225366
senate,046797,002,256,16,1.0
senate,046805,002,6069,1158,0.77718121
senate,046805,026,1511,332,0.22281879
senate,046813,002,13878,2684,1.0
senate,046821,002,9626,1673,0.65892083
senate,046821,013,4846,866,0.34107917
senate,046847,020,8608,2169,1.0
senate,046854,017,77,11,0.00953206
senate,046854,020,5026,1143,0.99046794
senate,046862,020,12275,3081,1.0
senate,046870,020,10542,2650,1.0
senate,046888,020,7627,1718,1.0
senate,046896,003,738,261,0.01684414
senate,046896,020,55071,15234,0.98315586
senate,046904,020,4258,769,1.0
senate,046920,003,810,195,0.05406155
senate,046920,010,6,1,0.00027724
senate,046920,017,14673,3411,0.94566121
senate,046946,003,16891,4758,0.82446716
senate,046946,020,4541,1013,0.17553284
senate,046953,003,14878,3988,1.0
senate,046961,015,5920,1750,0.14405663
senate,046961,016,43877,10375,0.85405005
senate,046961,025,168,23,0.00189332
senate,046979,003,40676,9746,0.79416558
senate,046979,015,8510,2526,0.20583442
senate,046995,016,19509,5805,0.82751247
senate,046995,020,6,1,0.00014255
senate,046995,025,4383,1209,0.17234498
senate,047001,003,30898,7654,0.71127219
senate,047001,015,2465,638,0.05928817
senate,047001,020,9822,2469,0.22943964
senate,047019,003,3742,1167,0.0467286
senate,047019,016,58896,14288,0.572115
senate,047019,025,35667,9519,0.3811564
senate,047027,016,75849,18151,0.76647946
senate,047027,019,8131,2177,0.09193024
senate,047027,025,505,60,0.00253368
senate,047027,026,9675,3293,0.13905663
senate,047043,001,7350,1766,1.0
senate,047050,001,5790,1429,0.77917121
senate,047050,002,1977,405,0.22082879
senate,047068,001,2510,564,1.0
senate,047076,001,2067,497,1.0
senate,047084,001,8095,1978,1.0
senate,047092,001,6327,1318,0.69809322
senate,047092,002,2774,570,0.30190678
senate,047167,032,13255,3006,1.0
senate,047175,032,15624,5124,1.0
senate,047183,018,31,5,0.00113662
senate,047183,032,21520,4394,0.99886338
senate,047191,027,18156,3981,1.0
senate,047225,032,15882,2970,1.0
senate,047241,006,1759,437,0.0337556
