chamber,irn,district,population,population_under_18,share
house,044511,027,54,19,0.00697248
house,044511,029,10852,2706,0.99302752
house,044529,015,32198,6008,1.0
house,044537,052,35280,7579,0.99920897
house,044537,054,8,6,0.00079103
house,044545,014,28,3,0.00042955
house,044545,017,37402,6981,0.99957045
house,044552,031,11722,2440,0.84022039
house,044552,032,2307,464,0.15977961
house,044560,054,18856,4397,1.0
house,044578,026,19043,3531,1.0
house,044586,036,9547,2753,1.0
house,044594,052,21,1,0.00066357
house,044594,054,10917,1506,0.99933643
house,044602,042,22934,4569,1.0
house,044610,077,11040,2585,1.0
house,044628,057,16774,4410,1.0
house,044636,014,101981,18506,0.91718293
house,044636,019,11720,1671,0.08281707
house,044644,080,23760,5499,1.0
house,044651,089,13203,2226,1.0
house,044669,090,19720,4193,1.0
house,044677,027,7079,1706,0.17918286
house,044677,028,29060,5946,0.62451423
house,044677,029,2812,496,0.05209537
house,044677,045,3637,1112,0.11679445
house,044677,056,1113,261,0.02741309
house,044685,035,12,5,0.00126871
house,044685,072,20280,3936,0.99873129
house,044693,027,10751,2250,1.0
house,044701,016,22150,4453,1.0
house,044719,025,6157,1361,1.0
house,044727,078,767,170,0.05386565
house,044727,084,12642,2986,0.94613435
house,044735,079,16593,3337,1.0
house,044743,089,25060,5618,1.0
house,044750,018,29439,7053,0.91680749
house,044750,022,3749,640,0.08319251
house,044768,053,13474,2481,1.0
house,044776,076,13114,3042,1.0
house,044784,085,24714,5903,1.0
house,044792,021,34364,6369,0.98211257
house,044792,023,695,116,0.01788743
house,044800,001,29,3,8.214e-05
house,044800,006,50955,13195,0.36125941
house,044800,007,264,113,0.00309377
house,044800,010,85683,21100,0.57768652
house,044800,012,10346,2114,0.05787817
house,044818,074,54963,13206,1.0
house,044826,096,15494,3224,1.0
house,044834,031,139,23,0.00291841
house,044834,034,39532,7813,0.99137165
house,044834,072,234,45,0.00570994
house,044842,017,46491,9251,0.9868786
house,044842,054,507,123,0.0131214
house,044859,058,1239,174,0.07675342
house,044859,059,9927,2093,0.92324658
house,044867,027,20,9,0.00101845
house,044867,028,36396,8828,0.99898155
house,044875,041,196,21,0.00169069
house,044875,043,4448,863,0.06947911
house,044875,044,50198,11537,0.92883021
house,044883,034,18145,3621,0.97548491
house,044883,072,290,91,0.02451509
house,044891,088,22399,4418,1.0
house,044909,041,65029,13306,0.26967977
house,044909,042,91294,23511,0.47650993
house,044909,043,57800,12242,0.24811512
house,044909,044,1181,281,0.00569518
house,044917,096,5654,1132,1.0
house,044925,080,31289,7276,1.0
house,044933,006,450,47,0.00489278
house,044933,007,36295,9513,0.99031855
house,044933,008,141,46,0.00478867
house,044941,085,14625,3160,1.0
house,044958,038,507,112,0.02254882
house,044958,039,24003,4855,0.97745118
house,044966,082,14098,3220,1.0
house,044974,066,28694,6547,1.0
house,044982,078,6999,1497,0.33489933
house,044982,084,12278,2973,0.66510067
house,044990,064,34821,8255,1.0
house,045005,018,15427,3476,0.99942496
house,045005,021,6,2,0.00057504
house,045013,091,13879,3243,1.0
house,045021,093,8980,2167,1.0
house,045039,079,4393,953,1.0
house,045047,003,1020,411,0.01701229
house,045047,004,31003,6716,0.27799164
house,045047,009,44055,11443,0.47365371
house,045047,060,8125,1679,0.06949791
house,045047,061,15945,3910,0.16184445
house,045054,037,28208,5555,1.0
house,045062,016,34228,6180,1.0
house,045070,002,20127,5416,1.0
house,045088,023,12652,2385,1.0
house,045096,054,10674,2525,1.0
house,045104,023,66538,11600,0.99870857
house,045104,057,101,15,0.00129143
house,045112,071,20953,4504,1.0
house,045120,077,29921,5636,1.0
house,045138,008,61795,14961,0.9216411
house,045138,009,4925,1253,0.07718844
house,045138,011,119,19,0.00117046
house,045146,027,8675,2588,1.0
house,045153,055,21,6,0.00079491
house,045153,070,2881,513,0.06796502
house,045153,071,33647,7029,0.93124006
house,045161,058,60977,13333,0.98872822
house,045161,059,1094,152,0.01127178
house,045179,097,26018,6072,1.0
house,045187,083,7269,1266,1.0
house,045195,052,4498,826,0.15638016
house,045195,053,20882,4456,0.84361984
house,045203,095,6338,1392,0.76863611
house,045203,096,1501,419,0.23136389
house,045211,078,6281,1398,0.98659139
house,045211,083,157,19,0.01340861
house,045229,080,1706,425,0.54557125
house,045229,084,1434,353,0.45314506
house,045229,085,13,1,0.0012837
house,045237,095,20,6,0.00552995
house,045237,096,6010,1079,0.99447005
house,045245,079,11,0,0.0
house,045245,095,12335,2604,0.98449905
house,045245,096,106,41,0.01550095
