irn,district,enrolled_adm,base_cost_enrolled_adm,aggregate_base_cost,base_cost_per_pupil,capacity_per_pupil,state_share_percentage,valuation_per_pupil,local_capacity_percentage,benchmark_ratio,dpia_econ_disadvantaged_adm,dpia_directly_certified_adm,dpia_weighted_adm,dpia_percentage,dpia_aid,trans_reported_sped_cost,trans_special_education,trans_total,funding_base,foundation_calculated,foundation_phase_in,foundation_funding,temp_transitional_aid_guarantee,transportation,formula_transition_supplement,base_funding_supplement,enrollment_growth_supplement,total_formula_funding,performance_supplement,preschool_special_education,special_education_transportation,total_state_support
043596,Bellevue City,1636.1097,1695.37,13779788.44,8127.89,4728.84,0.4181969,233739.28,0.0211322295,1.46670942,749.953,589.886,709.9363,0.433917,176086.98,196351.05,89987.686215000009,770864.601280000061,8184552.3,8452410.67,223206.38,8407758.68,0,770864.6,0,44174.96,0,9222798.24,85077.7,170513.62,89987.69,9568377.25
043604,Belpre City,881.4993,892.35,7690621.04,8618.39,4980.81,0.4220718,290983.15,0.01864636785,1.46670942,530.4472,477.8206,517.2905,0.58683,234667.91,85869,39353.762699999999,262590.053542857117,3246063.04,5601377.03,1962683.14,5208746.18,0,262590.05,0,23800.48,0,5495136.72,0,111164.65,39353.76,5645655.13
043612,Berea City,4828.5229,4940.81,40302542.46,8157.07,7890.02,0.1000003,366781.76,0.022556006637,1.46670942,4784.4659,1781.0418,4033.6098,0.835371,3708064.13,2119808.25,971508.120974999969,2098997.100000000093,6570478.17,8567474.3,1664096.87,8234575.04,0,2098997.1,0,130370.12,0,10463942.26,251083.19,447512.64,971508.12,12134046.22
043620,Bexley City,2492.7435,2510.09,20327906.93,8098.48,8268.5,0.1000003,312667.47,0.025,1.46670942,337.2151,218.6961,307.5854,0.123392,6169.28,990311.7,453859.852110000036,258644,3909990.06,2494732.78,-1179333.89,2730656.17,1179333.89,258644,0,67304.07,0,4235938.13,162028.33,143026.32,453859.85,4994852.62
043638,Bowling Green City School District,2384.7736,2401.63,19430739.67,8090.65,6895.4,0.1477311,382887.72,0.0191702133,1.46670942,1029.2552,690.0783,944.461,0.396038,195142.69,242323.2,111056.722559999995,1144684.265416949056,6253122.82,3688193.53,-2137355.58,4115767.24,2137355.58,1144684.27,0,64388.89,0,7462195.97,155010.28,190684.69,111056.72,7918947.66
043646,Brecksville-Broadview Heights City,3411.7556,3437.53,27840713.62,8099.05,10827.33,0.1,407878.9,0.025,1.46670942,562.17,459.7956,536.5764,0.157273,17483.75,705247.2,323214.791759999993,1172170.899999999907,3278888.23,3252572.14,-21929.2,3256959.03,21929.2,1172170.9,0,92117.4,0,4543176.53,221764.12,262113.87,323214.79,5350269.31
043653,Brooklyn City,967.1467,980.57,8244079.29,8407.44,6736.78,0.1987122,397200.32,0.018849259575,1.46670942,677.4967,521.9513,638.6104,0.660304,366790.75,408246.3,187099.279289999977,94495.497000000003,553327.68,2355141.94,1501451.82,2054779.5,0,94495.5,0,26112.96,0,2175387.96,62864.54,157091.03,187099.28,2582442.81
043661,Brunswick City,5636.465,5784.58,46931600.68,8113.23,6609.53,0.1853394,282415.59,0.023160004141,1.46670942,1592.3705,1313.0036,1522.5288,0.270121,146344.62,1504039.95,689301.509084999911,2318878.410000000149,24044074.08,10885441.77,-10965088.3,13078985.78,10965088.3,2318878.41,0,152184.56,0,26515137.04,329733.21,505141.32,689301.51,28039313.07
043679,Bryan City,1693.9364,1717.96,13962672.73,8127.47,3854.67,0.5257231,195279.8,0.0192443301,1.46670942,1659.9999,678.8925,1414.7231,0.835169,1299914.32,150323.25,79028.404992074997,652103.448162711924,6853169.86,11979562.06,4271822.62,11124992.48,0,652103.45,0,45736.28,0,11822832.21,0,186220.85,79028.4,12088081.46
043687,Bucyrus City,952.0941,969.24,8249463.69,8511.27,3302.62,0.6119709,165745.59,0.017639779725,1.46670942,657.4115,567.8375,635.018,0.66697,372128.72,30375.45,18588.891474405002,347360.48000000004,9446612.52,9907264.33,383861.15,9830473.67,0,347360.48,0,25706.54,0,10203540.69,37131.67,221399.76,18588.89,10480661.01
043695,Cambridge City,1729.1271,1761.27,14311923.17,8125.91,3283.76,0.5958901,197490.39,0.0172322469,1.46670942,1711.509,1041.2947,1543.9555,0.89291,1621603.59,221631.9,132068.255054189998,758260.750171428546,11178393,14691043.97,2927092.05,14105485.05,0,758260.75,0,46686.43,0,14910432.23,0,231340.51,132068.26,15273841
043703,Campbell City,1009.4768,1049.03,8839599.16,8426.45,1552.81,0.8157219,91763.03,0.014886092025,1.46670942,1004.5617,690.9869,926.168,0.917473,1027001.14,82641.3,67412.318254469996,558899.779999999912,12663204.32,13685642.73,851997.93,13515202.25,0,558899.78,0,27255.87,0,14101357.9,39369.6,148547.15,67412.32,14356686.97
043711,Canton City,7025.5417,7230.29,59225942.61,8191.36,1656.99,0.7977157,117998.85,0.0139918815,1.46670942,7025.5274,5005.1203,6520.4256,0.928103,7398826.7,2305213.05,1838904.64182988531,5714377.44000000041,77619176.97,79445260.67,1521675.55,79140852.52,0,5714377.44,0,189689.63,0,85044919.58,273996.13,841788.81,1838904.64,87999609.16
043729,Celina City,2296.382,2339.29,19061377.84,8148.36,5400.75,0.3371979,259081.77,0.0216582615,1.46670942,1133.4546,877.604,1069.492,0.465729,305589.66,75822.6,34749.497580000003,1253141.681008219253,9509688.95,9909998.59,333578.03,9843266.98,0,1253141.68,0,62002.31,0,11158410.97,0,273560.55,34749.5,11466721.02
043737,Centerville City,7722.2059,7766.68,63134419.68,8128.88,9193.33,0.1000002,341076.14,0.025,1.46670942,1983.1929,1403.2917,1838.2176,0.238043,137215.22,2141323.8,981368.697540000081,3446977.399999999907,10547086.12,7664284.94,-2402238.22,8144847.9,2402238.22,3446977.4,0,208499.56,0,14202563.08,501943.38,503509.57,981368.7,16189384.73
043745,Chillicothe City,2400.2155,2477.18,20066222.73,8100.43,3941.92,0.5133691,216798.43,0.0185558535,1.46670942,2367.709,1520.2934,2155.8551,0.898192,2291144.6,343548.45,176367.158582895005,829839.300000000047,11452212.72,17421820.28,4974473.98,16426686.7,0,829839.3,0,64805.82,0,17321331.82,0,353157.76,176367.16,17850856.73
043752,Cincinnati Public Schools,32446.4019,32838.64,266140618.21,8104.5,5520.48,0.3188379,267046.54,0.019595236725,1.46670942,28656.5979,18790.4856,26190.0699,0.807179,22478686.2,18034352.7,8265143.84240999911,12305542.820000000298,113273067.51,130343768.38,14225015.04,127498082.55,0,12305542.82,0,876052.85,0,140679678.22,0,2746701.77,8265143.84,151691523.82
043760,Circleville City,1942.6509,1942.6509,15768786.58,8117.15,4013.69,0.5055285,212905.21,0.020161278675,1.46670942,1919.7208,1059.1823,1704.5862,0.877454,1728869.63,262392.9,132647.089147650026,882328.939999999944,10351605.85,13923694.83,2976621.74,13328227.59,0,882328.94,0,52451.58,0,14263008.11,0,334145.21,132647.09,14729800.41
043778,Claymont City,1435.4131,1498.29,12292911.64,8204.63,3334.29,0.5936077,175100.25,0.019237989825,1.46670942,1415.1878,797.8433,1260.8517,0.878389,1281540.5,95463.9,56668.10611203,650068.234900000039,14179959.19,12760485.09,-1182847.77,12997111.42,1182847.77,650068.23,653607.99,38756.15,0,15522391.56,0,242957.35,56668.11,15822017.02
043786,Cleveland Municipal,31580.9467,32491.79,263878233.97,8121.38,3124.69,0.6152512,203443.33,0.01565021565,1.46670942,31582.9582,22277.0615,29256.4841,0.926397,33075846.81,4753268.1,2924453.902446720283,17173564.14999999851,280787545.42,281812019.17,853693.98,281641239.4,0,17173564.15,4691305.33,852685.56,0,304358794.44,1642209.23,6851943.44,2924453.9,315777401.01
043794,Cleveland Heights-University Heights City,4675.8173,4675.8173,38241459.34,8178.56,7778.76,0.1000005,300802.08,0.022779825132,1.46670942,4665.8552,2561.1075,4139.6683,0.885336,4274411.68,2653081.2,1215907.113959999988,1900194.879999999888,7213654.15,9239013.99,1687732.36,8901386.51,0,1900194.88,0,126247.07,0,10927828.45,212749.69,504081.83,1215907.11,12860567.09
043802,Columbus City School District,43998.9123,43998.9123,357096638.85,8116.03,6640.92,0.1817526,362762.48,0.01905237,1.46670942,43998.3065,27477.7635,39868.1707,0.906117,43121059.72,18502109.85,8479516.94425499998,28905027.920000001788,114524187.89,127921562.95,11164032.64,125688220.53,0,28905027.92,0,1187970.63,0,155781219.08,0,5359584.75,8479516.94,169620320.77
043810,Conneaut Area City,1485.675,1485.675,12089595.84,8137.44,3152.74,0.6125634,182906.46,0.017824306275,1.46670942,1464.8166,907.4287,1325.4696,0.892167,1389813.91,282140.25,172828.79081685,860880.608522033901,9945968.23,13347501.9,2834498.01,12780466.24,0,860880.61,0,40113.22,0,13681460.07,77255.1,190336.51,172828.79,14121880.48
043828,Coshocton City,1416.0602,1457.28,11860441.79,8138.75,2541.31,0.6877528,136216.88,0.0177285447,1.46670942,1389.5865,888.6157,1264.3438,0.89286,1327781.05,77448,53265.078854400002,787574.050000000047,10230637.83,15129748.33,4082428.78,14313066.61,0,787574.05,0,38233.62,0,15138874.29,73635.13,413715.97,53265.08,15679490.46
043836,Cuyahoga Falls City,3741.5148,3843.36,31577192.51,8216.04,6419.57,0.218654,269988.95,0.022016164275,1.46670942,2315.3287,1656.7256,2150.678,0.574815,936108.37,619993.5,284143.021049999981,367545.099999999977,14975271.92,9456760.09,-4598575.91,10376696.01,4598575.91,367545.1,0,101020.9,0,15443837.92,0,308103.41,284143.02,16036084.35
043844,Dayton City,12167.4124,12167.4124,99214012.26,8154.08,2539.58,0.6885513,156096.92,0.015163537725,1.46670942,11831.2028,8281.3523,10943.7401,0.89943,11662591.64,5526605.7,3805351.539322409779,10661989.800000000745,106336110.85,119984400.86,11373120.06,117709230.91,0,10661989.8,0,328520.13,2737667.78,131437408.63,0,1882096.36,3805351.54,137124856.53
