edition,fund,ali,name,fiscal_year,kind,amount
2006,GRF,200437,Student Assessment,2006,appropriation,54445234
2006,GRF,200437,Student Assessment,2007,appropriation,60011935
2006,GRF,200438,Safe Schools,2002,actual,2047833
2006,GRF,200438,Safe Schools,2003,actual,1292483
2006,GRF,200438,Safe Schools,2004,actual,0
2006,GRF,200438,Safe Schools,2005,actual,0
2006,GRF,200438,Safe Schools,2006,appropriation,0
2006,GRF,200438,Safe Schools,2007,appropriation,0
2006,GRF,200439,Accountability/Report Cards,2002,actual,0
2006,GRF,200439,Accountability/Report Cards,2003,actual,0
2006,GRF,200439,Accountability/Report Cards,2004,actual,1913474
2006,GRF,200439,Accountability/Report Cards,2005,actual,2012954
2006,GRF,200439,Accountability/Report Cards,2006,appropriation,3878850
2006,GRF,200439,Accountability/Report Cards,2007,appropriation,7457290
2006,GRF,200441,American Sign Language,2002,actual,305781
2006,GRF,200441,American Sign Language,2003,actual,112768
2006,GRF,200441,American Sign Language,2004,actual,136943
2006,GRF,200441,American Sign Language,2005,actual,195254
2006,GRF,200441,American Sign Language,2006,appropriation,0
2006,GRF,200441,American Sign Language,2007,appropriation,0
2006,GRF,200442,Child Care Licensing,2002,actual,1455487
2006,GRF,200442,Child Care Licensing,2003,actual,1141777
2006,GRF,200442,Child Care Licensing,2004,actual,970074
2006,GRF,200442,Child Care Licensing,2005,actual,1538618
2006,GRF,200442,Child Care Licensing,2006,appropriation,1302495
2006,GRF,200442,Child Care Licensing,2007,appropriation,1302495
2006,GRF,200444,Professional Recruitment,2002,actual,1201899
2006,GRF,200444,Professional Recruitment,2003,actual,1036990
2006,GRF,200444,Professional Recruitment,2004,actual,124150
2006,GRF,200444,Professional Recruitment,2005,actual,0
2006,GRF,200444,Professional Recruitment,2006,appropriation,0
2006,GRF,200444,Professional Recruitment,2007,appropriation,0
2006,GRF,200445,OhioReads Volunteer Support,2002,actual,5070365
2006,GRF,200445,OhioReads Volunteer Support,2003,actual,4830977
2006,GRF,200445,OhioReads Volunteer Support,2004,actual,4350749
2006,GRF,200445,OhioReads Volunteer Support,2005,actual,3510566
2006,GRF,200445,OhioReads Volunteer Support,2006,appropriation,3905000
2006,GRF,200445,OhioReads Volunteer Support,2007,appropriation,3905000
2006,GRF,200446,Education Management Information System,2002,actual,14106466
2006,GRF,200446,Education Management Information System,2003,actual,14490683
2006,GRF,200446,Education Management Information System,2004,actual,14673921
2006,GRF,200446,Education Management Information System,2005,actual,15198026
2006,GRF,200446,Education Management Information System,2006,appropriation,15674805
2006,GRF,200446,Education Management Information System,2007,appropriation,15674805
2006,GRF,200447,GED Testing,2002,actual,2093048
2006,GRF,200447,GED Testing,2003,actual,1483570
2006,GRF,200447,GED Testing,2004,actual,1738152
2006,GRF,200447,GED Testing,2005,actual,1486406
2006,GRF,200447,GED Testing,2006,appropriation,1544360
2006,GRF,200447,GED Testing,2007,appropriation,1544360
2006,GRF,200448,Educator Preparation,2002,actual,0
2006,GRF,200448,Educator Preparation,2003,actual,0
2006,GRF,200448,Educator Preparation,2004,actual,9038
2006,GRF,200448,Educator Preparation,2005,actual,20915
2006,GRF,200448,Educator Preparation,2006,appropriation,1651000
2006,GRF,200448,Educator Preparation,2007,appropriation,1651000
2006,GRF,200449,Head Start/Head Start Plus Start Up,2002,actual,0
2006,GRF,200449,Head Start/Head Start Plus Start Up,2003,actual,0
2006,GRF,200449,Head Start/Head Start Plus Start Up,2004,actual,11000000
2006,GRF,200449,Head Start/Head Start Plus Start Up,2005,actual,4479487
2006,GRF,200449,Head Start/Head Start Plus Start Up,2006,appropriation,0
2006,GRF,200449,Head Start/Head Start Plus Start Up,2007,appropriation,0
2006,GRF,200452,Teaching Success Commission Initiatives,2002,actual,0
2006,GRF,200452,Teaching Success Commission Initiatives,2003,actual,0
2006,GRF,200452,Teaching Success Commission Initiatives,2004,actual,266157
2006,GRF,200452,Teaching Success Commission Initiatives,2005,actual,530687
2006,GRF,200452,Teaching Success Commission Initiatives,2006,appropriation,0
2006,GRF,200452,Teaching Success Commission Initiatives,2007,appropriation,0
2006,GRF,200455,Community Schools,2002,actual,3879159
2006,GRF,200455,Community Schools,2003,actual,3866793
2006,GRF,200455,Community Schools,2004,actual,4057754
2006,GRF,200455,Community Schools,2005,actual,3940532
