ranking_year,rank,lea_irn,lea_name,building_irn,building_name,building_org_type,performance_index
2024,405,050450,Mason City,121871,Mason Early Childhood Center Elementary School,Public School,100.56
2024,680,044115,Heath City,121954,Stevenson Elementary School,Public School,96.371
2024,492,047449,Liberty-Benton Local,122028,Liberty-Benton Middle School,Public School,99.149
2024,2076,046847,Amanda-Clearcreek Local,122069,Amanda-Clearcreek Middle School,Public School,78.094
2024,1008,043877,Delaware City,122093,Robert F Schultz Elementary School,Public School,92
2024,2178,043653,Brooklyn City,122143,Brooklyn School,Public School,75.892
2024,79,047027,Dublin City,122507,Mary Emma Bailey Elementary School,Public School,107.359
2024,95,044313,Mariemont City,122622,Mariemont Junior High School,Public School,106.715
2024,1717,047019,Hilliard City,122747,Hilliard Horizon Elementary School,Public School,83.836
2024,190,043711,Canton City,123026,Portage Collaborative Montessori School,Public School,104.497
2024,1687,049973,Woodridge Local,123034,Woodridge Elementary School,Public School,84.181
2024,156,046763,Olentangy Local,123141,Alum Creek Elementary School,Public School,105.336
2024,355,047274,Bellbrook-Sugarcreek Local,123216,Bell Creek Intermediate School,Public School,101.397
2024,1749,046896,Pickerington Local,123307,Tussing Elementary School,Public School,83.411
2024,417,050013,Green Local,123398,Green Intermediate Elementary School,Public School,100.315
2024,2270,045120,Wooster City,123463,Cornerstone Elementary School,Public School,73.63
2024,1471,047019,Hilliard City,123539,Hilliard Darby High School,Public School,86.626
2024,2319,049494,Adena Local,123547,Adena Middle School,Public School,72.344
2024,868,046110,Lakota Local,123810,Creekside Early Childhood School,Public School,93.857
2024,1602,046110,Lakota Local,123828,Lakota Ridge Junior School,Public School,85.243
2024,875,046110,Lakota Local,123836,Lakota East High School,Public School,93.784
2024,2002,046102,Fairfield City,124073,Crossroads Middle School,Public School,79.636
2024,1402,046102,Fairfield City,124081,Fairfield East Elementary School,Public School,87.611
2024,471,046037,Eastern Local School District,124214,Russellville Elementary School,Public School,99.526
2024,1544,046037,Eastern Local School District,124222,Eastern MS,Public School,85.769
2024,2230,045385,Gibsonburg Exempted Village,124727,Gibsonburg Middle School,Public School,74.769
2024,1885,046300,Batavia Local,124859,Batavia Middle School,Public School,81.374
2024,2283,046409,East Clinton Local,124867,East Clinton Junior High School,Public School,73.407
2024,485,050435,Kings Local,124875,Columbia Intermediate School,Public School,99.324
2024,766,045476,Marysville Exempted Village,125047,Mill Valley Elementary School,Public School,95.125
2024,537,045310,Coldwater Exempted Village,125187,Coldwater Middle School,Public School,98.313
2024,321,048207,Anthony Wayne Local,125229,Anthony Wayne Junior High School,Public School,101.896
2024,1211,046755,Buckeye Valley Local,125245,Buckeye Valley Local Middle School,Public School,89.715
2024,961,047019,Hilliard City,125344,Darby Creek Elementary School,Public School,92.615
2024,2112,046334,Felicity-Franklin Local,125351,Felicity-Franklin Local Middle School,Public School,77.184
2024,1333,044875,Sylvania Schools,125567,Sylvania Timberstone Junior High School,Public School,88.375
2024,1137,045559,New Richmond Exempted Village,125765,Locust Corner Elementary School,Public School,90.495
2024,1638,049650,Washington-Nile Local,125773,Portsmouth West Elementary School,Public School,84.775
2024,2225,049650,Washington-Nile Local,125781,Portsmouth West Middle School,Public School,74.819
2024,952,043729,Celina City,125823,Celina Intermediate Elementary School,Public School,92.724
2024,281,044842,Strongsville City,125955,Kinsner Elementary School,Public School,102.706
2024,226,050450,Mason City,126193,Mason Intermediate Elementary School,Public School,103.612
2024,328,048116,Avon Local,126359,Avon Middle School,Public School,101.75
2024,623,045211,Bluffton Exempted Village,127639,Bluffton Middle School,Public School,97.003
2024,130,046763,Olentangy Local,132225,Scioto Ridge Elementary School,Public School,105.83
2024,536,046763,Olentangy Local,132233,Arrowhead Elementary School,Public School,98.325
2024,2051,046011,Union Local,132258,Union Local Middle School,Public School,78.56
2024,1780,046011,Union Local,132266,Union Local Elementary School,Public School,83.056
2024,2728,043844,Dayton City,133603,Roosevelt Elementary School,Public School,53.188
2024,1709,049411,Clear Fork Valley Local,134692,Clear Fork Middle School,Public School,83.943
2024,1583,048512,Eastern Local,135046,Eastern Elementary School,Public School,85.437
2024,991,047373,Oak Hills Local,135269,Rapid Run Middle School,Public School,92.211
2024,319,047027,Dublin City,135301,Henry Karrer Middle School,Public School,101.96
2024,717,045047,Westerville City,135327,Genoa Middle School,Public School,95.804
2024,1486,044123,Hillsboro City,135517,Hillsboro Middle School,Public School,86.483
2024,432,047340,Forest Hills Local,135830,Nagel Middle School,Public School,100.091
2024,627,045641,Wauseon Exempted Village,135863,Wauseon Primary School,Public School,96.952
2024,780,050070,Twinsburg City,136101,Twinsburg High School,Public School,94.928
2024,917,044396,Miamisburg City,136598,Medlar View Elementary School,Public School,93.274
2024,1311,049221,Southeast Local,136788,Southeast Intermediate Elementary School,Public School,88.642
2024,1075,046946,Canal Winchester Local,136911,Indian Trail Elementary School,Public School,91.18
2024,2377,049502,Huntington Local,137265,Huntington Middle School,Public School,70.601
2024,1712,044164,Kent City,137273,Stanton Middle School,Public School,83.905
2024,755,047464,Van Buren Local,137455,Van Buren Middle School,Public School,95.286
2024,1809,044644,Piqua City,137463,Piqua Junior High School,Public School,82.546
2024,1370,048330,Lowellville Local,138040,Lowellville Elementary School,Public School,88.012
2024,1469,043877,Delaware City,138065,John C Dempsey Middle School,Public School,86.641
2024,2658,043802,Columbus City Schools District,138198,Eastmoor Academy,Public School,57.366
2024,1752,050039,Mogadore Local,138347,Mogadore Junior High School,Public School,83.393
2024,1527,046474,Ridgewood Local,138552,Ridgewood Middle School,Public School,85.986
2024,710,050427,Springboro Community City,138602,Springboro Intermediate School,Public School,95.906
2024,2421,044800,South-Western City,138727,Franklin Woods Intermediate School,Public School,68.767
2024,2291,044800,South-Western City,138735,Holt Crossing Intermediate School,Public School,73.156
2024,2414,044800,South-Western City,138743,Galloway Ridge Intermediate School,Public School,69.003
2024,1574,044800,South-Western City,138750,Park Street Intermediate School,Public School,85.494
2024,10,044586,Oakwood City,138826,Julian & Marjorie Lange School Elementary School,Public School,112.857
2024,1110,050443,Little Miami Local,138859,Little Miami Elementary School,Public School,90.779
