ranking_year,rank,lea_irn,lea_name,building_irn,building_name,building_org_type,performance_index
2023,1069,045187,Ada Exempted Village,000059,Ada Elementary School,Public School,91.243
2023,974,045187,Ada Exempted Village,000067,Ada High School,Public School,92.355
2023,2568,044743,Sandusky City,000083,Sandusky Middle School,Public School,63.352
2023,2073,048520,Meigs Local,000102,Meigs Primary School,Public School,78.416
2023,2404,048520,Meigs Local,000105,Meigs Intermediate School,Public School,69.615
2023,1363,048876,Tri-Valley Local,000117,Adamsville Elementary School,Public School,87.901
2023,1642,046953,Hamilton Local,000118,Hamilton Intermediate School,Public School,84.762
2023,1942,047761,Oak Hill Union Local,000119,Oak Hill Middle/High School,Public School,80.829
2023,831,047761,Oak Hill Union Local,000124,Oak Hill Elementary,Public School,94.054
2023,1573,046250,Northeastern Local,000137,Northridge Middle School,Public School,85.484
2023,1296,065680,Gallia County Local,000141,Addaville Elementary School,Public School,88.696
2023,950,047936,Fairland Local,000177,Fairland West Elementary School,Public School,92.617
2023,1278,047829,Centerburg Local,000187,Centerburg Middle School,Public School,88.926
2023,1627,047787,Buckeye Local,000190,Buckeye West Elementary School,Public School,84.979
2023,2216,049494,Adena Local,000208,Adena High School,Public School,75.337
2023,1079,049536,Union-Scioto Local,000231,Unioto Elementary,Public School,91.14
2023,837,044792,South Euclid-Lyndhurst City,000232,Adrian Elementary School,Public School,93.952
2023,2600,044909,Toledo City,000234,Ella P. Stewart Academy for Girls,Public School,61.593
2023,816,050336,North Union Local School District,000242,North Union Elementary School,Public School,94.291
2023,1535,045906,Alexander Local,000257,Alexander Elementary School,Public School,85.9
2023,263,044545,North Royalton City,000265,North Royalton Elementary School,Public School,103.121
2023,1487,044560,Norwalk City,000270,Main Street School,Public School,86.473
2023,1905,046177,Brown Local,000291,Malvern Middle School,Public School,81.433
2023,1604,045906,Alexander Local,000315,Alexander Jr. / Sr. High School,Public School,85.269
2023,705,050682,Elmwood Local,000345,Elmwood Elementary School,Public School,95.71
2023,2704,044263,Lorain City,000348,Palm Elementary School,Public School,55.594
2023,2178,047522,Upper Scioto Valley Local,000349,Upper Scioto Valley Middle School,Public School,76.3
2023,36,048496,Highland Local,000350,Granger Elementary School,Public School,109.927
2023,2612,044339,Marion City,000351,Ulysses S. Grant Middle School,Public School,60.557
2023,2725,044339,Marion City,000352,William McKinley Elementary School,Public School,54.453
2023,454,048942,Genoa Area Local,000356,Genoa Elementary,Public School,100.202
2023,2787,043489,Akron City,000363,Akron Alternative Academy,Public School,50.69
2023,1150,045757,Allen East Local,000364,Allen East High School,Public School,90.323
2023,1238,049189,Crestwood Local,000382,Crestwood Primary School,Public School,89.409
2023,2025,049189,Crestwood Local,000383,Crestwood Intermediate School,Public School,79.436
2023,233,044248,Logan-Hocking Local,000384,Chieftain Elementary School,Public School,103.593
2023,230,044248,Logan-Hocking Local,000385,Hocking Hills Elementary School,Public School,103.684
2023,194,044248,Logan-Hocking Local,000387,Central Elementary School,Public School,104.357
2023,2212,043810,Conneaut Area City,000388,Gateway Elementary School,Public School,75.401
2023,2194,043810,Conneaut Area City,000389,Lakeshore Primary Elementary School,Public School,75.885
2023,897,045831,Mapleton Local,000400,Mapleton Elementary School,Public School,93.229
2023,2783,043711,Canton City,000406,Stephanie Rushin Patrick Elementary School,Public School,50.962
2023,823,044156,Jackson City,000429,Jackson Westview Elementary School,Public School,94.167
2023,2898,043802,Columbus City Schools District,000435,Eastgate Elementary School,Public School,42.287
2023,1240,045757,Allen East Local,000448,Allen East Elementary School,Public School,89.373
2023,2014,000442,Manchester Local,000450,Manchester High School,Public School,79.754
2023,1513,000442,Manchester Local,000451,Manchester Elementary School,Public School,86.079
2023,506,050393,Vinton County Local,000455,West Elementary,Public School,98.93
2023,2357,043497,Alliance City,000463,Alliance High School,Public School,71.102
2023,2448,044222,Lima City,000470,Independence Elementary School,Public School,68.247
2023,1290,044578,Norwood City,000471,Sharpsburg Elementary,Public School,88.778
2023,2462,044222,Lima City,000472,Liberty Arts Magnet K-8,Public School,67.567
2023,2817,043950,Euclid City,000475,Bluestone Elementary School,Public School,49.249
2023,1041,044214,Lebanon City,000491,Bowman Primary School,Public School,91.576
2023,1227,044214,Lebanon City,000493,Lebanon Junior High,Public School,89.555
2023,1926,043802,Columbus City Schools District,000497,Alpine Elementary School,Public School,81.048
2023,2343,046078,Ripley-Union-Lewis-Huntington Local,000501,Ripley Union Lewis Huntington Middle School,Public School,71.477
2023,2350,044800,South-Western City,000505,Alton Hall Elementary School,Public School,71.289
2023,2929,043802,Columbus City Schools District,000513,Columbus Scioto 6-12,Public School,27.784
2023,1845,047613,Bright Local,000519,Whiteoak Junior High School,Public School,82.393
2023,940,045161,Youngstown City,000520,Youngstown Rayen Early College High School,Public School,92.772
2023,2051,046847,Amanda-Clearcreek Local,000539,Amanda-Clearcreek Elementary School,Public School,78.816
2023,2590,044404,Middletown City,000547,Amanda Elementary School,Public School,62.152
2023,1866,046847,Amanda-Clearcreek Local,000562,Amanda-Clearcreek High School,Public School,82.143
2023,1734,046359,West Clermont Local,000596,Amelia Elementary School,Public School,83.56
2023,1930,046359,West Clermont Local,000612,West Clermont Middle School,Public School,80.997
2023,2528,045914,Federal Hocking Local,000620,Amesville Elementary School,Public School,65.524
2023,1099,049858,Jackson Local,000638,Amherst Elementary School,Public School,90.805
2023,1358,043851,Deer Park Community City,000653,Amity Elementary School,Public School,87.945
2023,2804,044263,Lorain City,000676,Frank Jacinto Elementary,Public School,49.957
2023,692,047340,Forest Hills Local,000687,Anderson High School,Public School,95.91
2023,654,047415,Arcadia Local,000699,Arcadia Middle School,Public School,96.473
2023,209,048116,Avon Local,000701,Avon Heritage Elementary School,Public School,104.127
2023,1004,045880,Pymatuning Valley Local,000711,Pymatuning Valley Primary Elementary School,Public School,92.007
2023,2219,044354,Massillon City,000737,Massillon Junior High School,Public School,75.274
2023,136,049759,Anna Local,000745,Anna Elementary School,Public School,105.575
2023,332,049759,Anna Local,000752,Anna High School,Public School,102.029
2023,715,046623,Ansonia Local,000760,Ansonia Elementary School,Public School,95.541
2023,912,046623,Ansonia Local,000778,Ansonia High School,Public School,93.135
2023,1650,044008,Franklin City,000802,Anthony Wayne Elementary School,Public School,84.667
2023,738,048207,Anthony Wayne Local,000810,Anthony Wayne High School,Public School,95.19
2023,1877,045179,Zanesville City,000831,National Road,Public School,81.963
2023,429,048991,Antwerp Local,000836,Antwerp Local Elementary School,Public School,100.529
2023,2818,044263,Lorain City,000840,General Johnnie Wilson Middle School,Public School,49.134
2023,2676,044263,Lorain City,000841,Longfellow Middle School,Public School,56.847
2023,832,048991,Antwerp Local,000844,Antwerp Local High School,Public School,94.048
2023,1537,050583,Southeast Local,000851,Apple Creek Elementary School,Public School,85.837
2023,839,043711,Canton City,000859,Canton Arts Academy @ Summit,Public School,93.942
2023,920,045864,Grand Valley Local,000870,Grand Valley Elementary School,Public School,93
2023,596,043661,Brunswick City,000877,Applewood Elementary School,Public School,97.446
2023,2460,047001,Reynoldsburg City,000878,Slate Ridge Elementary School,Public School,67.736
2023,2289,047001,Reynoldsburg City,000879,Waggoner Road Middle School,Public School,73.59
2023,745,048264,Jonathan Alder Local,000883,Canaan Middle School,Public School,95.132
2023,2723,043844,Dayton City,000884,Charity Adams Earley Girls Academy,Public School,54.464
2023,482,047415,Arcadia Local,000885,Arcadia Elementary School,Public School,99.537
2023,404,046763,Olentangy Local,000892,Glen Oak Elementary School,Public School,100.902
2023,1190,047415,Arcadia Local,000893,Arcadia High School,Public School,90
2023,411,046631,Arcanum-Butler Local,000901,Arcanum Elementary School,Public School,100.777
2023,827,046631,Arcanum-Butler Local,000919,Arcanum High School,Public School,94.116
2023,143,047043,Archbold-Area Local,000927,Archbold Elementary School,Public School,105.327
2023,673,047043,Archbold-Area Local,000935,Archbold High School,Public School,96.106
2023,1377,045567,Newton Falls Exempted Village,000950,Newton Falls Elementary School,Public School,87.74
2023,2798,044909,Toledo City,000968,Arlington Elementary School,Public School,50.375
2023,377,047423,Arlington Local,000976,Arlington Local Elementary School,Public School,101.302
2023,845,047423,Arlington Local,000992,Arlington Local High School,Public School,93.872
2023,343,049981,Copley-Fairlawn City,001024,Arrowhead Primary Elementary School,Public School,101.883
2023,2494,046979,Groveport Madison Local,001073,Asbury Elementary School,Public School,66.812
2023,1157,043505,Ashland City,001081,Ashland High School,Public School,90.262
2023,1260,043505,Ashland City,001099,Ashland Middle School,Public School,89.05
2023,1164,046755,Buckeye Valley Local,001107,Buckeye Valley East Elementary School,Public School,90.187
2023,2538,043513,Ashtabula Area City,001123,Lakeside High School,Public School,64.929
2023,526,049098,Teays Valley Local,001131,Ashville Elementary School,Public School,98.629
2023,1374,043521,Athens City,001149,Athens High School,Public School,87.772
2023,1917,044016,Fremont City,001172,Atkinson Elementary School,Public School,81.218
2023,183,049684,Seneca East Local,001180,Seneca East Elementary,Public School,104.583
2023,766,049684,Seneca East Local,001198,Seneca East High School,Public School,94.846
2023,1285,049247,Waterloo Local,001206,Waterloo Elementary School,Public School,88.822
2023,84,047191,Kenston Local,001230,Timmons Elementary School,Public School,107.229
2023,307,045575,Paulding Exempted Village,001255,Oakwood Elementary School,Public School,102.362
2023,224,049171,Aurora City,001297,Aurora High School,Public School,103.872
2023,414,049171,Aurora City,001313,Craddock Elementary School,Public School,100.733
2023,355,044057,Geneva Area City,001321,Austinburg Elementary School,Public School,101.626
2023,1706,048298,Austintown Local Schools,001339,Austintown Middle School,Public School,83.924
2023,1360,047019,Hilliard City,001347,Avery Elementary School,Public School,87.93
2023,279,048116,Avon Local,001354,Avon East Elementary School,Public School,102.795
2023,217,048116,Avon Local,001362,Avon Early Learning Center,Public School,104
2023,478,048116,Avon Local,001370,Avon High School,Public School,99.589
2023,350,048124,Avon Lake City,001388,Avon Lake High School,Public School,101.771
2023,2718,043802,Columbus City Schools District,001396,Avondale Elementary School,Public School,54.777
2023,149,049932,Plain Local,001404,Avondale Elementary School,Public School,105.204
2023,317,046706,Ayersville Local,001412,Ayersville Elementary School,Public School,102.217
2023,511,046706,Ayersville Local,001420,Ayersville High School,Public School,98.791
2023,1368,046094,Edgewood City School District,001438,Edgewood Early Childhood Center,Public School,87.829
2023,1147,050179,Joseph Badger Local,001446,Badger High School,Public School,90.327
2023,2159,049510,Paint Valley Local,001453,Paint Valley Middle School,Public School,76.86
2023,894,050153,Mathews Local,001461,Baker Elementary School,Public School,93.259
2023,2633,043489,Akron City,001537,Barber Community Learning Center,Public School,59.308
2023,2016,043539,Barberton City,001545,Barberton High School,Public School,79.674
2023,1145,050500,Warren Local,001578,Warren Middle School,Public School,90.344
2023,862,045203,Barnesville Exempted Village,001594,Barnesville Elementary School,Public School,93.644
2023,2140,045203,Barnesville Exempted Village,001602,Barnesville High School,Public School,77.168
2023,1532,044768,Sheffield-Sheffield Lake City,001628,Brookside Intermediate School,Public School,85.925
2023,165,044933,Upper Arlington City,001644,Barrington Road Elementary School,Public School,104.884
2023,944,050245,LaBrae Local,001669,Bascom Elementary School,Public School,92.734
2023,220,045062,Westlake City,001677,Westlake Elementary School,Public School,103.967
2023,1198,044651,Port Clinton City,001685,Bataan Memorial Primary School,Public School,89.934
2023,1458,046300,Batavia Local,001693,Batavia Elementary School,Public School,86.773
2023,1551,046300,Batavia Local,001701,Batavia High School,Public School,85.702
2023,46,050054,Revere Local,001735,Bath Elementary School,Public School,109.058
2023,270,045765,Bath Local,001743,Bath Elementary School,Public School,102.944
2023,1012,045765,Bath Local,001750,Bath High School,Public School,91.849
2023,656,045765,Bath Local,001768,Bath Middle School,Public School,96.441
2023,2184,044396,Miamisburg City,001776,Bauer Elementary School,Public School,76.059
2023,188,043547,Bay Village City,001792,Bay High School,Public School,104.485
2023,97,043547,Bay Village City,001800,Bay Middle School,Public School,106.657
2023,241,050187,Lakeview Local,001818,Lakeview Elementary School,Public School,103.492
2023,243,043554,Beachwood City,001842,Beachwood High School,Public School,103.482
2023,1925,047019,Hilliard City,001859,Beacon Elementary School,Public School,81.058
2023,2129,048652,Switzerland of Ohio Local,001875,Beallsville Elementary School,Public School,77.431
2023,2392,048652,Switzerland of Ohio Local,001883,Beallsville High School,Public School,70
2023,2162,044396,Miamisburg City,001891,Bear Elementary School,Public School,76.814
2023,2862,043802,Columbus City Schools District,001917,Beatty Park Elementary School,Public School,45.116
2023,2560,043802,Columbus City Schools District,001925,Columbus Spanish Immersion K-7 School,Public School,63.641
2023,859,046425,Beaver Local,001933,Beaver Local Middle School,Public School,93.683
2023,1590,046425,Beaver Local,001958,Beaver Local High School,Public School,85.374
2023,679,047241,Beavercreek City,001966,Beavercreek High School,Public School,96.071
2023,1007,044180,Kettering City School District,001982,Beavertown Elementary School,Public School,91.969
2023,2524,043562,Bedford City,002022,Bedford High School,Public School,65.651
2023,2429,045070,Whitehall City,002048,Beechwood Elementary School,Public School,69.025
2023,2508,044081,Winton Woods City,002055,Early Childhood Center,Public School,66.244
2023,1956,043570,Bellaire Local,002139,Bellaire High School,Public School,80.574
2023,288,047274,Bellbrook-Sugarcreek Local,002147,Bellbrook Middle School,Public School,102.662
2023,453,047274,Bellbrook-Sugarcreek Local,002154,Bellbrook High School,Public School,100.213
2023,1683,048074,Benjamin Logan Local,002170,Benjamin Logan Elementary School,Public School,84.234
2023,2868,043844,Dayton City,002196,Belle Haven Elementary School,Public School,44.685
2023,1835,043588,Bellefontaine City,002220,Bellefontaine High School,Public School,82.485
2023,1395,043596,Bellevue City,002246,Bellevue High School,Public School,87.542
2023,1060,043596,Bellevue City,002253,Bellevue Middle School,Public School,91.368
2023,605,049411,Clear Fork Valley Local,002279,Bellville Elementary School,Public School,97.283
2023,2912,043844,Dayton City,002303,Belmont High School,Public School,40.521
2023,278,048389,West Branch Local,002311,West Branch Intermediate School,Public School,102.807
2023,2133,043604,Belpre City,002337,Belpre High School,Public School,77.347
2023,2355,043794,Cleveland Heights-University Heights City,002352,Gearity Professional Development School,Public School,71.163
2023,1719,047167,Berkshire Local,002436,Berkshire High School,Public School,83.708
2023,598,048397,Western Reserve Local,002444,Western Reserve Middle School,Public School,97.352
2023,993,047688,East Holmes Local,002451,Berlin Elementary School,Public School,92.114
2023,714,046789,Edison Local (formerly Berlin-Milan),002485,Edison Middle School (formerly Berlin-Milan Middle School),Public School,95.547
2023,1329,046854,Berne Union Local,002493,Berne Union Elementary School,Public School,88.295
2023,1578,046854,Berne Union Local,002501,Berne Union High School,Public School,85.452
2023,905,044214,Lebanon City,002519,Berry Intermediate School,Public School,93.164
2023,2464,043802,Columbus City Schools District,002527,Berwick Alternative K-8 School,Public School,67.527
2023,928,048611,Bethel Local,002543,Bethel Elementary School,Public School,92.926
2023,1416,046318,Bethel-Tate Local,002568,Bethel Tate High School,Public School,87.197
2023,1266,048611,Bethel Local,002576,Bethel High School,Public School,89.022
2023,923,046318,Bethel-Tate Local,002584,Bethel-Tate Middle School,Public School,92.979
2023,2037,043489,Akron City,002634,Betty Jane Community Learning Center,Public School,79.253
2023,1442,044909,Toledo City,002642,Beverly Elementary School,Public School,86.952
2023,797,050484,Fort Frye Local,002659,Beverly-Center Elementary School,Public School,94.539
2023,1284,048702,Mad River Local,002667,Beverly Gardens Elementary School,Public School,88.863
2023,276,043620,Bexley City,002675,Bexley High School,Public School,102.873
2023,1960,065680,Gallia County Local,002683,River Valley Middle School,Public School,80.522
2023,952,046748,Big Walnut Local,002709,Big Walnut High School,Public School,92.564
2023,2366,043802,Columbus City Schools District,002733,Binns Elementary School,Public School,70.868
2023,2836,044909,Toledo City,002758,Birmingham Elementary School,Public School,48.005
2023,320,050070,Twinsburg City,002766,Samuel Bissell Elementary School,Public School,102.152
2023,1128,048462,Black River Local,002782,Black River High School,Public School,90.513
2023,2851,048686,Jefferson Township Local,002824,Blairwood Elementary School,Public School,46.667
2023,1872,046383,Blanchester Local,002832,Blanchester Middle School,Public School,82.026
2023,1895,046383,Blanchester Local,002840,Blanchester High School,Public School,81.557
2023,703,046862,Bloom-Carroll Local,002857,Bloom Carroll Intermediate School,Public School,95.718
2023,1123,049593,Bloom-Vernon Local,002873,South Webster Jr/Sr High School,Public School,90.549
2023,688,046862,Bloom-Carroll Local,002907,Bloom Carroll Primary School,Public School,95.969
2023,1541,046094,Edgewood City School District,002923,Edgewood Intermediate School,Public School,85.82
2023,1754,050096,Bloomfield-Mespo Local,002956,Bloomfield High School,Public School,83.352
2023,1265,046920,Miami Trace Local,002964,Miami Trace Middle School,Public School,89.023
2023,2136,050195,Liberty Local,002980,E J Blott Elementary School,Public School,77.273
2023,108,044867,Sycamore Community City,002998,Blue Ash Elementary,Public School,106.318
2023,394,045211,Bluffton Exempted Village,003020,Bluffton Elementary School,Public School,101.058
2023,740,045211,Bluffton Exempted Village,003038,Bluffton High School,Public School,95.187
2023,1053,044982,Wapakoneta City,003046,Wapakoneta Middle School,Public School,91.411
2023,906,048306,Boardman Local,003053,Boardman Glenwood Junior High,Public School,93.162
2023,1355,048306,Boardman Local,003061,Boardman High School,Public School,87.962
2023,2046,043836,Cuyahoga Falls City,003103,Bolich Middle School,Public School,78.919
2023,913,050302,Tuscarawas Valley Local,003129,Tuscarawas Valley Elementary School,Public School,93.107
2023,2869,043752,Cincinnati Public Schools,003152,Bond Hill Academy,Public School,44.66
2023,1468,049973,Woodridge Local,003202,Woodridge Middle School,Public School,86.655
2023,240,049767,Botkins Local,003210,Botkins Elementary School,Public School,103.514
2023,489,049767,Botkins Local,003228,Botkins High School,Public School,99.286
2023,1312,044750,Shaker Heights City,003244,Boulevard Elementary School,Public School,88.506
2023,2191,043794,Cleveland Heights-University Heights City,003251,Boulevard Elementary School,Public School,75.921
2023,1201,047548,Conotton Valley Union Local,003277,Conotton Valley Elementary,Public School,89.882
2023,1653,043638,Bowling Green City School District,003285,Bowling Green High School,Public School,84.641
2023,1523,043638,Bowling Green City School District,003293,Bowling Green Middle School,Public School,85.989
2023,2535,044909,Toledo City,003301,Bowsher High School,Public School,65.033
2023,996,050245,LaBrae Local,003335,LaBrae Intermediate School,Public School,92.064
2023,1302,045229,Bradford Exempted Village,003368,Bradford Elementary School,Public School,88.6
2023,2154,045229,Bradford Exempted Village,003376,Bradford High School,Public School,76.918
2023,149,046581,Orange City,003400,Ballard Brady Middle School,Public School,105.204
2023,2013,046359,West Clermont Local,003434,Summerside Elementary,Public School,79.812
2023,1691,048702,Mad River Local,003442,Brantwood Elementary School,Public School,84.12
2023,77,043646,Brecksville-Broadview Heights City,003467,Brecksville-Broadview Heights High School,Public School,107.44
2023,78,043646,Brecksville-Broadview Heights City,003475,Brecksville-Broadview Heights Middle School,Public School,107.414
2023,844,045492,Mentor Exempted Village,003509,Ridge Elementary School,Public School,93.876
2023,2187,045237,Bridgeport Exempted Village,003558,The Bridgeport School District - High School,Public School,75.969
2023,738,047373,Oak Hills Local,003566,Bridgetown Middle School,Public School,95.19
2023,1062,047787,Buckeye Local,003590,Buckeye North Elementary School,Public School,91.338
2023,961,049197,Field Local,003616,Brimfield Elementary School,Public School,92.474
2023,2548,044297,Mansfield City,003624,Malabar Intermediate School,Public School,64.252
2023,774,050112,Bristol Local,003632,Bristol Elementary School,Public School,94.733
2023,1999,050112,Bristol Local,003640,Bristol High School,Public School,79.942
2023,701,047019,Hilliard City,003657,Britton Elementary School,Public School,95.753
2023,2678,043802,Columbus City Schools District,003665,Broadleigh Elementary School,Public School,56.702
2023,374,045617,Tipp City Exempted Village,003707,Broadway Elementary School,Public School,101.354
2023,1844,050120,Brookfield Local,003749,Brookfield High School,Public School,82.417
2023,2097,050120,Brookfield Local,003756,Brookfield Middle School,Public School,77.963
2023,2035,043653,Brooklyn City,003780,Brooklyn High School,Public School,79.263
2023,1727,043612,Berea City,003806,Brook Park Elementary School,Public School,83.639
2023,1039,045138,Worthington City,003822,Brookside Elementary School,Public School,91.61
2023,1774,044768,Sheffield-Sheffield Lake City,003830,Brookside High School,Public School,83.144
2023,498,048678,Brookville Local,003863,Brookville High School,Public School,99.093
2023,1015,047019,Hilliard City,003897,Brown Elementary School,Public School,91.824
2023,2381,044685,Ravenna City,003905,Brown Middle School,Public School,70.344
2023,700,043935,Eaton Community City,003954,William Bruce Elementary School,Public School,95.756
2023,1160,043661,Brunswick City,003970,Brunswick High School,Public School,90.243
2023,1056,048173,Midview Local,003988,Midview North Elementary School,Public School,91.395
2023,2406,044792,South Euclid-Lyndhurst City,003996,Brush High School,Public School,69.55
2023,804,043679,Bryan City,004002,Bryan Elementary,Public School,94.464
2023,1341,043679,Bryan City,004028,Bryan Middle School/High School,Public School,88.141
2023,125,043554,Beachwood City,004044,Bryden Elementary School,Public School,105.862
2023,2854,043489,Akron City,004077,Buchtel Community Learning Center,Public School,46.242
2023,667,046508,Buckeye Central Local,004085,Buckeye Central High School,Public School,96.231
2023,867,047894,Riverside Local,004101,Buckeye Elementary School,Public School,93.558
2023,1516,044735,Salem City,004119,Buckeye Elementary School,Public School,86.054
2023,658,048470,Buckeye Local,004127,Buckeye High School,Public School,96.434
2023,2883,043802,Columbus City Schools District,004135,Buckeye Middle School,Public School,43.463
2023,683,046755,Buckeye Valley Local,004143,Buckeye Valley Local High School,Public School,96.043
2023,1479,045401,Greenfield Exempted Village,004176,Buckskin Elementary School,Public School,86.537
2023,2236,043687,Bucyrus City,004184,Bucyrus Secondary School,Public School,74.805
2023,1161,045468,Loudonville-Perrysville Exempted Village,004192,Budd Elementary School,Public School,90.227
2023,27,044826,Steubenville City,004200,Pugliese Elementary West,Public School,110.839
2023,1970,047308,Rolling Hills Local,004218,Brook Intermediate School,Public School,80.367
2023,2531,043513,Ashtabula Area City,004242,Ontario Primary School,Public School,65.383
2023,2614,045161,Youngstown City,004267,Paul C Bunn Elementary School,Public School,60.376
2023,1907,047951,South Point Local,004317,Burlington Elementary School,Public School,81.429
2023,1402,045641,Wauseon Exempted Village,004333,Wauseon Middle School,Public School,87.442
2023,2887,043802,Columbus City Schools District,004341,Burroughs Elementary School,Public School,43.197
2023,2571,044909,Toledo City,004358,Burroughs Elementary School,Public School,63.192
2023,1542,047167,Berkshire Local,004366,Berkshire Middle School,Public School,85.806
2023,1178,049411,Clear Fork Valley Local,004390,Butler Elementary School,Public School,90.101
2023,646,046631,Arcanum-Butler Local,004408,Butler Middle School,Public School,96.585
2023,1072,044958,Vandalia-Butler City,004416,Butler High School,Public School,91.192
2023,2246,047308,Rolling Hills Local,004432,Byesville Elementary School,Public School,74.554
2023,1799,044750,Shaker Heights City,004457,Shaker Hts Middle School,Public School,82.862
2023,428,047373,Oak Hills Local,004473,C O Harrison Elementary School,Public School,100.534
2023,1875,043661,Brunswick City,004481,C R Towslee Elementary School,Public School,81.985
2023,2262,045245,Harrison Hills City,004507,Harrison Central Jr./Sr. High School,Public School,74.32
2023,1124,065680,Gallia County Local,004515,Southwestern Elementary School,Public School,90.539
2023,1275,046425,Beaver Local,004549,Beaver Local Elementary School,Public School,88.945
2023,2313,045252,Caldwell Exempted Village,004556,Caldwell High School,Public School,73.054
2023,2067,045252,Caldwell Exempted Village,004564,Caldwell Elementary School,Public School,78.51
2023,1440,048447,River Valley Local,004580,Liberty Elementary School,Public School,86.979
2023,2626,043901,East Cleveland City School District,004598,Caledonia Elementary School,Public School,59.833
2023,2365,043695,Cambridge City,004614,Cambridge Middle School,Public School,70.891
2023,2530,043695,Cambridge City,004622,Cambridge High School,Public School,65.414
2023,1791,049288,Preble Shawnee Local,004630,Preble Shawnee Elementary School,Public School,82.981
2023,362,048314,Canfield Local,004697,C H Campbell Elementary School,Public School,101.568
2023,1789,044149,Ironton City School District,004713,Ironton Middle School,Public School,82.994
2023,2167,049239,Streetsboro City,004739,Streetsboro Elementary School,Public School,76.585
2023,782,048264,Jonathan Alder Local,004747,Jonathan Alder Junior High,Public School,94.667
2023,186,049908,Northwest Local,004754,W. S. Stinson Elementary School,Public School,104.531
2023,1399,046946,Canal Winchester Local,004770,Canal Winchester High School,Public School,87.48
2023,142,048314,Canfield Local,004796,Canfield High School,Public School,105.419
2023,1984,043794,Cleveland Heights-University Heights City,004804,Canterbury Elementary School,Public School,80.197
2023,2093,049833,Canton Local,004812,Canton South High School,Public School,77.985
2023,1034,043927,East Palestine City,004838,East Palestine Elementary School,Public School,91.638
2023,1624,047175,Cardinal Local,004846,Cardinal Middle School,Public School,84.991
2023,2029,047175,Cardinal Local,004853,Cardinal High School,Public School,79.316
2023,2053,048793,Cardington-Lincoln Local,004861,Cardington-Lincoln High School,Public School,78.759
2023,1464,048793,Cardington-Lincoln Local,004879,Cardington-Lincoln Elementary School,Public School,86.726
2023,1482,045260,Carey Exempted Village Schools,004887,Carey High School,Public School,86.522
2023,1859,050419,Carlisle Local,004911,Carlisle High School,Public School,82.219
2023,580,050419,Carlisle Local,004929,Carlisle Primary Elementary School,Public School,97.734
2023,1625,050419,Carlisle Local,004937,Carlisle Intermediate Elementary School,Public School,84.981
2023,2764,043844,Dayton City,004952,Louise Troy Elementary School,Public School,52.275
2023,884,046862,Bloom-Carroll Local,004994,Bloom-Carroll High School,Public School,93.367
2023,1723,045278,Carrollton Exempted Village,005017,Carrollton High School-Carrollton Middle School,Public School,83.675
2023,2012,043752,Cincinnati Public Schools,005025,Dater Montessori School,Public School,79.818
2023,2526,043562,Bedford City,005041,Carylwood Intermediate School,Public School,65.526
2023,2233,043489,Akron City,005074,Case Community Learning Center,Public School,74.861
2023,398,043620,Bexley City,005082,Cassingham Elementary School,Public School,100.986
2023,2610,043711,Canton City,005124,Cedar Elementary School,Public School,60.675
2023,2177,044206,Lancaster City,005132,Gorsuch West Elementary School,Public School,76.301
2023,2109,044628,Painesville City Local,005157,Chestnut Elementary School,Public School,77.832
2023,172,047258,Cedar Cliff Local,005165,Cedarville Elementary School,Public School,104.726
2023,755,047258,Cedar Cliff Local,005173,Cedarville High School,Public School,94.962
2023,2422,043802,Columbus City Schools District,005181,Cedarwood Alternative Elementary School,Public School,69.147
2023,1486,043729,Celina City,005199,Celina Middle School,Public School,86.484
2023,2163,043729,Celina City,005207,Celina High School,Public School,76.778
2023,1733,045567,Newton Falls Exempted Village,005256,Newton Falls Middle School,Public School,83.561
2023,869,047902,Perry Local,005264,Perry Elementary School,Public School,93.543
2023,408,047829,Centerburg Local,005280,Centerburg Elementary School,Public School,100.859
2023,1246,047829,Centerburg Local,005298,Centerburg High School,Public School,89.272
2023,761,043737,Centerville City,005322,Centerville High School,Public School,94.931
2023,410,044875,Sylvania Schools,005330,Central Trail Elementary School,Public School,100.839
2023,2267,044255,London City,005348,London MIddle School,Public School,74.194
2023,347,050450,Mason City,005363,Mason Middle School,Public School,101.829
2023,1017,044487,New Philadelphia City,005371,Central Elementary School,Public School,91.802
2023,593,044438,Napoleon Area City,005397,Napoleon Elementary School,Public School,97.535
2023,2423,044404,Middletown City,005405,Central Academy Nongraded Elementary School,Public School,69.144
2023,1975,045096,Willard City,005439,Willard Elementary School,Public School,80.317
2023,1961,045021,Wellston City,005447,Wellston Middle School,Public School,80.515
2023,1702,046102,Fairfield City,005462,Fairfield Central Elementary School,Public School,84.03
2023,110,049437,Lexington Local,005496,Central Elementary School,Public School,106.269
2023,1112,044164,Kent City,005504,Davey Elementary School,Public School,90.644
2023,2428,043562,Bedford City,005561,Central Primary School,Public School,69.031
2023,2752,044222,Lima City,005660,Lima North Middle School,Public School,53.036
2023,1794,043984,Findlay City,005686,Glenwood Middle School,Public School,82.962
2023,652,044974,Wadsworth City,005710,Wadsworth Middle School,Public School,96.484
2023,2171,044693,Reading Community City,005728,Reading Elementary School,Public School,76.534
2023,1149,049544,Zane Trace Local,005736,Zane Trace Elementary School,Public School,90.324
2023,184,045286,Chagrin Falls Exempted Village,005751,Chagrin Falls High School,Public School,104.576
