fiscal_year,leaid,irn,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending,student_transportation,charter_payments,general_formula_assistance,state_nonspecified,capital_outlay
2012,3904952,049528,1,1161,12406000,1202000,7813000,3391000,1879000,10110000,904000,370000,7697000,116000,180000
2012,3904953,049536,1,2223,21279000,2177000,10374000,8728000,3606000,17110000,756000,270000,10223000,139000,279000
2012,3904954,049544,1,1534,14442000,1206000,7494000,5742000,4021000,13245000,994000,163000,7421000,36000,330000
2012,3904956,049569,1,1006,14599000,1789000,6147000,6663000,3448000,10614000,788000,243000,5770000,372000,4758000
2012,3904957,049577,1,1101,10746000,830000,4539000,5377000,4383000,10026000,534000,149000,4465000,72000,597000
2012,3904959,049593,1,895,10442000,1335000,6418000,2689000,1222000,8574000,747000,111000,6203000,205000,183000
2012,3904961,049619,1,613,7528000,1344000,3926000,2258000,1274000,6009000,460000,70000,3766000,43000,91000
2012,3904962,049627,1,1550,16061000,1600000,10042000,4419000,1868000,12786000,1062000,408000,9762000,272000,311000
2012,3904963,049635,1,1667,18277000,2896000,12934000,2447000,1870000,17013000,1818000,176000,12887000,33000,192000
2012,3904964,049643,1,1056,11764000,925000,7650000,3189000,1472000,10407000,800000,177000,7418000,225000,325000
2012,3904965,049650,1,1540,16815000,2274000,10965000,3576000,1561000,14329000,839000,121000,10464000,409000,3015000
2012,3904966,049668,1,1531,15153000,1770000,7061000,6322000,3457000,12752000,468000,358000,6887000,169000,1797000
2012,3904968,049684,1,968,10177000,510000,4281000,5386000,3008000,8752000,595000,71000,4200000,81000,164000
2012,3904969,049692,1,165,3064000,470000,1640000,954000,444000,2448000,114000,61000,1630000,4000,107000
2012,3904970,049700,1,899,18811000,1206000,11403000,6202000,2971000,6828000,282000,186000,2681000,8722000,6963000
2012,3904971,049718,1,382,4408000,281000,2269000,1858000,803000,3691000,162000,68000,1954000,314000,176000
2012,3904976,049767,1,567,7051000,428000,3159000,3464000,1182000,4981000,158000,8000,2431000,723000,612000
2012,3904977,049775,1,641,6541000,623000,2474000,3444000,1403000,5190000,372000,0,2447000,14000,406000
2012,3904978,049783,1,817,8887000,478000,3736000,4673000,2431000,7113000,253000,19000,3720000,15000,118000
2012,3904979,049791,1,889,10036000,736000,4659000,4641000,2320000,7158000,446000,82000,4324000,332000,5264000
2012,3904981,049817,1,460,5289000,442000,2429000,2418000,1392000,4099000,166000,26000,2326000,102000,2501000
2012,3904983,049833,1,2232,26770000,2441000,12325000,12004000,7900000,23950000,959000,302000,11930000,380000,1253000
2012,3904984,049841,1,1566,18436000,1727000,9111000,7598000,6073000,15236000,1071000,202000,8967000,135000,141000
2012,3904985,049858,1,5824,64064000,2357000,13699000,48008000,44151000,49466000,2963000,536000,13647000,43000,3454000
2012,3904986,049866,1,3547,34510000,1936000,16333000,16241000,14399000,30626000,1954000,403000,15656000,633000,507000
2012,3904987,049874,1,3073,30634000,2549000,17467000,10618000,8031000,26920000,1256000,468000,15513000,1943000,21059000
2012,3904988,049882,1,2403,24862000,2151000,11466000,11245000,8390000,22323000,1299000,330000,11249000,206000,991000
2012,3904989,049890,1,1845,20316000,2275000,10136000,7905000,5922000,16524000,941000,242000,10028000,89000,1014000
2012,3904990,049908,1,1989,30785000,985000,19437000,10363000,7928000,17658000,974000,335000,9882000,9550000,16636000
2012,3904991,049916,1,891,9617000,806000,4535000,4276000,2785000,7890000,503000,131000,4202000,329000,2092000
2012,3904992,049924,1,4898,46124000,3691000,19581000,22852000,18352000,43335000,2101000,344000,19561000,14000,7237000
2012,3904993,049932,1,6017,64424000,6232000,20914000,37278000,31031000,51742000,2944000,1409000,20080000,806000,1328000
2012,3904994,049940,1,1483,16967000,1679000,8771000,6517000,4300000,13178000,900000,113000,8366000,396000,513000
2012,3904995,049957,1,1353,16072000,1048000,6794000,8230000,5639000,11783000,768000,151000,6439000,57000,4976000
2012,3904997,049973,1,2050,24582000,1467000,5551000,17564000,15872000,22437000,1667000,0,5369000,173000,309000
2012,3904998,049981,1,3298,39072000,1179000,7544000,30349000,28483000,31798000,1405000,313000,6970000,568000,1115000
2012,3904999,049999,1,2250,24501000,1920000,5159000,17422000,10985000,20453000,1227000,266000,4899000,260000,1497000
2012,3905000,050005,1,1432,13895000,942000,6333000,6620000,5980000,12959000,836000,506000,6308000,22000,368000
2012,3905001,050013,1,4136,41914000,1754000,13968000,26192000,23125000,37428000,1939000,445000,13548000,420000,2037000
2012,3905002,050021,1,4685,70696000,2364000,20821000,47511000,41270000,60667000,3330000,294000,18696000,2123000,1569000
2012,3905003,050039,1,870,10576000,608000,4391000,5577000,3411000,9163000,361000,115000,4330000,58000,95000
2012,3905004,050047,1,3882,46898000,2196000,12108000,32594000,29632000,40453000,2288000,0,11301000,765000,692000
2012,3905005,050054,1,2687,40649000,1268000,6877000,32504000,27093000,34429000,2179000,191000,6504000,371000,983000
2012,3905006,050062,1,2309,36095000,2901000,11961000,21233000,12985000,22633000,1301000,834000,11935000,0,10994000
2012,3905007,050070,1,4359,46764000,1824000,14732000,30208000,27373000,42868000,2731000,0,14685000,11000,860000
2012,3905009,050096,1,277,4089000,940000,1591000,1558000,1249000,3552000,242000,68000,1583000,8000,86000
2012,3905011,050112,1,696,7747000,793000,3858000,3096000,2477000,6211000,474000,202000,3824000,31000,264000
2012,3905012,050120,1,1149,12204000,1339000,6558000,4307000,3474000,10432000,449000,0,6296000,261000,4710000
2012,3905013,050138,1,1485,14452000,997000,7390000,6065000,4696000,13543000,673000,0,7355000,31000,1040000
2012,3905015,050153,1,809,9352000,582000,3515000,5255000,4347000,8557000,482000,238000,3465000,47000,301000
2012,3905016,050161,1,2979,31344000,1788000,10760000,18796000,16317000,27734000,1769000,740000,10416000,335000,1042000
2012,3905017,050179,1,904,9570000,876000,4634000,4060000,3401000,7579000,589000,183000,4599000,31000,195000
2012,3905018,050187,1,1794,18621000,1312000,8020000,9289000,7908000,15538000,869000,322000,8001000,14000,85000
2012,3905019,050195,1,1333,18646000,1619000,6836000,10191000,8506000,17164000,901000,276000,6512000,195000,79000
2012,3905020,050203,1,503,7034000,291000,2467000,4276000,3451000,6176000,234000,144000,2458000,7000,18000
2012,3905021,050211,1,828,9827000,655000,5722000,3450000,2629000,8679000,439000,150000,5625000,76000,151000
2012,3905022,050229,1,854,7282000,332000,3839000,3111000,1733000,5315000,110000,31000,3795000,44000,43000
2012,3905023,050237,1,571,6397000,538000,3239000,2620000,1882000,4790000,284000,216000,3060000,177000,3485000
2012,3905024,050245,1,1479,15801000,1336000,8534000,5931000,3148000,13037000,555000,612000,8435000,52000,294000
2012,3905025,050252,1,938,9687000,919000,4365000,4403000,2360000,8587000,300000,173000,4341000,24000,222000
2012,3905027,050278,1,1167,12423000,1385000,4402000,6636000,5351000,11511000,785000,173000,4388000,10000,116000
2012,3905028,050286,1,1810,19207000,2365000,9423000,7419000,4879000,15235000,1036000,308000,9310000,98000,669000
2012,3905029,050294,1,618,6684000,311000,2883000,3490000,2890000,5537000,175000,57000,2874000,9000,746000
2012,3905030,050302,1,1459,14021000,861000,6556000,6604000,5558000,12103000,944000,276000,6163000,393000,187000
2012,3905032,050328,1,979,12696000,600000,3211000,8885000,6134000,9710000,636000,220000,3032000,177000,708000
2012,3905033,050336,1,1494,17448000,1219000,7960000,8269000,4924000,15574000,957000,0,7774000,180000,1192000
2012,3905035,050351,1,849,10736000,645000,4825000,5266000,2507000,8864000,354000,65000,4711000,65000,586000
2012,3905039,050393,1,2320,26321000,4006000,17533000,4782000,3604000,24499000,2175000,276000,17165000,320000,365000
2012,3905041,050419,1,1662,16810000,1352000,8203000,7255000,4242000,16240000,835000,434000,8143000,54000,236000
2012,3905042,050427,1,5661,54125000,1783000,14679000,37663000,33089000,43227000,2932000,0,14409000,236000,1586000
2012,3905043,050435,1,3968,46352000,1683000,14087000,30582000,27793000,39702000,3095000,755000,13571000,509000,1226000
2012,3905044,050443,1,3647,43320000,1312000,13460000,28548000,25947000,29064000,2769000,965000,13375000,66000,727000
2012,3905045,050450,1,10931,121335000,3729000,44650000,72956000,61413000,109470000,6383000,631000,43829000,815000,1968000
2012,3905046,050468,1,1461,15716000,487000,5057000,10172000,8489000,12660000,676000,0,5005000,41000,266000
2012,3905048,050484,1,959,11126000,1124000,4671000,5331000,4211000,10186000,717000,195000,4508000,134000,360000
2012,3905049,050492,1,715,8690000,1314000,5607000,1769000,1421000,8095000,624000,71000,5464000,136000,204000
2012,3905051,050518,1,567,8394000,640000,2117000,5637000,4801000,6702000,390000,24000,2098000,7000,277000
2012,3905053,050534,1,1425,12964000,820000,5224000,6920000,4468000,12162000,624000,0,5027000,89000,45000
2012,3905054,050542,1,868,10529000,885000,3790000,5854000,3214000,7993000,445000,155000,3588000,200000,1685000
2012,3905055,050559,1,1128,21640000,870000,14980000,5790000,4453000,10849000,608000,118000,5780000,9196000,2109000
2012,3905056,050567,1,1388,14608000,1137000,7753000,5718000,3818000,11360000,831000,139000,6397000,1356000,2606000
2012,3905058,050583,1,1506,18324000,2435000,6056000,9833000,7993000,16908000,1195000,485000,5913000,131000,470000
2012,3905059,050591,1,1768,18311000,1447000,8657000,8207000,6512000,17710000,1012000,0,8436000,214000,466000
2012,3905061,050617,1,591,7429000,215000,3176000,4038000,2071000,5761000,237000,92000,3071000,103000,2088000
2012,3905062,050625,1,610,6705000,708000,3443000,2554000,1621000,5629000,337000,22000,3386000,57000,60000
2012,3905063,050633,1,595,7455000,646000,3322000,3487000,2017000,5794000,316000,68000,3278000,35000,429000
2012,3905064,050641,1,595,7686000,467000,3994000,3225000,2701000,6917000,331000,64000,3967000,19000,206000
2012,3905065,050658,1,424,5847000,495000,2458000,2894000,1618000,3880000,147000,49000,2435000,21000,337000
2012,3905067,050674,1,1512,17080000,1092000,7015000,8973000,5158000,15214000,993000,0,6983000,28000,237000
2012,3905068,050682,1,1307,13465000,737000,7185000,5543000,2586000,11931000,755000,62000,6960000,219000,1738000
2012,3905069,050690,1,1581,25788000,1006000,6272000,18510000,7263000,14180000,813000,0,6109000,135000,20834000
2012,3905070,050708,1,653,11407000,778000,5394000,5235000,2954000,7233000,279000,106000,4327000,1064000,12146000
2012,3905071,050716,1,930,11563000,851000,3675000,7037000,5555000,9596000,421000,116000,3646000,24000,329000
2012,3905072,050724,1,1546,27967000,1128000,17948000,8891000,5244000,12488000,899000,283000,5983000,11960000,12193000
2012,3905074,050740,1,958,10673000,692000,4619000,5362000,2642000,8798000,523000,207000,4570000,46000,182000
2012,3906190,061903,1,3990,46071000,6329000,28109000,11633000,8522000,35144000,2120000,473000,26893000,1141000,1824000
2012,3906496,064964,1,95,1300000,74000,647000,579000,240000,336000,0,19000,646000,1000,1000
2012,3906568,065680,1,2214,33106000,5778000,11826000,15502000,12359000,23080000,2128000,252000,11742000,61000,5394000
2012,3906968,069682,1,1085,13746000,1620000,6695000,5431000,2950000,10510000,955000,102000,6584000,105000,477000
2012,3910000,043984,1,5875,70522000,6487000,29677000,34358000,29088000,54211000,2052000,1646000,26945000,2705000,37360000
2012,3910001,047464,1,1035,12490000,489000,3582000,8419000,6941000,10004000,516000,92000,3574000,8000,443000
2012,3910002,047415,1,603,6665000,451000,2123000,4091000,2107000,5552000,311000,46000,2100000,21000,143000
2012,3910003,044784,1,3505,39701000,4071000,19491000,16139000,14266000,29341000,949000,425000,19005000,462000,604000
2012,3910004,049759,1,1231,12178000,627000,5661000,5890000,2808000,10656000,514000,68000,5605000,54000,334000
2012,3910005,049809,1,565,5849000,446000,2333000,3070000,1524000,5055000,188000,53000,2325000,5000,38000
2012,3910006,044735,1,2113,22407000,2046000,9648000,10713000,8852000,19078000,763000,325000,9472000,107000,1125000
2012,3910007,045443,1,749,8787000,867000,4930000,2990000,2023000,7120000,316000,125000,4871000,55000,598000
2012,3910008,045344,1,717,11531000,849000,5551000,5131000,2691000,7055000,276000,279000,4556000,995000,10262000
2012,3910009,044776,1,1911,21998000,2367000,9564000,10067000,5904000,19607000,910000,276000,9356000,197000,5650000
2012,3910010,046920,1,2451,30251000,2415000,11501000,16335000,13065000,23126000,1979000,340000,11151000,319000,1748000
2012,3910011,045013,1,2332,23277000,2468000,13157000,7652000,5617000,18830000,594000,291000,12366000,374000,1337000
2012,3910012,044420,1,3892,36472000,3335000,16392000,16745000,13623000,34429000,1203000,881000,15476000,247000,510000
2012,3910013,047845,1,1100,13489000,1664000,4868000,6957000,5907000,9961000,749000,344000,4830000,32000,320000
2012,3910014,047894,1,4879,46428000,2051000,13112000,31265000,24958000,38767000,3469000,1240000,12912000,188000,1908000
2012,3910015,044628,1,3189,38916000,4681000,21834000,12401000,8106000,30673000,1236000,957000,21399000,408000,1186000
2012,3910016,046581,1,2235,54894000,1082000,9135000,44677000,41143000,44860000,3342000,30000,8440000,692000,3649000
2012,3910017,043562,1,3531,53445000,4756000,16302000,32387000,29488000,43204000,3483000,1017000,15757000,417000,1925000
2012,3910018,050500,1,2256,22817000,2072000,12710000,8035000,5795000,18726000,1430000,528000,12565000,62000,800000
2012,3910019,044321,1,2786,27289000,3294000,10481000,13514000,11649000,24090000,1131000,481000,10299000,63000,1555000
2012,3910020,045302,1,2270,24005000,1773000,11556000,10676000,6620000,19433000,878000,236000,11271000,250000,717000
2012,3910021,049726,1,470,5349000,436000,2044000,2869000,1157000,4395000,238000,64000,2038000,5000,129000
2012,3910022,050369,1,857,10776000,656000,4446000,5674000,3147000,7906000,382000,90000,4384000,59000,244000
2012,3910023,044966,1,2077,39437000,2282000,25462000,11693000,6864000,19890000,386000,543000,11135000,14311000,17149000
2012,3910024,045625,1,1712,16837000,1400000,6798000,8639000,4214000,15206000,849000,0,6673000,118000,406000
2012,3910025,044172,1,1870,20773000,2284000,9735000,8754000,4134000,17286000,703000,0,9635000,81000,720000
2012,3910026,049601,1,643,7251000,730000,4085000,2436000,1242000,5594000,241000,70000,3500000,585000,8694000
2012,3910027,044669,1,1985,30992000,4577000,19406000,7009000,5332000,22225000,538000,2820000,18773000,429000,645000
2012,3910028,045591,1,1057,11401000,1007000,5983000,4411000,3143000,9523000,271000,361000,5714000,264000,3249000
2012,3910029,044974,1,4888,52988000,3976000,21114000,27898000,22162000,37689000,1608000,534000,18664000,2426000,62247000
2012,3910030,043729,1,2770,33219000,3541000,12358000,17320000,11949000,30263000,1339000,395000,11728000,496000,497000
2012,3910031,048553,1,880,8946000,612000,4573000,3761000,2770000,8074000,269000,0,4477000,92000,288000
2012,3910032,045120,1,3682,51051000,3552000,17014000,30485000,27998000,39238000,1548000,558000,16561000,385000,1166000
2012,3910033,050575,1,1357,14996000,930000,7320000,6746000,3339000,13030000,879000,130000,7169000,123000,351000
2013,3900017,134072,0,321,3192000,476000,2512000,204000,,3656000,0,0,2504000,2000,4000
2013,3900019,134098,0,332,2778000,131000,2261000,386000,,2802000,1000,0,2251000,3000,24000
2013,3900022,134122,0,103,3639000,252000,3263000,124000,,3576000,376000,0,3261000,0,239000
2013,3900023,134148,0,139,2828000,298000,2454000,76000,,3470000,116000,0,2446000,0,10000
2013,3900025,134197,0,478,4289000,838000,3451000,0,,4142000,0,0,3435000,0,0
2013,3900027,134213,0,380,3459000,750000,2702000,7000,,3257000,0,0,2688000,0,0
2013,3900028,134221,0,287,2678000,561000,2112000,5000,,2538000,0,0,2108000,0,0
2013,3900029,134247,0,132,1196000,161000,1019000,16000,,1381000,0,0,1014000,2000,10000
2013,3900031,133512,0,909,7163000,664000,6271000,228000,,6744000,0,0,0,6271000,0
2013,3900032,133520,0,410,4261000,410000,3088000,763000,,4730000,6000,0,3079000,0,127000
2013,3900033,133538,0,273,2271000,267000,1886000,118000,,2362000,7000,0,1882000,0,0
2013,3900036,133561,0,723,5367000,690000,4548000,129000,,5581000,13000,0,4527000,0,10000
2013,3900038,133587,0,111,2176000,162000,2010000,4000,,2280000,0,0,1976000,32000,0
2013,3900040,133629,0,490,4257000,770000,3266000,221000,,4185000,60000,0,3256000,0,0
2013,3900042,133660,0,428,3427000,699000,2696000,32000,,3423000,22000,0,2691000,1000,63000
2013,3900043,133678,0,291,2448000,290000,2158000,0,,2693000,26000,0,2152000,0,0
2013,3900047,133736,0,102,883000,92000,737000,54000,,949000,0,0,684000,0,0
2013,3900050,133801,0,217,1809000,166000,1643000,0,,2039000,6000,0,1638000,0,0
2013,3900051,133819,0,218,2112000,409000,1702000,1000,,2026000,0,0,1694000,0,0
2013,3900052,133835,0,84,871000,167000,704000,0,,1135000,1000,0,702000,0,0
2013,3900053,133868,0,159,1545000,177000,1366000,2000,,1465000,15000,0,1362000,0,0
2013,3900056,133942,0,579,5257000,209000,4111000,937000,,4710000,3000,0,4078000,19000,205000
2013,3900057,133959,0,316,2807000,434000,2357000,16000,,2635000,38000,0,2346000,0,70000
2013,3900065,133215,0,224,2419000,165000,1573000,681000,,2370000,12000,0,1557000,11000,81000
2013,3900068,133256,0,1033,7389000,397000,6585000,407000,,7414000,9000,0,6558000,2000,133000
2013,3900071,133306,0,98,1793000,125000,1665000,3000,,1901000,0,0,1642000,21000,0
2013,3900072,133330,0,455,3490000,390000,3056000,44000,,3709000,0,0,3056000,0,1000
2013,3900073,133348,0,225,1450000,83000,1348000,19000,,1664000,0,0,1220000,0,0
2013,3900075,133363,0,119,876000,115000,757000,4000,,1021000,0,0,753000,0,1000
2013,3900077,133389,0,53,1041000,45000,774000,222000,,1088000,16000,0,771000,2000,22000
2013,3900079,133413,0,12202,93972000,4076000,88784000,1112000,,99794000,0,0,88418000,5000,1126000
2013,3900080,133421,0,260,5670000,417000,1799000,3454000,,5819000,110000,0,1794000,0,23000
2013,3900081,133439,0,504,3388000,377000,2935000,76000,,3432000,0,0,2935000,0,106000
2013,3900083,133454,0,415,3654000,658000,2896000,100000,,3435000,54000,0,2880000,0,130000
2013,3900084,133488,0,220,1853000,157000,1652000,44000,,2058000,13000,0,1647000,0,0
2013,3900086,133785,0,121,939000,119000,820000,0,,1148000,31000,0,818000,0,0
2013,3900089,134288,0,72,699000,134000,565000,0,,915000,1000,0,565000,0,29000
2013,3900094,139303,1,2410,24882000,645000,7103000,17134000,13349000,17952000,1602000,0,7003000,41000,110000
2013,3900096,132746,0,103,1631000,87000,1529000,15000,,1654000,0,0,1514000,13000,0
2013,3900097,132761,0,143,2182000,115000,2048000,19000,,2239000,0,0,2030000,15000,0
2013,3900098,132779,0,63,1064000,80000,973000,11000,,1164000,0,0,964000,8000,0
2013,3900099,132787,0,244,2194000,318000,1851000,25000,,2443000,0,0,1770000,81000,33000
2013,3900100,132795,0,143,1275000,168000,1107000,0,,1272000,2000,0,1103000,0,0
2013,3900101,132803,0,201,1649000,128000,1521000,0,,1622000,0,0,1516000,0,0
2013,3900102,132951,0,209,1790000,149000,1514000,127000,,1722000,0,0,1506000,2000,100000
2013,3900103,132969,0,461,3521000,209000,3166000,146000,,3084000,0,0,3152000,2000,130000
2013,3900104,132985,0,252,2567000,364000,2049000,154000,,2458000,4000,0,2048000,0,505000
2013,3900105,132993,0,329,2982000,135000,2481000,366000,,2888000,0,0,2470000,2000,24000
2013,3900106,133264,0,169,1526000,97000,1389000,40000,,1554000,0,0,1382000,3000,4000
2013,3900107,133280,0,233,1886000,198000,1682000,6000,,2024000,0,0,1674000,0,0
2013,3900109,133322,0,138,2539000,189000,2346000,4000,,2889000,0,0,2311000,32000,0
2013,3900113,133504,0,359,3035000,427000,2394000,214000,,2513000,1000,0,2381000,0,317000
2013,3900117,143297,0,52,1639000,46000,1575000,18000,,1689000,144000,0,1574000,0,7000
2013,3900118,143305,0,1805,13152000,650000,12502000,0,,12092000,0,0,12464000,0,747000
2013,3900119,143313,0,449,4081000,752000,3323000,6000,,3879000,0,0,3308000,0,0
2013,3900120,143552,0,535,4740000,514000,4203000,23000,,4466000,0,0,4010000,176000,428000
2013,3900121,143602,0,501,3506000,381000,3047000,78000,,3300000,0,0,3036000,0,237000
2013,3900122,143636,0,116,1216000,230000,945000,41000,,1367000,0,0,797000,148000,0
2013,3900123,143644,0,300,2660000,150000,2301000,209000,,2931000,8000,0,2295000,0,9000
2013,3900125,000125,0,112,1037000,55000,841000,141000,,1349000,25000,0,748000,90000,5000
2013,3900126,000130,0,542,4394000,333000,4053000,8000,,4180000,81000,0,4042000,0,8000
2013,3900127,000131,0,235,1567000,2000,1563000,2000,,1589000,0,0,1558000,0,14000
2013,3900129,000138,0,762,5580000,496000,4813000,271000,,5783000,0,0,4797000,0,0
2013,3900130,000139,0,320,2766000,371000,2190000,205000,,5083000,0,0,2183000,0,0
2013,3900133,000162,0,269,1977000,100000,1820000,57000,,1384000,0,0,1812000,2000,172000
2013,3900134,000195,0,393,3650000,809000,2841000,0,,3660000,0,0,2827000,0,0
2013,3900135,000197,0,60,458000,0,457000,1000,,518000,0,0,456000,0,2000
2013,3900138,000222,0,286,2607000,209000,2330000,68000,,2405000,0,0,2322000,0,333000
2013,3900145,148981,0,87,931000,66000,847000,18000,,1181000,0,0,845000,0,3000
2013,3900146,148999,0,120,1125000,74000,987000,64000,,1343000,0,0,987000,0,0
2013,3900151,149047,0,329,3025000,195000,2250000,580000,,3025000,14000,0,2243000,0,15000
2013,3900152,149054,0,496,4022000,573000,3433000,16000,,4515000,62000,0,3433000,0,18000
2013,3900153,149062,0,37,268000,0,267000,1000,,234000,0,0,267000,0,24000
2013,3900155,149088,0,136,956000,50000,899000,7000,,988000,0,0,894000,2000,20000
2013,3900175,142901,0,123,969000,86000,883000,0,,1091000,8000,0,880000,0,0
2013,3900176,142919,0,145,1148000,49000,1099000,0,,1291000,14000,0,1096000,0,0
2013,3900177,142927,0,241,2011000,262000,1749000,0,,1972000,0,0,1749000,0,0
2013,3900178,142935,0,194,1601000,208000,1393000,0,,1592000,0,0,1393000,0,0
2013,3900179,142943,0,168,2145000,540000,1447000,158000,,2057000,0,0,0,1447000,0
2013,3900180,142950,0,12944,88533000,6544000,81878000,111000,,88491000,0,0,81604000,0,0
2013,3900181,142968,0,293,2690000,529000,2161000,0,,2712000,0,0,2152000,0,0
2013,3900184,143115,0,71,888000,188000,652000,48000,,1053000,0,0,648000,2000,50000
2013,3900185,143123,0,71,708000,73000,573000,62000,,834000,0,0,567000,4000,41000
2013,3900186,143131,0,121,939000,39000,840000,60000,,1213000,0,0,835000,2000,61000
2013,3900189,143164,0,105,785000,83000,702000,0,,987000,11000,0,700000,0,0
2013,3900190,143172,0,213,1746000,218000,1484000,44000,,2119000,15000,0,1476000,1000,18000
2013,3900192,143198,0,852,6325000,554000,5535000,236000,,5907000,2000,0,5509000,9000,32000
2013,3900193,143206,0,325,2997000,0,2997000,0,,2997000,0,0,2997000,0,0
2013,3900194,143214,0,267,2189000,0,2189000,0,,2189000,0,0,2189000,0,0
2013,3900203,143396,0,2051,14149000,696000,13441000,12000,,15049000,24000,0,13441000,0,0
2013,3900205,143412,0,49,607000,135000,339000,133000,,790000,3000,0,338000,0,16000
2013,3900209,143453,0,65,751000,54000,671000,26000,,765000,0,0,656000,2000,0
2013,3900211,143479,0,198,1702000,120000,1439000,143000,,1784000,0,0,1431000,2000,18000
2013,3900212,143487,0,292,2578000,263000,2243000,72000,,2742000,1000,0,2232000,2000,42000
2013,3900213,143495,0,134,1239000,117000,1007000,115000,,1349000,64000,0,1000000,2000,15000
2013,3900214,143503,0,269,2417000,302000,2095000,20000,,2688000,0,0,2030000,55000,284000
2013,3900216,143529,0,523,4698000,592000,3742000,364000,,5674000,0,0,3735000,0,0
2013,3900217,143537,0,1066,9373000,792000,7873000,708000,,9666000,9000,0,7850000,0,741000
2013,3900219,143560,0,466,3600000,172000,3395000,33000,,4218000,0,0,3177000,0,0
2013,3900220,143578,0,180,1337000,62000,1264000,11000,,1425000,0,0,1160000,0,0
2013,3900223,143610,0,269,2356000,416000,1651000,289000,,1996000,7000,0,1644000,1000,365000
2013,3900226,148916,0,85,645000,1000,638000,6000,,774000,0,0,636000,0,6000
2013,3900228,148932,0,87,695000,54000,619000,22000,,620000,0,0,615000,2000,3000
2013,3900231,149302,0,114,920000,52000,868000,0,,1139000,23000,0,866000,0,0
2013,3900233,149328,0,209,2045000,275000,1732000,38000,,2478000,11000,0,1711000,17000,45000
2013,3900234,149336,0,28,217000,9000,208000,0,,197000,0,0,207000,0,1000
2013,3900241,132944,0,180,1302000,45000,1246000,11000,,1509000,0,0,1173000,0,13000
2013,3900250,000236,0,3052,21268000,726000,19258000,1284000,,23830000,0,0,19193000,0,0
2013,3900252,000241,0,576,3748000,149000,3520000,79000,,3309000,0,0,3506000,2000,198000
2013,3900259,149427,0,101,757000,55000,689000,13000,,757000,0,0,687000,0,30000
2013,3900262,151027,0,266,1716000,119000,1596000,1000,,1656000,0,0,1590000,0,4000
2013,3900263,151035,0,93,436000,67000,369000,0,,442000,0,0,367000,0,17000
2013,3900266,151076,0,30,303000,0,292000,11000,,247000,0,0,229000,62000,11000
2013,3900273,151142,0,119,922000,26000,896000,0,,766000,0,0,893000,0,52000
2013,3900275,151167,0,36,288000,9000,279000,0,,304000,0,0,278000,0,5000
2013,3900276,151175,0,57,397000,19000,374000,4000,,604000,0,0,371000,2000,5000
2013,3900277,151183,0,153,1453000,228000,1217000,8000,,1478000,0,0,1217000,0,158000
2013,3900278,151191,0,117,995000,117000,878000,0,,1044000,2000,0,876000,0,0
2013,3900279,151209,0,230,1899000,293000,1603000,3000,,1981000,0,0,1598000,0,0
2013,3900282,151233,0,51,324000,15000,302000,7000,,357000,0,0,301000,0,5000
2013,3900285,000525,0,75,635000,43000,590000,2000,,662000,4000,0,588000,0,17000
2013,3900286,000527,0,253,1890000,170000,1702000,18000,,2398000,0,0,1697000,0,73000
2013,3900291,000534,0,140,1133000,70000,991000,72000,,1140000,0,0,986000,2000,9000
2013,3900297,000541,0,43,1268000,32000,1191000,45000,,1261000,0,0,1160000,0,4000
2013,3900299,000543,0,682,5733000,784000,4592000,357000,,6761000,0,0,4578000,0,0
2013,3900302,000546,0,524,4647000,646000,3770000,231000,,5651000,0,0,3759000,0,0
2013,3900304,000553,0,330,2806000,393000,2324000,89000,,3581000,12000,0,2324000,0,38000
2013,3900305,000556,0,310,2481000,421000,1987000,73000,,2574000,5000,0,1977000,0,374000
2013,3900306,000557,0,497,3975000,773000,2800000,402000,,4276000,11000,0,2800000,0,129000
2013,3900307,000558,0,621,4884000,496000,4165000,223000,,10775000,12000,0,4165000,0,168000
2013,3900308,000559,0,672,5739000,963000,4294000,482000,,7171000,0,0,4280000,0,0
2013,3900309,000560,0,574,5163000,744000,4048000,371000,,5742000,0,0,4036000,0,0
2013,3900311,000564,0,358,4752000,775000,3960000,17000,,5196000,10000,0,3950000,0,8000
2013,3900313,000575,0,412,3464000,423000,3041000,0,,3927000,14000,0,3032000,0,0
2013,3900314,000576,0,108,865000,132000,729000,4000,,1077000,2000,0,726000,0,31000
2013,3900315,000577,0,700,6244000,873000,4957000,414000,,6668000,0,0,281000,4661000,0
2013,3900321,000585,0,445,3428000,461000,2967000,0,,3678000,2000,0,2967000,0,2000
2013,3900331,000598,0,49,390000,13000,375000,2000,,459000,0,0,374000,0,1000
2013,3900337,000608,0,80,1108000,88000,1008000,12000,,1137000,0,0,1000000,6000,0
2013,3900338,000609,0,88,1681000,90000,1588000,3000,,1937000,0,0,1576000,10000,0
2013,3900339,000610,0,51,816000,46000,769000,1000,,982000,0,0,763000,5000,0
2013,3900341,000613,0,301,2279000,220000,2021000,38000,,2280000,0,0,2012000,0,10000
2013,3900342,000614,0,70,1238000,53000,1179000,6000,,1281000,0,0,1174000,4000,0
2013,3900344,000616,0,96,1824000,112000,1709000,3000,,1834000,0,0,1697000,10000,0
2013,3900348,000621,0,85,1422000,60000,1349000,13000,,1451000,0,0,1343000,4000,0
