fiscal_year,leaid,irn,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending,student_transportation,charter_payments,general_formula_assistance,state_nonspecified,capital_outlay
2009,3900117,143297,0,53,1699000,62000,1633000,4000,,1689000,175000,0,1628000,5000,56000
2009,3900118,143305,0,1359,10705000,627000,10077000,1000,,9466000,0,0,10071000,4000,604000
2009,3900119,143313,0,461,4085000,654000,3424000,7000,,4053000,0,0,3411000,5000,0
2009,3900120,143552,0,148,1561000,350000,1208000,3000,,1262000,0,0,1201000,5000,167000
2009,3900121,143602,0,416,3181000,206000,2398000,577000,,2619000,0,0,2397000,1000,547000
2009,3900122,143636,0,91,1179000,353000,826000,0,,1174000,0,0,806000,9000,0
2009,3900123,143644,0,367,3477000,473000,2620000,384000,,3509000,26000,0,2612000,8000,130000
2009,3900125,000125,0,141,1958000,629000,1019000,310000,,1682000,10000,0,1014000,5000,76000
2009,3900126,000130,0,695,5968000,184000,5707000,77000,,5364000,0,0,5702000,5000,1132000
2009,3900127,000131,0,177,1233000,0,1208000,25000,,1119000,0,0,1203000,5000,1365000
2009,3900129,000138,0,724,4251000,430000,3615000,206000,,5474000,0,0,3601000,6000,0
2009,3900130,000139,0,460,4043000,717000,3230000,96000,,5950000,0,0,3117000,107000,0
2009,3900131,000140,0,106,1152000,343000,794000,15000,,1090000,21000,0,783000,9000,47000
2009,3900132,000143,0,77,829000,176000,651000,2000,,741000,0,0,647000,3000,55000
2009,3900133,000162,0,98,742000,23000,716000,3000,,537000,0,0,710000,6000,7000
2009,3900134,000195,0,376,3483000,555000,2924000,4000,,3491000,0,0,2912000,5000,0
2009,3900135,000197,0,106,696000,14000,679000,3000,,878000,0,0,674000,5000,40000
2009,3900138,000222,0,157,1482000,122000,1348000,12000,,1304000,14000,0,1340000,5000,93000
2009,3900144,148973,0,151,1500000,326000,1167000,7000,,1320000,0,0,1160000,5000,138000
2009,3900145,148981,0,35,594000,38000,539000,17000,,613000,0,0,533000,6000,0
2009,3900146,148999,0,152,1418000,101000,1253000,64000,,1485000,0,0,1247000,4000,3000
2009,3900151,149047,0,336,2198000,90000,2106000,2000,,1984000,4000,0,2098000,8000,194000
2009,3900152,149054,0,544,4971000,556000,4397000,18000,,4996000,0,0,4392000,5000,48000
2009,3900153,149062,0,53,363000,0,361000,2000,,400000,0,0,357000,4000,0
2009,3900155,149088,0,92,799000,56000,739000,4000,,712000,0,0,735000,4000,54000
2009,3900174,149286,0,24,237000,52000,183000,2000,,279000,0,0,180000,3000,5000
2009,3900175,142901,0,160,1724000,145000,1426000,153000,,1549000,0,0,1419000,5000,0
2009,3900176,142919,0,173,1841000,232000,1606000,3000,,1849000,0,0,1598000,6000,0
2009,3900177,142927,0,191,1852000,224000,1628000,0,,1798000,0,0,1619000,7000,0
2009,3900178,142935,0,212,2197000,277000,1920000,0,,2118000,0,0,1910000,8000,0
2009,3900179,142943,0,150,1894000,350000,1544000,0,,1838000,0,0,1532000,7000,0
2009,3900180,142950,0,7277,45502000,3222000,42188000,92000,,44304000,0,0,42156000,30000,115000
2009,3900181,142968,0,286,2580000,444000,2133000,3000,,2588000,0,0,2124000,3000,0
2009,3900182,142976,0,206,2025000,447000,1540000,38000,,2046000,0,0,1529000,11000,49000
2009,3900183,142984,0,71,502000,10000,485000,7000,,420000,0,0,482000,3000,0
2009,3900184,143115,0,86,1475000,297000,1140000,38000,,1121000,0,0,957000,8000,11000
2009,3900185,143123,0,58,1054000,156000,845000,53000,,929000,0,0,659000,11000,8000
2009,3900186,143131,0,116,1577000,152000,1384000,41000,,1059000,0,0,1199000,10000,8000
2009,3900189,143164,0,189,1998000,228000,1767000,3000,,1992000,0,0,1758000,7000,0
2009,3900190,143172,0,169,1883000,354000,1480000,49000,,1707000,0,0,1469000,11000,19000
2009,3900191,143180,0,77,923000,211000,712000,0,,694000,0,0,656000,0,215000
2009,3900192,143198,0,797,6333000,1075000,5252000,6000,,6359000,0,0,5237000,13000,0
2009,3900193,143206,0,305,2800000,0,2800000,0,,2801000,0,0,2792000,8000,0
2009,3900194,143214,0,311,2502000,0,2502000,0,,2502000,0,0,2496000,6000,0
2009,3900198,143347,0,30,1018000,95000,562000,361000,,1040000,0,0,306000,250000,6000
2009,3900199,143354,0,71,538000,47000,303000,188000,,18000,0,0,298000,3000,0
2009,3900201,143370,0,44,465000,82000,377000,6000,,540000,0,0,373000,3000,0
2009,3900203,143396,0,1621,12780000,1191000,11546000,43000,,12682000,0,0,11541000,5000,0
2009,3900205,143412,0,67,1077000,155000,632000,290000,,1041000,1000,0,626000,6000,0
2009,3900209,143453,0,61,739000,110000,602000,27000,,743000,0,0,596000,6000,3000
2009,3900210,143461,0,122,1404000,189000,1215000,0,,1147000,0,0,1117000,0,1000
2009,3900211,143479,0,199,1989000,264000,1513000,212000,,1726000,0,0,1500000,11000,19000
2009,3900212,143487,0,251,2340000,434000,1862000,44000,,2194000,0,0,1847000,13000,102000
2009,3900213,143495,0,204,1873000,312000,1523000,38000,,1724000,0,0,1507000,14000,42000
2009,3900214,143503,0,185,2255000,657000,1547000,51000,,1299000,0,0,1538000,5000,389000
2009,3900216,143529,0,627,4759000,667000,3884000,208000,,5889000,0,0,3811000,62000,0
2009,3900217,143537,0,1431,11576000,1270000,10268000,38000,,10804000,4000,0,10255000,8000,385000
2009,3900218,143545,0,115,1050000,194000,856000,0,,860000,0,0,850000,5000,83000
2009,3900219,143560,0,468,3693000,318000,3335000,40000,,3779000,4000,0,3162000,8000,0
2009,3900220,143578,0,209,1760000,141000,1616000,3000,,1731000,1000,0,1514000,11000,0
2009,3900223,143610,0,241,2041000,372000,1630000,39000,,1789000,7000,0,1607000,19000,45000
2009,3900226,148916,0,77,708000,6000,700000,2000,,582000,0,0,697000,3000,16000
2009,3900228,148932,0,68,572000,78000,484000,10000,,656000,0,0,481000,3000,11000
2009,3900231,149302,0,235,2287000,218000,2059000,10000,,2367000,0,0,2052000,5000,0
2009,3900232,149310,0,102,341000,0,341000,0,,423000,0,0,336000,5000,14000
2009,3900233,149328,0,226,2050000,333000,1675000,42000,,1906000,0,0,1662000,8000,6000
2009,3900234,149336,0,44,324000,16000,306000,2000,,321000,0,0,303000,3000,6000
2009,3900241,132944,0,172,1453000,235000,1136000,82000,,1370000,0,0,1131000,5000,56000
2009,3900248,133850,0,348,3295000,496000,2600000,199000,,5481000,0,0,2592000,6000,0
2009,3900250,000236,0,1406,10294000,760000,9436000,98000,,10085000,0,0,8333000,1103000,2000
2009,3900252,000241,0,235,1499000,153000,1322000,24000,,1168000,0,0,1317000,5000,161000
2009,3900259,149427,0,44,324000,0,323000,1000,,301000,0,0,320000,3000,1000
2009,3900262,151027,0,357,1999000,37000,1955000,7000,,1968000,0,0,1950000,5000,0
2009,3900263,151035,0,87,359000,35000,322000,2000,,399000,0,0,319000,3000,0
2009,3900264,151043,0,61,389000,15000,374000,0,,533000,0,0,371000,3000,7000
2009,3900266,151076,0,40,297000,0,297000,0,,283000,0,0,261000,36000,8000
2009,3900267,151084,0,126,893000,44000,793000,56000,,872000,0,0,788000,5000,208000
2009,3900273,151142,0,95,607000,9000,596000,2000,,455000,0,0,593000,3000,0
2009,3900275,151167,0,33,265000,26000,235000,4000,,276000,0,0,232000,3000,13000
2009,3900276,151175,0,90,820000,65000,741000,14000,,606000,0,0,719000,10000,13000
2009,3900277,151183,0,265,2649000,194000,2447000,8000,,2587000,0,0,2442000,3000,0
2009,3900278,151191,0,140,1791000,203000,1581000,7000,,1786000,0,0,1573000,5000,0
2009,3900279,151209,0,244,2728000,201000,2520000,7000,,2688000,0,0,2513000,5000,0
2009,3900282,151233,0,40,302000,19000,283000,0,,268000,0,0,280000,3000,2000
2009,3900284,000523,0,197,1525000,174000,1285000,66000,,1647000,0,0,1278000,5000,14000
2009,3900285,000525,0,56,948000,92000,853000,3000,,877000,8000,0,586000,267000,8000
2009,3900286,000527,0,370,2375000,311000,2064000,0,,2365000,0,0,1987000,38000,0
2009,3900291,000534,0,99,844000,91000,727000,26000,,865000,0,0,720000,7000,162000
2009,3900297,000541,0,44,1426000,27000,1308000,91000,,1248000,0,0,1302000,4000,7000
2009,3900299,000543,0,669,3990000,147000,3712000,131000,,6172000,0,0,3667000,45000,0
2009,3900302,000546,0,568,3478000,125000,3296000,57000,,5252000,0,0,3248000,48000,0
2009,3900304,000553,0,365,3225000,659000,2472000,94000,,3068000,9000,0,2464000,8000,28000
2009,3900305,000556,0,139,1259000,235000,942000,82000,,1132000,0,0,935000,5000,26000
2009,3900306,000557,0,495,4294000,894000,3308000,92000,,4200000,42000,0,3291000,15000,78000
2009,3900307,000558,0,570,4947000,942000,3861000,144000,,4768000,8000,0,3854000,5000,64000
2009,3900308,000559,0,587,3018000,161000,2805000,52000,,6821000,0,0,2749000,56000,0
2009,3900309,000560,0,712,5947000,128000,5685000,134000,,6641000,0,0,5609000,76000,0
2009,3900311,000564,0,391,4601000,899000,3694000,8000,,4705000,8000,0,3678000,10000,3000
2009,3900312,000574,0,254,1898000,254000,1644000,0,,2122000,0,0,1644000,0,0
2009,3900313,000575,0,383,3433000,612000,2817000,4000,,3391000,0,0,2808000,7000,0
2009,3900314,000576,0,133,1196000,264000,893000,39000,,1098000,1000,0,883000,10000,23000
2009,3900315,000577,0,551,3799000,128000,3566000,105000,,5374000,0,0,3489000,77000,0
2009,3900321,000585,0,564,9935000,1476000,8440000,19000,,9391000,6000,0,7297000,221000,114000
2009,3900325,000590,0,450,213000,190000,5000,18000,,187000,0,0,0,5000,57000
2009,3900327,000592,0,90,21000,18000,3000,0,,29000,0,0,0,3000,0
2009,3900331,000598,0,64,453000,16000,406000,31000,,489000,0,0,403000,3000,8000
2009,3900337,000608,0,38,777000,37000,735000,5000,,771000,0,0,641000,94000,0
2009,3900338,000609,0,58,1127000,185000,931000,11000,,1127000,0,0,928000,3000,0
2009,3900339,000610,0,30,665000,192000,470000,3000,,345000,0,0,464000,4000,0
2009,3900341,000613,0,180,1637000,234000,1320000,83000,,1711000,0,0,1306000,14000,3000
2009,3900342,000614,0,30,674000,31000,641000,2000,,675000,0,0,515000,126000,0
2009,3900344,000616,0,71,1253000,59000,1186000,8000,,1253000,0,0,1176000,8000,0
2009,3900348,000621,0,40,837000,36000,799000,2000,,285000,0,0,796000,3000,0
2009,3900350,000623,0,91,2044000,173000,1871000,0,,2100000,0,0,1865000,4000,0
2009,3900356,000629,0,57,1096000,135000,950000,11000,,1092000,0,0,942000,6000,0
2009,3900360,000633,0,56,1176000,119000,1052000,5000,,1071000,0,0,1047000,3000,0
2009,3900361,000634,0,43,837000,34000,802000,1000,,836000,0,0,797000,3000,0
2009,3900366,000640,0,36,292000,7000,285000,0,,63000,0,0,282000,3000,55000
2009,3900377,000652,0,30,178000,0,178000,0,,178000,0,0,178000,0,0
2009,3900381,000664,0,215,2285000,297000,1987000,1000,,2248000,0,0,1981000,4000,0
2009,3900382,000677,0,162,1545000,234000,1286000,25000,,2661000,12000,0,1277000,9000,27000
2009,3900383,000679,0,186,5471000,10000,5458000,3000,,1174000,0,0,5453000,5000,0
2009,3900385,147231,0,174,1214000,90000,1114000,10000,,187000,0,0,1109000,5000,7000
2009,3900392,000578,0,64,107000,103000,3000,1000,,118000,0,0,0,3000,2000
2009,3900394,000700,0,118,1164000,223000,941000,0,,1114000,0,0,840000,64000,0
2009,3900396,000725,0,394,3636000,726000,2906000,4000,,3461000,0,0,2892000,14000,176000
2009,3900399,000736,0,52,470000,39000,431000,0,,503000,0,0,376000,0,0
2009,3900400,000738,0,29,275000,21000,254000,0,,267000,0,0,252000,0,0
2009,3900402,000740,0,37,359000,0,359000,0,,177000,0,0,332000,0,0
2009,3900404,000743,0,73,671000,106000,565000,0,,643000,0,0,561000,4000,11000
2009,3900428,000770,0,134,1199000,178000,999000,22000,,1112000,0,0,983000,14000,42000
2009,3900431,000775,0,89,624000,112000,512000,0,,473000,32000,0,512000,0,0
2009,3900433,000777,0,119,891000,90000,801000,0,,929000,0,0,796000,5000,42000
2009,3900434,000779,0,38,287000,42000,245000,0,,319000,0,0,242000,3000,42000
2009,3900435,000780,0,126,912000,52000,860000,0,,951000,0,0,855000,5000,56000
2009,3900436,000781,0,144,1232000,279000,953000,0,,1254000,22000,0,953000,0,37000
2009,3900438,000784,0,402,3314000,424000,2890000,0,,3286000,0,0,2879000,11000,15000
2009,3900441,000804,0,325,2627000,457000,2074000,96000,,2549000,15000,0,2064000,8000,42000
2009,3900444,000808,0,204,1777000,317000,1430000,30000,,1532000,21000,0,1422000,5000,17000
2009,3900448,000813,0,271,3043000,340000,2697000,6000,,3115000,0,0,2686000,9000,0
2009,3900451,000825,0,179,1620000,254000,1331000,35000,,1642000,201000,0,1327000,4000,8000
2009,3900454,000838,0,236,2005000,455000,1504000,46000,,1900000,0,0,1493000,7000,18000
2009,3900457,000843,0,685,6252000,0,6252000,0,,5675000,0,0,6252000,0,0
2009,3900467,000855,0,528,4131000,386000,3678000,67000,,5121000,0,0,3563000,79000,0
2009,3900470,000858,0,160,1378000,224000,993000,161000,,1374000,0,0,987000,6000,2000
2009,3900474,000875,0,126,1254000,374000,844000,36000,,1093000,0,0,836000,8000,108000
2009,3900478,000905,0,81,761000,187000,568000,6000,,584000,0,0,566000,2000,51000
2009,3900479,000909,0,567,5169000,814000,4203000,152000,,5176000,0,0,3935000,5000,61000
2009,3900484,000915,0,156,1046000,0,1046000,0,,729000,0,0,1046000,0,344000
2009,3900486,000268,0,31,242000,17000,225000,0,,235000,0,0,222000,3000,0
2009,3900487,000277,0,218,3415000,285000,3107000,23000,,3404000,14000,0,3106000,1000,0
2009,3900488,000282,0,200,1550000,82000,1433000,35000,,881000,0,0,0,1433000,86000
2009,3900489,000287,0,30,816000,2000,813000,1000,,839000,14000,0,808000,3000,1000
2009,3900490,000288,0,87,629000,30000,588000,11000,,441000,0,0,584000,2000,0
2009,3900492,000296,0,38,606000,122000,480000,4000,,604000,0,0,474000,4000,0
2009,3900493,000297,0,49,986000,261000,714000,11000,,985000,0,0,708000,4000,0
2009,3900494,000298,0,60,1057000,68000,985000,4000,,1056000,0,0,980000,3000,0
2009,3900495,000300,0,44,919000,107000,810000,2000,,1677000,0,0,805000,3000,0
2009,3900496,000301,0,43,888000,102000,783000,3000,,888000,0,0,778000,3000,0
2009,3900497,000302,0,175,3490000,411000,3058000,21000,,3489000,0,0,3048000,8000,0
2009,3900498,000303,0,111,1896000,157000,1738000,1000,,1897000,0,0,1730000,6000,0
2009,3900499,000304,0,134,2718000,439000,2271000,8000,,2716000,0,0,2260000,9000,0
2009,3900500,000305,0,103,2105000,342000,1754000,9000,,2103000,0,0,1744000,8000,0
2009,3900501,000306,0,62,1148000,252000,884000,12000,,1148000,0,0,876000,6000,0
2009,3900502,000311,0,161,1270000,50000,1206000,14000,,1175000,0,0,1201000,5000,0
2009,3900503,000316,0,132,1163000,141000,938000,84000,,1227000,0,0,926000,10000,223000
2009,3900505,000318,0,42,404000,0,331000,73000,,321000,0,0,328000,3000,0
2009,3900506,000319,0,238,2157000,379000,1737000,41000,,2021000,0,0,1722000,13000,55000
2009,3900507,000320,0,108,1165000,114000,777000,274000,,1135000,0,0,767000,8000,12000
2009,3900508,000321,0,141,1120000,108000,941000,71000,,1146000,0,0,927000,12000,249000
2009,3900510,000338,0,242,2077000,297000,1744000,36000,,2129000,42000,0,1738000,6000,0
2009,3900511,000343,0,126,2825000,199000,2586000,40000,,2846000,46000,0,2477000,16000,0
2009,3900514,000360,0,82,550000,8000,532000,10000,,325000,0,0,529000,3000,1000
2009,3900519,000368,0,46,72000,1000,3000,68000,,72000,0,0,0,3000,0
2009,3900523,000392,0,101,675000,62000,557000,56000,,514000,0,0,552000,5000,3000
2009,3900525,000396,0,32,600000,223000,374000,3000,,443000,0,0,371000,3000,61000
2009,3900528,000402,0,74,706000,25000,663000,18000,,459000,0,0,660000,0,83000
2009,3900530,000417,0,1745,11966000,712000,11242000,12000,,10574000,0,0,11235000,7000,1044000
2009,3900533,000420,0,48,625000,60000,359000,206000,,604000,17000,0,338000,1000,1000
2009,3900534,000426,0,44,309000,4000,304000,1000,,329000,0,0,301000,3000,0
2009,3900535,000427,0,86,2753000,316000,2437000,0,,2404000,0,0,2299000,23000,212000
2009,3900537,000442,1,838,16532000,1117000,6781000,8634000,7593000,9567000,505000,127000,6536000,202000,2489000
2009,3900538,000445,0,45,710000,115000,587000,8000,,643000,17000,0,584000,3000,19000
2009,3900543,000473,0,85,644000,55000,573000,16000,,464000,14000,6000,570000,3000,86000
2009,3900544,000481,0,336,2622000,207000,2255000,160000,,2354000,0,0,2250000,5000,29000
2009,3900550,000509,0,253,2096000,0,2096000,0,,2097000,0,0,2093000,3000,0
2009,3900551,000510,0,188,2044000,0,2044000,0,,2045000,0,0,2039000,5000,0
2009,3900552,000511,0,279,2346000,0,2346000,0,,2351000,0,0,2340000,6000,0
2009,3900554,000922,0,50,481000,65000,416000,0,,478000,0,0,374000,0,0
2009,3900557,000930,0,272,2832000,452000,1658000,722000,,2602000,13000,0,1569000,5000,324000
2009,3900562,000936,0,454,2959000,0,2948000,11000,,3016000,28000,0,2943000,5000,562000
2009,3900564,000938,0,251,2469000,473000,1988000,8000,,2388000,0,0,1980000,8000,33000
2009,3900567,000941,0,151,1046000,118000,901000,27000,,821000,0,0,893000,8000,3000
2009,3900568,000942,0,169,1052000,96000,947000,9000,,1015000,0,0,939000,8000,0
2009,3900569,000946,0,193,2470000,614000,1850000,6000,,2452000,341000,0,1831000,3000,0
2009,3900572,000949,0,75,949000,356000,570000,23000,,881000,100000,0,505000,0,114000
2009,3900573,000951,0,72,517000,0,517000,0,,518000,0,0,513000,4000,0
2009,3900574,000952,0,108,881000,0,881000,0,,882000,0,0,876000,5000,0
2009,3900575,000953,0,238,2072000,0,2072000,0,,2071000,0,0,2067000,5000,0
2009,3900578,007982,0,308,2634000,424000,2136000,74000,,2559000,0,0,2129000,5000,32000
2009,3900580,007984,0,219,2048000,328000,1651000,69000,,1979000,0,0,1646000,5000,24000
2009,3900584,007995,0,178,1563000,249000,1301000,13000,,1488000,0,0,1294000,5000,24000
2009,3900585,007998,0,55,390000,0,390000,0,,660000,0,0,390000,0,0
2009,3900586,007999,0,170,1608000,494000,1049000,65000,,1403000,6000,0,1041000,5000,29000
2009,3900587,008000,0,166,1301000,215000,1079000,7000,,1246000,0,0,1070000,9000,18000
2009,3900592,008061,0,197,1456000,248000,1159000,49000,,1405000,0,0,1154000,5000,26000
2009,3900593,008063,0,130,1607000,196000,1410000,1000,,1600000,0,0,1401000,7000,0
2009,3900594,008064,0,151,1469000,218000,1231000,20000,,1443000,0,0,1222000,7000,17000
2009,3900595,008065,0,130,1074000,52000,1002000,20000,,1034000,2000,0,995000,7000,39000
2009,3900596,008066,0,174,1942000,533000,1409000,0,,2606000,0,0,1316000,0,0
2009,3900597,008067,0,195,1813000,0,1813000,0,,1562000,0,0,1813000,0,0
2009,3900598,008068,0,46,488000,15000,473000,0,,525000,0,0,473000,0,0
2009,3900638,000912,0,175,1543000,434000,1079000,30000,,973000,2000,0,1074000,3000,152000
2009,3900639,008251,0,111,1198000,176000,1020000,2000,,1283000,6000,0,1015000,5000,66000
2009,3900640,008287,0,922,6752000,548000,6181000,23000,,6747000,0,0,6172000,9000,0
2009,3900641,008286,0,623,5697000,1194000,4503000,0,,5703000,0,0,4486000,15000,0
2009,3900642,008283,0,137,1243000,167000,1062000,14000,,1726000,34000,0,1056000,5000,28000
2009,3900643,008282,0,207,2102000,252000,1849000,1000,,2065000,0,0,1844000,5000,0
2009,3900644,008281,0,178,1456000,368000,1086000,2000,,1031000,0,0,1079000,5000,277000
2009,3900645,008280,0,111,1271000,632000,630000,9000,,1009000,0,0,628000,2000,317000
2009,3900646,008278,0,246,2095000,539000,1497000,59000,,1846000,0,0,1491000,5000,122000
2009,3900647,008289,0,157,1002000,0,990000,12000,,624000,0,0,942000,0,80000
2009,3901296,009181,0,242,2851000,925000,1926000,0,,2848000,0,0,1919000,7000,0
2009,3901298,009171,0,242,2085000,329000,1745000,11000,,1749000,5000,0,1740000,5000,43000
2009,3901301,009192,0,176,1629000,412000,1202000,15000,,1561000,0,0,1197000,5000,126000
2009,3901302,009283,0,293,3848000,376000,3243000,229000,,2614000,88000,0,1924000,1316000,825000
2009,3901305,009122,0,58,629000,235000,325000,69000,,653000,0,0,319000,6000,72000
2009,3901308,009162,0,77,1027000,496000,525000,6000,,1040000,0,0,525000,0,31000
2009,3901312,009154,0,135,1150000,168000,978000,4000,,1156000,0,0,973000,5000,123000
2009,3901313,009164,0,66,665000,245000,417000,3000,,785000,0,0,417000,0,11000
2009,3901314,009148,0,59,789000,271000,518000,0,,620000,0,0,515000,3000,101000
2009,3901317,009163,0,71,545000,176000,369000,0,,579000,4000,0,366000,3000,130000
2009,3901319,009147,0,62,903000,148000,752000,3000,,704000,8000,0,748000,3000,124000
2009,3901322,009179,0,199,1758000,657000,1076000,25000,,1574000,4000,0,1071000,5000,0
2009,3901325,009165,0,25,1661000,1500000,161000,0,,170000,0,0,158000,3000,20000
