fiscal_year,irn,district,county,enrolled_adm,base_cost_enrolled_adm,enrolment_is_provisional,base_cost_per_pupil,aggregate_base_cost,property_valuation_annual,property_valuation_three_year_average,property_valuation_used,state_share_percentage,state_share_of_base_cost,core_foundation_funding,guarantee,formula_transition_supplement,base_funding_supplement,total_state_support
2024,065268,Tri-Rivers,Marion,605.239932,549.034196,no,10482.2,5755084.81,2524741070,2289550000,2289550000,0.8010846,4610309.81,6512171.75,0,0,0,6512171.75
2025,050773,Apollo,Allen,1043.832106,1026.754951,no,9628.86,9886479.1,3098283890,2879127326.67,2879127326.67,0.8543907,8446915.44,11041233.43,0,0,0,11041233.43
2025,050799,Southern Hills,Brown,622.40056,600.358655,no,10423.15,6257630.2,1142800470,1119894520,1119894520,0.9105177,5697682.94,7291851.53,0,0,0,7291851.53
2025,050815,Ashtabula County Technical and Career Center,Ashtabula,689.785939,706.267889,no,9963.15,7036652.05,2635715050,2247588676.67,2247588676.67,0.8402942,5912857.71,8279511.17,0,0,0,8279511.17
2025,050856,Belmont-Harrison,Belmont,521.781667,511.546028,no,10911.68,5581825.86,3101382290,2956621190,2956621190,0.7351564,4103515.26,5853027.41,0,0,0,5853027.41
2025,050880,Butler Technology & Career Development Schools,Butler,3887.632316,3832.936087,no,9487.91,36366564.12,15520813630,12947865156.67,12947865156.67,0.8219812,29892631.54,42458285.79,0,0,0,42458285.79
2025,050906,Columbiana County,Columbiana,299.842031,309.236945,no,12528.74,3874348.96,1872415910,1759616403.33,1759616403.33,0.7729146,2994540.76,4250747.28,0,0,0,4250747.28
2025,050922,Cuyahoga Valley Career Center,Cuyahoga,428.646987,437.714719,no,11297.75,4945193.31,8356566920,7712673633.33,7712673633.33,0.2201848,1088856.49,1764813.77,0,0,0,1764813.77
2025,050948,Polaris,Cuyahoga,720.58234,703.124682,no,10246.83,7204796.32,6114240770,6084844116.67,6084844116.67,0.5777227,4162374.26,5801883.62,0,0,0,5801883.62
2025,050963,Four County Career Center,Henry,998.703012,995.063343,no,9621.59,9574086.59,4869292310,4362253926.67,4362253926.67,0.7721843,7392959.63,10257480.34,0,0,0,10257480.34
2025,050989,Delaware Area Career Center,Delaware,921.497269,844.095997,no,9811.86,8282153.67,11133955370,9112271380,9112271380,0.4498852,3726017.98,5556734.32,0,0,0,5556734.32
2025,051003,Eastland-Fairfield Career & Technical Schools,Franklin,1612.78385,1561.637794,no,9345.59,14594433.15,14247116160,12092801406.67,12092801406.67,0.585705,8548032.45,10720727.26,0,0,0,10720727.26
2025,051029,EHOVE Career Center,Erie,873.427191,818.696468,no,9845.13,8060172.84,4368432260,4286398983.33,4286398983.33,0.7341001,5916973.35,8857496.86,0,0,0,8857496.86
2025,051045,Greene County Vocational School District,Greene,1298.858396,1257.111746,no,9512.52,11958302.46,6318212760,5380311770,5380311770,0.7750386,9268146.57,11831981.46,0,0,0,11831981.46
2025,051060,Great Oaks Career Campuses,Hamilton,4563.45963,4449.856156,no,9557.42,42529137.21,29282683210,25367324290,25367324290,0.7017654,29845475.06,38443338,0,0,0,38443338
2025,051128,Jefferson County,Jefferson,364.018254,353.336474,no,11834.78,4181658.47,2009709770,1948002533.33,1948002533.33,0.7670778,3207657.2,4439334.89,0,0,0,4439334.89
2025,051144,Knox County JVSD,Knox,672.888649,583.477578,no,10410.65,6074379.9,2538639703,2093622631.67,2093622631.67,0.8276678,5027568.58,6944670.41,0,0,0,6944670.41
2025,051169,Auburn,Lake,446.293336,426.842712,no,11466.34,4894324.11,6046849560,5567713300,5567713300,0.4312071,2110467.46,2949175.87,0,0,0,2949175.87
