leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5102640,,VA,1,26648,439677000,77636000,222365000,139676000,,402795000
5102670,,VA,1,27478,467640000,90040000,216220000,161380000,,415980000
5102710,,VA,1,1350,29992000,7975000,10547000,11470000,,21236000
5102730,,VA,1,1181,22809000,3541000,5315000,13953000,,20675000
5102760,,VA,1,826,13219000,2759000,7088000,3372000,,10269000
5102790,,VA,1,1823,28724000,5767000,16970000,5987000,,25295000
5102820,,VA,1,5024,67250000,10504000,32568000,24178000,,61813000
5102850,,VA,1,3135,42734000,7671000,24834000,10229000,,41090000
5102880,,VA,1,2538,35553000,7109000,20957000,7487000,,32150000
5102910,,VA,1,4178,68386000,17114000,39758000,11514000,,63142000
5102940,,VA,1,7914,109292000,15722000,68286000,25284000,,99843000
5102980,,VA,1,2056,26946000,2460000,13328000,11158000,,25688000
5103000,,VA,1,13517,203430000,25158000,111764000,66508000,,182384000
5103030,,VA,1,4295,55070000,4828000,25279000,24963000,,53418000
5103060,,VA,1,1914,26232000,4321000,15967000,5944000,,27215000
5103090,,VA,1,6139,82517000,15925000,48320000,18272000,,74727000
5103130,,VA,1,90070,1448272000,125002000,639072000,684198000,,1253120000
5103150,,VA,1,4039,55035000,6723000,30936000,17376000,,51520000
5103180,,VA,1,2701,36555000,3812000,20139000,12604000,,27951000
5103210,,VA,1,753,15023000,1723000,3384000,9916000,,14302000
5103240,,VA,1,21177,482943000,123962000,165770000,193211000,,457066000
5103270,,VA,1,1350,21637000,3557000,10808000,7272000,,19322000
5103300,,VA,1,13685,265938000,57612000,115847000,92479000,,209370000
5103330,,VA,1,13723,191754000,21243000,91105000,79406000,,173267000
5103370,,VA,1,2630,42441000,5266000,15803000,21372000,,36651000
5103390,,VA,1,11288,170508000,21879000,78929000,69700000,,157274000
5103420,,VA,1,3456,57790000,15756000,32349000,9685000,,46363000
5103460,,VA,1,3799,61981000,8494000,25656000,27831000,,52089000
5103480,,VA,1,3535,49636000,10717000,31828000,7091000,,43851000
5103510,,VA,1,5676,83026000,10251000,41977000,30798000,,77230000
5103520,,VA,1,4050,60279000,10785000,35240000,14254000,,56036000
5103600,,VA,1,2600,42245000,5082000,22186000,14977000,,37882000
5103640,,VA,1,23770,396489000,44295000,165653000,186541000,,316576000
5103660,,VA,1,30435,393268000,43489000,205076000,144703000,,377843000
5103690,,VA,1,2740,45969000,8481000,21471000,16017000,,41699000
5103710,,VA,1,14048,210568000,26398000,99958000,84212000,,184917000
5103750,,VA,1,655,18361000,2569000,2966000,12826000,,16374000
5103780,,VA,1,975,22506000,4077000,10261000,8168000,,21294000
5103810,,VA,1,5418,69674000,8967000,45636000,15071000,,63019000
5103840,,VA,1,65450,1041568000,142494000,413496000,485578000,,924031000
5103870,,VA,1,5165,71462000,9383000,33570000,28509000,,69156000
5103900,,VA,1,6732,97860000,12277000,49772000,35811000,,89555000
5103930,,VA,1,3021,53596000,10388000,24120000,19088000,,46303000
5103950,,VA,1,813,12340000,1191000,6286000,4863000,,11720000
5103980,,VA,1,1531,27289000,3923000,12741000,10625000,,25270000
5104020,,VA,1,11079,168602000,19468000,6257000,142877000,,159229000
5104050,,VA,1,4143,76891000,10625000,31315000,34951000,,69499000
5104080,,VA,1,5765,82848000,16310000,47318000,19220000,,67071000
5104110,,VA,1,3829,51468000,4551000,29329000,17588000,,47300000
5104150,,VA,1,12554,174739000,26659000,81971000,66109000,,158468000
5300001,,WA,1,4242,76974000,6448000,52120000,18406000,15122000,67772000
5300002,,WA,1,230,5997000,2338000,3450000,209000,109000,5476000
5300003,,WA,1,4793,102068000,13172000,74461000,14435000,12899000,76424000
5300030,,WA,1,3262,61795000,12867000,41127000,7801000,6898000,55270000
5300060,,WA,1,620,10505000,1260000,7489000,1756000,1457000,9598000
5300150,,WA,1,2551,52385000,6014000,29593000,16778000,15562000,46374000
5300240,,WA,1,5397,96536000,12626000,66326000,17584000,15118000,89922000
5300280,,WA,1,607,10632000,978000,8199000,1455000,1123000,9839000
5300300,,WA,1,17345,385377000,42242000,256665000,86470000,79183000,294793000
5300328,,WA,1,84,2804000,191000,2613000,0,,2028000
5300330,,WA,1,3638,76130000,5505000,43045000,27580000,25181000,59018000
5300380,,WA,1,11745,203734000,23095000,138139000,42500000,34414000,184171000
5300390,,WA,1,19510,485553000,33531000,230606000,221416000,204943000,348442000
5300420,,WA,1,11439,238648000,23548000,141946000,73154000,69484000,192196000
5300480,,WA,1,20669,382978000,32465000,256267000,94246000,87208000,314074000
5300510,,WA,1,114,2826000,39000,2428000,359000,307000,2616000
5300570,,WA,1,2145,48226000,8360000,27707000,12159000,11673000,37590000
5300660,,WA,1,4404,97375000,15045000,61683000,20647000,19354000,88254000
5300690,,WA,1,970,30720000,6349000,21899000,2472000,2223000,15131000
5300720,,WA,1,797,13230000,2432000,9954000,844000,608000,12088000
5300780,,WA,1,3312,66700000,12429000,42371000,11900000,11318000,63543000
5300810,,WA,1,7225,128222000,7490000,81575000,39157000,32729000,106553000
5300840,,WA,1,499,14103000,4870000,8245000,988000,430000,13290000
5300950,,WA,1,1256,26774000,4108000,13881000,8785000,8344000,21636000
5300960,,WA,1,1622,26681000,3609000,18490000,4582000,4081000,23961000
5300990,,WA,1,1370,21232000,2040000,16036000,3156000,2732000,20390000
5301080,,WA,1,11274,224603000,39713000,149394000,35496000,30338000,182674000
5301110,,WA,1,14592,253472000,37560000,165302000,50610000,45256000,224417000
5301140,,WA,1,3274,61123000,9524000,42158000,9441000,6605000,51656000
5301170,,WA,1,2986,55146000,9155000,35319000,10672000,7486000,48707000
5301200,,WA,1,1289,22591000,2866000,15034000,4691000,3852000,22327000
5301230,,WA,1,5358,91157000,10364000,59603000,21190000,19319000,76480000
5301260,,WA,1,748,13791000,2701000,9455000,1635000,1385000,12443000
5301290,,WA,1,715,15836000,2567000,9261000,4008000,3414000,13948000
5301320,,WA,1,2474,41700000,8397000,28647000,4656000,3623000,37657000
5301350,,WA,1,922,17876000,1710000,9967000,6199000,4000000,14631000
5301410,,WA,1,12629,244199000,49588000,161046000,33565000,31418000,219442000
5301440,,WA,1,526,9732000,863000,6509000,2360000,2095000,8296000
5301470,,WA,1,1570,29229000,4571000,18228000,6430000,5955000,23248000
5301500,,WA,1,163,4457000,431000,2972000,1054000,752000,3649000
5301560,,WA,1,102,3510000,608000,2649000,253000,166000,2980000
5301590,,WA,1,705,14064000,1199000,8975000,3890000,3423000,12539000
5301630,,WA,1,1647,26752000,4416000,20125000,2211000,1696000,23529000
5301660,,WA,1,489,11712000,1500000,8436000,1776000,1258000,10512000
5301800,,WA,1,961,20461000,3320000,12093000,5048000,4747000,18566000
5301830,,WA,1,306,6311000,1138000,4400000,773000,610000,5914000
5301860,,WA,1,86,3293000,202000,2783000,308000,240000,2653000
5301890,,WA,1,261,5037000,718000,4037000,282000,201000,4977000
5301920,,WA,1,320,6691000,1576000,4514000,601000,466000,5975000
5301980,,WA,1,428,8480000,1204000,6284000,992000,770000,8257000
5302010,,WA,1,587,11057000,1274000,7354000,2429000,2050000,10123000
5302040,,WA,1,379,7937000,1059000,5146000,1732000,1246000,7098000
5302070,,WA,1,2604,42569000,4420000,31685000,6464000,5211000,35620000
5302280,,WA,1,3666,67644000,10329000,42603000,14712000,14017000,59394000
5302310,,WA,1,5964,100750000,14013000,66314000,20423000,19016000,92797000
5302340,,WA,1,84,3263000,247000,2391000,625000,587000,2776000
5302370,,WA,1,1939,32508000,2594000,21209000,8705000,7629000,27983000
