leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
0100005,,AL,1,5956,74598000,13132000,42566000,18900000,7070000,61142000
0100006,,AL,1,5898,88554000,24404000,45327000,18823000,9059000,71969000
0100007,,AL,1,13606,219069000,18644000,87393000,113032000,88509000,188495000
0100008,,AL,1,12302,177759000,14037000,85179000,78543000,38617000,132175000
0100011,,AL,1,2169,31585000,5158000,15284000,11143000,5368000,24789000
0100012,,AL,1,2448,33044000,6230000,18456000,8358000,3420000,28105000
0100013,,AL,1,4941,70990000,4946000,36179000,29865000,18151000,56961000
0100030,,AL,1,2927,42737000,9072000,21452000,12213000,3203000,36781000
0100060,,AL,1,1862,26857000,4582000,15297000,6978000,923000,21293000
0100090,,AL,1,1908,31767000,8744000,14131000,8892000,5868000,26514000
0100100,,AL,1,2645,34542000,4021000,21321000,9200000,2170000,28253000
0100120,,AL,1,4788,87363000,7934000,33925000,45504000,3929000,51018000
0100180,,AL,1,1523,19049000,3886000,12048000,3115000,1080000,16795000
0100185,,AL,1,3261,45243000,5452000,24503000,15288000,7680000,39620000
0100188,,AL,1,2688,28157000,5189000,19151000,3817000,2489000,25707000
0100189,,AL,1,1520,19348000,2313000,11945000,5090000,3043000,17663000
0100190,,AL,1,6354,99923000,9915000,50231000,39777000,18468000,78637000
0100194,,AL,1,3520,58070000,6059000,24733000,27278000,13880000,41105000
0100195,,AL,1,2688,31039000,1749000,20475000,8815000,2159000,26119000
0100202,,AL,1,2338,38864000,4240000,9600000,25024000,5942000,26800000
0100210,,AL,1,9395,155726000,9925000,65320000,80481000,26241000,103130000
0100240,,AL,1,9008,111646000,18710000,68710000,24226000,9277000,92509000
0100270,,AL,1,31812,528300000,55636000,196974000,275690000,67019000,381717000
0100300,,AL,1,737,13297000,5709000,5102000,2486000,1549000,10921000
0100330,,AL,1,3409,52179000,13709000,24274000,14196000,12496000,46295000
0100360,,AL,1,3076,47810000,8528000,30335000,8947000,2223000,39608000
0100390,,AL,1,21328,360241000,83478000,157853000,118910000,104898000,296250000
0100420,,AL,1,7659,103251000,17782000,65432000,20037000,4261000,82559000
0100450,,AL,1,1212,21039000,3985000,10462000,6592000,2233000,15793000
0100480,,AL,1,1443,23205000,8001000,11798000,3406000,2040000,20016000
0100510,,AL,1,2927,42300000,10007000,22516000,9777000,3226000,33719000
0100540,,AL,1,8118,109620000,17784000,66011000,25825000,10423000,94709000
0100600,,AL,1,3347,44560000,9462000,24830000,10268000,4993000,40343000
0100630,,AL,1,3895,53952000,9616000,29545000,14791000,6857000,47657000
0100660,,AL,1,7723,96304000,19844000,59922000,16538000,5568000,78631000
0100690,,AL,1,1067,20102000,4322000,8421000,7359000,5058000,16421000
0100720,,AL,1,2254,40349000,12258000,19485000,8606000,4284000,29940000
0100750,,AL,1,1826,23509000,5148000,14668000,3693000,1536000,20509000
0100780,,AL,1,2517,33398000,5011000,22197000,6190000,2592000,28459000
0100810,,AL,1,2782,35431000,6921000,21367000,7143000,3126000,29148000
0100840,,AL,1,2658,39578000,7108000,18739000,13731000,5889000,37109000
0100870,,AL,1,1513,26177000,4343000,16368000,5466000,1632000,22537000
0100900,,AL,1,788,16221000,4663000,6249000,5309000,2073000,12043000
0100930,,AL,1,2982,42537000,7565000,23750000,11222000,2544000,35316000
0100960,,AL,1,2250,30423000,6283000,18150000,5990000,1957000,25543000
0100990,,AL,1,3224,48471000,6662000,23871000,17938000,6411000,39450000
0101020,,AL,1,9704,138239000,26891000,76714000,34634000,8264000,111780000
0101050,,AL,1,3241,44196000,5972000,28550000,9674000,2275000,37194000
0101080,,AL,1,1195,17432000,4695000,10315000,2422000,686000,13755000
0101110,,AL,1,2648,43155000,11649000,24810000,6696000,2464000,40648000
0101140,,AL,1,8622,112305000,23087000,68953000,20265000,6362000,101990000
0101170,,AL,1,8679,138008000,18642000,64864000,54502000,20633000,119457000
0101200,,AL,1,2106,29380000,6217000,16677000,6486000,2358000,24584000
0101230,,AL,1,8355,126223000,32178000,66861000,27184000,9474000,100293000
0101260,,AL,1,646,6172000,443000,4230000,1499000,543000,7900000
0101290,,AL,1,11919,141133000,25990000,79892000,35251000,11020000,123737000
0101320,,AL,1,6589,89439000,14471000,52184000,22784000,5429000,72778000
0101350,,AL,1,4150,66714000,12881000,31439000,22394000,7020000,54740000
0101380,,AL,1,8612,111655000,20475000,72506000,18674000,8617000,92479000
0101410,,AL,1,6780,68568000,13814000,46976000,7778000,3212000,52038000
0101440,,AL,1,1591,22805000,5714000,12621000,4470000,3346000,21837000
0101470,,AL,1,2157,29656000,6107000,17229000,6320000,1826000,27226000
0101530,,AL,1,4719,77584000,10030000,32539000,35015000,14151000,62519000
0101560,,AL,1,3498,42699000,8174000,25664000,8861000,4228000,36495000
0101590,,AL,1,3618,52070000,11108000,31064000,9898000,1978000,45385000
0101620,,AL,1,4858,72743000,17709000,41516000,13518000,8322000,61547000
0101640,,AL,1,1231,17562000,3944000,9971000,3647000,697000,15192000
0101660,,AL,1,2760,40027000,9997000,23465000,6565000,1629000,32331000
0101680,,AL,1,937,19165000,4943000,7904000,6318000,3109000,16330000
0101690,,AL,1,1890,28715000,4674000,12853000,11188000,3122000,23845000
0101710,,AL,1,2344,31681000,6520000,18722000,6439000,1811000,27911000
0101720,,AL,1,1624,22858000,4420000,13108000,5330000,1476000,20987000
0101730,,AL,1,3625,47891000,5167000,26945000,15779000,3884000,42571000
0101740,,AL,1,2488,33137000,6308000,20111000,6718000,2430000,28555000
0101760,,AL,1,4236,71527000,5479000,24518000,41530000,25367000,60627000
0101770,,AL,1,6662,80650000,13280000,47340000,20030000,7312000,70207000
0101800,,AL,1,23939,382031000,65742000,149729000,166560000,88622000,288049000
0101830,,AL,1,5136,71470000,10069000,40394000,21007000,6026000,59084000
0101860,,AL,1,1690,23177000,4485000,13231000,5461000,2046000,19116000
0101890,,AL,1,2599,36553000,5135000,18453000,12965000,2066000,31707000
0101920,,AL,1,35819,478390000,84078000,259345000,134967000,105466000,411805000
0101950,,AL,1,2212,28529000,4070000,18742000,5717000,1681000,23978000
0101980,,AL,1,970,17565000,4658000,8725000,4182000,1173000,11162000
0102010,,AL,1,8175,99474000,14263000,59985000,25226000,11214000,89062000
0102040,,AL,1,4764,67827000,12057000,39017000,16753000,2862000,57608000
0102070,,AL,1,9303,127657000,18394000,68004000,41259000,16626000,107711000
0102100,,AL,1,15506,152713000,16920000,94010000,41783000,7052000,124371000
0102130,,AL,1,446,7812000,1680000,4615000,1517000,381000,6798000
0102160,,AL,1,1180,26931000,8338000,13545000,5048000,2054000,24488000
0102190,,AL,1,1845,36398000,12135000,16375000,7888000,5106000,31297000
0102220,,AL,1,19873,256442000,29451000,141949000,85042000,28551000,209525000
0102250,,AL,1,964,15902000,3682000,8175000,4045000,1737000,13784000
0102310,,AL,1,3373,42969000,8517000,25338000,9114000,2976000,37511000
0102350,,AL,1,1011,15460000,3501000,8407000,3552000,2486000,14786000
0102370,,AL,1,52614,759666000,183895000,376237000,199534000,140902000,639931000
0102400,,AL,1,3163,41848000,9040000,24410000,8398000,3396000,40044000
0102430,,AL,1,27396,381900000,98152000,210848000,72900000,31945000,313131000
0102480,,AL,1,7582,108884000,14426000,57252000,37206000,14838000,84579000
0102490,,AL,1,4340,86651000,2680000,28140000,55831000,44020000,72720000
0102520,,AL,1,2840,39975000,4582000,21432000,13961000,5426000,33837000
0102550,,AL,1,1425,20431000,2643000,12975000,4813000,1288000,15652000
0102580,,AL,1,4977,76879000,12357000,35728000,28794000,13685000,56773000
0102610,,AL,1,1264,20517000,5850000,10456000,4211000,787000,16323000
0102635,,AL,1,4202,58913000,6587000,29535000,22791000,7789000,49138000
0102640,,AL,1,2104,32682000,7228000,18352000,7102000,2714000,26254000
0102650,,AL,1,4140,55940000,9076000,34983000,11881000,4169000,44493000
0102670,,AL,1,1089,19793000,6326000,10631000,2836000,1620000,16461000
0102700,,AL,1,7310,103602000,23986000,59839000,19777000,10667000,86390000
0102730,,AL,1,2343,34487000,7318000,20717000,6452000,2061000,29427000
0102760,,AL,1,1131,17498000,4287000,9595000,3616000,995000,13581000
0102790,,AL,1,2157,34926000,7534000,17991000,9401000,2202000,31131000
0102820,,AL,1,2052,29894000,6869000,16589000,6436000,3051000,25862000
0102850,,AL,1,1454,19105000,3651000,11039000,4415000,971000,16358000
0102880,,AL,1,3710,49910000,11544000,27948000,10418000,5632000,42248000
0102910,,AL,1,2547,37967000,8446000,20142000,9379000,1163000,32329000
0102940,,AL,1,2501,36764000,6055000,17949000,12760000,3138000,30679000
0102970,,AL,1,2479,40350000,11821000,21453000,7076000,3742000,35422000
0103000,,AL,1,1035,17245000,4023000,8022000,5200000,1706000,14727000
0103030,,AL,1,21102,291553000,26944000,151326000,113283000,71454000,237451000
0103062,,AL,1,9771,113712000,15119000,71070000,27523000,9578000,97854000
0103090,,AL,1,1083,18658000,3766000,10160000,4732000,2112000,17380000
0103120,,AL,1,2104,28262000,6509000,15111000,6642000,2090000,25347000
0103150,,AL,1,1792,25945000,6136000,14550000,5259000,2138000,24450000
0103180,,AL,1,7127,100022000,16230000,55350000,28442000,16858000,83474000
0103210,,AL,1,2808,41268000,7268000,19567000,14433000,7635000,34370000
0103240,,AL,1,1613,21654000,3212000,11898000,6544000,1188000,18596000
0103270,,AL,1,1290,19274000,5444000,10044000,3786000,2858000,16342000
0103300,,AL,1,1084,16547000,3049000,9589000,3909000,1664000,14337000
0103330,,AL,1,1682,28476000,6774000,13653000,8049000,2135000,21272000
0103360,,AL,1,10964,173440000,31224000,73374000,68842000,33831000,141950000
0103390,,AL,1,19111,253983000,37793000,147569000,68621000,21940000,213783000
0103420,,AL,1,1454,20252000,4174000,10663000,5415000,1833000,17700000
0103430,,AL,1,7095,112125000,5691000,48014000,58420000,42697000,99809000
0103450,,AL,1,7201,104350000,18548000,60275000,25527000,5303000,88680000
0103480,,AL,1,2583,32861000,6069000,19262000,7530000,4692000,30063000
0103510,,AL,1,1306,25797000,7432000,12384000,5981000,1606000,21504000
0103540,,AL,1,1255,17338000,2823000,10113000,4402000,1046000,15011000
0103580,,AL,1,2317,34207000,5675000,19283000,9249000,3125000,31666000
0200001,,AK,1,3960,143167000,49778000,90652000,2737000,,166045000
0200003,,AK,1,1995,72213000,33303000,37547000,1363000,,79008000
0200004,,AK,1,445,16954000,9194000,7531000,229000,,17801000
0200005,,AK,1,326,11133000,5893000,4595000,645000,,11386000
0200007,,AK,1,207,10812000,2811000,6517000,1484000,,11847000
0200010,,AK,1,24,1725000,123000,1561000,41000,,2391000
0200020,,AK,1,1879,71084000,29715000,37122000,4247000,,77433000
0200030,,AK,1,113,5118000,1279000,1725000,2114000,,6644000
0200050,,AK,1,403,15690000,4546000,10735000,409000,,16256000
0200060,,AK,1,322,8324000,1045000,5423000,1856000,,7477000
0200070,,AK,1,431,9909000,1989000,7800000,120000,,9614000
0200090,,AK,1,705,9328000,2297000,6310000,721000,,9540000
0200100,,AK,1,882,15130000,2351000,12572000,207000,,14976000
0200120,,AK,1,426,14637000,4517000,8026000,2094000,,14335000
0200130,,AK,1,7552,50493000,2837000,46068000,1588000,,42441000
0200150,,AK,1,2156,51693000,7894000,32667000,11132000,,50353000
0200180,,AK,1,43054,805548000,146054000,435724000,223770000,,740543000
0200210,,AK,1,4355,94935000,11667000,49581000,33687000,,90433000
0200240,,AK,1,1136,28474000,3844000,14882000,9748000,,27276000
0200270,,AK,1,250,7292000,1025000,4350000,1917000,,6434000
0200300,,AK,1,123,4158000,962000,2693000,503000,,4098000
0200330,,AK,1,130,4626000,2231000,2151000,244000,,5151000
0200360,,AK,1,103,4343000,1451000,2537000,355000,,4283000
0200390,,AK,1,8423,174517000,28184000,95196000,51137000,,170500000
0200450,,AK,1,120,4496000,1901000,2265000,330000,,4401000
0200480,,AK,1,2277,60349000,9535000,39662000,11152000,,54753000
0200485,,AK,1,351,18266000,3871000,11255000,3140000,,20282000
0200510,,AK,1,19319,362632000,53359000,227274000,81999000,,312408000
0200520,,AK,1,286,8938000,2485000,6088000,365000,,10013000
0200525,,AK,1,318,12441000,8082000,4269000,90000,,12182000
0200540,,AK,1,1701,14769000,1416000,13111000,242000,,14937000
0200570,,AK,1,687,17125000,2719000,10441000,3965000,,17125000
0200600,,AK,1,12331,243859000,47972000,142094000,53793000,,232025000
0200610,,AK,1,2058,82291000,13255000,24321000,44715000,,81014000
0200625,,AK,1,1877,99629000,18045000,69051000,12533000,,74381000
0200630,,AK,1,16,610000,41000,519000,50000,,637000
0200660,,AK,1,431,11319000,1799000,7056000,2464000,,10653000
0200670,,AK,1,61,3295000,981000,1944000,370000,,2377000
0200680,,AK,1,210,6699000,2080000,4385000,234000,,7721000
0200690,,AK,1,142,3947000,281000,1403000,2263000,,3845000
0200700,,AK,1,155,8001000,2055000,5749000,197000,,8119000
0200710,,AK,1,574,22305000,9879000,11575000,851000,,25278000
0200715,,AK,1,26,1016000,186000,814000,16000,,1330000
0200720,,AK,1,354,10699000,763000,4782000,5154000,,9731000
0200730,,AK,1,139,5773000,2049000,3622000,102000,,5678000
0200760,,AK,1,359,21203000,7176000,13746000,281000,,18868000
0200770,,AK,1,1035,10670000,936000,7687000,2047000,,11139000
0200775,,AK,1,213,12915000,6869000,5827000,219000,,13462000
0200780,,AK,1,707,21193000,2010000,8160000,11023000,,17801000
0200800,,AK,1,638,7367000,1347000,5403000,617000,,8586000
0200810,,AK,1,260,5680000,375000,3872000,1433000,,5969000
0200840,,AK,1,96,2460000,426000,1478000,556000,,2558000
0200862,,AK,1,3400,38806000,9308000,26982000,2516000,,37404000
0400001,,AZ,1,4817,52806000,4984000,13158000,34664000,28702000,40637000
0400003,,AZ,1,2307,27972000,6143000,11418000,10411000,6776000,21671000
0400021,,AZ,1,502,11526000,3336000,5574000,2616000,572000,9128000
0400023,,AZ,1,923,25077000,14872000,8172000,2033000,0,22107000
0400026,,AZ,1,395,7603000,1697000,1721000,4185000,3738000,5701000
0400212,,AZ,1,1281,16256000,3042000,7430000,5784000,4281000,13488000
0400295,,AZ,1,6876,76495000,13328000,32162000,31005000,24441000,64189000
0400520,,AZ,1,396,5441000,1034000,3151000,1256000,685000,3939000
0400680,,AZ,1,12290,163157000,28176000,45480000,89501000,76050000,126973000
0400790,,AZ,1,2996,34564000,3277000,11965000,19322000,16995000,29380000
0400910,,AZ,1,284,5623000,796000,2136000,2691000,2235000,3648000
0401000,,AZ,1,430,8839000,685000,554000,7600000,4075000,6629000
0401180,,AZ,1,644,10717000,3450000,2983000,4284000,2266000,8087000
0401330,,AZ,1,59,2555000,327000,786000,1442000,1382000,1660000
0401460,,AZ,1,4816,49254000,10699000,19796000,18759000,14232000,44070000
0401600,,AZ,1,1602,16794000,3249000,7472000,6073000,2842000,15062000
0401760,,AZ,1,5102,60913000,5008000,18447000,37458000,29717000,46622000
0401870,,AZ,1,43411,544489000,71346000,240421000,232722000,178538000,420904000
0401940,,AZ,1,3228,71482000,43369000,22124000,5989000,0,55208000
0402320,,AZ,1,2387,32580000,11531000,11273000,9776000,6772000,24595000
0402370,,AZ,1,1821,24367000,8228000,8523000,7616000,5214000,19003000
0402530,,AZ,1,3800,54959000,12755000,35520000,6684000,3319000,36488000
0402600,,AZ,1,380,5388000,1195000,634000,3559000,1062000,4411000
0402690,,AZ,1,22946,287479000,50194000,127470000,109815000,85391000,226963000
0402740,,AZ,1,202,6424000,777000,1969000,3678000,,5366000
0402860,,AZ,1,9010,113558000,20933000,22974000,69651000,63125000,101073000
0402920,,AZ,1,9452,110615000,17651000,57950000,35014000,27955000,82158000
0403010,,AZ,1,5329,63699000,13783000,29778000,20138000,13199000,50648000
0403040,,AZ,1,1259,16788000,2181000,3795000,10812000,9689000,13545000
0403080,,AZ,1,185,5099000,613000,1971000,2515000,1237000,2585000
0403200,,AZ,1,612,13990000,8417000,5187000,386000,0,11110000
0403290,,AZ,1,1062,22777000,13274000,8066000,1437000,376000,18089000
0403310,,AZ,1,437,7043000,1143000,902000,4998000,3594000,5851000
0403400,,AZ,1,33180,399821000,48210000,179134000,172477000,93477000,307023000
0403500,,AZ,1,1517,18053000,4726000,9792000,3535000,2068000,15955000
0403550,,AZ,1,263,7517000,1092000,2047000,4378000,2520000,5483000
0403730,,AZ,1,275,5476000,900000,1777000,2799000,2500000,4768000
0403780,,AZ,1,13019,152601000,17083000,74298000,61220000,42470000,111247000
0403820,,AZ,1,1745,29496000,10142000,14063000,5291000,2607000,24118000
0403860,,AZ,1,141,3629000,389000,1052000,2188000,,4913000
0403870,,AZ,1,5445,62299000,10632000,23910000,27757000,19930000,49421000
0403950,,AZ,1,1018,20353000,12048000,7405000,900000,0,22292000
0403990,,AZ,1,4440,47366000,7039000,25180000,15147000,10843000,38476000
0404010,,AZ,1,450,8374000,594000,1305000,6475000,4920000,6371000
0404060,,AZ,1,1610,32753000,18395000,12527000,1831000,1000,31407000
0404280,,AZ,1,5343,58066000,7507000,16881000,33678000,29695000,43916000
0404410,,AZ,1,365,4702000,1126000,2104000,1472000,1070000,4045000
0404570,,AZ,1,510,7918000,2610000,3724000,1584000,896000,6476000
0404630,,AZ,1,12488,151931000,21597000,65903000,64431000,51596000,124024000
0404720,,AZ,1,7922,131953000,17103000,86210000,28640000,22319000,73100000
0404820,,AZ,1,530,8738000,2689000,3522000,2527000,1574000,6827000
0404970,,AZ,1,57447,748827000,135595000,333211000,280021000,223846000,641080000
0405320,,AZ,1,1342,21777000,2405000,1428000,17944000,8975000,15104000
0405460,,AZ,1,981,13328000,2175000,6230000,4923000,3856000,12000000
0405530,,AZ,1,5503,63677000,17497000,36167000,10013000,7219000,52875000
0405820,,AZ,1,2452,35318000,13932000,12479000,8907000,4281000,28410000
0405930,,AZ,1,28361,409330000,60843000,111739000,236748000,208366000,316327000
0405980,,AZ,1,1834,26632000,13106000,9960000,3566000,1124000,21793000
0406070,,AZ,1,2304,36071000,5653000,11961000,18457000,12987000,23591000
0406120,,AZ,1,136,4160000,1982000,1101000,1077000,802000,6143000
0406250,,AZ,1,35971,416456000,65157000,204034000,147265000,115579000,329782000
0406440,,AZ,1,1046,11380000,1764000,7993000,1623000,650000,9293000
0406580,,AZ,1,1843,25758000,4616000,5560000,15582000,13559000,20470000
0406730,,AZ,1,3705,39491000,4945000,10534000,24012000,21388000,36723000
0406740,,AZ,1,641,13881000,8533000,4790000,558000,0,12848000
0406810,,AZ,1,11957,197563000,14863000,122933000,59767000,44236000,104010000
0406850,,AZ,1,374,5514000,1090000,1753000,2671000,2375000,4271000
0406870,,AZ,1,450,11890000,7133000,4272000,485000,0,11374000
0406960,,AZ,1,1350,29240000,18492000,9606000,1142000,0,23962000
0407130,,AZ,1,1376,17388000,3089000,1777000,12522000,9346000,15402000
0407170,,AZ,1,2820,32706000,4849000,2991000,24866000,21429000,25082000
0407240,,AZ,1,2878,34586000,5129000,22964000,6493000,4543000,26034000
0407300,,AZ,1,6219,71867000,9489000,31347000,31031000,23384000,53378000
0407430,,AZ,1,114,2589000,151000,847000,1591000,1366000,2406000
0407520,,AZ,1,3554,57556000,11863000,29084000,16609000,8615000,33848000
0407570,,AZ,1,21255,294453000,36660000,56234000,201559000,184294000,208345000
0407630,,AZ,1,143,4144000,212000,853000,3079000,2658000,3303000
0407700,,AZ,1,2550,28655000,4699000,12715000,11241000,8123000,20420000
0407750,,AZ,1,32382,384890000,48413000,148429000,188048000,161464000,309610000
0407820,,AZ,1,2699,30484000,7268000,17075000,6141000,3643000,21398000
0408020,,AZ,1,383,5022000,640000,2705000,1677000,969000,4195000
0408080,,AZ,1,928,12022000,1797000,2462000,7763000,1278000,9579000
0408170,,AZ,1,14401,173135000,56283000,84671000,32181000,21836000,139880000
0408230,,AZ,1,341,6297000,1054000,2557000,2686000,1102000,4261000
0408280,,AZ,1,2178,52711000,3154000,24643000,24914000,8918000,20374000
0408410,,AZ,1,1825,18491000,3643000,12506000,2342000,1288000,15440000
0408600,,AZ,1,871,14398000,3140000,6350000,4908000,1781000,10269000
0408680,,AZ,1,1456,31346000,19463000,8725000,3158000,6000,23850000
0408800,,AZ,1,41084,567374000,133658000,196609000,237107000,199711000,474327000
0408850,,AZ,1,14000,163387000,16316000,88628000,58443000,38962000,131550000
0409160,,AZ,1,2238,43523000,26076000,15357000,2090000,0,31198000
0409190,,AZ,1,1258,16096000,1778000,3645000,10673000,8121000,13036000
0409250,,AZ,1,1044,14730000,3129000,6305000,5296000,4338000,11885000
0409310,,AZ,1,652,9103000,838000,2384000,5881000,4762000,7659000
0409430,,AZ,1,1677,37949000,20756000,13976000,3217000,333000,27877000
0409460,,AZ,1,1825,31298000,10684000,14463000,6151000,2323000,20005000
0409540,,AZ,1,49,1880000,237000,266000,1377000,1184000,1543000
0409733,,AZ,1,694,14377000,1521000,1757000,11099000,10244000,8364000
0500001,,AR,1,1168,16752000,3796000,5651000,7305000,1838000,14396000
0500006,,AR,1,1462,29878000,5176000,15744000,8958000,920000,17891000
0500009,,AR,1,864,11029000,2151000,4597000,4281000,1074000,9653000
0500012,,AR,1,745,9642000,1895000,5054000,2693000,619000,8215000
0500015,,AR,1,4219,49702000,8928000,27469000,13305000,3379000,42299000
0500016,,AR,1,766,8832000,2107000,4452000,2273000,535000,7356000
0500017,,AR,1,3215,41721000,8802000,21513000,11406000,2896000,34973000
0500019,,AR,1,3485,44235000,10084000,20540000,13611000,3212000,33540000
0500020,,AR,1,500,7754000,2182000,3385000,2187000,532000,7172000
0500021,,AR,1,618,9457000,2660000,4443000,2354000,543000,7970000
0500023,,AR,1,1214,18226000,5027000,6503000,6696000,1743000,16296000
0500026,,AR,1,3603,69596000,18512000,26484000,24600000,5626000,57189000
0500028,,AR,1,1416,20352000,5453000,10277000,4622000,1055000,18153000
0500029,,AR,1,1164,15943000,3983000,9498000,2462000,552000,12983000
0500030,,AR,1,374,5145000,973000,2932000,1240000,280000,4978000
0500032,,AR,1,489,6989000,1617000,3722000,1650000,370000,6154000
0500041,,AR,1,360,5943000,1750000,2827000,1366000,328000,5016000
0500042,,AR,1,1686,22445000,4428000,12084000,5933000,1422000,18469000
0500043,,AR,1,3927,48586000,9417000,16889000,22280000,5791000,41316000
0500044,,AR,1,2704,35540000,7322000,16752000,11466000,2802000,32404000
0500045,,AR,1,1058,16204000,3222000,7164000,5818000,1363000,14007000
0500046,,AR,1,1078,14164000,3010000,7321000,3833000,831000,12167000
0500047,,AR,1,1540,22563000,5952000,11985000,4626000,1112000,18536000
0500048,,AR,1,610,9383000,2465000,4956000,1962000,409000,7723000
0500049,,AR,1,2323,30962000,7764000,17761000,5437000,1271000,29127000
0500051,,AR,1,807,9255000,1328000,6081000,1846000,475000,7406000
0500065,,AR,1,535,9397000,3474000,3227000,2696000,672000,8803000
0500067,,AR,1,778,12303000,4379000,5098000,2826000,649000,9849000
0500068,,AR,1,1082,14914000,2041000,6576000,6297000,1467000,12350000
0500070,,AR,1,619,11868000,2492000,2732000,6644000,1721000,10636000
0500071,,AR,1,420,7995000,1409000,4624000,1962000,459000,6330000
0500072,,AR,1,404,7269000,996000,4073000,2200000,229000,4926000
0500073,,AR,1,775,10128000,2379000,5738000,2011000,457000,8443000
0500076,,AR,1,597,11107000,2246000,6159000,2702000,613000,8183000
0500079,,AR,1,807,11632000,2970000,5578000,3084000,774000,9756000
0500082,,AR,1,1019,12200000,2635000,5353000,4212000,1022000,10170000
0500405,,AR,1,881,13248000,2566000,7375000,3307000,801000,11706000
0500419,,AR,1,4095,62727000,13368000,28966000,20393000,5393000,46874000
0502250,,AR,1,3210,40037000,6952000,22890000,10195000,2365000,34635000
0502280,,AR,1,455,5595000,975000,3320000,1300000,322000,5308000
0502430,,AR,1,1922,23824000,3037000,10013000,10774000,2737000,18326000
0502550,,AR,1,427,10143000,1175000,541000,8427000,1713000,6041000
0502580,,AR,1,1299,19011000,3762000,6119000,9130000,2198000,16113000
0502610,,AR,1,969,12880000,2683000,6709000,3488000,887000,11460000
0502670,,AR,1,350,7002000,2470000,1837000,2695000,685000,5841000
0502700,,AR,1,1150,15876000,3769000,7094000,5013000,1178000,12854000
0502730,,AR,1,695,10696000,2897000,5716000,2083000,509000,8343000
0502790,,AR,1,1610,17705000,2406000,11040000,4259000,956000,15194000
0502820,,AR,1,565,7018000,1060000,3929000,2029000,495000,6571000
0502880,,AR,1,3390,40327000,7736000,21504000,11087000,2479000,33329000
0502960,,AR,1,5723,64977000,7912000,34854000,22211000,5739000,50656000
0503030,,AR,1,2361,31506000,3597000,19896000,8013000,1841000,24178000
0503060,,AR,1,18536,250726000,21971000,94109000,134646000,34461000,216832000
0503090,,AR,1,1142,12366000,2527000,7480000,2359000,534000,11347000
0503150,,AR,1,1857,25300000,4551000,12073000,8676000,2043000,22158000
0503240,,AR,1,965,13814000,3822000,6429000,3563000,840000,11350000
0503300,,AR,1,451,6467000,1331000,3793000,1343000,315000,5437000
0503320,,AR,1,1666,31001000,10247000,11933000,8821000,2104000,25196000
0503420,,AR,1,399,6244000,1854000,2656000,1734000,435000,5274000
0503450,,AR,1,1312,16733000,3871000,8835000,4027000,987000,13985000
0503480,,AR,1,473,6002000,1167000,3480000,1355000,321000,5322000
0503630,,AR,1,453,7871000,2258000,2550000,3063000,787000,6558000
0503640,,AR,1,2975,33627000,4949000,18755000,9923000,2205000,27131000
0503690,,AR,1,9564,112414000,17135000,55193000,40086000,10407000,94142000
0503710,,AR,1,736,10158000,2137000,4391000,3630000,831000,8616000
0503750,,AR,1,10597,119646000,18811000,67596000,33239000,8139000,105759000
0503770,,AR,1,580,8018000,2243000,4200000,1575000,333000,6819000
0503840,,AR,1,372,5685000,1312000,2727000,1646000,403000,4970000
0503960,,AR,1,658,8995000,1606000,3816000,3573000,862000,8168000
0504020,,AR,1,1782,21496000,3979000,11290000,6227000,1442000,18408000
0504050,,AR,1,1278,16857000,3786000,9453000,3618000,845000,14610000
0504080,,AR,1,730,10137000,2345000,5609000,2183000,484000,9860000
0504110,,AR,1,1208,16912000,2542000,11313000,3057000,686000,11686000
0504170,,AR,1,892,10280000,2085000,5756000,2439000,578000,8703000
0504200,,AR,1,895,10167000,1953000,5633000,2581000,627000,9313000
0504350,,AR,1,444,8247000,1781000,3463000,3003000,743000,7138000
0504370,,AR,1,626,8436000,2297000,3656000,2483000,575000,7068000
0504380,,AR,1,2459,35149000,8637000,18126000,8386000,2121000,30460000
0504410,,AR,1,1299,18060000,3971000,7551000,6538000,1668000,15438000
0504560,,AR,1,379,7213000,1787000,2621000,2805000,697000,5985000
0504590,,AR,1,10038,135299000,28450000,54560000,52289000,13613000,117174000
0504680,,AR,1,775,9501000,2000000,5151000,2350000,541000,8219000
0504740,,AR,1,554,7456000,1754000,3612000,2090000,513000,5902000
0504800,,AR,1,1638,23219000,4835000,8643000,9741000,2497000,18109000
0504860,,AR,1,691,9217000,1986000,4670000,2561000,619000,8772000
0504890,,AR,1,780,11469000,3130000,6527000,1812000,434000,10034000
0504930,,AR,1,2083,25829000,4693000,16183000,4953000,1225000,24217000
0504980,,AR,1,610,8924000,2083000,3937000,2904000,705000,7755000
0505170,,AR,1,340,7384000,2625000,2747000,2012000,478000,5944000
0505190,,AR,1,594,7850000,1551000,3949000,2350000,533000,6755000
0505340,,AR,1,516,7205000,1185000,3495000,2525000,436000,6444000
0505430,,AR,1,1220,15964000,3052000,8298000,4614000,1165000,13807000
0505470,,AR,1,1199,15794000,3360000,8469000,3965000,919000,13558000
0505500,,AR,1,1016,18943000,5695000,7650000,5598000,1393000,15887000
0505550,,AR,1,440,9724000,3716000,3815000,2193000,514000,8164000
0505580,,AR,1,644,9014000,2650000,4335000,2029000,493000,7460000
0505680,,AR,1,4130,60107000,14260000,21244000,24603000,6194000,52103000
