status,building_irn,building_name,lea_irn,lea_name,school_type,subgroups,year_identified,open_closed,cycle,school_year
csi,134098,Constellation Schools: Old Brooklyn Community Elementary,134098,Constellation Schools: Old Brooklyn Community Elementary,Community School,,2022,Open,Year 1,2025
csi,134122,Autism Model School,134122,Autism Model School,Community School,,2018,Open,Year 1,2025
csi,140152,Choices Alternative School,043711,Canton City,Traditional School,,2018,Open,Year 1,2025
csi,140350,Portsmouth Elementary,044669,Portsmouth City,Traditional School,,ATSI 2022 ; CSI 2025,Open,Year 1,2025
csi,142398,Virtual High School,043752,Cincinnati Public Schools,Traditional School,,2018,Open,Year 1,2025
csi,142901,Stark High School,142901,Stark High School,Dropout Recovery School,,2018,Open,Year 1,2025
csi,142919,Black River Career Prep High School,142919,Black River Career Prep High School,Dropout Recovery School,,2018,Open,Year 1,2025
csi,142927,Focus Learning Academy of Southwestern Columbus,142927,Focus Learning Academy of Southwestern Columbus,Dropout Recovery School,,2018,Open,Year 1,2025
csi,142935,Focus Learning Academy of Southeastern Columbus,142935,Focus Learning Academy of Southeastern Columbus,Dropout Recovery School,,2018,Open,Year 1,2025
csi,142950,Ohio Virtual Academy,142950,Ohio Virtual Academy,Community School,,2025,Open,Year 1,2025
csi,142968,Hope Academy Northcoast Campus,142968,Hope Academy Northcoast Campus,Community School,,ATSI 2022 ; CSI 2025,Open,Year 1,2025
csi,143305,TRECA Digital Academy,143305,TRECA Digital Academy,Dropout Recovery School,,2018,Open,Year 1,2025
csi,143396,Alternative Education Academy,143396,Alternative Education Academy,Community School,,2018,Open,Year 1,2025
csi,145557,Western Hills University High School,043752,Cincinnati Public Schools,Traditional School,,2018,Open,Year 1,2025
csi,147231,Schnee Learning Center,147231,Schnee Learning Center,Dropout Recovery School,,2018,Open,Year 1,2025
csi,148981,Tomorrow Center,148981,Tomorrow Center,Dropout Recovery School,,2018,Open,Year 1,2025
csi,148999,The Unlimited Classroom dba Valley Virtual Remote Learning A,148999,The Unlimited Classroom dba Valley Virtual Remote Learning A,Dropout Recovery School,,2018,Open,Year 1,2025
csi,149047,GOAL Digital Academy,149047,GOAL Digital Academy,Dropout Recovery School,,2018,Open,Year 1,2025
csi,149088,Fairborn Digital Academy,149088,Fairborn Digital Academy,Dropout Recovery School,,2018,Open,Year 1,2025
csi,149302,Skyway Career Prep High School,149302,Skyway Career Prep High School,Dropout Recovery School,,2018,Open,Year 1,2025
csi,151175,West Central Learning Academy II,151175,West Central Learning Academy II,Dropout Recovery School,,2018,Open,Year 1,2025
csi,151183,Lake Erie International High School,151183,Lake Erie International High School,Dropout Recovery School,,2018,Open,Year 1,2025
csi,151209,Randall Park High School,151209,Randall Park High School,Dropout Recovery School,,2018,Open,Year 1,2025
tsi,000224,Adlai Stevenson School,043786,Cleveland Municipal,Traditional School,Black Non-Hispanic;Economic Disadvantage,,,Year 1,2025
tsi,000270,Main Street School,044560,Norwalk City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,000402,Findlay Digital Academy,000402,Findlay Digital Academy,Dropout Recovery School,White Non-Hispanic,,,Year 1,2025
tsi,000841,Longfellow Middle School,044263,Lorain City,Traditional School,Economic Disadvantage;White Non-Hispanic,,,Year 1,2025
tsi,000968,Arlington Elementary School,044909,Toledo City,Traditional School,Black Non-Hispanic,,,Year 1,2025
tsi,001123,Lakeside High School,043513,Ashtabula Area City,Traditional School,English Learner;Hispanic,,,Year 1,2025
tsi,001883,Beallsville High School,048652,Switzerland of Ohio Local,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,007278,Continental Local High School,049320,Continental Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,008309,Lorain High School,044263,Lorain City,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,008342,Pike-Delta-York High School,047084,Pike-Delta-York Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,008722,Dover High School,043893,Dover City,Traditional School,English Learner,,,Year 1,2025
tsi,009498,East Community Learning Center,043489,Akron City,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,009953,Sullivant Avenue Community School,009953,Sullivant Avenue Community School,Community School,Hispanic,,,Year 1,2025
tsi,011532,National Inventors Hall of Fame School; Center for STEM,043489,Akron City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,011708,South Gallia Middle School,065680,Gallia County Local,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,011868,North College Hill Middle School,044511,North College Hill City,Traditional School,Black Non-Hispanic;Economic Disadvantage,,,Year 1,2025
tsi,012328,Franklin Heights High School,044800,South-Western City,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,013124,Massillon Intermediate School,044354,Massillon City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,013144,Garfield Heights Middle School,044040,Garfield Heights City Schools,Traditional School,Economic Disadvantage;Multiracial,,,Year 1,2025
tsi,013254,Akron Preparatory School,013254,Akron Preparatory School,Community School,Black Non-Hispanic;Economic Disadvantage,,,Year 1,2025
tsi,015297,Marietta Elementary School,044321,Marietta City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,015529,Hartwell School,043752,Cincinnati Public Schools,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,017897,Jasper Elementary School,049130,Scioto Valley Local,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,018895,Kenwood Elementary,044818,Springfield City School District,Traditional School,Multiracial,,,Year 1,2025
tsi,019657,Transitions Academy,047365,Northwest Local,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,019803,APS Online,043489,Akron City,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,021097,Litchfield Community Learning Center,043489,Akron City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,021232,Carrollton Middle School,045278,Carrollton Exempted Village,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,021279,Lomond Elementary School,044750,Shaker Heights City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,021386,Longfellow Elementary School,044909,Toledo City,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,022244,Mccormick Middle School,045658,Wellington Exempted Village,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,022293,Maize Road Elementary School,043802,Columbus City Schools District,Traditional School,English Learner,,,Year 1,2025
tsi,022574,Maple Leaf Elementary School,044040,Garfield Heights City Schools,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,025742,Riverdale Elementary School,047514,Riverdale Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,025866,Western Brown High School,046060,Western Brown Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,026906,New Philadelphia High School,044487,New Philadelphia City,Traditional School,English Learner,,,Year 1,2025
tsi,027425,Waverly Junior High School,049148,Waverly City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,027433,North Elementary School,043919,East Liverpool City,Traditional School,Students with Disabilities;White Non-Hispanic,,,Year 1,2025
tsi,029371,Stephanie Tubbs Jones,043786,Cleveland Municipal,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,029702,Perry High School,049924,Perry Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,031757,Fostoria Elementary School,043992,Fostoria City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,032060,Robert H Jamison School,043786,Cleveland Municipal,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,032581,Zanesville Middle School,045179,Zanesville City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,033431,Salem Junior High School,044735,Salem City,Traditional School,White Non-Hispanic,,,Year 1,2025
tsi,033704,Schaefer Middle School,044818,Springfield City School District,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,039628,Washington Middle School,045013,Washington Court House City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,040576,Lima West Middle School,044222,Lima City,Traditional School,Black Non-Hispanic,,,Year 1,2025
tsi,040865,Westwood School,043752,Cincinnati Public Schools,Traditional School,Multiracial,,,Year 1,2025
tsi,042499,Yorktown Middle School,043802,Columbus City Schools District,Traditional School,Black Non-Hispanic,,,Year 1,2025
tsi,042762,Roberts Middle School,043836,Cuyahoga Falls City School District,Traditional School,Asian or Pacific Islander,,,Year 1,2025
tsi,043364,Boardman Center Intermediate School,048306,Boardman Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,062760,Luis Munoz Marin School,043786,Cleveland Municipal,Traditional School,Hispanic,,,Year 1,2025
tsi,066738,Baldwin Road Junior High School,047001,Reynoldsburg City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,099648,McVay Elementary School,045047,Westerville City,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,117382,Edgewood Middle School,046094,Edgewood City School District,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,123828,Lakota Ridge Junior School,046110,Lakota Local,Traditional School,Students with Disabilities,,,Year 1,2025
tsi,124727,Gibsonburg Middle School,045385,Gibsonburg Exempted Village,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,133603,Roosevelt Elementary School,043844,Dayton City,Traditional School,Economic Disadvantage,,,Year 1,2025
tsi,145581,Academy for Multilingual Immersion Studies,043752,Cincinnati Public Schools,Traditional School,English Learner,,,Year 1,2025
tsi,145870,Struthers Elementary School,044859,Struthers City,Traditional School,Students with Disabilities,,,Year 1,2025
