irn,school,county,designation,enrolled_adm,base_cost,special_education,dpia,english_learners,career_technical,core_foundation_funding,transportation,equity_supplement,formula_transition_supplement,base_funding_supplement,facilities,total_state_support
143487,Constellation Schools: Stockyard Community Elementary,Cuyahoga,site-based,126.75004,1039917.43,142504.45,141829.15,18077.15,0,1342328.17,0,50700.02,0,5070,124072.85,1522171.04
143529,North Dayton School of Discovery,Montgomery,site-based,522.884743,4279963.32,632352.05,697728.45,32580.8,0,5642624.62,0,209153.9,0,20915.39,511840.48,6384534.38
143602,Hamilton Cnty Math & Science,Hamilton,site-based,567.429573,4684471.19,49731.81,231188.35,867.84,0,4966259.18,0,226971.83,0,22697.18,555444.44,5771372.63
143610,Arts & College Preparatory Academy,Franklin,site-based,467.408137,3609569.25,819855.31,85377.92,16820.8,0,4531623.28,0,186963.25,0,18696.33,457535.64,5194818.49
143644,Sciotoville Community School,Scioto,site-based,359.661455,2975508.67,369755.29,416516.29,0,0,3761780.25,68196.18,143864.58,0,14386.46,352064.76,4340292.23
147231,Schnee Learning Center,Summit,site-based,62.435774,478449.41,115573.81,44500.77,0,0,638523.98,0,24974.31,0,2497.43,61117.02,727112.74
148981,Tomorrow Center,Morrow,site-based,86.502633,669963.5,329824.01,95513.48,0,78475.59,1173776.58,0,34601.05,0,3460.11,84675.54,1296513.28
148999,The Unlimited Classroom dba Valley Virtual Remote Learning A,Mahoning,e-school,90.027287,690235.33,107490.73,0,2171.46,0,799897.51,0,0,0,3601.09,2203.14,805701.75
149047,GOAL Digital Academy,Richland,e-school,818.900315,6539240.95,1995555.41,0,13138.1,642677.64,9190612.1,0,0,0,32756.01,20040.09,9243408.2
149088,Fairborn Digital Academy,Greene,e-school,201.984882,1548401.28,214188.92,0,0,0,1762590.2,0,0,0,8079.4,4942.96,1775612.56
149302,Skyway Career Prep High School,Lucas,site-based,275.884081,2113821.44,460696.92,409940.77,0,0,2984459.13,0,110353.63,0,11035.36,270056.91,3375905.04
149328,Foxfire High School,Muskingum,site-based,236.967661,1841734.6,836832.64,276808.52,0,51597.01,3006972.77,0,94787.06,0,9478.71,231962.48,3343201.02
151175,West Central Learning Academy II,Allen,site-based,54.718664,419059.98,46046.86,23896,0,0,489002.83,0,21887.47,0,2188.75,53562.91,566641.95
151183,Lake Erie International High School,Cuyahoga,site-based,90.823273,743062.86,53326.49,134955.82,192.81,489871.97,1421409.96,58835.92,36329.31,0,3632.93,88904.92,1609113.04
151209,Randall Park High School,Cuyahoga,site-based,122.712185,954552.66,192752.87,182340.09,0,678391.16,2008036.77,0,49084.87,0,4908.49,120120.28,2182150.42
022074,Buckeye Community School - Lima,,site-based,45.788464,351657.07,83170.43,23582.22,0,0,458409.72,0,18315.39,0,1831.54,44821.33,523377.97
