irn,school,county,designation,enrolled_adm,base_cost,special_education,dpia,english_learners,career_technical,core_foundation_funding,transportation,equity_supplement,formula_transition_supplement,base_funding_supplement,facilities,total_state_support
000131,Glass City Academy,Lucas,site-based,351.812456,2750158.82,576167.51,209965.14,1845.35,77053.8,3164115.5,0,228678.1,0,,348968.07,3741761.67
000138,Pathway School of Discovery,Montgomery,site-based,780.609569,6392946.57,768939.99,839062.54,167202.29,0,7428842.74,0,507396.22,0,,774298.38,8710537.34
000139,Alliance Academy of Cincinnati,Hamilton,site-based,352.198004,2875353.53,471481.34,513361.62,3294.67,0,3863491.16,155306.76,228928.7,0,,349350.5,4597077.12
000222,Wildwood Environmental Academy,Lucas,site-based,323.828146,2631654.67,680060.99,232266.72,0,0,3386621.13,0,210488.29,0,,321210.01,3918319.44
000236,Ohio Connections Academy Inc,Cuyahoga,e-school,4933.583063,39299318.54,7821196.04,0,40362.05,247152.83,41686409.34,0,0,0,,122342.38,41808751.73
000241,Quaker Digital Academy,Tuscarawas,e-school,725.799129,5645168.04,974977.39,0,20338.7,0,5439172.2,0,0,0,,17998.28,5457170.48
000282,Greater Ohio Virtual School,Warren,e-school,409.484812,3153534.39,544982.94,0,5651.7,0,3393455.22,0,0,0,,10154.35,3403609.57
000288,Auglaize County Educational Academy,Auglaize,e-school,83.135052,777076.33,82631.02,0,0,192617.85,882726.47,0,0,0,,2061.57,884788.04
000296,Summit Academy Community School-Columbus,Franklin,site-based,25.754004,210424.1,191063.43,35290.85,0,0,436778.38,0,16740.1,0,,25545.78,479064.27
000297,Summit Academy Community School - Dayton,Montgomery,site-based,67.411347,547797.21,934429.03,97330.91,0,0,1577505.04,0,43817.38,0,,66866.33,1688188.74
000298,Summit Academy Secondary - Akron,Summit,site-based,54.632653,417392.3,740860.89,79632.22,0,0,1228426.08,0,35511.22,0,,54190.95,1318128.26
000300,Summit Academy Secondary - Canton,Stark,site-based,65.596822,502373.76,555515.96,94516.9,0,0,1112550.07,0,42637.93,0,,65066.48,1220254.48
000301,Summit Academy - Toledo,Lucas,site-based,112.767574,898655.84,823449.13,164125.75,0,0,1880455.27,0,73298.92,0,,111855.85,2065610.05
000302,Summit Academy Community School-Parma,Cuyahoga,site-based,99.583334,787592.69,906670.56,145152.05,0,0,1839415.3,0,64729.17,0,,98778.21,2002922.67
000303,Summit Academy Secondary - Youngstown,Mahoning,site-based,92.941397,725032.46,663388.66,134851.73,0,0,1523272.85,0,60411.91,0,,92189.97,1675874.73
000305,Summit Academy Community School-Warren,Trumbull,site-based,104.364638,854720.57,1023705.91,152121.25,0,0,1939464.36,0,67837.01,0,,103520.86,2110822.23
000306,Summit Academy Community School - Cincinnati,Hamilton,site-based,79.905767,648731.21,578142.5,116470.15,867.84,0,1344211.7,0,51938.75,45134.17,,79259.73,1520544.36
000311,Bridges Community Academy dba Bridges Preparatory Academy,Seneca,site-based,119.627142,987339.12,123186.41,174287.6,1935.32,0,1242032.27,0,77757.64,0,,118659.96,1438449.87
000316,Constellation Schools: Westpark Community Middle,Cuyahoga,site-based,142.703508,1133844,182029.9,208003.75,867.84,0,1524745.49,0,92757.28,0,,141549.76,1759052.53
000318,Menlo Park Academy,Cuyahoga,site-based,380.497833,3105050.6,294764.66,9032.54,34517.89,0,3443365.69,0,247323.59,0,,377421.53,4068110.81
000319,Constellation Schools: Madison Community Elementary,Cuyahoga,site-based,194.788918,1591854.23,119438.84,278431.06,60647.63,0,2050371.75,0,126612.8,0,,193214.06,2370198.61
000320,Constellation Schools: Lorain Community Middle,Lorain,site-based,100.93125,801897.21,92354.17,147116.76,10151.25,0,1051519.4,0,65605.31,0,,100115.23,1217239.94
000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,site-based,235.338098,1869545.82,214706.08,178582.02,0,0,2170220.61,0,152969.76,0,,233435.4,2556625.78
000338,Horizon Science Academy Toledo,Lucas,site-based,517.760626,4189167.68,414951.44,754684.67,15168.68,138611.4,5037374.99,317619.84,336544.41,0,,513574.56,6205113.79
000402,Findlay Digital Academy,Hancock,e-school,175.723098,1362504.18,279603.9,0,67.14,0,1405257.19,0,0,927.85,,4357.56,1410542.6
000417,Buckeye On-Line School for Success,Columbiana,e-school,536.727443,4223828.84,881587.01,0,7051.5,0,4879956.18,0,0,0,,13309.7,4893265.88
000509,Whitehall Preparatory and Fitness Academy,Franklin,site-based,320.298011,2627673.59,513812.61,466864.39,16570.87,0,3209308.07,0,208193.71,0,,317708.42,3735210.19
