building_irn,building_name,district_irn,district_name,county,enrollment,chronic_absenteeism,achievement_star_rating,performance_index_2425,performance_index_2324,performance_index_2223
000059,Ada Elementary School,045187,Ada Exempted Village,Hardin,460,11.9,4,94.7,89.7,91.2
000067,Ada High School,045187,Ada Exempted Village,Hardin,349,16.9,4,94.0,91.6,92.4
000083,Sandusky Middle School,044743,Sandusky City,Erie,407,37.4,2,64.3,61.4,63.4
000102,Meigs Primary School,048520,Meigs Local,Meigs,359,25.2,,NC,NC,NC
000105,Meigs Intermediate School,048520,Meigs Local,Meigs,326,18.4,2,70.8,66.5,69.6
000117,Adamsville Elementary School,048876,Tri-Valley Local,Muskingum,255,13.6,4,91.1,85.9,87.9
000118,Hamilton Intermediate School,046953,Hamilton Local,Franklin,704,25.0,3,83.7,83.7,84.8
000119,Oak Hill Middle/High School,047761,Oak Hill Union Local,Jackson,519,36.7,2,77.0,77.2,80.8
000124,Oak Hill Elementary,047761,Oak Hill Union Local,Jackson,537,24.9,4,91.1,92.7,94.1
000131,Glass City Academy,000131,Glass City Academy,Lucas,364,99.7,1,42.7,40.3,43.7
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,819,30.2,2,76.1,73.6,71.5
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,351,58.7,2,75.7,71.3,67.0
000141,Addaville Elementary School,065680,Gallia County Local,Gallia,315,12.3,3,85.8,79.6,88.7
000177,Fairland West Elementary School,047936,Fairland Local,Lawrence,306,9.8,4,95.7,91.0,92.6
000187,Centerburg Middle School,047829,Centerburg Local,Knox,243,12.8,3,86.0,88.4,88.9
000190,Buckeye West Elementary School,047787,Buckeye Local,Jefferson,166,48.8,3,83.6,76.4,85.0
000208,Adena High School,049494,Adena Local,Ross,253,27.0,2,76.4,76.8,75.3
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,341,27.9,2,71.8,71.4,73.3
000224,Adlai Stevenson School,043786,Cleveland Municipal,Cuyahoga,287,34.4,1,51.2,47.7,43.2
000231,Unioto Elementary,049536,Union-Scioto Local,Ross,1034,22.1,3,88.1,88.9,91.1
000232,Adrian Elementary School,044792,South Euclid-Lyndhurst City,Cuyahoga,266,26.7,4,99.8,89.9,94.0
000234,Ella P. Stewart Academy for Girls,044909,Toledo City,Lucas,211,27.1,2,69.8,62.6,61.6
000236,Ohio Connections Academy; Inc,000236,Ohio Connections Academy; Inc,Franklin,4743,11.5,2,69.9,69.8,65.7
000241,Quaker Digital Academy,000241,Quaker Digital Academy,Tuscarawas,753,18.2,2,56.5,55.6,57.8
000242,North Union Elementary School,050336,North Union Local School District,Union,657,10.7,4,91.5,91.3,94.3
000257,Alexander Elementary School,045906,Alexander Local,Athens,666,18.8,3,86.4,86.3,85.9
000265,North Royalton Elementary School,044545,North Royalton City,Cuyahoga,1509,12.9,5,102.0,104.8,103.1
000270,Main Street School,044560,Norwalk City,Huron,370,16.5,3,84.6,84.5,86.5
000282,Greater Ohio Virtual School,000282,Greater Ohio Virtual School,Warren,435,0.7,2,56.4,52.7,48.7
000288,Auglaize County Educational Academy,000288,Auglaize County Educational Academy,Auglaize,83,0.0,2,65.9,70.6,66.7
000291,Malvern Middle School,046177,Brown Local,Carroll,146,25.6,2,75.3,76.7,81.4
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,55,61.4,1,39.4,41.5,44.0
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,40,82.7,1,42.2,35.4,43.2
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,58,53.7,1,55.1,55.7,61.8
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,81,62.5,1,55.0,49.4,43.2
000301,Summit Academy - Toledo,000301,Summit Academy - Toledo,Lucas,124,47.3,1,46.0,47.3,49.2
000302,Summit Academy Community School - Parma,000302,Summit Academy Community School - Parma,Cuyahoga,92,68.2,1,48.0,49.9,46.3
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,83,86.7,1,44.3,45.2,43.2
000305,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,Trumbull,114,27.0,1,53.3,50.5,48.6
000306,Summit Academy Community School - Cincinnati,000306,Summit Academy Community School - Cincinnati,Hamilton,66,68.1,1,44.7,38.6,38.9
000311,Bridges Community Academy dba Bridges Preparatory Academy,000311,Bridges Community Academy dba Bridges Preparatory Academy,Seneca,108,45.0,2,64.0,63.9,54.2
000315,Alexander Jr. / Sr. High School,045906,Alexander Local,Athens,685,21.8,3,86.6,85.9,85.3
000316,Constellation Schools: Westpark Community Middle,000316,Constellation Schools: Westpark Community Middle,Cuyahoga,168,43.5,2,72.4,70.9,72.0
000318,Menlo Park Academy,000318,Menlo Park Academy,Cuyahoga,330,14.8,5,104.2,97.7,99.4
000319,Constellation Schools: Madison Community Elementary,000319,Constellation Schools: Madison Community Elementary,Cuyahoga,199,52.8,1,46.6,44.5,43.2
000320,Constellation Schools: Lorain Community Middle,000320,Constellation Schools: Lorain Community Middle,Lorain,98,52.1,1,49.6,52.1,52.5
000321,Constellation Schools: Old Brooklyn Community Middle,000321,Constellation Schools: Old Brooklyn Community Middle,Cuyahoga,269,61.7,1,48.1,55.2,56.8
000338,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,Lucas,488,30.6,2,70.0,68.4,69.7
000345,Elmwood Elementary School,050682,Elmwood Local,Wood,476,10.4,4,93.8,92.6,95.7
000348,Palm Elementary School,044263,Lorain City,Lorain,297,50.5,1,51.7,52.4,55.6
000349,Upper Scioto Valley Middle School,047522,Upper Scioto Valley Local,Hardin,47,18.6,2,76.7,71.9,76.3
000350,Granger Elementary School,048496,Highland Local,Medina,517,6.5,5,109.8,109.4,109.9
000351,Ulysses S. Grant Middle School,044339,Marion City,Marion,910,45.0,2,62.0,59.1,60.6
000352,William McKinley Elementary School,044339,Marion City,Marion,442,39.2,2,59.2,58.2,54.5
000356,Genoa Elementary,048942,Genoa Area Local,Ottawa,623,10.8,5,100.6,97.7,100.2
000363,Akron Alternative Academy,043489,Akron City,Summit,144,90.2,2,58.4,39.4,50.7
000364,Allen East High School,045757,Allen East Local,Allen,239,17.6,4,93.6,88.7,90.3
000382,Crestwood Primary School,049189,Crestwood Local,Portage,366,13.7,4,92.4,91.5,89.4
000383,Crestwood Intermediate School,049189,Crestwood Local,Portage,324,26.6,3,84.9,76.8,79.4
000384,Chieftain Elementary School,044248,Logan-Hocking Local,Hocking,350,13.2,4,94.2,94.4,103.6
000385,Hocking Hills Elementary School,044248,Logan-Hocking Local,Hocking,120,16.3,5,106.6,96.8,103.7
000387,Central Elementary School,044248,Logan-Hocking Local,Hocking,394,15.9,5,103.6,100.6,104.4
000388,Gateway Elementary School,043810,Conneaut Area City,Ashtabula,349,22.9,3,83.7,82.2,75.4
000389,Lakeshore Primary Elementary School,043810,Conneaut Area City,Ashtabula,465,20.7,,NC,NC,NC
000400,Mapleton Elementary School,045831,Mapleton Local,Ashland,361,19.6,4,94.5,87.4,93.2
000402,Findlay Digital Academy,000402,Findlay Digital Academy,Hancock,196,32.7,2,68.4,64.6,64.0
000406,Stephanie Rushin Patrick Elementary School,043711,Canton City,Stark,421,10.8,1,53.0,57.2,51.0
000417,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,Columbiana,517,22.5,2,65.7,64.8,65.1
000429,Jackson Westview Elementary School,044156,Jackson City,Jackson,388,19.6,4,94.1,93.3,94.2
000435,Eastgate Elementary School,043802,Columbus City Schools District,Franklin,177,63.4,1,41.4,47.1,42.3
000448,Allen East Elementary School,045757,Allen East Local,Allen,461,11.9,3,84.8,80.9,89.4
000450,Manchester High School,000442,Manchester Local,Adams,313,22.7,3,80.8,78.1,79.8
000451,Manchester Elementary School,000442,Manchester Local,Adams,355,21.4,3,88.3,85.4,86.1
000455,West Elementary,050393,Vinton County Local,Vinton,256,23.4,4,94.4,101.3,98.9
000463,Alliance High School,043497,Alliance City,Stark,839,38.3,2,77.3,71.2,71.1
000470,Independence Elementary School,044222,Lima City,Allen,282,34.7,2,61.8,68.8,68.2
000471,Sharpsburg Elementary,044578,Norwood City,Hamilton,257,33.2,4,89.4,89.3,88.8
000472,Liberty Arts Magnet K-8,044222,Lima City,Allen,340,14.9,2,71.0,68.6,67.6
000475,Bluestone Elementary School,043950,Euclid City,Cuyahoga,274,32.2,2,65.7,58.2,49.2
000489,Almira,043786,Cleveland Municipal,Cuyahoga,495,56.9,1,49.7,48.7,48.7
000491,Bowman Primary School,044214,Lebanon City,Warren,1015,14.2,,NC,NC,NC
000493,Lebanon Junior High,044214,Lebanon City,Warren,817,19.6,4,89.8,88.6,89.6
000497,Alpine Elementary School,043802,Columbus City Schools District,Franklin,346,20.3,4,89.2,90.7,81.0
000501,Ripley Union Lewis Huntington Junior High School,046078,Ripley-Union-Lewis-Huntington Local,Brown,76,24.7,2,73.3,69.4,71.5
000505,Alton Hall Elementary School,044800,South-Western City,Franklin,515,21.7,2,73.0,69.6,71.3
000509,Whitehall Preparatory and Fitness Academy,000509,Whitehall Preparatory and Fitness Academy,Franklin,379,53.1,2,72.3,66.2,62.9
000510,Springfield Preparatory and Fitness Academy,000510,Springfield Preparatory and Fitness Academy,Clark,152,42.9,2,67.2,69.2,57.5
000511,Northland Preparatory and Fitness Academy,000511,Northland Preparatory and Fitness Academy,Franklin,138,68.2,3,79.9,86.0,66.3
000513,Columbus Scioto 6-12,043802,Columbus City Schools District,Franklin,90,88.6,1,27.3,26.2,27.8
000519,Whiteoak Junior High School,047613,Bright Local,Highland,93,12.2,3,87.7,81.7,82.4
000520,Youngstown Rayen Early College High School,045161,Youngstown City,Mahoning,291,17.1,4,93.5,93.9,92.8
000525,Canton Harbor High School,000525,Canton Harbor High School,Stark,112,90.0,1,52.4,55.4,51.8
000527,Cleveland Academy for Scholarship Technology and Leadership,000527,Cleveland Academy for Scholarship Technology and Leadership,Cuyahoga,281,85.1,1,43.6,38.9,35.9
000534,Constellation Schools: Puritas Community Middle,000534,Constellation Schools: Puritas Community Middle,Cuyahoga,94,35.1,2,63.4,61.4,60.0
000539,Amanda-Clearcreek Elementary School,046847,Amanda-Clearcreek Local,Fairfield,341,17.2,3,81.7,77.8,78.8
000543,Pinnacle Academy,000543,Pinnacle Academy,Cuyahoga,741,30.1,2,71.9,71.2,72.8
000546,Winterfield Venture Academy,000546,Winterfield Venture Academy,Lucas,364,42.4,2,56.6,60.1,64.3
000547,Amanda Elementary School,044404,Middletown City,Butler,385,30.0,2,65.1,71.2,62.2
000553,Columbus Humanities; Arts and Technology Academy,000553,Columbus Humanities; Arts and Technology Academy,Franklin,631,23.0,2,59.9,60.9,65.4
000556,A+ Arts Academy,000556,A+ Arts Academy,Franklin,266,74.9,1,42.8,47.9,44.0
000557,Columbus Arts & Technology Academy,000557,Columbus Arts & Technology Academy,Franklin,534,74.1,2,60.3,55.0,51.7
000558,Columbus Preparatory Academy,000558,Columbus Preparatory Academy,Franklin,778,34.2,3,85.4,80.7,82.0
000559,Orion Academy,000559,Orion Academy,Hamilton,441,60.8,1,55.6,55.4,54.2
000560,Apex Academy,000560,Apex Academy,Cuyahoga,482,54.4,2,66.4,70.3,69.5
000562,Amanda-Clearcreek High School,046847,Amanda-Clearcreek Local,Fairfield,400,32.5,3,83.8,83.5,82.1
000575,Northwest School of the Arts,043786,Cleveland Municipal,Cuyahoga,280,56.5,3,80.7,71.4,74.5
000577,Emerson Academy,000577,Emerson Academy,Montgomery,659,46.2,2,58.9,63.3,67.0
000596,Amelia Elementary School,046359,West Clermont Local,Clermont,670,20.6,3,88.0,85.4,83.6
000598,Coshocton Opportunity School,000598,Coshocton Opportunity School,Coshocton,58,27.2,1,53.9,55.7,48.2
000608,Summit Academy Transition High School-Cincinnati,000608,Summit Academy Transition High School-Cincinnati,Hamilton,45,57.9,2,55.8,50.7,57.5
000612,West Clermont Middle School,046359,West Clermont Local,Clermont,1695,31.6,3,79.5,79.9,81.0
000613,Heir Force Community School,000613,Heir Force Community School,Allen,205,33.1,2,65.9,66.0,68.2
000614,Summit Academy Transition High School-Columbus,000614,Summit Academy Transition High School-Columbus,Franklin,30,59.4,1,37.1,48.5,44.9
000616,Summit Academy Alternative LearnersWarren Middle & Secondary,000616,Summit Academy Alternative LearnersWarren Middle & Secondary,Trumbull,68,57.9,1,48.0,46.2,55.8
000620,Amesville Elementary School,045914,Federal Hocking Local,Athens,184,26.4,3,78.8,69.9,65.5
000621,Summit Academy Dayton,000621,Summit Academy Dayton,Montgomery,87,67.4,1,47.9,43.9,52.1
000623,Summit Academy-Youngstown,000623,Summit Academy-Youngstown,Mahoning,128,46.7,1,50.5,49.6,42.6
000634,Summit Academy Secondary School - Middletown,000634,Summit Academy Secondary School - Middletown,Butler,83,65.5,1,54.4,47.9,54.2
000638,Amherst Elementary School,049858,Jackson Local,Stark,471,13.0,4,96.5,93.6,90.8
000640,Rittman Academy,000640,Rittman Academy,Wayne,31,73.5,1,46.6,64.3,54.8
000653,Amity Elementary School,043851,Deer Park Community City,Hamilton,568,21.7,3,87.2,89.8,87.9
000664,Capital City Career Prep High School,000664,Capital City Career Prep High School,Franklin,120,99.2,1,38.5,46.9,46.3
000676,Frank Jacinto Elementary,044263,Lorain City,Lorain,306,54.9,1,47.7,46.1,50.0
000679,Oakstone Community School,000679,Oakstone Community School,Franklin,174,17.2,2,72.3,71.8,71.2
000687,Anderson High School,047340,Forest Hills Local,Hamilton,1081,20.9,4,97.8,98.2,95.9
000699,Arcadia Middle School,047415,Arcadia Local,Hancock,84,4.2,4,89.1,88.9,96.5
000701,Avon Heritage Elementary School,048116,Avon Local,Lorain,974,8.7,5,105.2,103.8,104.1
000711,Pymatuning Valley Primary Elementary School,045880,Pymatuning Valley Local School District,Ashtabula,465,19.2,4,91.9,94.5,92.0
000725,Zenith Academy,000725,Zenith Academy,Franklin,444,0.4,2,73.3,62.9,64.9
000729,Andrew J Rickoff,043786,Cleveland Municipal,Cuyahoga,441,62.9,1,49.0,45.1,48.8
000736,Phoenix Village Academy Primary 2 dba Wings Academy 1,043786,Cleveland Municipal,Cuyahoga,99,59.8,2,63.6,61.2,53.6
000737,Massillon Junior High School,044354,Massillon City,Stark,598,48.5,2,69.3,70.7,75.3
000745,Anna Elementary School,049759,Anna Local,Shelby,514,4.7,5,107.0,107.2,105.6
000752,Anna High School,049759,Anna Local,Shelby,298,5.4,4,98.5,98.4,102.0
000760,Ansonia Elementary School,046623,Ansonia Local,Darke,493,7.3,4,98.5,96.1,95.5
000770,Maritime Academy of Toledo; The,000770,Maritime Academy of Toledo; The,Lucas,206,91.2,1,52.8,46.6,50.2
000778,Ansonia High School,046623,Ansonia Local,Darke,216,11.7,4,93.5,92.9,93.1
000779,Educational Academy for Boys & Girls,000779,Educational Academy for Boys & Girls,Franklin,178,23.1,2,76.8,65.8,69.0
000780,Midnimo Cross Cultural Middle School,000780,Midnimo Cross Cultural Middle School,Franklin,164,31.6,2,77.9,74.4,75.2
000804,Horizon Science Academy-Cincinnati,000804,Horizon Science Academy-Cincinnati,Hamilton,204,57.3,1,49.7,49.4,54.0
000808,Horizon Science Academy-Dayton,000808,Horizon Science Academy-Dayton,Montgomery,180,48.6,2,69.6,61.1,51.4
000810,Anthony Wayne High School,048207,Anthony Wayne Local,Lucas,1152,14.8,4,97.6,94.2,95.2
000813,Gem City Career Prep High School,000813,Gem City Career Prep High School,Montgomery,149,99.9,1,53.0,32.4,36.7
000825,Horizon Science Academy-Springfield,000825,Horizon Science Academy-Springfield,Lucas,320,40.8,2,76.2,73.2,69.9
000828,Anton Grdina,043786,Cleveland Municipal,Cuyahoga,314,66.7,1,36.8,39.1,38.9
000831,National Road,045179,Zanesville City,Muskingum,378,26.4,2,77.0,81.1,82.0
000836,Antwerp Local Elementary School,048991,Antwerp Local,Paulding,343,10.5,4,97.3,101.7,100.5
000838,Horizon Science Academy-Denison Middle School,000838,Horizon Science Academy-Denison Middle School,Cuyahoga,276,49.1,2,60.4,57.9,61.0
000840,General Johnnie Wilson Middle School,044263,Lorain City,Lorain,434,60.4,1,49.5,48.4,49.1
000841,Longfellow Middle School,044263,Lorain City,Lorain,392,61.1,1,52.5,54.0,56.8
000843,Bennett Venture Academy,000843,Bennett Venture Academy,Lucas,440,46.8,2,64.4,64.9,64.1
000844,Antwerp Local High School,048991,Antwerp Local,Paulding,171,15.2,4,91.0,94.9,94.0
000851,Waynedale Elementary School,050583,Waynedale Local,Wayne,456,11.9,3,83.9,83.7,85.8
000855,Stambaugh Charter Academy,000855,Stambaugh Charter Academy,Mahoning,473,61.2,2,58.1,55.2,63.5
000858,Horizon Science Academy-Cleveland Middle School,000858,Horizon Science Academy-Cleveland Middle School,Cuyahoga,274,50.7,2,55.9,58.7,63.3
000859,Canton Arts Academy @ Summit,043711,Canton City,Stark,266,10.6,4,90.5,94.5,93.9
000870,Grand Valley Elementary School,045864,Grand Valley Local,Ashtabula,368,18.6,3,86.9,80.4,93.0
000875,Westside Academy,000875,Westside Academy,Franklin,348,26.5,2,69.4,73.1,69.1
000877,Applewood Elementary School,043661,Brunswick City,Medina,470,14.8,4,93.5,92.7,97.4
000878,Slate Ridge Elementary School,047001,Reynoldsburg City,Licking,574,27.0,2,76.2,73.1,67.7
000883,Canaan Middle School,048264,Jonathan Alder Local,Madison,352,12.2,4,94.3,93.4,95.1
000884,Charity Adams Earley Girls Academy,043844,Dayton City,Montgomery,382,35.0,2,57.1,56.5,54.5
000885,Arcadia Elementary School,047415,Arcadia Local,Hancock,304,6.2,4,99.0,97.7,99.5
000892,Glen Oak Elementary School,046763,Olentangy Local,Delaware,613,11.9,5,100.2,100.9,100.9
000893,Arcadia High School,047415,Arcadia Local,Hancock,153,2.9,4,96.6,89.2,90.0
000901,Arcanum Elementary School,046631,Arcanum-Butler Local,Darke,435,12.3,5,105.4,102.8,100.8
000912,Early College Academy,000912,Early College Academy,Franklin,114,89.4,1,32.2,42.1,35.0
000919,Arcanum High School,046631,Arcanum-Butler Local,Darke,265,5.8,4,93.2,94.0,94.1
000927,Archbold Elementary School,047043,Archbold-Area Local,Fulton,441,7.4,5,105.5,103.0,105.3
000935,Archbold High School,047043,Archbold-Area Local,Fulton,317,12.2,4,97.3,99.0,96.1
000936,Promise Academy,000936,Promise Academy,Cuyahoga,104,98.6,1,17.5,36.4,36.5
000938,East Bridge Academy of Excellence,000938,East Bridge Academy of Excellence,Franklin,132,37.9,1,48.2,42.6,35.2
000941,Par Excellence Academy dba Par Excellence STEM Academy,000941,Par Excellence Academy dba Par Excellence STEM Academy,Licking,190,35.3,3,84.2,90.2,93.6
000950,Newton Falls Elementary School,045567,Newton Falls Exempted Village,Trumbull,246,31.7,3,80.0,68.5,87.7
000951,Toledo Preparatory and Fitness Academy,000951,Toledo Preparatory and Fitness Academy,Lucas,271,45.2,2,75.8,93.7,85.8
000952,Columbus Preparatory and Fitness Academy,000952,Columbus Preparatory and Fitness Academy,Franklin,395,41.6,2,64.7,66.4,57.5
000953,Mt. Healthy Preparatory and Fitness Academy,000953,Mt. Healthy Preparatory and Fitness Academy,Hamilton,206,51.3,2,60.9,59.9,60.2
000968,Arlington Elementary School,044909,Toledo City,Lucas,309,40.7,1,47.0,46.7,50.4
000976,Arlington Local Elementary School,047423,Arlington Local,Hancock,360,3.6,5,100.2,97.1,101.3
000992,Arlington Local High School,047423,Arlington Local,Hancock,235,9.2,4,94.2,94.5,93.9
001024,Arrowhead Primary Elementary School,049981,Copley-Fairlawn City,Summit,370,6.4,5,104.8,104.4,101.9
001040,Artemus Ward,043786,Cleveland Municipal,Cuyahoga,499,44.2,2,59.4,53.7,54.3
001073,Asbury Elementary School,046979,Groveport Madison Local,Franklin,514,25.6,2,71.3,71.1,66.8
001081,Ashland High School,043505,Ashland City,Ashland,804,17.7,4,91.8,92.4,90.3
001099,Ashland Middle School,043505,Ashland City,Ashland,681,18.7,4,90.7,85.5,89.1
001107,Buckeye Valley East Elementary School,046755,Buckeye Valley Local,Delaware,439,14.0,4,92.8,91.1,90.2
001123,Lakeside High School,043513,Ashtabula Area City,Ashtabula,783,48.1,2,63.8,64.5,64.9
001131,Ashville Elementary School,049098,Teays Valley Local,Pickaway,485,16.0,4,97.6,99.3,98.6
001149,Athens High School,043521,Athens City School District,Athens,637,28.6,4,89.5,88.4,87.8
001172,Atkinson Elementary School,044016,Fremont City,Sandusky,322,19.3,3,86.7,83.3,81.2
001180,Seneca East Elementary,049684,Seneca East Local,Seneca,346,3.1,5,103.0,100.7,104.6
001198,Seneca East High School,049684,Seneca East Local,Seneca,218,15.4,4,94.7,92.3,94.8
001206,Waterloo Elementary School,049247,Waterloo Local,Portage,457,19.1,3,85.0,85.9,88.8
001230,Timmons Elementary School,047191,Kenston Local,Geauga,763,8.0,5,109.2,106.3,107.2
001255,Oakwood Elementary School,045575,Paulding Exempted Village,Paulding,289,5.1,5,102.9,103.1,102.4
001297,Aurora High School,049171,Aurora City,Portage,935,11.8,5,107.1,105.3,103.9
001313,Craddock Elementary School,049171,Aurora City,Portage,434,8.4,,NC,NC,NC
001321,Austinburg Elementary School,044057,Geneva Area City,Ashtabula,220,17.0,4,96.8,95.7,101.6
001339,Austintown Middle School,048298,Austintown Local Schools,Mahoning,980,28.1,3,85.9,81.9,83.9
001347,Avery Elementary School,047019,Hilliard City,Franklin,430,5.6,4,93.6,92.0,87.9
001354,Avon East Elementary School,048116,Avon Local,Lorain,541,6.9,,NC,NC,NC
001362,Avon Early Learning Center,048116,Avon Local,Lorain,385,10.8,,NC,NC,NC
001370,Avon High School,048116,Avon Local,Lorain,1349,12.6,5,105.7,100.1,99.6
001388,Avon Lake High School,048124,Avon Lake City,Lorain,1033,25.8,5,101.2,100.5,101.8
001396,Avondale Elementary School,043802,Columbus City Schools District,Franklin,271,51.8,2,56.1,58.2,54.8
001404,Avondale Elementary School,049932,Plain Local,Stark,255,8.9,4,99.1,105.7,105.2
001412,Ayersville Elementary School,046706,Ayersville Local,Defiance,324,6.4,5,104.1,102.7,102.2
001420,Ayersville High School,046706,Ayersville Local,Defiance,300,15.1,4,92.3,94.0,98.8
001438,Edgewood Early Childhood Center,046094,Edgewood City School District,Butler,295,27.1,,NC,NC,NC
001446,Badger High School,050179,Joseph Badger Local,Trumbull,141,31.5,3,89.0,94.5,90.3
001453,Paint Valley Middle School,049510,Paint Valley Local,Ross,166,27.5,2,74.7,75.4,76.9
001461,Mathews Elementary School (Intermediate),050153,Mathews Local,Trumbull,126,16.7,4,93.8,91.6,93.3
001537,Barber Community Learning Center,043489,Akron City,Summit,435,28.2,2,67.2,66.0,59.3
001545,Barberton High School,043539,Barberton City,Summit,1000,38.0,3,84.9,79.1,79.7
001578,Warren Middle School,050500,Warren Local,Washington,651,17.2,3,87.3,88.1,90.3
001594,Barnesville Elementary School,045203,Barnesville Exempted Village,Belmont,515,19.0,4,94.7,97.0,93.6
001602,Barnesville High School,045203,Barnesville Exempted Village,Belmont,336,29.6,3,83.7,83.2,77.2
001628,Brookside Intermediate School,044768,Sheffield-Sheffield Lake City,Lorain,413,23.4,3,83.0,85.5,85.9
001644,Barrington Road Elementary School,044933,Upper Arlington City,Franklin,801,2.5,5,105.9,106.2,104.9
001669,Bascom Elementary School,050245,LaBrae Local,Trumbull,229,20.5,,NC,NC,NC
001677,Westlake Elementary School,045062,Westlake City,Cuyahoga,1210,8.5,5,101.9,103.4,104.0
001685,Bataan Memorial Primary School,044651,Port Clinton City,Ottawa,372,14.6,,NC,NC,NC
001693,Batavia Elementary School,046300,Batavia Local,Clermont,1241,22.7,4,89.3,86.3,86.8
001701,Batavia High School,046300,Batavia Local,Clermont,619,33.7,3,87.0,85.7,85.7
001735,Bath Elementary School,050054,Revere Local,Summit,664,6.4,5,110.6,109.5,109.1
001743,Bath Elementary School,045765,Bath Local,Allen,729,11.4,5,102.8,104.7,102.9
001750,Bath High School,045765,Bath Local,Allen,397,14.7,4,98.7,97.1,91.8
001768,Bath Middle School,045765,Bath Local,Allen,417,13.4,4,94.4,96.1,96.4
001776,Bauer Primary School,044396,Miamisburg City,Montgomery,306,21.5,,NC,85.6,76.1
001792,Bay High School,043547,Bay Village City,Cuyahoga,671,13.3,5,109.4,106.4,104.5
001800,Bay Middle School,043547,Bay Village City,Cuyahoga,735,7.6,5,107.0,105.2,106.7
001818,Lakeview Elementary School,050187,Lakeview Local,Trumbull,547,12.4,5,101.1,103.9,103.5
001842,Beachwood High School,043554,Beachwood City,Cuyahoga,538,21.2,5,103.3,99.9,103.5
001859,Beacon Elementary School,047019,Hilliard City,Franklin,449,9.4,3,88.0,86.1,81.1
001875,Beallsville Elementary School,048652,Switzerland of Ohio Local,Monroe,139,19.9,3,78.6,77.9,77.4
001883,Beallsville High School,048652,Switzerland of Ohio Local,Monroe,94,30.4,2,66.8,62.4,70.0
001891,Bear Primary School,044396,Miamisburg City,Montgomery,174,20.8,,NC,76.7,76.8
001917,Beatty Park Elementary School,043802,Columbus City Schools District,Franklin,67,61.8,1,42.2,45.1,45.1
001925,Columbus Spanish Immersion K-7 School,043802,Columbus City Schools District,Franklin,473,28.3,2,68.9,66.1,63.6
001933,Beaver Local Middle School,046425,Beaver Local,Columbiana,555,21.4,4,92.4,92.1,93.7
001958,Beaver Local High School,046425,Beaver Local,Columbiana,503,28.9,4,92.4,90.7,85.4
001966,Beavercreek High School,047241,Beavercreek City,Greene,1423,19.8,4,96.9,95.5,96.1
001982,Beavertown Elementary School,044180,Kettering City School District,Montgomery,384,10.4,4,95.7,94.0,92.0
002022,Bedford High School,043562,Bedford City,Cuyahoga,811,49.3,2,72.2,68.3,65.7
002048,Beechwood Elementary School,045070,Whitehall City,Franklin,512,23.3,2,63.5,68.4,69.0
002055,Early Childhood Center,044081,Winton Woods City,Hamilton,421,30.4,,NC,NC,NC
002139,Bellaire High School,043570,Bellaire Local,Belmont,304,42.6,3,81.1,75.3,80.6
002147,Bellbrook Middle School,047274,Bellbrook-Sugarcreek Local,Greene,618,9.0,5,100.3,100.8,102.7
002154,Bellbrook High School,047274,Bellbrook-Sugarcreek Local,Greene,756,14.9,5,104.5,102.1,100.2
002170,Benjamin Logan Elementary School,048074,Benjamin Logan Local,Logan,583,10.0,4,93.1,90.3,84.2
002196,Belle Haven Elementary School,043844,Dayton City,Montgomery,480,23.7,1,52.7,48.6,44.7
002220,Bellefontaine High School,043588,Bellefontaine City,Logan,588,38.6,3,82.5,79.0,82.5
002246,Bellevue High School,043596,Bellevue City,Sandusky,491,17.0,4,91.9,88.9,87.5
002253,Bellevue Middle School,043596,Bellevue City,Huron,395,12.4,4,92.0,89.1,91.4
002279,Bellville Elementary School,049411,Clear Fork Valley Local,Richland,401,3.8,4,96.3,99.7,97.3
002303,Belmont High School,043844,Dayton City,Montgomery,1097,71.9,1,50.8,46.4,40.5
002337,Belpre High School,043604,Belpre City,Washington,380,40.2,3,80.4,77.1,77.3
002352,Gearity Professional Development School,043794,Cleveland Heights-University Heights City,Cuyahoga,407,25.2,2,73.9,76.7,71.2
002378,Benjamin Franklin,043786,Cleveland Municipal,Cuyahoga,378,53.2,1,55.4,51.3,53.4
002436,Berkshire High School,047167,Berkshire Local,Geauga,367,22.1,4,90.5,85.1,83.7
002444,Western Reserve Middle School,048397,Western Reserve Local,Mahoning,143,14.7,4,98.9,99.5,97.4
002451,Berlin Elementary School,047688,East Holmes Local,Holmes,332,8.4,4,95.7,94.5,92.1
002485,Edison Middle School (formerly Berlin-Milan Middle School),046789,Edison Local (formerly Berlin-Milan),Erie,524,13.0,4,96.9,94.0,95.5
