building_irn,building_name,district_irn,district_name,county,enrollment,chronic_absenteeism,achievement_star_rating,performance_index_2425,performance_index_2324,performance_index_2223
043026,Highland Park Elementary School,044800,South-Western City,Franklin,480,25.4,4,89.6,86.0,81.6
043034,Indian Trail Elementary School,044834,Stow-Munroe Falls City School District,Summit,353,15.3,3,88.4,84.6,86.4
043091,Blendon Middle School,045047,Westerville City,Franklin,612,16.7,4,93.1,91.4,86.4
043158,Indian Hill Middle School,045435,Indian Hill Exempted Village,Hamilton,520,10.0,5,104.0,103.0,102.8
043174,Lake Elementary School,045492,Mentor Exempted Village,Lake,273,12.6,3,89.0,83.1,83.2
043216,St Clairsville Elementary School,045997,St Clairsville-Richland City,Belmont,628,12.7,4,99.8,101.0,102.1
043224,Mt Orab Primary Elementary School,046060,Western Brown Local,Brown,690,16.3,3,88.9,87.3,86.9
043265,Big Walnut Middle School,046748,Big Walnut Local,Delaware,940,12.9,4,96.5,97.0,97.6
043281,Olentangy Shanahan Middle School,046763,Olentangy Local,Delaware,1025,15.6,5,104.4,103.1,105.6
043299,Herman K Ankeney Middle School,047241,Beavercreek City,Greene,763,15.0,4,91.8,92.5,95.3
043315,Pleasant Run Middle School,047365,Northwest Local,Hamilton,630,41.1,2,68.2,63.4,64.4
043323,Delshire Elementary School,047373,Oak Hills Local,Hamilton,374,20.3,3,80.1,78.3,76.7
043331,Oakdale Elementary School,047373,Oak Hills Local,Hamilton,686,19.6,4,97.8,99.6,97.9
043364,Boardman Center Intermediate School,048306,Boardman Local,Mahoning,810,18.1,4,93.7,94.4,93.3
043372,River Valley Middle School,048447,River Valley Local,Marion,474,17.3,3,84.2,82.5,89.7
043380,Brookville Intermediate School,048678,Brookville Local,Montgomery,572,12.2,4,95.9,94.7,97.0
043398,Mad River Middle School,048702,Mad River Local,Montgomery,551,31.8,2,74.1,70.3,68.1
043430,Canton South Middle School,049833,Canton Local,Stark,376,24.9,3,83.2,77.2,77.5
043448,Green Middle School,050013,Green Local,Summit,617,16.2,4,97.8,98.0,99.8
050757,Fairbrook Elementary School,047241,Beavercreek City,Greene,547,9.0,5,101.9,100.8,99.1
061218,Centerville Primary Village North,043737,Centerville City,Montgomery,455,11.2,,NC,NC,NC
061275,Mariemont Elementary School,044313,Mariemont City,Hamilton,513,7.1,5,110.5,109.6,108.8
061291,Kimpton Middle School,044834,Stow-Munroe Falls City School District,Summit,774,22.3,4,91.3,86.8,87.4
061309,Sylvania Arbor Hills Junior High School,044875,Sylvania Schools,Lucas,568,17.8,3,84.4,85.6,86.9
061317,Wellington High School,045658,Wellington Exempted Village,Lorain,220,29.7,3,80.7,87.4,81.0
061325,Grove City High School,044800,South-Western City,Franklin,1858,32.6,4,92.4,86.3,86.0
061333,Westland High School,044800,South-Western City,Franklin,1812,43.9,2,76.7,70.4,70.3
061358,Annehurst Elementary School,045047,Westerville City,Franklin,405,13.0,4,90.5,92.1,91.1
061366,Chamberlin Hill Elementary School,043984,Findlay City,Hancock,340,9.5,4,90.7,96.0,90.4
061382,Helke Early Learning Center,044958,Vandalia-Butler City,Montgomery,316,23.6,,NC,93.5,91.3
061432,Cloverleaf Middle School,048488,Cloverleaf Local,Medina,579,16.3,4,95.1,92.3,95.5
061457,Mount Vernon Middle School,044420,Mount Vernon City,Knox,787,14.7,4,91.3,84.5,85.5
061465,Pleasant Street Elementary School,044420,Mount Vernon City,Knox,321,18.7,3,84.8,85.8,82.3
061473,Rushwood Elementary School,050047,Nordonia Hills City,Summit,351,12.0,5,106.4,107.9,107.5
061481,Geo G Dodge Elementary School,050070,Twinsburg City,Summit,858,14.1,4,97.7,98.8,98.5
061499,Eastwood Middle School,050674,Eastwood Local,Wood,350,10.8,4,96.0,95.3,96.3
061507,Northwood Elementary School,048728,Northmont City,Montgomery,364,18.6,3,88.1,88.7,89.4
061523,Valley Forge Elementary School,048751,Huber Heights City,Montgomery,539,20.1,2,75.0,73.0,70.7
061549,Glendening Elementary School,046979,Groveport Madison Local,Franklin,513,20.4,2,76.5,75.7,77.7
061556,Sedalia Elementary,046979,Groveport Madison Local,Franklin,549,21.7,2,77.4,83.1,80.0
061572,Ansonia Middle School,046623,Ansonia Local,Darke,95,8.1,4,96.1,94.8,95.6
061598,Sheridan Middle School,049056,Northern Local,Perry,509,29.5,3,80.7,81.3,82.5
061614,Waynesville Middle School,050468,Wayne Local,Warren,363,11.6,4,99.8,100.8,99.7
061622,Triway Middle School,050591,Triway Local,Wayne,364,15.5,4,92.6,91.4,95.3
061630,General Sherman Junior High School,044206,Lancaster City,Fairfield,686,32.4,3,78.6,79.8,75.7
061655,Thomas Ewing Junior High School,044206,Lancaster City,Fairfield,632,34.5,3,78.1,74.0,74.4
061663,Orchard Hollow Elementary School,045492,Mentor Exempted Village,Lake,357,9.2,4,98.8,100.4,98.2
061671,Shore Middle School,045492,Mentor Exempted Village,Lake,750,19.7,3,88.0,86.2,85.7
061697,Edgewood Primary School,046094,Edgewood City School District,Butler,446,20.5,,NC,NC,NC
061705,Kenton Ridge Elementary,046250,Northeastern Local,Clark,983,18.4,4,89.6,86.6,86.5
061713,Northeastern Elementary School,046250,Northeastern Local,Clark,470,22.9,4,91.3,85.4,83.5
061804,Faircrest Memorial Elementary School,049833,Canton Local,Stark,753,17.3,4,92.9,89.7,89.8
061812,Lake Middle / High School,049866,Lake Local,Stark,1594,18.6,5,101.8,101.5,103.5
061820,Marlington Middle School,049882,Marlington Local,Stark,412,14.2,3,84.5,81.9,87.1
061846,Seneca East Middle School,049684,Seneca East Local,Seneca,193,6.4,5,100.8,94.6,96.0
061895,Henry F Lamuth Middle School,047894,Riverside Local,Lake,701,19.7,3,87.3,86.6,87.5
061911,Troy Intermediate Elementary School,048124,Avon Lake City,Lorain,541,11.7,5,104.0,103.2,100.9
061929,Jefferson Area Junior High School,045872,Jefferson Area Local,Ashtabula,278,23.5,3,80.4,80.8,84.2
061937,Sherwood Elementary School,047340,Forest Hills Local,Hamilton,698,6.6,5,107.7,105.1,104.4
061952,Benjamin Logan Middle School,048074,Benjamin Logan Local,Logan,490,12.1,4,91.2,92.7,93.9
061960,Spencerville Middle School,045807,Spencerville Local,Allen,314,12.6,4,99.7,96.2,94.5
061986,Howland Glen Elementary School,050161,Howland Local,Trumbull,345,16.5,,NC,NC,NC
061994,Howland Springs Elementary School,050161,Howland Local,Trumbull,215,24.8,,NC,NC,NC
062018,Southeast Primary Elementary School,049221,Southeast Local,Portage,327,12.7,,NC,NC,NC
062182,Pleasant View Middle School,044800,South-Western City,Franklin,647,34.9,2,71.3,67.9,73.0
062190,Beulah Park Middle School,044800,South-Western City,Franklin,709,32.8,2,74.9,73.3,74.6
062208,Finland Middle School,044800,South-Western City,Franklin,660,43.2,2,71.3,69.6,74.4
062216,Norton Middle School,044800,South-Western City,Franklin,579,36.9,2,62.2,60.7,65.5
062224,Roseville Elementary  School,048843,Franklin Local,Muskingum,241,22.6,2,77.2,72.7,70.6
062232,Maysville Middle School,048850,Maysville Local,Muskingum,466,20.5,2,73.0,74.7,74.5
062307,Meigs Middle School,048520,Meigs Local,Meigs,343,37.2,2,67.3,66.9,70.8
062331,Franklin Junior High School,044008,Franklin City,Warren,617,24.4,2,76.7,84.2,80.9
062349,Mayfield Middle School,044370,Mayfield City,Cuyahoga,896,21.9,4,92.7,91.8,90.6
062356,Sylvania Mccord Junior High School,044875,Sylvania Schools,Lucas,587,12.0,4,94.9,94.2,97.7
062364,Orrville Middle School,044610,Orrville City,Wayne,462,16.7,4,89.9,91.1,90.7
062372,Lexington Junior High School,049437,Lexington Local,Richland,372,12.0,4,93.5,89.8,90.4
062380,Fredericktown Middle School,047852,Fredericktown Local,Knox,277,15.7,4,91.5,89.6,94.9
062398,Learwood Middle School,048124,Avon Lake City,Lorain,557,17.3,4,100.0,102.0,99.8
062406,Bellefontaine Middle School,043588,Bellefontaine City,Logan,458,24.5,3,85.8,84.2,83.2
062422,Fairborn Middle School,043968,Fairborn City,Greene,909,31.4,2,75.4,73.5,73.3
062760,Luis Munoz Marin School,043786,Cleveland Municipal,Cuyahoga,510,54.9,1,41.3,38.8,38.7
062778,Joseph M Gallagher School,043786,Cleveland Municipal,Cuyahoga,608,36.9,2,67.9,62.2,58.9
062786,Bundy Elementary School,045021,Wellston City,Jackson,347,24.2,,NC,NC,NC
063461,Garrett Morgan School of Engineering & Innovation,043786,Cleveland Municipal,Cuyahoga,404,68.4,2,70.2,62.7,61.9
064048,Jefferson Middle School,043885,Delphos City,Van Wert,245,19.7,3,87.5,88.2,91.2
064071,Paulding Elementary School,045575,Paulding Exempted Village,Paulding,441,4.8,3,81.3,84.5,86.9
064089,Worthington Hills Elementary School,045138,Worthington City,Franklin,525,4.0,5,103.3,103.1,105.2
064113,Amherst Junior High School,045195,Amherst Exempted Village,Lorain,855,20.2,4,90.8,88.4,90.4
064139,Tinora Middle School,046722,Northeastern Local,Defiance,306,8.2,4,91.7,88.8,90.1
064147,Winton Woods High School,044081,Winton Woods City,Hamilton,1229,52.1,2,63.8,61.6,63.6
064162,Orchard Middle School,046607,Solon City,Cuyahoga,733,5.7,5,114.5,113.3,113.2
