irn,district,distribution,counties,amount
000527,CASTLE HIGH SCHOOL INC,2015-08,1,5120.55
000534,CONSTELLATION SCHOOLS PURITAS,2015-08,1,3657.53
000541,CONSTELLATION SCH OUTREACH,2015-08,12,757.39
000543,PINNACLE ACADEMY,2015-08,3,17909.33
000546,WINTERFIELD VENTURE ACADEMY,2015-08,1,13852.87
000553,COLUMBUS HUMANITIES ARTS &,2015-08,1,8804.49
000556,A+ ARTS ACADEMY,2015-08,1,11049.76
000557,COLUMBUS ARTS &,2015-08,1,13067.99
000558,COLUMBUS PREPARATORY ACADEMY,2015-08,2,15388.99
000559,ORION ACADEMY,2015-08,3,14001.35
000560,APEX ACADEMY,2015-08,2,14453.6
000564,VIRTUAL SCHOOLHOUSE INC,2015-08,3,10165.44
000575,HOPE ACADEMY NORTHWEST CAMPUS,2015-08,1,6558.34
000576,KING ACADEMY COMMUNITY SCHOOL,2015-08,1,3683.22
000577,EMERSON ACADEMY,2015-08,3,17568.16
000585,FCI ACADEMY INC,2015-08,1,7240.37
000598,COSHOCTON OPPORTUNITY SCHOOL,2015-08,1,985.59
000608,SUMMIT ACADEMY TRANSITION HIGH,2015-08,4,2195.73
000609,SUMMIT ACAD. MIDDLE SCH LORAIN,2015-08,2,2522.45
000610,SUMMIT ACAD. MIDDLE SCH COL.,2015-08,4,2447.07
000613,HEIR FORCE COMMUNITY SCHOOL,2015-08,2,7007.94
000614,SUMMIT ACADEMY TRANSITION HIGH,2015-08,4,4819
000616,SUMMIT ACAD. SCH FOR ALT.,2015-08,2,2524.33
000621,SUMMIT ACADEMY TRANSITION HIGH,2015-08,5,3307.79
000623,SUMMIT ACADEMY - YOUNGSTOWN,2015-08,3,5211.95
000629,SUMMIT ACADEMY COMMUNITY,2015-08,3,2119.32
000633,SUMMIT ACAD. TOLEDO LEARN,2015-08,3,4542.08
000634,SUMMIT ACADEMY SECONDARY,2015-08,4,2045.28
000640,RITTMAN ACADEMY,2015-08,3,858.65
000664,LIFE SKILLS CENTER OF COLUMBUS,2015-08,3,4263.56
000677,NEW DAY ACADEMY BOARDING,2015-08,2,4338.6
000679,OAKSTONE COMMUNITY SCHOOL,2015-08,9,6561.05
000725,ZENITH ACADEMY,2015-08,1,11226.36
000736,PHOENIX VILL. ACAD. PRIMARY 2,2015-08,1,2623.34
000738,PHOENIX VILL. ACAD. SEC. 1,2015-08,1,2875.58
000770,MARITIME ACADEMY OF TOLEDO INC,2015-08,2,5980.36
000779,EDUCATIONAL ACADEMY FOR BOYS,2015-08,1,2775.06
