irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
044610,ORRVILLE CSD,Wayne,2023,16294380,245447010,261741390,26830,55107890,38097570,327480,93559770,355301160,2918180,358219340,7328758,3910068,11238826,11974484,141823,28,41.79,31.63,48.6,218335.3617,1640.684
044610,ORRVILLE CSD,Wayne,2024,16782720,246641020,263423740,26890,56916940,38961410,319450,96224690,359648430,4569100,364217530,7375864,4022615,11398479,12143960,222058,28,41.8044,31.6934,48.5999,226568.499,1607.5383
044628,Painsville City Local SD,Lake,2021,480,155864640,155865120,480,14792650,40259420,87200,55139750,211004870,3148170,214153040,4926304,2854265,7780569,8097075,249901,31.6062,51.7642,36.8739,79.3798,,
044628,PAINESVILLE CSD,Lake,2022,480,156002680,156003160,670,12216620,38745480,95780,51058550,207061710,3510950,210572660,4930308,2733633,7663941,7974534,278699,31.6039,53.5392,37.0128,79.3799,71781.3339,2933.5295
044628,PAINESVILLE CSD,Lake,2023,470,158738270,158738740,1700,12644930,38131930,107040,50885600,209624340,3766840,213391180,4966570,2754732,7721302,8035739,299011,31.29,54.14,36.83,79.38,73132.7405,2917.8611
044628,PAINESVILLE CSD,Lake,2024,470,214406460,214406930,1200,15233060,41178620,116250,56529130,270936060,4027220,274963280,5235731,2752646,7988377,8394781,319680,24.4196,48.6943,29.4844,79.3798,93304.3149,2946.9514
044636,Parma City SD,Cuyahoga,2021,0,2154014580,2154014580,1230,30628910,379223190,46440,409899770,2563914350,72393730,2636308080,94816706,20849387,115666093,115666093,5176151,44.0186,50.8646,45.1131,71.5,,
044636,PARMA CSD,Cuyahoga,2022,0,2154386930,2154386930,1090,30385200,375663990,52160,406102440,2560489370,76363660,2636853030,87731590,19346273,107077863,107077863,5208001,40.7223,47.6389,41.8193,68.2,232116.3008,11360.0511
044636,PARMA CSD,Cuyahoga,2023,0,2154702710,2154702710,280,30317370,383220660,59190,413597500,2568300210,79248170,2647548380,87736693,19650389,107387082,107387082,5404725,40.72,47.51,41.81,68.2,238461.9325,11102.6039
044636,PARMA CSD,Cuyahoga,2024,0,2797935560,2797935560,0,33401700,433221610,66350,466689660,3264625220,87829770,3352454990,102404441,21099879,123504320,123504320,5989990,36.6,45.2118,37.8311,68.2,307994.7262,10884.7805
044644,Piqua City SD,Miami,2021,19570700,301603110,321173810,0,35970570,70224340,96270,106291180,427464990,10706620,438171610,7990804,3394323,11385127,13049276,426980,24.88,31.9342,26.6341,39.88,,
044644,PIQUA CSD,Miami,2022,20662450,383064000,403726450,0,38088640,68733840,108110,106930590,510657040,11468320,522125360,9762105,3400991,13163096,14959454,449328,24.18,31.8056,25.7768,39.1799,148918.2986,3506.1196
044644,PIQUA CSD,Miami,2023,20597080,386060910,406657990,0,39413070,69264750,122700,108800520,515458510,12569950,528028460,9828923,3482541,13311464,14909426,492364,24.17,32.01,25.82,39.17,153597.5709,3437.7397
044644,PIQUA CSD,Miami,2024,20927520,387689940,408617460,0,39826500,73038950,137520,113002970,521620430,14514940,536135370,9868642,3617846,13486488,15108760,568259,24.1513,32.0155,25.855,39.1499,157258.1541,3409.2691
044651,Port Clinton City SD,Ottawa,2021,17250160,666037820,683287980,0,4597890,94719190,149750,99466830,782754810,31857750,814612560,15203157,2351097,17554254,18806662,1811113,22.25,23.637,22.4262,56.85,,
044651,PORT CLINTON CSD,Ottawa,2022,17630270,681517970,699148240,0,4610390,95738220,157440,100506050,799654290,35116890,834771180,15521090,2368656,17889746,19169193,1994639,22.2,23.5673,22.3718,56.8,569406.5149,1466.0373
044651,PORT CLINTON CSD,Ottawa,2023,17929750,695764000,713693750,0,4605650,98603550,171080,103380280,817074030,38793330,855867360,15772631,2413319,18185950,19493269,2199581,22.1,23.34,22.26,56.7,588838.3804,1453.4843
044651,PORT CLINTON CSD,Ottawa,2024,22954590,956205610,979160200,0,5928970,124912110,162520,131003600,1110163800,44138420,1154302220,21051944,2816577,23868521,25644783,2476165,21.5,21.5,21.5,56.1,806926.4634,1430.4925
044669,Portsmouth City SD,Scioto,2021,3142600,157821340,160963940,0,3161670,65565970,3000090,71727730,232691670,29213030,261904700,3226377,1440371,4666748,5137220,950299,20.0441,20.0811,20.0555,32.53,,
044669,PORTSMOUTH CSD,Scioto,2022,3523140,180412100,183935240,0,3530140,79856690,6152950,89539780,273475020,32745090,306220110,3678704,1790795,5469499,6016450,1065197,20,20,20,32.53,111532.7142,2745.5631
044669,PORTSMOUTH CSD,Scioto,2023,3599600,179990930,183590530,0,3286040,80292810,6814060,90392910,273983440,35976880,309960320,3671810,1807858,5479668,6030249,1110606,20,20,20,30.87,111089.3616,2790.189
044669,PORTSMOUTH CSD,Scioto,2024,3592640,179683890,183276530,0,3267380,77611270,6485440,87364090,270640620,38188030,308828650,3666007,1756079,5422086,5966203,1178864,20.0026,20.1007,20.0343,30.87,110896.3879,2784.8396
044677,Princeton City SD,Hamilton,2021,524090,792703530,793227620,0,371254030,471526570,734680,843515280,1636742900,99458730,1736201630,23287416,34548697,57836113,61359047,5663179,29.3578,40.958,35.3361,56.94,,
044677,PRINCETON CSD,Hamilton,2022,529030,795758420,796287450,0,375896090,475574010,759980,852230080,1648517530,123303160,1771820690,23377915,34972244,58350159,61887819,7020880,29.3586,41.0362,35.3955,56.94,279945.5225,6329.1625
044677,PRINCETON CSD,Hamilton,2023,627210,1041651390,1042278600,0,424191620,511173810,2531840,937897270,1980175870,147998600,2128174470,24555511,35516979,60072490,64118198,8427039,23.56,37.87,30.34,56.94,328178.8361,6484.8011
044677,PRINCETON CSD,Hamilton,2024,686270,1053122040,1053808310,0,431591240,514459640,2958640,949009520,2002817830,125842350,2128660180,24645890,36117353,60763243,64810538,7165461,23.3875,38.0579,30.3389,56.94,333014.6607,6392.0915
044685,Ravenna City SD,Portage,2021,9614840,265352660,274967500,149770,19607180,61767090,237820,81761860,356729360,20652610,377381970,7568617,2972215,10540832,11476052,1260635,27.5255,36.3521,29.5485,61.04,,
044685,RAVENNA CSD,Portage,2022,9491690,265973870,275465560,160910,20236940,62707600,256970,83362420,358827980,21829190,380657170,7581335,3001188,10582523,11519722,1332453,27.5219,36.0017,29.4919,61.04,154903.8783,2457.3766
044685,RAVENNA CSD,Portage,2023,9548940,266491550,276040490,155460,20275390,63491760,283690,84206300,360246790,23427320,383674110,7596220,3030593,10626813,11560753,1430003,27.52,35.99,29.5,61.04,155804.3807,2462.5374
044685,RAVENNA CSD,Portage,2024,12599690,357458300,370057990,146440,23039280,76918630,298560,100402910,470460900,26191810,496652710,8037178,3092349,11129527,12123893,1598748,21.7187,30.7994,23.6566,61.04,206028.0664,2410.6071
044693,Reading Community City SD,Hamilton,2021,0,139796200,139796200,0,19018990,36294790,59460,55373240,195169440,13497240,208666680,4902526,2947783,7850309,8256729,941162,35.0691,53.2348,40.223,69.73,,
044693,READING CSD,Hamilton,2022,0,140206050,140206050,0,19244890,36787880,39730,56072500,196278550,14118840,210397390,6313198,3519407,9832605,10240699,1125130,45.028,62.7653,50.0952,79.69,157296.641,1337.5835
044693,READING CSD,Hamilton,2023,0,195829980,195829980,0,20934820,44739960,24250,65699030,261529010,16220120,277749130,6603602,3489544,10093146,10621855,1270521,33.72,53.11,38.59,78.33,215354.3143,1289.731
044693,READING CSD,Hamilton,2024,0,196318970,196318970,0,21299530,45579140,24940,66903610,263222580,17484880,280707460,6615654,3527379,10143033,10672094,1369066,33.6985,52.7233,38.5341,78.3,219903.9416,1276.5004
044701,Rocky River City SD,Cuyahoga,2021,0,914735130,914735130,0,2525030,153872270,23330,156420630,1071155760,13143890,1084299650,29559208,8902257,38461465,38461465,1143124,32.3145,56.9123,35.9065,86.97,,
044701,ROCKY RIVER CSD,Cuyahoga,2022,0,914841750,914841750,0,2469000,161436330,24520,163929850,1078771600,14282960,1093054560,33821425,10088767,43910192,43910192,1308604,36.9697,61.5432,40.7039,91.6199,419887.0737,2603.2108
044701,ROCKY RIVER CSD,Cuyahoga,2023,0,923757890,923757890,0,2502740,172098810,26650,174628200,1098386090,14796560,1113182650,34195484,10065272,44260756,44260756,1355660,37.02,57.64,40.3,91.62,430875.1966,2583.5385
044701,ROCKY RIVER CSD,Cuyahoga,2024,0,1176995750,1176995750,0,2732500,181657290,25310,184415100,1361410850,16698750,1378109600,35456290,10238615,45694905,45694905,1529939,30.1244,55.5194,33.5644,91.62,536123.4393,2570.508
044719,St Bernard-Elmwood Place Cit,Hamilton,2021,0,57213790,57213790,0,33645130,10181930,142940,43970000,101183790,13766420,114950210,3203989,2614715,5818704,6033836,861364,56.0003,59.4659,57.5063,62.5699,,
044719,ST. BERNARD-ELMWOOD PLACE CSD,Hamilton,2022,0,57798760,57798760,0,33607400,10037130,156530,43801060,101599820,14262440,115862260,3233863,2606561,5840424,6055766,891545,55.9504,59.5091,57.4846,62.51,143566.8647,807.0265
044719,ST. BERNARD-ELMWOOD PLACE CSD,Hamilton,2023,0,94494290,94494290,0,40927350,17099470,174820,58201640,152695930,15968180,168664110,4126565,2679166,6805731,7116135,864357,43.67,46.03,44.57,54.13,207729.2255,811.9421
044719,ST. BERNARD-ELMWOOD PLACE CSD,Hamilton,2024,0,94580920,94580920,0,41072300,21413900,185080,62671280,157252200,17058530,174310730,3981875,2781069,6762944,7079905,895913,42.1002,44.3755,43.007,52.5199,227294.8698,766.8925
044727,St Marys City SD,Auglaize,2021,34076880,223612190,257689070,0,13992630,29376040,175900,43544570,301233640,10983700,312217340,6679300,1520580,8199880,8199880,524691,25.92,34.9201,27.221,47.77,,
044727,ST. MARYS CSD,Auglaize,2022,33657510,224776020,258433530,0,13935710,31995860,175120,46106690,304540220,11264920,315805140,6698597,1607989,8306586,8306586,538125,25.92,34.8754,27.2758,47.77,155162.0414,2035.3247
044727,ST. MARYS CSD,Auglaize,2023,57560730,282548140,340108870,0,14571110,36353870,170010,51094990,391203860,17986380,409190240,8329266,1592860,9922126,9922126,833488,24.49,31.17,25.36,46.34,203337.0062,2012.3747
044727,ST. MARYS CSD,Auglaize,2024,58036510,284019500,342056010,0,14586000,35909150,174800,50669950,392725960,19375310,412101270,8376951,1584201,9961152,9961152,897851,24.49,31.2651,25.3641,46.34,201119.2477,2049.0394
044735,Salem City SD,Columbiana,2021,6291690,234997200,241288890,31040,27745340,55808020,79450,83663850,324952740,30743220,355695960,7236253,2610989,9847242,9847242,1444623,29.99,31.2081,30.3036,46.99,,
044735,SALEM CSD,Columbiana,2022,7566880,277454850,285021730,29510,27434880,61701680,83520,89249590,374271320,32187170,406458490,8188674,2580491,10769165,10769165,1471919,28.73,28.9132,28.7737,45.73,185198.2946,2194.7205
044735,SALEM CSD,Columbiana,2023,7530520,278129330,285659850,31850,27335100,61834500,90760,89292210,374952060,34416930,409368990,8189867,2586134,10776001,10776001,1571821,28.67,28.96,28.74,45.67,188932.9203,2166.7425
044735,SALEM CSD,Columbiana,2024,7398430,279328670,286727100,26430,27726940,62915120,86220,90754710,377481810,37233430,414715240,8186058,2597427,10783485,10783485,1695982,28.55,28.6203,28.5669,45.55,193477.9456,2143.4755
044743,Sandusky City SD,Erie,2021,193660,344899240,345092900,0,14065340,123997430,4581260,142644030,487736930,28018530,515755460,12932528,7566181,20498709,20498709,2233076,37.4755,53.0424,42.0282,79.7,,
044743,SANDUSKY CSD,Erie,2022,193670,348510790,348704460,0,14536310,136042210,4816100,155394620,504099080,29182770,533281850,12939690,7698016,20637706,20637706,2322948,37.1079,49.5385,40.9398,79.6,142000.6618,3755.4885
044743,SANDUSKY CSD,Erie,2023,196450,351971220,352167670,0,14870090,142255500,6649210,163774800,515942470,32205060,548147530,12974103,7926192,20900295,20900295,2560624,36.84,48.4,40.51,79.51,147671.3447,3711.9424
044743,SANDUSKY CSD,Erie,2024,352610,459964440,460317050,0,17580210,180078230,9852200,207510640,667827690,35870610,703698300,13399691,8689611,22089302,22089302,2829832,29.1097,41.8755,33.0763,78.89,187236.095,3758.3474
044750,Shaker Heights City SD,Cuyahoga,2021,0,827762240,827762240,3240,272270,88001800,0,88277310,916039550,21544590,937584140,67274803,8904196,76178999,76178999,3951924,81.2731,100.8662,83.1613,183.43,,
044750,SHAKER HEIGHTS CSD,Cuyahoga,2022,0,829673330,829673330,3280,272270,88964160,0,89239710,918913040,23700170,942613210,67370552,8966074,76336626,76336626,4347322,81.2013,100.4718,83.0727,183.43,203758.292,4626.1342
044750,SHAKER HEIGHTS CSD,Cuyahoga,2023,0,830999720,830999720,600,272270,95433790,0,95706660,926706380,25145110,951851490,70047043,9357919,79404962,79404962,4687802,84.29,97.78,85.69,186.43,207434.015,4588.6953
044750,SHAKER HEIGHTS CSD,Cuyahoga,2024,0,1122689210,1122689210,8750,382880,104429610,0,104821240,1227510450,27738150,1255248600,71427732,9575850,81003582,81003582,5171223,63.622,91.3541,65.9901,186.43,275841.5034,4550.6154
044768,Sheffield-Sheffield Lake Cit,Lorain,2021,1364100,271006500,272370600,0,17504930,100425570,1579500,119510000,391880600,11513760,403394360,9906118,4435649,14341767,15127082,684723,36.37,37.1153,36.5973,59.47,,
044768,SHEFFIELD-SHEFFIELD LAKE CSD,Lorain,2022,1275410,275005060,276280470,0,16604490,104803350,1660260,123068100,399348570,12122390,411470960,10028981,4551919,14580900,15380496,720069,36.3,36.987,36.5117,59.3999,266981.4407,1541.1969
044768,SHEFFIELD-SHEFFIELD LAKE CSD,Lorain,2023,1201610,278469890,279671500,0,16688900,104970560,1806510,123465970,403137470,12859130,415996600,10153753,4594613,14748366,15556851,763909,36.31,37.21,36.58,59.41,275892.0416,1507.8238
044768,SHEFFIELD-SHEFFIELD LAKE CSD,Lorain,2024,1555500,372698510,374254010,0,20509600,119905150,1717200,142131950,516385960,14347100,530733060,12364229,4695613,17059842,18092614,805403,33.037,33.037,33.037,56.137,360340.8777,1472.8639
044776,Shelby City SD,Richland,2021,18143700,169282410,187426110,0,12677520,22602510,306740,35586770,223012880,115528030,338540910,4296143,1174036,5470179,6064670,5360500,22.9218,32.9908,24.5285,46.4,,
044776,SHELBY CSD,Richland,2022,18263490,170078930,188342420,0,12978370,24185890,322530,37486790,225829210,114259090,340088300,4315169,1232546,5547715,6151755,5301621,22.9113,32.8795,24.566,46.4,170285.5993,1997.1642
044776,SHELBY CSD,Richland,2023,32377420,211495090,243872510,0,12756860,30542070,341020,43639950,287512460,113062140,400574600,5511518,1329159,6840677,7483019,5212164,22.6,30.46,23.79,46.1,198998.2397,2012.9555
044776,SHELBY CSD,Richland,2024,32301440,212300940,244602380,0,12991390,30702950,369420,44063760,288666140,115246750,403912890,5529065,1321093,6850158,7468051,5312875,22.6043,29.9814,23.7304,46.1,206292.281,1957.9641
044784,Sidney City SD,Shelby,2021,27919290,362893100,390812390,0,53745050,70047020,621070,124413140,515225530,20831960,536057490,11426924,4121906,15548830,17548401,898481,29.2389,33.1308,30.1787,43.1299,,
044784,SIDNEY CSD,Shelby,2022,28078920,365904260,393983180,0,54148780,72669780,663440,127482000,521465180,22252310,543717490,11516797,4222573,15739370,17611848,959741,29.2317,33.1229,30.183,43.1299,151396.4241,3591.3496
044784,SIDNEY CSD,Shelby,2023,41392780,480905320,522298100,0,55947720,116722030,726630,173396380,695694480,25526840,721221320,13945358,4629683,18575041,20785192,1036389,26.7,26.7,26.7,40.6,201299.047,3582.8352
044784,SIDNEY CSD,Shelby,2024,41913240,482339840,524253080,0,55847340,116194280,812060,172853680,697106760,28868830,725975590,13814068,4597631,18411699,20623827,1161969,26.35,26.5984,26.4116,40.25,200437.8321,3621.9489
044792,South Euclid-Lyndhurst City,Cuyahoga,2021,0,736676600,736676600,32820,4227050,156773620,0,161033490,897710090,22257930,919968020,41419347,11434295,52853642,52853642,2441472,56.2246,71.0057,58.8761,109.69,,
044792,SOUTH EUCLID-LYNDHURST CSD,Cuyahoga,2022,0,738743580,738743580,32760,4227050,157514200,0,161774010,900517590,24112260,924629850,41517980,11452289,52970269,52970269,2644873,56.2008,70.7919,58.822,109.69,260981.8378,3542.8896
044792,SOUTH EUCLID-LYNDHURST CSD,Cuyahoga,2023,0,739110370,739110370,20200,4236390,159676260,0,163932850,903043220,25262360,928305580,41605040,11448463,53053503,53053503,2771028,56.29,69.84,58.75,109.69,268475.0817,3457.6974
044792,SOUTH EUCLID-LYNDHURST CSD,Cuyahoga,2024,0,971539470,971539470,39370,4401950,162430980,0,166872300,1138411770,28485740,1166897510,42683615,11498552,54182167,54182167,3124600,43.934,68.9063,47.5945,109.69,337656.453,3455.8721
044800,South-Western City SD,Franklin,2021,27556590,2214362810,2241919400,0,350486560,601316870,549610,952353040,3194272440,191553080,3385825520,66126532,41359548,107486080,107486080,12460527,29.4955,43.4288,33.6496,65.05,,
044800,SOUTH WESTERN CSD,Franklin,2022,27131810,2299520880,2326652690,0,384107930,621028000,388760,1005524690,3332177380,212777180,3544954560,68115083,42582562,110697645,110697645,13841155,29.276,42.3486,33.2208,65.05,149990.085,23634.5926
044800,SOUTH WESTERN CSD,Franklin,2023,41003210,3491016520,3532019730,0,420133150,688400390,315930,1108849470,4640869200,226814730,4867683930,73463537,42543448,116006985,116006985,14754297,20.8,38.37,25,65.05,205586.9643,23677.0067
044800,SOUTH WESTERN CSD,Franklin,2024,40818110,3540717160,3581535270,0,442624400,691186890,347580,1134158870,4715694140,244596010,4960290150,74589769,43526748,118116517,118116517,15910969,20.8262,38.378,25.0475,65.05,208728.9213,23764.2686
044818,Springfield City SD,Clark,2021,72100,432054920,432127020,0,22399570,153044340,618490,176062400,608189420,73440140,681629560,14084618,7408741,21493359,22921612,4165524,32.5937,42.0802,35.3399,56.72,,
044818,SPRINGFIELD CSD,Clark,2022,190310,540948900,541139210,0,21615590,162429900,415080,184460570,725599780,77479480,803079260,15276359,7413746,22690105,24264673,4286939,28.23,40.1915,31.2708,55.33,92766.2489,8657.0199
044818,SPRINGFIELD CSD,Clark,2023,243840,540521900,540765740,0,21573250,161411740,255830,183240820,724006560,82240920,806247480,15261815,7375443,22637258,24212256,4547922,28.22,40.25,31.27,55.3,90385.1804,8920.1291
044818,SPRINGFIELD CSD,Clark,2024,243840,540468850,540712690,0,21403760,166534350,262730,188200840,728913530,90576380,819489910,15214087,7542299,22756386,24682011,5000721,28.1371,40.0758,31.2196,55.21,89931.9808,9112.3303
044826,Steubenville City SD,Jefferson,2021,585440,118717640,119303080,41180,4774260,43458680,66850,48340970,167644050,26230620,193874670,2386061,1024325,3410386,3746027,754130,20,21.1896,20.343,28.75,,
044826,STEUBENVILLE CSD,Jefferson,2022,596040,118875780,119471820,43450,4755730,43572590,70100,48441870,167913690,26744200,194657890,2389508,1026546,3416054,3751880,768895,20.0006,21.1913,20.3441,28.75,98427.807,1977.6717
044826,STEUBENVILLE CSD,Jefferson,2023,562460,119338090,119900550,44930,4785000,42926360,76070,47832360,167732910,31239260,198972170,2398011,1021039,3419050,3754515,898128,20,21.35,20.38,28.75,98512.7344,2019.7609
044826,STEUBENVILLE CSD,Jefferson,2024,666730,149395940,150062670,45770,5133940,49307770,72740,54560220,204622890,34013830,238636720,3001253,1091204,4092457,4505249,977897,20,20,20,28.75,118054.5543,2021.4105
044834,Stow-Munroe Falls City SD,Summit,2021,3350560,889721200,893071760,14140,27694900,208332810,90290,236132140,1129203900,17507080,1146710980,32659097,9093094,41752191,41752191,855044,36.5694,38.5085,36.9749,48.8399,,
044834,STOW MUNROE FALLS CSD,Summit,2022,3527610,896958510,900486120,27000,27676840,216604690,101410,244409940,1144896060,18601400,1163497460,38955028,11074775,50029803,50029803,1033120,43.26,45.3123,43.6981,55.5399,240852.3053,4830.7508
044834,STOW MUNROE FALLS CSD,Summit,2023,3192450,1129942750,1133135200,29810,38154490,264111150,115090,302410540,1435545740,19356590,1454902330,43739018,11673046,55412064,55412064,984862,38.6,38.6,38.6,50.88,304772.2946,4773.7355
044834,STOW MUNROE FALLS CSD,Summit,2024,2452870,1140082150,1142535020,27750,37588050,260410750,128980,298155530,1440690550,22040090,1462730640,43896194,11547264,55443458,55443458,1117432,38.42,38.729,38.4839,50.7,317786.8855,4602.8666
044842,Strongsville City SD,Cuyahoga,2021,802150,1446874940,1447677090,14250,63850020,297353140,82630,361300040,1808977130,50043110,1859020240,51580879,16289790,67870669,71527281,4187606,35.6301,45.0866,37.5188,83.68,,
044842,STRONGSVILLE CSD,Cuyahoga,2022,768400,1453857580,1454625980,14630,61574900,303225170,92800,364907500,1819533480,53238640,1872772120,51817704,16316181,68133885,71814514,4455009,35.6227,44.7132,37.4458,83.68,327622.9661,5716.2419
044842,STRONGSVILLE CSD,Cuyahoga,2023,637400,1460578150,1461215550,16710,62762110,305528170,105310,368412300,1829627850,53843160,1883471010,52104608,16430230,68534838,72239019,4505595,35.66,44.6,37.46,83.68,329866.9719,5709.7896
044842,STRONGSVILLE CSD,Cuyahoga,2024,1097260,1866366770,1867464030,13520,71405410,320316290,118030,391853250,2259317280,59888230,2319205510,46891087,14691635,61582722,66104061,4658105,25.1095,37.4927,27.2572,77.78,405339.1026,5721.6427
044859,Struthers City SD,Mahoning,2021,328940,124035950,124364890,690,2567050,11543750,105740,14217230,138582120,11218780,149800900,4121178,681214,4802392,5080397,679858,33.1378,47.9147,34.6538,60.6,,
044859,STRUTHERS CSD,Mahoning,2022,361940,124229390,124591330,830,2602180,11509520,111430,14223960,138815290,11718660,150533950,4130065,680101,4810166,5088392,710150,33.1489,47.8138,34.6516,60.5999,95863.1558,1570.3004
044859,STRUTHERS CSD,Mahoning,2023,516600,185368410,185885010,1050,3545410,14365170,122110,18033740,203918750,12017080,215935830,4378856,691628,5070484,5478321,728235,23.56,38.35,24.87,60.6,141248.1155,1528.7696
044859,STRUTHERS CSD,Mahoning,2024,438310,185697590,186135900,650,3549100,14372370,130300,18052420,204188320,13124120,217312440,4386776,692431,5079207,5487900,795321,23.5676,38.3567,24.8751,60.5999,143530.3132,1514.0526
044867,Sycamore Community City SD,Hamilton,2021,0,1366117670,1366117670,0,127050620,540016720,108350,667175690,2033293360,65560410,2098853770,42045140,29819550,71864690,76124958,4618730,30.7771,44.6952,35.344,70.45,,
044867,SYCAMORE CSD,Hamilton,2022,0,1380483760,1380483760,0,128227470,533785320,78230,662091020,2042574780,67283520,2109858300,42465751,29655387,72121138,76389753,4740123,30.7615,44.7905,35.3089,70.45,367622.8093,5739.1931
044867,SYCAMORE CSD,Hamilton,2023,0,1729692660,1729692660,0,141852570,616666520,55310,758574400,2488267060,76109570,2564376630,44319050,30854634,75173684,80215455,5361919,25.62,40.67,30.21,70.45,430995.0962,5949.8975
044867,SYCAMORE CSD,Hamilton,2024,0,1746170580,1746170580,0,143296150,627179820,58960,770534930,2516705510,83137710,2599843220,44806911,31869709,76676620,81740236,5857051,25.6601,41.3605,30.4671,70.45,428009.3875,6074.2668
044875,Sylvania City SD,Lucas,2021,3311340,1400425110,1403736450,0,12313980,317163120,30270,329507370,1733243820,46527490,1779771310,54833033,16898752,71731785,71731785,3805948,39.0622,51.2849,41.3859,81.8,,
044875,SYLVANIA CSD,Lucas,2022,2657990,1412375010,1415033000,0,12214880,333898450,31830,346145160,1761178160,49173220,1810351380,55267509,17560047,72827556,72827556,4022369,39.0574,50.7303,41.3516,81.8,225587.5124,8025.0514
044875,SYLVANIA CSD,Lucas,2023,2773320,1423618990,1426392310,0,12594450,324475760,34590,337104800,1763497110,48552630,1812049740,55684786,17187254,72872040,72872040,3971605,39.04,50.98,41.32,81.8,222444.42,8146.0786
044875,SYLVANIA CSD,Lucas,2024,4283750,1885424680,1889708430,0,17205390,374381570,32860,391619820,2281328250,52782870,2334111120,58193760,17661466,75855226,75855226,4317638,30.7951,45.0985,33.2505,81.8,291252.6184,8014.0434
044883,Tallmadge City SD,Summit,2021,1447300,406087070,407534370,3150,17558650,68488760,45550,86096110,493630480,8526470,502156950,16144636,4076624,20221260,20221260,612115,39.6154,47.3497,40.9644,71.79,,
044883,TALLMADGE CSD,Summit,2022,1486570,412644780,414131350,4650,17644780,70382190,49810,88081430,502212780,9251890,511464670,16310894,4140038,20450932,20450932,663175,39.3858,47.0024,40.7216,71.6799,197076.7808,2595.2559
044883,TALLMADGE CSD,Summit,2023,1610100,542589820,544199920,6430,18122820,74155800,55750,92340800,636540720,9727780,646268500,17283788,4163388,21447176,21447176,685516,31.76,45.09,33.69,70.47,248578.2092,2599.8598
044883,TALLMADGE CSD,Summit,2024,1610100,553641570,555251670,4050,18126000,78730070,62670,96922790,652174460,10800080,662974540,17471382,4118540,21589922,21589922,759245,31.4657,42.493,33.1045,70.2999,250317.6153,2648.5333
044891,Tiffin City SD,Seneca,2021,18742550,279164690,297907240,4900,15883450,48100530,125010,64113890,362021130,57978280,419999410,8126969,2755243,10882212,11461445,3050237,27.2802,42.9742,30.0596,52.61,,
044891,TIFFIN CSD,Seneca,2022,19069570,280185720,299255290,320,16279110,49280720,132110,65692260,364947550,59591340,424538890,8154138,2796427,10950565,11534481,3134504,27.2481,42.5686,30.0059,52.6,152849.1485,2777.5025
044891,TIFFIN CSD,Seneca,2023,30311410,369224160,399535570,5310,20403520,54361970,148440,74919240,474454810,61490850,535945660,9221280,2807328,12028608,12787736,3183996,23.08,37.47,25.35,51.78,194982.565,2748.685
044891,TIFFIN CSD,Seneca,2024,30546800,370260220,400807020,2440,20304630,53436250,166840,73910160,474717180,66079350,540796530,9238601,2806494,12045095,12804643,3419606,23.05,37.9717,25.3732,51.75,200632.2189,2695.462
044909,Toledo City SD,Lucas,2021,2846450,1707002780,1709849230,0,95804130,657220850,9052440,762077420,2471926650,224816570,2696743220,60658953,42404502,103063455,103063455,14687266,35.4762,55.6433,41.6936,65.33,,
044909,TOLEDO CSD,Lucas,2022,2839560,1708136910,1710976470,0,97082690,609869020,9511300,716463010,2427439480,240015090,2667454570,60729398,39675428,100404826,100404826,15684986,35.494,55.3768,41.3624,65.35,83271.727,32033.1362
044909,TOLEDO CSD,Lucas,2023,2695730,1705201890,1707897620,0,99004070,594454400,10307550,703766020,2411663640,249679140,2661342780,60711661,39238896,99950557,99950557,16316531,35.55,55.76,41.44,65.35,83352.2897,31928.8503
044909,TOLEDO CSD,Lucas,2024,3726380,2140820200,2144546580,0,141510100,753329140,13157340,907996580,3052543160,276503530,3329046690,68809063,43640494,112449557,112449557,18780119,32.0856,48.0624,36.838,67.92,104021.7372,32003.3752
044917,Toronto City SD,Jefferson,2021,622260,66212230,66834490,22860,3476290,7857750,39620,11396520,78231010,27400230,105631240,1336689,315144,1651833,1808379,1031618,20,27.6527,21.1148,37.65,,
044917,TORONTO CSD,Jefferson,2022,636740,66230890,66867630,23100,3476290,7861570,41640,11402600,78270230,27304830,105575060,1337406,315312,1652718,1809258,1028026,20.0008,27.6526,21.1155,37.65,138728.2021,761.0209
044917,TORONTO CSD,Jefferson,2023,681180,66291420,66972600,25460,3476290,8041090,45250,11588090,78560690,27755520,106316210,1339452,320441,1659893,1817015,1044995,20,27.65,21.13,37.65,136599.1467,778.308
044917,TORONTO CSD,Jefferson,2024,728940,86994500,87723440,31150,3557030,8919410,42990,12550580,100274020,28586860,128860880,1754468,324033,2078501,2279865,1076295,20,25.8182,20.7282,37.65,163164.6861,789.7596
044925,Troy City SD,Miami,2021,14062550,585751640,599814190,0,64055920,150999060,117630,215172610,814986800,32972770,847959570,11996283,7059942,19056225,22250296,1622260,20,32.8106,23.3822,49.2,,
044925,TROY CSD,Miami,2022,14656620,742643420,757300040,0,65874220,135407580,132110,201413910,958713950,35322410,994036360,15146000,6528429,21674429,25048311,1737862,20,32.413,22.6078,49.2,225846.0506,4401.3892
