irn,district,county,tax_year,agricultural_value,residential_value,class1_value,mineral_value,industrial_value,commercial_value,railroad_value,class2_value,real_property_value,public_utility_value,total_value,class1_taxes_charged,class2_taxes_charged,real_property_taxes_charged,real_property_taxes_charged_with_jvsd,public_utility_taxes_charged,class1_rate,class2_rate,real_property_millage,public_utility_millage,value_per_pupil,adm
043539,BARBERTON CSD,Summit,2024,599140,421978230,422577370,1240,33721800,58557270,356920,92637230,515214600,25812830,541027430,14166652,3587506,17754158,17754158,1460489,33.5244,38.7264,34.4597,56.58,153281.2356,3529.639
043547,Bay Village City SD,Cuyahoga,2021,0,716311830,716311830,0,449680,12435940,32630,12918250,729230080,12760200,741990280,29127817,750333,29878150,29878150,1503279,40.6636,58.0832,40.9722,117.81,,
043547,BAY VILLAGE CSD,Cuyahoga,2022,0,719639380,719639380,0,449680,12435940,34300,12919920,732559300,13647570,746206870,34437191,843453,35280644,35280644,1706082,47.8534,65.2831,48.1608,125.0099,311592.4112,2394.8172
043547,BAY VILLAGE CSD,Cuyahoga,2023,0,723381640,723381640,0,449260,12930120,37280,13416660,736798300,14603950,751402250,34654393,876514,35530907,35530907,1825639,47.91,65.33,48.22,125.01,317367.5096,2367.6092
043547,BAY VILLAGE CSD,Cuyahoga,2024,0,905347040,905347040,0,461930,14455930,35410,14953270,920300310,15143900,935444210,35725809,885417,36611226,36611226,1893138,39.4609,59.2123,39.7818,125.0099,403291.4345,2319.5241
043554,Beachwood City SD,Cuyahoga,2021,0,437798520,437798520,15810,5780360,416218270,0,422014440,859812960,15654970,875467930,15061057,18734655,33795712,33795712,1333803,34.4018,44.3934,39.3059,85.2,,
043554,BEACHWOOD CSD,Cuyahoga,2022,0,441559770,441559770,15670,7311340,421691300,0,429018310,870578080,16694700,887272780,15184092,19045581,34229673,34229673,1422388,34.3874,44.3934,39.3183,85.2,593839.5109,1494.1289
043554,BEACHWOOD CSD,Cuyahoga,2023,0,444891370,444891370,1830,6746090,418228110,0,424976030,869867400,17032660,886900060,15315118,19060684,34375802,34375802,1451182,34.42,44.85,39.52,85.2,597079.4105,1485.3972
043554,BEACHWOOD CSD,Cuyahoga,2024,0,546480970,546480970,19240,7567100,477108350,0,484694690,1031175660,18724410,1049900070,16090968,20250544,36341512,36341512,1595319,29.4447,41.78,35.2428,85.2,690203.008,1521.1468
043562,Bedford City SD,Cuyahoga,2021,63050,443875870,443938920,600,72729770,245984360,201530,318916260,762855180,96083570,858938750,16041910,15034701,31076611,31076611,7179364,36.1354,47.1431,40.7372,74.72,,
043562,BEDFORD CSD,Cuyahoga,2022,59480,443960190,444019670,950,68867350,233086590,226230,302181120,746200790,99190250,845391040,16048735,14247326,30296061,30296061,7411495,36.1442,47.1483,40.6004,74.72,268319.1937,3150.6916
043562,BEDFORD CSD,Cuyahoga,2023,134770,443177120,443311890,1440,71376340,238148840,225990,309752610,753064500,102992670,856057170,16047269,14556142,30603411,30603411,7695612,36.2,46.99,40.64,74.72,263247.9362,3251.9046
043562,BEDFORD CSD,Cuyahoga,2024,289550,578424580,578714130,1260,79555890,256824710,222960,336604820,915318950,110669720,1025988670,16672927,14612149,31285076,31285076,8269241,28.8103,43.4104,34.1794,74.72,308113.3495,3329.9066
043570,Bellaire Local SD,Belmont,2021,17175800,107291550,124467350,20594790,1861310,16808740,71310,39336150,163803500,126489940,290293440,2738281,898595,3636876,3874391,3731453,22,22.844,22.2027,29.5,,
