school_year,census_year,october_year,district_irn,district_name,census_poverty,neglected,delinquent,foster,tanf,total_formula_count,population_5_to_17,title1_share
2023-2024,2021,2022,048850,Maysville Local School District,277,0,,13,1,291,1749,0.166380789022298
2023-2024,2021,2022,048876,Tri-Valley Local School District,627,0,,31,2,660,3340,0.197604790419162
2023-2024,2021,2022,048884,West Muskingum Local School District,311,0,,13,1,325,1954,0.16632548618219
2023-2024,2021,2022,048900,Noble Local School District,201,0,,0,1,202,1159,0.174288179465056
2023-2024,2021,2022,048926,Benton-Carroll-Salem Local School District,154,0,,5,0,159,1580,0.100632911392405
2023-2024,2021,2022,048934,Danbury Local School District,55,0,,0,0,55,452,0.121681415929204
2023-2024,2021,2022,048942,Genoa Area Local School District,89,0,,6,0,95,1345,0.070631970260223
2023-2024,2021,2022,048959,Middle Bass Local School District,1,0,,0,0,1,14,0.071428571428571
2023-2024,2021,2022,048967,North Bass Local School District,0,0,,0,0,0,0,0
2023-2024,2021,2022,048975,Put-in-Bay Local School District,10,0,,0,0,10,62,0.161290322580645
2023-2024,2021,2022,048991,Antwerp Local School District,97,0,,0,0,97,727,0.133425034387895
2023-2024,2021,2022,049031,Wayne Trace Local School District,121,0,,0,0,121,956,0.126569037656904
2023-2024,2021,2022,049056,Northern Local School District,346,0,,21,1,368,2625,0.140190476190476
2023-2024,2021,2022,049064,Southern Local School District,206,0,,5,0,211,744,0.283602150537634
2023-2024,2021,2022,049080,Logan Elm Local School District,277,0,,4,0,281,2050,0.137073170731707
2023-2024,2021,2022,049098,Teays Valley Local School District,385,0,,12,0,397,4330,0.091685912240185
2023-2024,2021,2022,049106,Westfall Local School District,163,0,,6,0,169,1396,0.121060171919771
2023-2024,2021,2022,049122,Eastern Local School District,204,0,,2,0,206,879,0.234357224118316
2023-2024,2021,2022,049130,Scioto Valley Local School District,379,0,,7,0,386,1420,0.271830985915493
2023-2024,2021,2022,049148,Waverly City School District,435,0,,7,1,443,1887,0.234764175940646
2023-2024,2021,2022,049155,Western Local School District,272,0,,1,0,273,862,0.316705336426914
2023-2024,2021,2022,049171,Aurora City School District,137,0,,3,0,140,3249,0.043090181594337
2023-2024,2021,2022,049189,Crestwood Local School District,231,0,,10,0,241,1837,0.131192161132281
2023-2024,2021,2022,049197,Field Local School District,293,0,,17,0,310,2510,0.123505976095618
2023-2024,2021,2022,049205,James A. Garfield Local School District,187,0,,3,0,190,1464,0.129781420765027
2023-2024,2021,2022,049213,Rootstown Local School District,135,0,,2,0,137,1350,0.101481481481482
2023-2024,2021,2022,049221,Southeast Local School District,306,0,,5,0,311,1784,0.17432735426009
2023-2024,2021,2022,049239,Streetsboro City School District,301,0,,9,0,310,2381,0.130197396052079
2023-2024,2021,2022,049247,Waterloo Local School District,169,0,,12,0,181,1325,0.136603773584906
2023-2024,2021,2022,049270,National Trail Local School District,162,0,,8,0,170,1120,0.151785714285714
2023-2024,2021,2022,049288,Preble Shawnee Local School District,219,0,,10,0,229,1544,0.148316062176166
2023-2024,2021,2022,049296,Twin Valley Community Local School District,118,0,,4,0,122,968,0.12603305785124
2023-2024,2021,2022,049312,Columbus Grove Local School District,96,0,,0,0,96,1021,0.094025465230166
2023-2024,2021,2022,049320,Continental Local School District,51,0,,3,0,54,622,0.086816720257235
2023-2024,2021,2022,049338,Jennings Local School District,24,0,,0,0,24,381,0.062992125984252
2023-2024,2021,2022,049346,Kalida Local School District,20,0,,0,0,20,639,0.031298904538341
2023-2024,2021,2022,049353,Leipsic Local School District,87,0,,0,0,87,731,0.119015047879617
2023-2024,2021,2022,049361,Miller City-New Cleveland Local School District,14,0,,0,0,14,427,0.032786885245902
2023-2024,2021,2022,049379,Ottawa-Glandorf Local School District,90,0,,3,0,93,1777,0.052335396736072
2023-2024,2021,2022,049387,Ottoville Local School District,13,0,,4,0,17,467,0.036402569593148
2023-2024,2021,2022,049395,Pandora-Gilboa Local School District,46,0,,4,0,50,682,0.073313782991202
2023-2024,2021,2022,049411,Clear Fork Valley Local School District,198,0,,3,0,201,2051,0.098000975134081
2023-2024,2021,2022,049429,Crestview Local School District,257,0,,1,0,258,1601,0.161149281698938
2023-2024,2021,2022,049437,Lexington Local School District,248,0,,5,1,254,2934,0.086571233810498
2023-2024,2021,2022,049445,Lucas Local School District,57,0,,2,0,59,583,0.101200686106346
2023-2024,2021,2022,049452,Madison Local School District,602,62,,8,2,674,3402,0.198118753674309
2023-2024,2021,2022,049460,Plymouth-Shiloh Local School District,152,0,,3,0,155,1046,0.148183556405354
2023-2024,2021,2022,049478,Ontario Local School District,181,0,,9,0,190,1884,0.100849256900212
2023-2024,2021,2022,049494,Adena Local School District,226,0,,5,1,232,1326,0.174962292609351
2023-2024,2021,2022,049502,Huntington Local School District,240,0,,6,1,247,1106,0.223327305605787
2023-2024,2021,2022,049510,Paint Valley Local School District,212,0,,7,1,220,970,0.22680412371134
2023-2024,2021,2022,049528,Southeastern Local School District,175,0,,7,1,183,1045,0.17511961722488
2023-2024,2021,2022,049536,Union-Scioto Local School District,391,0,,10,1,402,1911,0.210361067503925
2023-2024,2021,2022,049544,Zane Trace Local School District,230,0,,6,1,237,1553,0.152607855763039
2023-2024,2021,2022,049569,Lakota Local School District,118,0,,2,0,120,1185,0.10126582278481
2023-2024,2021,2022,049577,Woodmore Local School District,75,0,,1,0,76,1041,0.073006724303554
2023-2024,2021,2022,049593,Bloom-Vernon Local School District,151,0,,14,0,165,767,0.215123859191656
2023-2024,2021,2022,049601,Clay Local School District,146,0,,19,0,165,553,0.298372513562387
2023-2024,2021,2022,049619,Green Local School District,172,0,,6,0,178,681,0.261380323054332
2023-2024,2021,2022,049627,Minford Local School District,294,0,,36,1,331,1401,0.236259814418273
2023-2024,2021,2022,049635,Northwest Local School District,404,0,,29,1,434,1554,0.279279279279279
2023-2024,2021,2022,049643,Valley Local School District,203,0,,7,1,211,872,0.24197247706422
2023-2024,2021,2022,049650,Washington-Nile Local School District,398,0,,27,1,426,1331,0.320060105184072
2023-2024,2021,2022,049668,Wheelersburg Local School District,300,0,,23,1,324,1384,0.234104046242775
2023-2024,2021,2022,049684,Seneca East Local School District,75,0,,2,0,77,854,0.09016393442623
2023-2024,2021,2022,049700,Hopewell-Loudon Local School District,55,0,,1,0,56,747,0.074966532797858
2023-2024,2021,2022,049718,New Riegel Local School District,25,0,,1,0,26,344,0.075581395348837
2023-2024,2021,2022,049726,Old Fort Local School District,55,0,,1,0,56,530,0.105660377358491
2023-2024,2021,2022,049759,Anna Local School District,46,0,,0,0,46,1024,0.044921875
2023-2024,2021,2022,049767,Botkins Local School District,21,0,,0,0,21,430,0.048837209302326
2023-2024,2021,2022,049775,Fairlawn Local School District,44,0,,0,0,44,378,0.116402116402116
2023-2024,2021,2022,049783,Fort Loramie Local School District,25,0,,0,0,25,828,0.030193236714976
2023-2024,2021,2022,049791,Hardin-Houston Local School District,74,6,,6,0,86,921,0.093376764386536
2023-2024,2021,2022,049809,Jackson Center Local School District,52,0,,1,0,53,513,0.103313840155945
2023-2024,2021,2022,049817,Russia Local School District,9,0,,0,0,9,382,0.023560209424084
2023-2024,2021,2022,049833,Canton Local School District,369,0,,7,1,377,1795,0.210027855153203
2023-2024,2021,2022,049841,Fairless Local School District,224,0,,3,0,227,1920,0.118229166666667
2023-2024,2021,2022,049858,Jackson Local School District,406,0,,21,1,428,6671,0.064158297106881
2023-2024,2021,2022,049866,Lake Local School District,207,0,,12,0,219,3854,0.056824078879087
2023-2024,2021,2022,049874,Louisville City School District,285,0,,18,1,304,3134,0.097000638162093
2023-2024,2021,2022,049882,Marlington Local School District,267,0,,9,1,277,2268,0.122134038800706
2023-2024,2021,2022,049890,Minerva Local School District,335,0,,7,0,342,1975,0.173164556962025
2023-2024,2021,2022,049908,Northwest Local School District,191,0,,3,0,194,2041,0.095051445369917
2023-2024,2021,2022,049916,Osnaburg Local School District,72,0,,5,0,77,839,0.091775923718713
2023-2024,2021,2022,049924,Perry Local School District,487,0,,25,1,513,4607,0.111352289993488
2023-2024,2021,2022,049932,Plain Local School District,904,0,,36,2,942,7065,0.133333333333333
2023-2024,2021,2022,049940,Sandy Valley Local School District,217,0,,5,0,222,1317,0.168564920273348
2023-2024,2021,2022,049957,Tuslaw Local School District,134,0,,7,0,141,1613,0.087414755114693
2023-2024,2021,2022,049973,Woodridge Local School District,393,0,,21,3,417,2550,0.163529411764706
2023-2024,2021,2022,049981,Copley-Fairlawn City School District,189,0,,15,1,205,3425,0.05985401459854
2023-2024,2021,2022,049999,Coventry Local School District,191,0,,18,1,210,1461,0.143737166324435
2023-2024,2021,2022,050005,Manchester Local School District,122,0,,18,1,141,1420,0.099295774647887
2023-2024,2021,2022,050013,Green Local School District,353,0,,28,2,383,4712,0.081281833616299
2023-2024,2021,2022,050021,Hudson City School District,140,0,,2,1,143,5486,0.0260663507109
2023-2024,2021,2022,050039,Mogadore Local School District,64,0,,2,0,66,699,0.094420600858369
2023-2024,2021,2022,050047,Nordonia Hills City School District,230,0,,10,2,242,4457,0.0542966120709
2023-2024,2021,2022,050054,Revere Local School District,144,0,,5,1,150,3767,0.039819485001327
2023-2024,2021,2022,050062,Springfield Local School District,427,0,,54,3,484,2532,0.191153238546603
2023-2024,2021,2022,050070,Twinsburg City School District,238,0,,12,2,252,4700,0.053617021276596
2023-2024,2021,2022,050096,Bloomfield-Mespo Local School District,125,0,,1,0,126,1170,0.107692307692308
2023-2024,2021,2022,050112,Bristol Local School District,164,0,,3,0,167,1230,0.135772357723577
2023-2024,2021,2022,050120,Brookfield Local School District,234,0,,1,0,235,1111,0.211521152115211
2023-2024,2021,2022,050138,Champion Local School District,164,0,,1,0,165,1466,0.112551159618008
2023-2024,2021,2022,050153,Mathews Local School District,120,0,,4,0,124,863,0.143684820393975
2023-2024,2021,2022,050161,Howland Local School District,408,0,,10,0,418,2998,0.13942628418946
2023-2024,2021,2022,050179,Joseph Badger Local School District,123,0,,1,0,124,885,0.140112994350282
2023-2024,2021,2022,050187,Lakeview Local School District,185,0,,3,0,188,1878,0.100106496272631
2023-2024,2021,2022,050195,Liberty Local School District,321,68,,4,0,393,1672,0.235047846889952
2023-2024,2021,2022,050203,Lordstown Local School District,62,0,,1,0,63,472,0.133474576271186
2023-2024,2021,2022,050211,Maplewood Local School District,110,0,,2,0,112,721,0.155339805825243
2023-2024,2021,2022,050229,McDonald Local School District,74,0,,1,0,75,660,0.113636363636364
2023-2024,2021,2022,050237,Southington Local School District,77,0,,1,0,78,655,0.119083969465649
2023-2024,2021,2022,050245,LaBrae Local School District,240,0,,3,0,243,1058,0.229678638941399
2023-2024,2021,2022,050252,Weathersfield Local School District,137,0,,1,0,138,772,0.178756476683938
2023-2024,2021,2022,050278,Garaway Local School District,213,0,,8,0,221,2586,0.085460170146945
2023-2024,2021,2022,050286,Indian Valley Local School District,262,0,,8,0,270,1705,0.158357771260997
2023-2024,2021,2022,050294,Strasburg-Franklin Local School District,67,0,,3,0,70,636,0.110062893081761
2023-2024,2021,2022,050302,Tuscarawas Valley Local School District,202,0,,8,0,210,1590,0.132075471698113
2023-2024,2021,2022,050328,Fairbanks Local School District,46,0,,3,0,49,1338,0.036621823617339
2023-2024,2021,2022,050336,North Union Local School District,141,0,,7,0,148,1486,0.099596231493943
2023-2024,2021,2022,050351,Crestview Local School District,82,0,,2,1,85,867,0.098039215686275
2023-2024,2021,2022,050369,Lincolnview Local School District,61,0,,1,1,63,795,0.079245283018868
2023-2024,2021,2022,050393,Vinton County Local School District,501,0,,10,1,512,2013,0.254346746150025
2023-2024,2021,2022,050419,Carlisle Local School District,146,0,,2,0,148,1706,0.086752637749121
2023-2024,2021,2022,050427,Springboro Community City School District,220,0,,3,0,223,7507,0.029705608099108
2023-2024,2021,2022,050435,Kings Local School District,329,0,,6,1,336,5650,0.059469026548673
2023-2024,2021,2022,050443,Little Miami Local School District,317,0,,7,1,325,6485,0.05011565150347
2023-2024,2021,2022,050450,Mason City School District,414,0,,5,1,420,11746,0.035756853396901
2023-2024,2021,2022,050468,Wayne Local School District,108,0,,6,0,114,1696,0.067216981132075
2023-2024,2021,2022,050484,Fort Frye Local School District,186,0,,10,0,196,995,0.196984924623116
2023-2024,2021,2022,050492,Frontier Local School District,124,0,,0,0,124,689,0.179970972423803
2023-2024,2021,2022,050500,Warren Local School District,309,0,,6,1,316,2353,0.134296642583935
2023-2024,2021,2022,050518,Wolf Creek Local School District,61,0,,0,0,61,615,0.099186991869919
2023-2024,2021,2022,050534,Chippewa Local School District,150,0,,4,1,155,1442,0.10748959778086
2023-2024,2021,2022,050542,Dalton Local School District,169,0,,2,1,172,1572,0.10941475826972
2023-2024,2021,2022,050559,Green Local School District,126,0,,6,1,133,1318,0.100910470409712
2023-2024,2021,2022,050567,Norwayne Local School District,129,30,,6,1,166,1490,0.111409395973154
2023-2024,2021,2022,050575,Northwestern Local School District,214,0,,3,1,218,1572,0.138676844783715
2023-2024,2021,2022,050583,Southeast Local School District,462,0,,5,1,468,4694,0.09970174691095
2023-2024,2021,2022,050591,Triway Local School District,254,0,,5,1,260,2279,0.114085125054849
2023-2024,2021,2022,050617,Edgerton Local School District,55,0,,0,0,55,655,0.083969465648855
2023-2024,2021,2022,050625,Edon Northwest Local School District,56,0,,3,0,59,561,0.105169340463458
2023-2024,2021,2022,050633,Millcreek-West Unity Local School District,54,0,,0,0,54,580,0.093103448275862
2023-2024,2021,2022,050641,North Central Local School District,80,0,,2,0,82,689,0.119013062409289
2023-2024,2021,2022,050658,Stryker Local School District,64,0,,0,0,64,445,0.143820224719101
2023-2024,2021,2022,050674,Eastwood Local School District,120,0,,6,0,126,1553,0.081133290405666
2023-2024,2021,2022,050682,Elmwood Local School District,106,0,,1,0,107,1182,0.090524534686971
2023-2024,2021,2022,050690,Lake Local School District,206,0,,3,0,209,1790,0.116759776536313
2023-2024,2021,2022,050708,North Baltimore Local School District,124,0,,1,0,125,739,0.16914749661705
2023-2024,2021,2022,050716,Northwood Local School District,110,0,,2,0,112,855,0.130994152046784
2023-2024,2021,2022,050724,Otsego Local School District,154,0,,2,0,156,1701,0.091710758377425
2023-2024,2021,2022,050740,Mohawk Local School District,78,0,,3,0,81,916,0.088427947598253
2023-2024,2021,2022,061903,Adams County/Ohio Valley Local School District,1014,18,,98,0,1130,4245,0.266195524146054
2023-2024,2021,2022,064964,College Corner Local School District,25,0,,0,0,25,143,0.174825174825175
2023-2024,2021,2022,065680,Gallia County Local School District,620,0,,7,1,628,2763,0.227289178429244
2023-2024,2021,2022,069682,East Guernsey Local School District,250,0,,6,0,256,1330,0.192481203007519
2023-2024,2021,2022,091397,Tri-County North Local School District,114,0,,9,0,123,928,0.132543103448276
2023-2024,2021,2022,139303,Monroe Local School District,182,0,,12,1,195,3162,0.061669829222011
2024-2025,2022,2023,000442,Manchester Local School District,240,0,,36,0,276,799,0.345431789737171
2024-2025,2022,2023,043489,Akron City School District,8218,0,,136,0,8354,27026,0.309109746170355
2024-2025,2022,2023,043497,Alliance City School District,864,0,,15,0,879,3099,0.283639883833495
2024-2025,2022,2023,043505,Ashland City School District,417,0,,29,0,446,3817,0.116845690332722
2024-2025,2022,2023,043513,Ashtabula Area City School District,1248,0,,9,0,1257,4086,0.307635829662261
2024-2025,2022,2023,043521,Athens City School District,459,0,,22,0,481,2620,0.183587786259542
2024-2025,2022,2023,043539,Barberton City School District,881,0,,106,0,987,3608,0.273558758314856
2024-2025,2022,2023,043547,Bay Village City School District,73,0,,3,0,76,2943,0.025823989126741
2024-2025,2022,2023,043554,Beachwood City School District,142,0,,3,0,145,2311,0.062743401125054
2024-2025,2022,2023,043562,Bedford City School District,867,15,,93,0,975,3709,0.262874090051227
2024-2025,2022,2023,043570,Bellaire Local School District,342,0,,0,0,342,1250,0.2736
2024-2025,2022,2023,043588,Bellefontaine City School District,598,0,,23,0,621,2809,0.221075115699537
2024-2025,2022,2023,043596,Bellevue City School District,263,0,,7,0,270,2296,0.117595818815331
2024-2025,2022,2023,043604,Belpre City School District,301,0,,6,0,307,1230,0.249593495934959
2024-2025,2022,2023,043612,Berea City School District,732,39,,89,0,860,6698,0.128396536279486
2024-2025,2022,2023,043620,Bexley City School District,124,0,,9,0,133,2850,0.046666666666667
2024-2025,2022,2023,043638,Bowling Green City School District,407,0,,7,0,414,3537,0.11704834605598
2024-2025,2022,2023,043646,Brecksville-Broadview Heights City School District,210,0,,4,0,214,4555,0.046981339187706
2024-2025,2022,2023,043653,Brooklyn City School District,288,0,,4,0,292,1524,0.191601049868766
2024-2025,2022,2023,043661,Brunswick City School District,482,0,,16,0,498,7658,0.065030033951423
2024-2025,2022,2023,043679,Bryan City School District,316,0,,4,0,320,2104,0.152091254752852
2024-2025,2022,2023,043687,Bucyrus City School District,429,0,,9,0,438,1565,0.279872204472843
2024-2025,2022,2023,043695,Cambridge City School District,581,0,,42,0,623,2290,0.272052401746725
2024-2025,2022,2023,043703,Campbell City School District,497,0,,4,0,501,1293,0.387470997679814
2024-2025,2022,2023,043711,Canton City School District,3940,0,,86,0,4026,10097,0.398732296721799
2024-2025,2022,2023,043729,Celina City School District,392,0,,12,0,404,2975,0.135798319327731
2024-2025,2022,2023,043737,Centerville City School District,575,0,,13,0,588,9945,0.059125188536953
2024-2025,2022,2023,043745,Chillicothe City School District,827,0,,33,0,860,3485,0.246771879483501
2024-2025,2022,2023,043752,Cincinnati City School District,13291,103,,537,0,13931,48647,0.286369149176722
2024-2025,2022,2023,043760,Circleville City School District,485,0,,6,0,491,2394,0.205096073517126
2024-2025,2022,2023,043778,Claymont City School District,428,0,,22,0,450,2083,0.216034565530485
2024-2025,2022,2023,043786,Cleveland Municipal School District,22943,73,,418,0,23434,55443,0.422668326028534
2024-2025,2022,2023,043794,Cleveland Heights-University Heights City School District,1743,0,,68,0,1811,8393,0.215775050637436
2024-2025,2022,2023,043802,Columbus City School District,26227,62,,483,0,26772,76452,0.350180505415162
2024-2025,2022,2023,043810,Conneaut Area City School District,542,0,,20,0,562,1954,0.287615148413511
2024-2025,2022,2023,043828,Coshocton City School District,403,0,,9,0,412,1863,0.221148684916801
2024-2025,2022,2023,043836,Cuyahoga Falls City School District,562,0,,22,0,584,5170,0.112959381044487
2024-2025,2022,2023,043844,Dayton City School District,7513,22,,249,0,7784,22651,0.343649287007196
2024-2025,2022,2023,043851,Deer Park Community City School District,173,0,,5,0,178,1410,0.126241134751773
2024-2025,2022,2023,043869,Defiance City School District,443,0,,5,0,448,2710,0.165313653136531
2024-2025,2022,2023,043877,Delaware City School District,560,0,,8,0,568,6271,0.090575665763036
2024-2025,2022,2023,043885,Delphos City School District,209,0,,1,0,210,1620,0.12962962962963
2024-2025,2022,2023,043893,Dover City School District,311,0,,1,0,312,2717,0.114832535885167
2024-2025,2022,2023,043901,East Cleveland City School District,1175,0,,55,0,1230,2395,0.51356993736952
2024-2025,2022,2023,043919,East Liverpool City School District,755,0,,0,0,755,2338,0.322925577416595
2024-2025,2022,2023,043927,East Palestine City School District,217,0,,15,0,232,1276,0.181818181818182
2024-2025,2022,2023,043935,Eaton Community City School District,293,0,,20,0,313,2268,0.138007054673721
2024-2025,2022,2023,043943,Elyria City School District,1957,0,,40,0,1997,7613,0.262314462104295
2024-2025,2022,2023,043950,Euclid City School District,2403,0,,69,0,2472,7856,0.314663951120163
2024-2025,2022,2023,043968,Fairborn City School District,917,0,,12,0,929,5295,0.175448536355052
2024-2025,2022,2023,043976,Fairview Park City School District,175,0,,5,0,180,2261,0.079610791685095
2024-2025,2022,2023,043984,Findlay City School District,752,0,,35,0,787,5768,0.136442441054092
2024-2025,2022,2023,043992,Fostoria City School District,614,0,,9,0,623,2307,0.270047680970958
2024-2025,2022,2023,044008,Franklin City School District,449,0,,10,0,459,3265,0.140581929555896
2024-2025,2022,2023,044016,Fremont City School District,685,0,,3,0,688,4572,0.150481189851269
2024-2025,2022,2023,044024,Galion City School District,482,0,,7,0,489,2105,0.232304038004751
2024-2025,2022,2023,044032,Gallipolis City School District,581,0,,5,0,586,2232,0.262544802867384
2024-2025,2022,2023,044040,Garfield Heights City School District,1411,0,,56,0,1467,4820,0.304356846473029
2024-2025,2022,2023,044057,Geneva Area City School District,444,0,,9,0,453,2356,0.192275042444822
2024-2025,2022,2023,044065,Girard City School District,442,0,,6,0,448,1661,0.269717037928959
2024-2025,2022,2023,044073,Grandview Heights City School District,45,0,,0,0,45,1248,0.036057692307692
2024-2025,2022,2023,044081,Winton Woods City School District,872,0,,10,0,882,4949,0.178217821782178
2024-2025,2022,2023,044099,Greenville City School District,463,0,,4,0,467,3268,0.142900856793146
2024-2025,2022,2023,044107,Hamilton City School District,2353,0,,38,0,2391,10136,0.235891870560379
2024-2025,2022,2023,044115,Heath City School District,193,0,,12,0,205,1750,0.117142857142857
2024-2025,2022,2023,044123,Hillsboro City School District,524,0,,57,0,581,2622,0.221586575133486
2024-2025,2022,2023,044131,Huron City School District,166,0,,3,0,169,1434,0.117852161785216
2024-2025,2022,2023,044149,Ironton City School District,386,0,,10,0,396,1530,0.258823529411765
2024-2025,2022,2023,044156,Jackson City School District,520,0,,45,0,565,2730,0.206959706959707
2024-2025,2022,2023,044164,Kent City School District,419,0,,14,0,433,3091,0.140084115173083
2024-2025,2022,2023,044172,Kenton City School District,382,0,,9,0,391,1982,0.197275479313824
2024-2025,2022,2023,044180,Kettering City School District,1018,0,,13,0,1031,8782,0.117399225688909
2024-2025,2022,2023,044198,Lakewood City School District,708,0,,32,0,740,5330,0.138836772983114
2024-2025,2022,2023,044206,Lancaster City School District,1160,0,,19,0,1179,7233,0.163002903359602
2024-2025,2022,2023,044214,Lebanon City School District,446,0,,18,0,464,6719,0.069057895520167
2024-2025,2022,2023,044222,Lima City School District,1549,0,,24,0,1573,5118,0.307346619773349
2024-2025,2022,2023,044230,Lockland Local School District,238,0,,5,0,243,711,0.341772151898734
2024-2025,2022,2023,044248,Logan-Hocking Local School District,675,0,,33,0,708,3891,0.181958365458751
2024-2025,2022,2023,044255,London City School District,319,0,,4,0,323,2274,0.142040457343887
2024-2025,2022,2023,044263,Lorain City School District,3707,0,,30,0,3737,9747,0.383400020519134
2024-2025,2022,2023,044271,Loveland City School District,275,0,,10,0,285,5748,0.049582463465553
2024-2025,2022,2023,044289,Madeira City School District,42,0,,1,0,43,2060,0.020873786407767
2024-2025,2022,2023,044297,Mansfield City School District,1820,0,,36,0,1856,5213,0.356032994436984
2024-2025,2022,2023,044305,Maple Heights City School District,1433,0,,60,0,1493,4260,0.350469483568075
2024-2025,2022,2023,044313,Mariemont City School District,68,0,,4,0,72,1853,0.038855909336212
2024-2025,2022,2023,044321,Marietta City School District,687,0,,30,0,717,2935,0.244293015332198
2024-2025,2022,2023,044339,Marion City School District,1491,0,,26,0,1517,5083,0.298445799724572
2024-2025,2022,2023,044347,Martins Ferry City School District,427,0,,5,0,432,1434,0.301255230125523
2024-2025,2022,2023,044354,Massillon City School District,1065,0,,12,0,1077,4397,0.244939731635206
2024-2025,2022,2023,044362,Maumee City School District,323,0,,24,0,347,2754,0.125998547567175
2024-2025,2022,2023,044370,Mayfield City School District,406,0,,18,0,424,4878,0.086920869208692
2024-2025,2022,2023,044388,Medina City School District,377,0,,14,0,391,7592,0.05150158061117
2024-2025,2022,2023,044396,Miamisburg City School District,764,0,,13,0,777,6140,0.126547231270358
2024-2025,2022,2023,044404,Middletown City School District,2322,0,,43,0,2365,8274,0.285835146241238
2024-2025,2022,2023,044412,Mount Healthy City School District,1295,0,,106,0,1401,4664,0.300385934819897
2024-2025,2022,2023,044420,Mount Vernon City School District,725,0,,27,0,752,4478,0.167932112550246
2024-2025,2022,2023,044438,Napoleon Area City School District,240,0,,3,0,243,2274,0.106860158311346
2024-2025,2022,2023,044446,Nelsonville-York City School District,317,0,,18,0,335,1042,0.321497120921305
2024-2025,2022,2023,044453,Newark City School District,1426,0,,74,0,1500,7690,0.195058517555267
2024-2025,2022,2023,044461,New Boston Local School District,141,0,,2,0,143,350,0.408571428571429
2024-2025,2022,2023,044479,New Lexington City School District,331,0,,9,0,340,1840,0.184782608695652
2024-2025,2022,2023,044487,New Philadelphia City School District,507,0,,16,0,523,3369,0.155238943306619
2024-2025,2022,2023,044495,Niles City School District,770,0,,3,0,773,2542,0.304091266719119
2024-2025,2022,2023,044503,North Canton City School District,348,0,,23,0,371,4715,0.078685047720042
2024-2025,2022,2023,044511,North College Hill City School District,542,0,,24,0,566,2016,0.280753968253968
2024-2025,2022,2023,044529,North Olmsted City School District,660,0,,33,0,693,4411,0.1571072319202
2024-2025,2022,2023,044537,North Ridgeville City School District,401,0,,8,0,409,5385,0.075951717734448
2024-2025,2022,2023,044545,North Royalton City School District,333,0,,16,0,349,5226,0.066781477229238
2024-2025,2022,2023,044552,Norton City School District,205,0,,32,0,237,2193,0.108071135430917
2024-2025,2022,2023,044560,Norwalk City School District,481,0,,7,0,488,3219,0.151599875737807
2024-2025,2022,2023,044578,Norwood City School District,496,0,,16,0,512,2441,0.209750102417042
2024-2025,2022,2023,044586,Oakwood City School District,52,0,,1,0,53,2262,0.02343059239611
2024-2025,2022,2023,044594,Oberlin City School District,159,0,,4,0,163,1172,0.139078498293515
2024-2025,2022,2023,044602,Oregon City School District,424,0,,23,0,447,3571,0.12517502100252
2024-2025,2022,2023,044610,Orrville City School District,259,0,,7,0,266,1893,0.140517696777602
2024-2025,2022,2023,044628,Painesville City Local School District,723,8,,3,0,734,2871,0.255660048763497
2024-2025,2022,2023,044636,Parma City School District,2293,0,,151,0,2444,14273,0.171232396833182
2024-2025,2022,2023,044644,Piqua City School District,798,0,,11,0,809,3918,0.206482899438489
2024-2025,2022,2023,044651,Port Clinton City School District,293,0,,4,0,297,1600,0.185625
2024-2025,2022,2023,044669,Portsmouth City School District,1056,0,,83,0,1139,2896,0.393301104972376
2024-2025,2022,2023,044677,Princeton City School District,1136,0,,66,0,1202,6760,0.177810650887574
2024-2025,2022,2023,044685,Ravenna City School District,600,0,,28,0,628,2770,0.226714801444043
2024-2025,2022,2023,044693,Reading Community City School District,252,0,,6,0,258,1630,0.158282208588957
2024-2025,2022,2023,044701,Rocky River City School District,171,0,,3,0,174,3320,0.052409638554217
2024-2025,2022,2023,044719,St. Bernard-Elmwood Place City School District,253,0,,9,0,262,1002,0.261477045908184
2024-2025,2022,2023,044727,St. Marys City School District,232,0,,4,0,236,2321,0.101680310211116
2024-2025,2022,2023,044735,Salem City School District,510,0,,11,0,521,2370,0.219831223628692
2024-2025,2022,2023,044743,Sandusky City School District,1032,0,,7,0,1039,3662,0.283724740578919
2024-2025,2022,2023,044750,Shaker Heights City School District,590,0,,26,0,616,5761,0.106925880923451
2024-2025,2022,2023,044768,Sheffield-Sheffield Lake City School District,273,0,,7,0,280,1862,0.150375939849624
2024-2025,2022,2023,044776,Shelby City School District,361,0,,10,0,371,2221,0.167041873030167
2024-2025,2022,2023,044784,Sidney City School District,661,0,,8,0,669,4069,0.164413860899484
2024-2025,2022,2023,044792,South Euclid-Lyndhurst City School District,721,0,,69,0,790,4683,0.168695280802904
2024-2025,2022,2023,044800,South-Western City School District,5397,73,,111,0,5581,26317,0.212068244860736
2024-2025,2022,2023,044818,Springfield City School District,2765,22,,28,0,2815,9010,0.312430632630411
2024-2025,2022,2023,044826,Steubenville City School District,894,0,,23,0,917,2225,0.412134831460674
2024-2025,2022,2023,044834,Stow-Munroe Falls City School District,379,0,,30,0,409,5853,0.069878694686486
2024-2025,2022,2023,044842,Strongsville City School District,483,0,,24,0,507,7266,0.069777043765483
2024-2025,2022,2023,044859,Struthers City School District,479,0,,3,0,482,1740,0.277011494252874
2024-2025,2022,2023,044867,Sycamore Community City School District,340,0,,15,0,355,7071,0.050205062933107
