school_year,census_year,october_year,district_irn,district_name,census_poverty,neglected,delinquent,foster,tanf,total_formula_count,population_5_to_17,title1_share
2023-2024,2021,2022,048496,Highland Local School District,141,0,,5,0,146,3948,0.036980749746707
2023-2024,2021,2022,048512,Eastern Local School District,141,0,,1,0,142,827,0.171704957678356
2023-2024,2021,2022,048520,Meigs Local School District,526,0,,7,1,534,1809,0.295190713101161
2023-2024,2021,2022,048538,Southern Local School District,157,0,,2,0,159,738,0.215447154471545
2023-2024,2021,2022,048553,Marion Local School District,94,0,,0,0,94,947,0.099260823653643
2023-2024,2021,2022,048579,Parkway Local School District,125,0,,4,0,129,1100,0.117272727272727
2023-2024,2021,2022,048587,St. Henry Consolidated Local School District,22,0,,0,0,22,995,0.022110552763819
2023-2024,2021,2022,048595,Fort Recovery Local School District,35,0,,1,0,36,891,0.04040404040404
2023-2024,2021,2022,048611,Bethel Local School District,133,0,,5,0,138,2042,0.067580803134182
2023-2024,2021,2022,048629,Miami East Local School District,73,0,,2,0,75,1482,0.050607287449393
2023-2024,2021,2022,048637,Newton Local School District,26,0,,2,0,28,643,0.043545878693624
2023-2024,2021,2022,048652,Switzerland of Ohio Local School District,480,0,,7,0,487,2445,0.199182004089979
2023-2024,2021,2022,048678,Brookville Local School District,172,0,,3,1,176,1646,0.106925880923451
2023-2024,2021,2022,048686,Jefferson Township Local School District,216,0,,6,1,223,767,0.290743155149935
2023-2024,2021,2022,048694,Trotwood-Madison City School District,1153,0,,27,4,1184,3380,0.350295857988166
2023-2024,2021,2022,048702,Mad River Local School District,675,0,,22,2,699,3568,0.195908071748879
2023-2024,2021,2022,048710,New Lebanon Local School District,184,0,,25,1,210,1093,0.192131747483989
2023-2024,2021,2022,048728,Northmont City School District,564,0,,27,2,593,5704,0.103962131837307
2023-2024,2021,2022,048736,Northridge Local School District,620,19,,12,2,653,1529,0.4270765206017
2023-2024,2021,2022,048744,Valley View Local School District,232,0,,20,1,253,2145,0.117948717948718
2023-2024,2021,2022,048751,Huber Heights City School District,1117,0,,42,4,1163,7373,0.157737691577377
2023-2024,2021,2022,048777,Morgan Local School District,439,0,,4,0,443,1975,0.224303797468354
2023-2024,2021,2022,048793,Cardington-Lincoln Local School District,171,0,,5,1,177,1084,0.163284132841328
2023-2024,2021,2022,048801,Highland Local School District,209,0,,3,0,212,1783,0.118900729108244
2023-2024,2021,2022,048819,Northmor Local School District,192,0,,5,1,198,1369,0.144631117604091
