fiscal_year,sponsor_irn,sponsor_name,county,sponsor_type,stream,sites,enrollment,enrollment_basis,free_lunch,reduced_lunch,identified,claimable
2009,049650,Washington-Nile Local SD,Scioto,Public,single,3,1612,adm,774,117,0,891
2009,049668,Wheelersburg Local SD,Scioto,Public,single,3,1540,adm,430,134,0,564
2009,049684,Seneca East,Seneca,Public,single,1,976,adm,197,103,0,300
2009,049692,Bettsville Local SD,Seneca,Public,single,1,205,adm,78,29,0,107
2009,049700,Hopewell-Loudon Local SD,Seneca,Public,single,1,853,adm,177,56,0,233
2009,049718,New Riegel,Seneca,Public,single,1,428,adm,56,36,0,92
2009,049726,Old Fort,Seneca,Public,single,1,488,adm,98,29,0,127
2009,049759,Anna Local SD,Shelby,Public,single,2,1264,adm,126,29,0,155
2009,049767,Botkins Local SD,Shelby,Public,single,1,427,adm,64,49,0,113
2009,049775,Fairlawn Local SD,Shelby,Public,single,1,573,adm,172,38,0,210
2009,049783,Fort Loramie,Shelby,Public,single,2,811,adm,51,12,0,63
2009,049791,Hardin-Houston Local SD,Shelby,Public,single,2,888,adm,218,69,0,287
2009,049809,Jackson Center,Shelby,Public,single,1,544,adm,154,36,0,190
2009,049817,Russia Local SD,Shelby,Public,single,1,436,adm,30,9,0,39
2009,049825,Stark ESC,Stark,Public,single,2,180,adm,41,6,0,47
2009,049833,Canton Local School District,Stark,Public,single,5,2430,adm,1028,229,0,1257
2009,049841,Fairless Local SD,Stark,Public,single,3,1998,adm,701,198,0,899
2009,049858,Jackson Local SD,Stark,Public,single,6,5694,adm,595,218,0,813
2009,049866,Lake Local SD,Stark,Public,single,3,3550,adm,485,167,0,652
2009,049874,Louisville City SD,Stark,Public,single,6,3095,adm,728,263,0,991
2009,049882,Marlington Local SD,Stark,Public,single,5,2484,adm,773,315,0,1088
2009,049890,Minerva Local SD,Stark,Public,single,3,2126,adm,881,246,0,1127
2009,049908,Northwest Local SD,Stark,Public,single,5,2103,adm,407,174,0,581
2009,049916,Osnaburg Local SD,Stark,Public,single,2,959,adm,250,92,0,342
2009,049924,Perry Local SD,Stark,Public,single,9,4816,adm,1287,439,0,1726
2009,049932,Plain Local School District,Stark,Public,single,11,5875,adm,1912,370,0,2282
2009,049940,Sandy Valley,Stark,Public,single,2,1666,adm,544,124,0,668
2009,049957,Tuslaw Local SD,Stark,Public,single,3,1575,adm,333,132,0,465
2009,049973,Woodridge Local School District,Summit,Public,single,4,1937,adm,573,102,0,675
2009,049981,Copley-Fairlawn City SD,Summit,Public,single,5,3186,adm,395,119,0,514
2009,049999,Coventry Local SD,Summit,Public,single,5,2334,adm,844,248,0,1092
2009,050005,Manchester Local SD,Summit,Public,single,3,1483,adm,232,84,0,316
2009,050013,Green Local SD,Summit,Public,single,6,4155,adm,628,208,0,836
2009,050021,Hudson City SD,Summit,Public,single,7,5381,adm,134,71,0,205
2009,050039,Mogadore Local SD,Summit,Public,single,2,937,adm,175,32,0,207
2009,050047,Nordonia Hills,Summit,Public,single,6,4022,adm,734,335,0,1069
2009,050054,Revere Local SD,Summit,Public,single,4,3047,adm,137,61,0,198
2009,050062,Springfield Local SD,Summit,Public,single,5,2444,adm,1052,246,0,1298
2009,050070,Twinsburg City SD,Summit,Public,single,5,4202,adm,533,149,0,682
2009,050096,Bloomfield-Mespo Local SD,Trumbull,Public,single,2,344,adm,147,30,0,177
2009,050112,Bristol Local SD,Trumbull,Public,single,1,733,adm,233,107,0,340
2009,050120,Brookfield Local School District,Trumbull,Public,single,3,1193,adm,562,107,0,669
2009,050138,Champion Local SD,Trumbull,Public,single,3,1552,adm,326,96,0,422
2009,050153,Mathews Local SD,Trumbull,Public,single,4,815,adm,188,34,0,222
2009,050161,Howland Local SD,Trumbull,Public,single,6,2892,adm,731,155,0,886
2009,050179,Joseph Badger,Trumbull,Public,single,3,959,adm,297,57,0,354
2009,050187,Lakeview Local SD,Trumbull,Public,single,3,1946,adm,386,86,0,472
2009,050195,Liberty Local SD,Trumbull,Public,single,3,1507,adm,770,137,0,907
2009,050203,Lordstown Local SD,Trumbull,Public,single,2,615,adm,139,40,0,179
2009,050211,Maplewood Local SD,Trumbull,Public,single,3,899,adm,306,104,0,410
2009,050229,Mcdonald Local SD,Trumbull,Public,single,1,465,adm,83,52,0,135
2009,050237,Southington Local SD,Trumbull,Public,single,1,662,adm,188,56,0,244
2009,050245,LaBrae Local SD,Trumbull,Public,single,5,1554,adm,604,186,0,790
2009,050252,Weathersfield Local SD,Trumbull,Public,single,3,992,adm,319,92,0,411
2009,050278,Garaway Local SD,Tuscarawas,Public,single,5,1242,adm,289,156,0,445
2009,050286,Indian Valley,Tuscarawas,Public,single,4,1798,adm,688,230,0,918
2009,050294,Strasburg-Franklin Local SD,Tuscarawas,Public,single,1,638,adm,138,51,0,189
2009,050302,Tuscarawas Valley,Tuscarawas,Public,single,4,1492,adm,385,100,0,485
2009,050328,Fairbanks Local SD,Union,Public,single,3,1012,adm,180,82,0,262
2009,050336,North Union,Union,Public,single,3,1821,adm,557,113,0,670
2009,050351,Crestview Local SD,Van Wert,Public,single,1,901,adm,216,86,0,302
2009,050369,Lincolnview Local SD,Van Wert,Public,single,1,815,adm,204,100,0,304
2009,050393,Vinton County Local,Vinton,Public,single,5,2470,adm,1361,226,0,1587
2009,050419,Carlisle Local SD,Warren,Public,single,4,1672,adm,459,134,0,593
2009,050427,Springboro Community,Warren,Public,single,5,5119,adm,327,60,0,387
2009,050435,Kings Local SD,Warren,Public,single,6,4266,adm,473,123,0,596
2009,050443,Little Miami Local School District,Warren,Public,single,5,4154,adm,617,244,0,861
2009,050450,Mason City SD,Warren,Public,single,6,10035,adm,391,136,0,527
2009,050468,Wayne Local SD,Warren,Public,single,3,1478,adm,183,76,0,259
2009,050484,Fort Frye,Washington,Public,single,4,1002,adm,371,112,0,483
2009,050492,Frontier Local SD,Washington,Public,single,4,748,adm,313,99,0,412
2009,050500,Warren Local SD,Washington,Public,single,4,2460,adm,650,171,0,821
