irn,district,enrolled_adm_fy24,econ_disadvantaged_pct_fy24,assessed_valuation_per_pupil_fy23,current_operating_millage_ty23,effective_class1_millage_ty23,operating_expenditure_per_pupil_fy24,state_revenue_per_pupil_fy24,local_revenue_per_pupil_fy24
047852,Fredericktown Local (047852) - Knox County,1165.8502,0.4129,237512.2891,40.2799,22.58,12004.3521,7557.8076,4683.7228
044016,Fremont City (044016) - Sandusky County,3136.4416,0.7671,262049.7491,32.1,20,14778.2538,6174.4158,8327.5156
050492,Frontier Local (050492) - Washington County,536.2928,0.4679,199714.4735,30.5629,21.2024,18586.276,12469.8228,4047.6306
046961,Gahanna-Jefferson City (046961) - Franklin County,7868.2993,0.3881,329525.8491,78.64,29.3083,15339.3471,3108.3362,9481.8383
044024,Galion City (044024) - Crawford County,1460.5967,0.6742,140196.0948,52.2298,23.6825,16083.5258,9954.8953,3258.516
065680,Gallia County Local (065680) - Gallia County,1967.8244,0.9988,325426.8806,20,20,17190.8166,7644.9958,5035.1039
044032,Gallipolis City (044032) - Gallia County,1774.4627,0.6339,195522.6074,31,20,15027.3657,7831.8823,3385.3683
050278,Garaway Local (050278) - Tuscarawas County,1063.29,0.3401,337153.8241,49.1951,27.4889,14591.2463,5742.841,8924.6667
044040,Garfield Heights City Schools (044040) - Cuyahoga County,2740.4641,0.9422,140603.6412,60.26,50.751,21092.7467,9737.3497,6447.5985
044057,Geneva Area City (044057) - Ashtabula County,1953.871,0.5936,257146.9133,45.39,20,14599.4998,7063.8501,6767.719
048942,Genoa Area Local (048942) - Ottawa County,1212.8823,0.3259,183560.8658,68.95,31.3,12456.4962,6313.9902,5746.2664
045377,Georgetown Exempted Village (045377) - Brown County,929.7659,0.5564,154191.4504,25,20.0048,14739.2992,9891.6769,2900.0582
045385,Gibsonburg Exempted Village (045385) - Sandusky County,670.7928,0.4227,218443.0126,45.2,20,16190.2807,8854.049,6072.7628
044065,Girard City School District (044065) - Trumbull County,1520.0388,0.6621,127845.6611,44.755,22.755,15745.9065,10634.6916,2986.8824
046342,Goshen Local (046342) - Clermont County,2616.4246,0.5322,176849.4813,21.7999,20,16054.818,7997.8091,4817.3913
046193,Graham Local (046193) - Champaign County,1454.7445,0.4847,256982.3354,26.0998,20,15395.9962,7770.7656,4347.3806
045864,Grand Valley Local (045864) - Ashtabula County,815.373,0.5281,358757.0346,39.66,20,17484.2566,9363.6074,6184.8735
044073,Grandview Heights Schools (044073) - Franklin County,1127.7074,0.0836,474525.7303,106.15,26.8872,20563.5176,2722.9536,14184.7965
045393,Granville Exempted Village (045393) - Licking County,2446.1752,0.0797,324056.1617,81.65,26.208,16459.3459,3442.4379,11097.2625
049619,Green Local (049619) - Scioto County,469.1341,0.6821,219276.0494,25.07,20,19279.0673,10611.9039,3720.7924
050013,Green Local (050013) - Summit County,3730.5313,0.21,325129.6842,33.08,27.49,13701.7966,4493.932,7296.5834
050559,Green Local (050559) - Wayne County,1021.2107,0.3686,238010.5991,48.35,25.8,13640.2252,7195.538,6067.0519
047266,Greeneview Local (047266) - Greene County,1256.0166,0.4051,267573.7324,27.7499,20,13561.6276,6845.8976,6500.9871
045401,Greenfield Exempted Village (045401) - Highland County,1803.9444,0.6987,140022.2338,22.7,20,16482.801,9575.5267,3926.1255
046235,Greenon Local (046235) - Clark County,1564.0915,0.5307,238581.1467,36.14,29.94,12612.9948,5155.6925,6672.1221
044099,Greenville City (044099) - Darke County,2307.6764,0.5494,301801.5247,33.76,22.36,14404.5698,6535.093,7009.1454
046979,Groveport Madison Local (046979) - Franklin County,6122.0477,0.7926,279787.781,58.02,25.46,15473.6033,7511.7763,6880.3421
044107,Hamilton City (044107) - Butler County,8379.5936,1,150333.5499,39.54,20,15423.6061,10055.5978,2405.786
046953,Hamilton Local (046953) - Franklin County,2950.0394,0.6222,183772.4701,46.4,20,13635.258,9370.1003,2875.4843
047498,Hardin Northern Local (047498) - Hardin County,374.9963,0.4215,313220.5837,35,20,24085.9593,9980.4374,9409.2923
049791,Hardin-Houston Local (049791) - Shelby County,697.7899,0.4033,251322.5696,27.5,20,16464.8976,10064.6799,5330.9503
