school_year,leaid,irn,name,agency_type,status
2008,3900105,132993,CONSTELLATION SCHOOLS:  WESTPARK COMMUNITY ELEMENTARY,7,1
2008,3900106,133264,DOHN COMMUNITY,7,1
2008,3900107,133280,WASHINGTON PARK COMMUNITY,7,1
2008,3900108,133314,SUMMIT ACDY COMMUNITY SCHOOL FOR ALTE LEARNERS OF YOUNGSTOWN,7,1
2008,3900109,133322,SUMMIT ACADEMY-LORAIN,7,1
2008,3900110,133397,MONTESSORI RENAISSANCE EXPERIENCE,7,1
2008,3900113,133504,PHOENIX COMMUNITY LEARNING CTR,7,1
2008,3900115,133769,NEW CHOICES COMMUNITY SCHOOL,7,1
2008,3900116,133900,ACADEMY OF CLEVELAND,7,6
2008,3900117,143297,THE AUTISM ACADEMY OF LEARNING,7,1
2008,3900118,143305,TRECA DIGITAL ACADEMY,7,1
2008,3900119,143313,HOPE ACADEMY CUYAHOGA CAMPUS,7,1
2008,3900120,143552,EAGLE ACADEMY,7,1
2008,3900121,143602,HAMILTON CNTY MATH & SCIENCE,7,1
2008,3900122,143636,W C CUPE COMMUNITY SCHOOL,7,1
2008,3900123,143644,SCIOTOVILLE,7,1
2008,3900125,000125,POLLY FOX ACADEMY COMMUNITY SCHOOL,7,1
2008,3900126,000130,PHOENIX ACADEMY COMMUNITY SCHOOL,7,1
2008,3900127,000131,GLASS CITY ACADEMY,7,1
2008,3900129,000138,PATHWAY SCHOOL OF DISCOVERY,7,1
2008,3900130,000139,ALLIANCE ACADEMY OF CINCINNATI,7,1
2008,3900131,000140,VICTORY ACADEMY OF TOLEDO,7,1
2008,3900132,000143,GEORGE A. PHILLIPS ACADEMY,7,1
2008,3900133,000162,NEWARK DIGITAL ACADEMY,7,1
2008,3900134,000195,HOPE ACADEMY EAST CAMPUS,7,1
2008,3900135,000197,HAMILTON LOCAL DIGITAL ACADEMY,7,1
2008,3900138,000222,WILDWOOD ENVIRONMENTAL ACADEMY,7,1
2008,3900142,000235,INTERNATIONAL COLLEGE PREPARATORY ACADEMY,7,1
2008,3900144,148973,PAUL LAURENCE DUNBAR ACADEMY,7,1
2008,3900145,148981,TOMORROW CENTER,7,1
2008,3900146,148999,MAHONING UNLIMITED CLASSROOM,7,1
2008,3900147,149005,CANTON CITY SCH DIGITAL ACDMY,7,2
2008,3900151,149047,GOAL DIGITAL ACADEMY,7,1
2008,3900152,149054,AKRON DIGITAL ACADEMY,7,1
2008,3900153,149062,URBANA COMMUNITY SCHOOL,7,1
2008,3900155,149088,FAIRBORN DIGITAL ACADEMY,7,1
2008,3900171,149252,CARDINAL DIGITAL ACADEMY  INC,7,6
2008,3900172,149260,CANTON LOCAL DIGITAL ACADEMY,7,6
2008,3900174,149286,KENT DIGITAL ACADEMY,7,1
2008,3900175,142901,LIFE SKILLS CENTER CANTON,7,1
2008,3900176,142919,LIFE SKILLS CENTER OF ELYRIA,7,1
2008,3900177,142927,FOCUS LEARNING ACADEMY OF SOUTHWEST COLUMBUS,7,1
2008,3900178,142935,FOCUS LEARNING ACADEMY OF SOUTHEASTERN COLUMBUS,7,1
2008,3900179,142943,FOCUS LEARNING ACADEMY OF NORTHERN COLUMBUS,7,1
2008,3900180,142950,OHIO VIRTUAL ACADEMY,7,1
2008,3900181,142968,HOPE NORTHCOAST ACADEMY,7,1
2008,3900182,142976,ENGLEWOOD PEACE ACADEMY,7,1
2008,3900183,142984,LANCASTER DIGITAL ACADEMY,7,1
2008,3900184,143115,MOUND STREET IT CAREERS ACADEMY,7,1
2008,3900185,143123,MOUND STREET MILITARY CAREERS ACADEMY,7,1
2008,3900186,143131,MOUND STREET HEALTH CAREERS ACADMY,7,1
2008,3900189,143164,LIFE SKILLS CENTER OF HAMILTON COUNTY,7,1
2008,3900190,143172,INTERNATIONAL ACAD OF COLUMBUS,7,1
2008,3900191,143180,LEGACY ACAD FOR LEADERS & ARTS,7,1
2008,3900192,143198,GREAT WESTERN ACADEMY,7,1
2008,3900193,143206,TROTWOOD FITNESS & PREP ACAD,7,1
2008,3900194,143214,MIDDLETOWN FITNESS & PREP ACAD,7,1
2008,3900198,143347,THE ISUS INSTITUTE OF MANUFACTURING,7,1
2008,3900199,143354,THE ISUS INSTITUTE OF HEALTH CARE,7,1
2008,3900201,143370,GRANVILLE T WOODS COMM SHULE,7,1
2008,3900202,143388,EAST END COMMUNITY SCHOOL,7,2
2008,3900203,143396,ALTERNATIVE EDUCATION ACADEMY,7,1
2008,3900205,143412,CRITTENTON COMMUNITY SCHOOL,7,1
2008,3900208,143446,GREATER ACHIEVEMENT COMMUNITY SCHOOL,7,1
2008,3900209,143453,MOLLIE KESSLER,7,1
2008,3900210,143461,MARCUS GARVEY ACADEMY,7,1
2008,3900211,143479,CONSTELLATION SCHOOLS:  PURITAS COMMUNITY ELEMENTARY,7,1
2008,3900212,143487,CONSTELLATION SCHOOLS:  STOCKYARD COMMUNITY ELEMENTARY,7,1
2008,3900213,143495,CONSTELLATION SCHOOLS:  MANSFIELD COMMUNITY ELEMENTARY,7,1
2008,3900214,143503,LAKE ERIE ACADEMY,7,1
2008,3900216,143529,NORTH DAYTON SCHOOL OF SCIENCE & DISCOVERY,7,1
2008,3900217,143537,VIRTUAL COMMUNITY SCHOOL OF OHIO,7,1
2008,3900218,143545,TOLEDO PREPARATORY ACADEMY,7,1
2008,3900219,143560,RICHARD ALLEN ACADEMY II,7,1
2008,3900220,143578,RICHARD ALLEN ACADEMY III,7,1
2008,3900223,143610,ARTS & COLLEGE PREPARATORY ACADEMY,7,1
2008,3900226,148916,MARION CITY DIGITAL ACADEMY,7,1
2008,3900228,148932,FRANKLIN LOCAL COMMUNITY SCHOOL,7,1
2008,3900231,149302,LIFE SKILLS CENTER OF TOLEDO,7,1
2008,3900232,149310,AMANDA CLEARCREEK COMMUNITY SCHOOL,7,1
2008,3900233,149328,FOXFIRE CENTER FOR STUDENT SUCCESS,7,1
2008,3900234,149336,SOUTHWEST LICKING DIGITAL ACAD,7,1
2008,3900236,149351,PERRYSBURG DIGITAL ACADEMY,7,2
2008,3900237,060988,BUCKEYE UNITED SCHOOL DISTRICT,5,1
2008,3900238,065201,OHIO CENTRAL SCHOOL SYSTEM,5,1
2008,3900241,132944,MIAMI VALLEY ACADEMIES,7,1
2008,3900248,133850,HOPE ACADEMY CANTON CAMPUS,7,1
2008,3900250,000236,OHIO CONNECTIONS ACADEMY  INC,7,1
2008,3900252,000241,QUAKER DIGITAL ACADEMY,7,1
2008,3900259,149427,MASSILLON DIGITAL ACADEMY  INC,7,1
2008,3900262,151027,LONDON ACADEMY,7,1
2008,3900263,151035,PLEASANT COMMUNITY DIGITAL,7,1
2008,3900264,151043,RIVER VALLEY DIGITAL ACADEMY,7,1
2008,3900266,151076,CARDINGTON LINCOLN LOCAL DIGITAL ACADEMY,7,1
2008,3900267,151084,GRAHAM DIGITAL ACADEMY,7,1
2008,3900270,151118,LORAIN ALTERNATIVE ACADEMY,7,2
2008,3900271,151126,LORAIN ELEMENTARY DIGITAL,7,2
2008,3900272,151134,LORAIN MIDDLE SCHOOL DIGITAL,7,2
2008,3900273,151142,LORAIN HIGH SCHOOL DIGITAL,7,1
2008,3900275,151167,RIDGEDALE COMMUNITY SCHOOL,7,1
2008,3900276,151175,WEST CENTRAL LEARNING ACADEMY II,7,1
2008,3900277,151183,LIFE SKILLS CTR OF LAKE ERIE,7,1
2008,3900278,151191,LIFE SKILLS CENTER OF SUMMIT COUNTY,7,1
2008,3900279,151209,LIFE SKILLS OF NORTHEAST OHIO,7,1
2008,3900282,151233,LAKEWOOD DIGITAL ACADEMY,7,1
2008,3900284,000523,EDUCATION ALTERNATIVES COMMUNITY SCHOOL,7,1
2008,3900285,000525,PROJECT REBUILD COMMUNITY SCHOOL,7,1
2008,3900286,000527,CLEVELAND ACADEMY FOR SCHOLARSHIP TECHNOLOGY AND LEADERSHIP,7,1
2008,3900291,000534,CONSTELLATION SCHOOLS: PURITAS COMMUNITY MIDDLE SCHOOL,7,1
2008,3900297,000541,CONSTELLATION SCHOOLS: OUTREACH ACADEMY FOR STUDENTS WITH DI,7,1
2008,3900299,000543,PINNACLE ACADEMY,7,1
2008,3900302,000546,WINTERFIELD VENTURE ACADEMY,7,1
2008,3900304,000553,COLUMBUS HUMANITIES  ARTS AND TECHNOLOGY ACADEMY,7,1
2008,3900305,000556,A+ ARTS ACADEMY,7,1
2008,3900306,000557,COLUMBUS ARTS & TECHNOLOGY ACADEMY,7,1
2008,3900307,000558,COLUMBUS PREPARATORY ACADEMY,7,1
2008,3900308,000559,ORION ACADEMY,7,1
2008,3900309,000560,APEX ACADEMY,7,1
2008,3900311,000564,VIRTUAL SCHOOLHOUSE  INC.,7,1
2008,3900312,000574,ARTS ACADEMY  THE,7,1
2008,3900313,000575,HOPE ACADEMY NORTHWEST CAMPUS,7,1
2008,3900314,000576,KING ACADEMY COMMUNITY SCHOOL,7,1
2008,3900315,000577,EMERSON ACADEMY,7,1
2008,3900321,000585,FCI ACADEMY,7,1
2008,3900325,000590,WICKLIFFE PROGRESSIVE COMMUNITY SCHOOL,7,1
2008,3900327,000592,SCHOOL FOR ARTS INTEGRATED LEARNING-SAIL,7,1
2008,3900331,000598,COSHOCTON OPPORTUNITY SCHOOL,7,1
2008,3900336,000607,SUMMIT ACADEMY CLEVELAND-WEST,7,2
2008,3900337,000608,SUMMIT ACADEMY TRANSITION HIGH SCHOOL-CINCINNATI,7,1
2008,3900338,000609,SUMMIT ACADEMY MIDDLE SCHOOL - LORAIN,7,1
2008,3900339,000610,SUMMIT ACADEMY MIDDLE SCHOOL - COLUMBUS,7,1
2008,3900341,000613,HEIR FORCE COMMUNITY SCHOOL,7,1
2008,3900342,000614,SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS,7,1
2008,3900344,000616,SUMMIT ACADEMY MIDDLE SCHOOL - WARREN,7,1
2008,3900348,000621,SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,7,1
2008,3900350,000623,SUMMIT ACADEMY MIDDLE SCHOOL - YOUNGSTOWN,7,1
2008,3900356,000629,SUMMIT ACADEMY COMMUNITY SCHOOL - PAINESVILLE,7,1
2008,3900360,000633,SUMMIT ACADEMY SECONDARY SCHOOL - TOLEDO,7,1
