calendar_year,month,dollars_per_gallon
2020,1,2.945
2020,2,2.782
2020,3,2.587
2020,4,2.340
2020,5,2.237
2020,6,2.262
2020,7,2.307
2020,8,2.310
2020,9,2.295
2020,10,2.266
2020,11,2.322
2020,12,2.514
2021,1,2.622
2021,2,2.805
2021,3,3.118
2021,4,3.064
2021,5,3.162
2021,6,3.231
2021,7,3.262
2021,8,3.253
2021,9,3.296
2021,10,3.554
2021,11,3.624
2021,12,3.505
2022,1,3.594
2022,2,3.891
2022,3,4.912
2022,4,4.936
2022,5,5.320
2022,6,5.662
2022,7,5.460
2022,8,5.000
2022,9,5.023
2022,10,5.226
2022,11,5.253
2022,12,4.609
2023,1,4.427
2023,2,4.242
2023,3,4.055
2023,4,3.983
2023,5,3.832
2023,6,3.731
2023,7,3.818
2023,8,4.300
2023,9,4.435
2023,10,4.425
2023,11,4.241
2023,12,3.882
2024,1,3.716
2024,2,3.938
2024,3,3.943
2024,4,3.948
2024,5,3.725
2024,6,3.597
2024,7,3.747
2024,8,3.678
2024,9,3.531
2024,10,3.588
2024,11,3.505
2024,12,3.463
2025,1,3.570
2025,2,3.592
2025,3,3.504
2025,4,3.505
2025,5,3.439
2025,6,3.569
2025,7,3.764
2025,8,3.735
2025,9,3.730
2025,10,3.639
2025,11,3.857
2025,12,3.573
2026,1,3.444
2026,2,3.681
2026,3,4.785
2026,4,5.246
2026,5,5.732
2026,6,4.984
2026,7,4.825
2026,8,5.417
