irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
043570,Bellaire Local (043570) - Belmont County,1084.8568,94,246,434,287
047274,Bellbrook-Sugarcreek Local (047274) - Greene County,2559.0618,190,605,1073,819
043588,Bellefontaine City (043588) - Logan County,2117.3309,172,497,815,652
043596,Bellevue City (043596) - Huron County,1706.1468,121,406,670,526
043604,Belpre City (043604) - Washington County,892.9651,73,223,354,245
048074,Benjamin Logan Local (048074) - Logan County,1603.7671,117,357,646,505
048926,Benton Carroll Salem Local (048926) - Ottawa County,1264.3139,87,272,527,414
043612,Berea City (043612) - Cuyahoga County,4946.3534,353,1134,1892,1769
047167,Berkshire Local (047167) - Geauga County,1295.6223,101,325,496,415
046854,Berne Union Local (046854) - Fairfield County,788.9505,71,172,319,237
048611,Bethel Local (048611) - Miami County,1927.5259,180,436,818,490
046318,Bethel-Tate Local (046318) - Clermont County,1317.3839,94,335,504,391
043620,Bexley City (043620) - Franklin County,2534.1021,170,587,998,760
046748,Big Walnut Local (046748) - Delaware County,3884.6538,269,949,1597,1246
048462,Black River Local (048462) - Medina County,936.8950,61,238,366,270
046383,Blanchester Local (046383) - Clinton County,1071.2206,89,261,429,304
046862,Bloom-Carroll Local (046862) - Fairfield County,2262.0645,154,519,919,666
049593,Bloom-Vernon Local (049593) - Scioto County,767.8029,97,196,297,181
050096,Bloomfield-Mespo Local (050096) - Trumbull County,198.4961,23,47,76,44
045211,Bluffton Exempted Village (045211) - Allen County,1144.6487,97,250,475,345
048306,Boardman Local (048306) - Mahoning County,3649.4317,305,831,1414,1100
049767,Botkins Local (049767) - Shelby County,614.9956,43,150,253,164
043638,Bowling Green City School District (043638) - Wood County,2389.3772,179,538,936,765
045229,Bradford Exempted Village (045229) - Miami County,488.6351,52,118,193,116
043646,Brecksville-Broadview Heights City (043646) - Cuyahoga County,3434.9921,252,823,1317,1212
045237,Bridgeport Exempted Village (045237) - Belmont County,695.0723,61,180,282,170
047613,Bright Local (047613) - Highland County,651.5814,52,163,278,166
050112,Bristol Local (050112) - Trumbull County,456.8354,43,112,164,132
050120,Brookfield Local (050120) - Trumbull County,968.1107,67,230,399,269
043653,Brooklyn City (043653) - Cuyahoga County,972.1736,72,201,401,363
048678,Brookville Local (048678) - Montgomery County,1480.1816,119,326,609,406
046177,Brown Local (046177) - Carroll County,577.5154,46,137,219,166
043661,Brunswick City (043661) - Medina County,5759.2772,353,1270,2294,1875
043679,Bryan City (043679) - Williams County,1710.6612,171,383,675,490
046508,Buckeye Central Local (046508) - Crawford County,590.7343,44,111,256,179
045856,Buckeye Local (045856) - Ashtabula County,1642.4119,124,379,665,485
047787,Buckeye Local (047787) - Jefferson County,1248.7128,87,294,485,359
048470,Buckeye Local (048470) - Medina County,2017.4109,149,452,825,659
046755,Buckeye Valley Local (046755) - Delaware County,2157.0224,184,520,891,612
043687,Bucyrus City (043687) - Crawford County,972.6628,84,243,409,262
045252,Caldwell Exempted Village (045252) - Noble County,734.4791,72,148,276,231
043695,Cambridge City (043695) - Guernsey County,1743.3935,144,439,656,488
043703,Campbell City (043703) - Mahoning County,1047.2834,93,278,410,289
046946,Canal Winchester Local (046946) - Franklin County,3556.9347,212,830,1467,1132
048314,Canfield Local (048314) - Mahoning County,2441.7429,172,581,969,718
043711,Canton City (043711) - Stark County,7293.2894,584,1682,2732,2441
049833,Canton Local (049833) - Stark County,1609.6231,124,328,614,823
047175,Cardinal Local (047175) - Geauga County,726.5563,34,158,324,234
048793,Cardington-Lincoln Local (048793) - Morrow County,909.6457,63,215,369,260
045260,Carey Exempted Village Schools (045260) - Wyandot County,813.1210,60,161,295,292
050419,Carlisle Local (050419) - Warren County,1474.6468,125,379,594,427
045278,Carrollton Exempted Village (045278) - Carroll County,1712.7457,121,363,690,528
047258,Cedar Cliff Local (047258) - Greene County,552.0832,33,125,242,167
043729,Celina City (043729) - Mercer County,2330.0156,186,520,903,1142
047829,Centerburg Local (047829) - Knox County,1021.7020,66,253,395,297
043737,Centerville City (043737) - Montgomery County,7848.6372,552,1744,3110,2735
046714,Central Local (046714) - Defiance County,909.4867,82,213,351,265
045286,Chagrin Falls Exempted Village (045286) - Cuyahoga County,1516.0223,98,326,633,548
050138,Champion Local (050138) - Trumbull County,1218.1874,89,286,472,369
047183,Chardon Local (047183) - Geauga County,2418.5648,140,505,902,903
045294,Chesapeake Union Exempted Village (045294) - Lawrence County,1083.5533,81,276,466,292
043745,Chillicothe City (043745) - Ross County,2469.9866,183,535,962,839
050534,Chippewa Local (050534) - Wayne County,1152.6957,102,257,436,377
043752,Cincinnati Public Schools (043752) - Hamilton County,32808.4156,2684,7742,12257,10301
043760,Circleville City (043760) - Pickaway County,1890.2724,158,489,768,551
046284,Clark-Shawnee Local (046284) - Clark County,1651.4883,152,399,676,410
049601,Clay Local (049601) - Scioto County,573.8286,52,145,236,142
043778,Claymont City (043778) - Tuscarawas County,1501.2055,126,384,610,378
049411,Clear Fork Valley Local (049411) - Richland County,1474.0137,107,346,559,457
048132,Clearview Local (048132) - Lorain County,1261.4784,97,281,558,353
046326,Clermont Northeastern Local (046326) - Clermont County,1264.0714,81,262,523,404
043794,Cleveland Heights-University Heights City (043794) - Cuyahoga County,4625.6843,307,1014,1771,1666
043786,Cleveland Municipal (043786) - Cuyahoga County,32743.6392,2488,7274,11812,10658
046391,Clinton-Massie Local (046391) - Clinton County,1618.3587,123,393,671,459
048488,Cloverleaf Local (048488) - Medina County,2211.2311,175,478,970,588
045302,Clyde-Green Springs Exempted Village (045302) - Sandusky County,1870.6163,134,434,768,577
045310,Coldwater Exempted Village (045310) - Mercer County,1439.3927,139,383,539,377
046516,Colonel Crawford Local (046516) - Crawford County,869.1372,61,213,385,223
048140,Columbia Local (048140) - Lorain County,965.7821,64,218,400,275
045328,Columbiana Exempted Village (045328) - Columbiana County,934.8091,67,204,366,303
043802,Columbus City Schools District (043802) - Franklin County,43018.6033,3708,10987,16247,12669
049312,Columbus Grove Local (049312) - Putnam County,715.5929,60,153,275,238
043810,Conneaut Area City (043810) - Ashtabula County,1476.5505,127,373,590,391
047548,Conotton Valley Union Local (047548) - Harrison County,454.1434,40,117,184,107
049320,Continental Local (049320) - Putnam County,471.6923,55,109,180,123
049981,Copley-Fairlawn City (049981) - Summit County,2675.5726,175,623,1016,922
047431,Cory-Rawson Local (047431) - Hancock County,494.2305,29,86,211,170
043828,Coshocton City (043828) - Coshocton County,1458.0903,133,343,607,387
049999,Coventry Local (049999) - Summit County,1393.7407,79,284,520,534
045336,Covington Exempted Village (045336) - Miami County,745.6120,61,196,288,205
045344,Crestline Exempted Village (045344) - Crawford County,523.7301,46,136,219,150
046433,Crestview Local (046433) - Columbiana County,1118.1211,77,271,461,322
049429,Crestview Local (049429) - Richland County,850.8344,64,169,339,259
050351,Crestview Local (050351) - Van Wert County,835.7755,65,191,333,242
049189,Crestwood Local (049189) - Portage County,1287.8345,87,258,537,390
045351,Crooksville Exempted Village (045351) - Perry County,1011.8248,90,237,397,283
043836,Cuyahoga Falls City (043836) - Summit County,3888.1144,318,920,1546,1235
046557,Cuyahoga Heights Local (046557) - Cuyahoga County,732.1652,53,156,287,255
050542,Dalton Local (050542) - Wayne County,886.2096,74,206,349,259
048934,Danbury Local (048934) - Ottawa County,470.5143,35,106,184,142
047837,Danville Local (047837) - Knox County,558.8835,38,138,212,164
047928,Dawson-Bryant Local (047928) - Lawrence County,1101.0724,90,259,452,303
043844,Dayton City (043844) - Montgomery County,11744.2124,877,2661,4103,4014
043851,Deer Park Community City (043851) - Hamilton County,1077.7022,85,220,449,325
043869,Defiance City (043869) - Defiance County,2347.4748,229,492,897,706
043877,Delaware City (043877) - Delaware County,5256.4043,401,1280,2085,1603
043885,Delphos City (043885) - Allen County,823.5053,73,198,308,257
043893,Dover City (043893) - Tuscarawas County,2555.0800,174,586,987,816
047027,Dublin City (047027) - Franklin County,15806.2083,966,3740,6446,5202
043901,East Cleveland City School District (043901) - Cuyahoga County,1135.8740,79,215,399,440
046409,East Clinton Local (046409) - Clinton County,1081.3163,103,288,443,265
069682,East Guernsey Local (069682) - Guernsey County,950.3569,63,220,399,258
047688,East Holmes Local (047688) - Holmes County,1478.4475,153,419,658,269
047845,East Knox Local (047845) - Knox County,914.1996,73,227,346,268
043919,East Liverpool City (043919) - Columbiana County,1878.4490,147,432,737,564
048835,East Muskingum Local (048835) - Muskingum County,2026.2789,145,485,831,532
043927,East Palestine City (043927) - Columbiana County,869.7769,48,210,337,263
048512,Eastern Local (048512) - Meigs County,718.3811,62,149,297,203
046037,Eastern Local School District (046037) - Brown County,1056.4260,94,278,435,264
049122,Eastern Local School District (049122) - Pike County,727.3935,70,156,312,167
050674,Eastwood Local (050674) - Wood County,1377.2011,103,347,587,336
043935,Eaton Community City (043935) - Preble County,1805.9120,141,437,728,526
050617,Edgerton Local (050617) - Williams County,495.7475,49,105,184,167
046094,Edgewood City School District (046094) - Butler County,3238.1419,218,737,1331,1074
047795,Edison Local (047795) - Jefferson County,1272.9246,80,280,502,400
046789,Edison Local (formerly Berlin-Milan) (046789) - Erie County,1334.3898,124,323,529,368
050625,Edon Northwest Local (050625) - Williams County,489.0956,45,120,191,131
048413,Elgin Local (048413) - Marion County,981.1051,67,239,408,260
045773,Elida Local (045773) - Allen County,2031.0218,173,527,791,564
050682,Elmwood Local (050682) - Wood County,1081.8899,84,236,434,312
043943,Elyria City Schools (043943) - Lorain County,5412.9269,449,1338,2048,1600
043950,Euclid City (043950) - Cuyahoga County,4165.7042,313,902,1545,1642
047050,Evergreen Local (047050) - Fulton County,1091.5016,120,240,423,317
050328,Fairbanks Local (050328) - Union County,1036.2107,83,214,405,353
043968,Fairborn City (043968) - Greene County,3980.6842,357,1040,1630,973
046102,Fairfield City (046102) - Butler County,8686.2152,603,2082,3633,2880
047621,Fairfield Local (047621) - Highland County,852.9553,64,210,344,247
046870,Fairfield Union Local (046870) - Fairfield County,1915.0901,152,438,765,558
047936,Fairland Local (047936) - Lawrence County,1310.6461,94,306,556,356
049775,Fairlawn Local (049775) - Shelby County,497.0229,39,124,224,134
049841,Fairless Local (049841) - Stark County,1243.3469,102,306,499,311
045369,Fairport Harbor Exempted Village (045369) - Lake County,562.6557,45,124,230,194
043976,Fairview Park City (043976) - Cuyahoga County,1404.1516,101,293,568,496
047068,Fayette Local (047068) - Fulton County,308.2073,22,84,105,96
046045,Fayetteville-Perry Local (046045) - Brown County,731.8299,57,179,305,221
045914,Federal Hocking Local (045914) - Athens County,816.4535,69,209,325,212
046334,Felicity-Franklin Local (046334) - Clermont County,646.3656,52,140,273,172
049197,Field Local (049197) - Portage County,1918.8226,150,476,752,531
043984,Findlay City (043984) - Hancock County,4840.4930,365,1116,1805,1996
047332,Finneytown Local (047332) - Hamilton County,1167.5571,110,242,462,360
048157,Firelands Local (048157) - Lorain County,1697.4153,123,408,679,497
047340,Forest Hills Local (047340) - Hamilton County,6482.9040,454,1476,2636,2157
050484,Fort Frye Local (050484) - Washington County,907.1740,54,206,383,246
049783,Fort Loramie Local (049783) - Shelby County,670.7972,58,172,272,186
048595,Fort Recovery Local (048595) - Mercer County,934.6796,84,220,330,298
043992,Fostoria City (043992) - Seneca County,1667.2140,147,438,619,502
044008,Franklin City (044008) - Warren County,2592.5176,239,650,1032,674
048843,Franklin Local (048843) - Muskingum County,1737.9558,134,417,733,454
046649,Franklin Monroe Local (046649) - Darke County,477.6126,38,115,182,149
047852,Fredericktown Local (047852) - Knox County,1165.8502,92,297,435,327
044016,Fremont City (044016) - Sandusky County,3136.4416,228,755,1284,974
050492,Frontier Local (050492) - Washington County,536.2928,53,125,214,140
046961,Gahanna-Jefferson City (046961) - Franklin County,7868.2993,577,1791,3072,2425
044024,Galion City (044024) - Crawford County,1460.5967,113,372,588,402
065680,Gallia County Local (065680) - Gallia County,1967.8244,163,483,798,555
044032,Gallipolis City (044032) - Gallia County,1774.4627,141,451,728,485
050278,Garaway Local (050278) - Tuscarawas County,1063.2900,94,276,406,277
044040,Garfield Heights City Schools (044040) - Cuyahoga County,2740.4641,157,564,1043,1067
044057,Geneva Area City (044057) - Ashtabula County,1953.8710,137,414,774,647
048942,Genoa Area Local (048942) - Ottawa County,1212.8823,100,292,454,381
045377,Georgetown Exempted Village (045377) - Brown County,929.7659,77,249,362,253
045385,Gibsonburg Exempted Village (045385) - Sandusky County,670.7928,47,159,282,215
044065,Girard City School District (044065) - Trumbull County,1520.0388,130,381,574,430
046342,Goshen Local (046342) - Clermont County,2616.4246,182,592,1050,808
046193,Graham Local (046193) - Champaign County,1454.7445,119,338,591,469
045864,Grand Valley Local (045864) - Ashtabula County,815.3730,60,199,306,244
044073,Grandview Heights Schools (044073) - Franklin County,1127.7074,82,277,447,327
045393,Granville Exempted Village (045393) - Licking County,2446.1752,133,552,1034,805
049619,Green Local (049619) - Scioto County,469.1341,36,112,205,125
050013,Green Local (050013) - Summit County,3730.5313,240,847,1512,1223
050559,Green Local (050559) - Wayne County,1021.2107,92,270,406,275
047266,Greeneview Local (047266) - Greene County,1256.0166,82,335,528,304
045401,Greenfield Exempted Village (045401) - Highland County,1803.9444,134,438,668,543
046235,Greenon Local (046235) - Clark County,1564.0915,133,372,629,428
044099,Greenville City (044099) - Darke County,2307.6764,168,498,854,813
046979,Groveport Madison Local (046979) - Franklin County,6122.0477,435,1491,2404,1796
044107,Hamilton City (044107) - Butler County,8379.5936,656,1895,3383,2601
046953,Hamilton Local (046953) - Franklin County,2950.0394,263,714,1163,822
047498,Hardin Northern Local (047498) - Hardin County,374.9963,23,86,170,90
049791,Hardin-Houston Local (049791) - Shelby County,697.7899,61,174,280,173
045245,Harrison Hills City (045245) - Harrison County,1279.5662,102,293,514,354
044115,Heath City (044115) - Licking County,1611.7980,117,378,671,482
045419,Hicksville Exempted Village School District (045419) - Defiance County,873.8941,84,219,353,208
048496,Highland Local (048496) - Medina County,3292.0491,238,725,1321,1029
048801,Highland Local (048801) - Morrow County,1607.6059,121,363,631,489
047019,Hilliard City (047019) - Franklin County,15612.7182,1066,3462,5923,5237
044123,Hillsboro City (044123) - Highland County,2121.2750,195,522,809,627
045823,Hillsdale Local (045823) - Ashland County,791.3953,71,186,345,196
047571,Holgate Local (047571) - Henry County,394.7088,26,81,162,124
049700,Hopewell-Loudon Local (049700) - Seneca County,725.2493,54,161,304,237
050161,Howland Local (050161) - Trumbull County,2295.8291,172,512,891,728
045427,Hubbard Exempted Village (045427) - Trumbull County,1738.8854,138,387,646,552
048751,Huber Heights City (048751) - Montgomery County,5631.4618,420,1275,2254,1729
050021,Hudson City (050021) - Summit County,4256.4910,286,982,1709,1414
049502,Huntington Local (049502) - Ross County,1018.9730,75,263,382,296
044131,Huron City Schools (044131) - Erie County,1120.6355,86,237,432,366
046565,Independence Local (046565) - Cuyahoga County,962.3537,62,241,379,298
047803,Indian Creek Local (047803) - Jefferson County,1784.0475,151,396,655,567
045435,Indian Hill Exempted Village (045435) - Hamilton County,2127.0062,149,530,885,651
048082,Indian Lake Local (048082) - Logan County,1348.8924,101,312,500,458
050286,Indian Valley Local (050286) - Tuscarawas County,1657.9240,127,438,653,429
044149,Ironton City School District (044149) - Lawrence County,1263.6407,97,277,505,393
049809,Jackson Center Local (049809) - Shelby County,475.9981,30,133,203,126
044156,Jackson City (044156) - Jackson County,2185.4168,194,535,900,590
049858,Jackson Local (049858) - Stark County,5776.4401,372,1324,2199,1893
048322,Jackson-Milton Local (048322) - Mahoning County,772.0154,60,202,324,180
049205,James A Garfield Local (049205) - Portage County,1144.0482,70,246,456,364
045872,Jefferson Area Local (045872) - Ashtabula County,1680.2562,130,403,722,422
048256,Jefferson Local (048256) - Madison County,930.1520,67,234,377,271
048686,Jefferson Township Local (048686) - Montgomery County,247.3625,17,57,105,71
049338,Jennings Local (049338) - Putnam County,346.5406,24,83,136,96
047985,Johnstown-Monroe Local (047985) - Licking County,1633.3376,121,380,680,455
048264,Jonathan Alder Local (048264) - Madison County,2164.4117,165,508,884,661
050179,Joseph Badger Local (050179) - Trumbull County,579.0085,42,137,218,170
049346,Kalida Local (049346) - Putnam County,606.3064,55,126,265,159
047191,Kenston Local (047191) - Geauga County,2405.4420,170,565,984,786
044164,Kent City (044164) - Portage County,2794.9724,191,617,1054,1240
044172,Kenton City (044172) - Hardin County,1685.0728,155,377,685,521
044180,Kettering City School District (044180) - Montgomery County,7301.5710,537,1622,2700,2474
048165,Keystone Local (048165) - Lorain County,1477.1521,107,363,573,427
050435,Kings Local (050435) - Warren County,4684.5632,368,1115,1886,1386
047878,Kirtland Local (047878) - Lake County,1069.6801,64,223,431,361
050245,LaBrae Local (050245) - Trumbull County,1009.1909,74,243,387,291
