irn,district,enrolled_adm_fy24,headcount_kindergarten,headcount_grades_1_3,headcount_grades_4_8,headcount_grades_9_12
044438,Napoleon Area City (044438) - Henry County,1689.6367,155,379,641,509
049270,National Trail Local (049270) - Preble County,881.2461,64,224,371,247
044446,Nelsonville-York City (044446) - Athens County,1003.4308,69,239,393,294
046995,New Albany-Plain Local (046995) - Franklin County,4630.6694,293,1026,1922,1538
044461,New Boston Local (044461) - Scioto County,342.0234,28,80,146,84
045955,New Bremen Local (045955) - Auglaize County,822.0140,74,185,304,255
045963,New Knoxville Local (045963) - Auglaize County,393.2892,34,105,164,92
048710,New Lebanon Local School District (048710) - Montgomery County,1009.5440,76,249,401,286
044479,New Lexington School District (044479) - Perry County,1725.2243,144,437,654,491
047720,New London Local (047720) - Huron County,804.3122,51,213,317,225
046136,New Miami Local (046136) - Butler County,531.5716,40,134,207,155
044487,New Philadelphia City (044487) - Tuscarawas County,2712.5710,215,635,1102,743
045559,New Richmond Exempted Village (045559) - Clermont County,1897.2551,144,423,751,582
049718,New Riegel Local (049718) - Seneca County,394.1971,27,104,143,139
044453,Newark City (044453) - Licking County,5492.5087,485,1383,2136,1616
045542,Newcomerstown Exempted Village (045542) - Tuscarawas County,832.8074,75,192,337,239
045567,Newton Falls Exempted Village (045567) - Trumbull County,838.1830,53,175,357,259
048637,Newton Local (048637) - Miami County,586.1158,48,162,243,142
044495,Niles City (044495) - Trumbull County,1891.6978,117,436,789,549
048900,Noble Local (048900) - Noble County,935.0773,79,234,375,251
050047,Nordonia Hills City (050047) - Summit County,3221.8317,231,670,1258,1262
050708,North Baltimore Local (050708) - Wood County,594.7329,57,154,271,116
044503,North Canton City (044503) - Stark County,4160.0880,281,864,1570,1514
050641,North Central Local (050641) - Williams County,530.3002,53,126,187,164
044511,North College Hill City (044511) - Hamilton County,1305.0378,75,273,580,441
048025,North Fork Local (048025) - Licking County,1466.2936,104,378,563,422
044529,North Olmsted City (044529) - Cuyahoga County,3359.8772,257,741,1352,1112
044537,North Ridgeville City (044537) - Lorain County,4179.2883,315,927,1827,1247
044545,North Royalton City (044545) - Cuyahoga County,3848.9536,243,866,1492,1393
050336,North Union Local School District (050336) - Union County,1354.8182,93,299,575,383
046250,Northeastern Local (046250) - Clark County,2853.8188,228,668,1117,828
046722,Northeastern Local (046722) - Defiance County,950.5749,90,195,388,283
049056,Northern Local (049056) - Perry County,2193.8075,184,454,870,689
048728,Northmont City (048728) - Montgomery County,4499.9358,343,1009,1762,1367
048819,Northmor Local (048819) - Morrow County,992.5850,66,216,425,279
048033,Northridge Local (048033) - Licking County,1109.1558,80,256,454,327
048736,Northridge Local (048736) - Montgomery County,1583.5640,132,353,614,492
047365,Northwest Local (047365) - Hamilton County,7740.1580,581,1797,3175,2615
049635,Northwest Local (049635) - Scioto County,1148.3906,98,275,456,344
049908,Northwest Local (049908) - Stark County,1663.1010,105,399,646,495
