irn,district,base_cost_enrolled_adm,school_buildings,adm_kindergarten,adm_grades_1_3,adm_grades_4_8_non_cte,adm_grades_9_12_non_cte,adm_cte,adm_grades_9_12_total,funded_classroom_teachers,funded_special_teachers,teacher_base_cost,aggregate_base_cost,base_cost_per_pupil,temp_transitional_aid_guarantee,enrolled_adm_fy22,enrolled_adm_fy24,assessed_valuation_per_pupil_fy23,core_foundation_funding
046565,Independence Local,942.2361,3,61.7852,219.7504,386.8938,270.364,3.4428,265.5843,38.32,6.28,4385692.91,8024150.55,8516.07,0,962.3537,908.0969,546691.29,897491.03
046573,Olmsted Falls City,3180.7757,5,202.8386,700.0272,1246.9674,1019.8491,11.0934,1009.6637,128.85,21.21,14755988.29,25795563.02,8109.83,4310835.4,3235.4418,3131.0021,219796.37,7578647.42
046581,Orange City ,1965.0597,3,124.8366,453.752,799.3334,575.7341,11.4035,583.2428,79.9,13.1,9145054.72,15881846.18,8082.12,0,1959.3698,1965.0597,652428.02,1955341.17
046599,Richmond Heights Local,753.788,3,42.7763,154.1404,294.1334,255.4422,7.2957,260.3949,30.47,6,3586238.13,6768744.66,8979.64,0,790.1674,719.7897,318042.49,1702163.68
046607,Solon City,4385.189,6,145.5816,929.5685,1805.4279,1483.3697,21.2412,1497.7929,176.03,29.23,20184020.76,35579320.31,8113.52,0,4405.9436,4357.3994,325482.87,4190841.95
046623,Ansonia Local,715.864,3,69,167.4623,266.826,191.2096,21.3662,203.3809,29.67,6,3507570.99,6598848.94,9218.02,0,690.5768,715.864,170997.39,8394237.1
046631,Arcanum-Butler Local ,1043.4727,3,85.6357,260.5488,393.705,292.6494,10.9338,283.616,42.8,6.96,4893095.94,8778611.11,8412.88,0,1049.4693,1040.6404,188395.09,8152752.76
046649,Franklin Monroe Local,474.5395,2,36.8166,114.2222,181.587,141.8201,0.0936,131.8589,19.33,6,2490798.23,4947666.48,10426.25,189852.21,477.6126,467.121,264550.21,3200033.27
046672,Mississinawa Valley Local,533.4273,2,41.528,119.8229,222.5655,149.4332,0.0778,143.3113,21.73,6,2726799.65,5322499.98,9977.93,0,549.3316,510.3819,233478.79,6076770.88
046680,Tri-Village Local,732.707,2,59.147,167.0505,295.9803,210.5291,0,202.2015,29.86,6,3526254.44,6600685.18,9008.63,0,726.7755,731.6474,231935.98,6374744.67
046706,Ayersville Local ,655.7005,2,62.1466,117.9308,258.0299,217.5932,0,209.3267,26.61,6,3206669.19,6096425.63,9297.58,0,662.17,655.7005,198449.33,6390173.84
046714,Central Local ,882.3723,3,72.0242,206.0785,333.9277,249.5873,20.7546,255.8953,36.32,6,4161491.57,7654818.4,8675.27,0,909.4867,863.2986,256132.03,5785691.17
046722,Northeastern Local,937.0994,3,79.6836,205.2599,373.5202,274.5359,4.0997,266.8626,38.25,6.25,4375859.52,8002496.74,8539.65,1942618.21,950.5749,935.8969,506811.22,931882.53
046748,Big Walnut Local,3955.6051,7,162.774,936.3468,1662.4365,1194.0478,0,1165.6072,159.57,26.37,18284209.39,32152207.28,8128.27,1080627.24,3884.6538,3955.6051,434111.9,3749252.18
046755,Buckeye Valley Local,2180.9259,4,145.9255,560.1945,888.5485,585.1463,1.1111,571.1842,88.93,14.54,10174610.88,17635636.47,8086.31,656305.92,2157.0224,2180.9259,532894.56,2120915.56
046763,Olentangy Local,22882.8095,27,744.738,5110.9637,9612.9546,7414.1532,0,7363.2698,918.57,152.55,105327430.18,183827131.41,8033.42,0,22324.9526,22882.8095,303953.07,25751249.81
046789,Edison Local (formerly Berlin-Milan),1306.4003,3,110.0724,334.7934,506.186,321.0815,34.267,317.7582,54.1,8.71,6176353.63,10744937.43,8224.84,914008.07,1334.3898,1300.0387,276894.38,4098563.51
046797,Kelleys Island Local,5.2367,1,0.17,1.6667,3.3333,0.0667,0,0,0.22,6,611636.99,1945153.96,371448.88,0,7.2,3.51,,139820.28
046805,Margaretta Local,933.4041,2,68.5059,215.8444,375.7248,248.7758,24.5533,249.0277,38.42,6.22,4389626.26,7968258.26,8536.77,1938707.63,958.2271,911.5497,370185.15,2000567.63
046813,Perkins Local,1732.0881,4,120.4808,413.7168,682.0429,514.9248,0.9228,499.6242,70.42,11.55,8060431.55,13996702.61,8080.83,2122506.31,1759.2938,1706.9065,340202.32,1670572.37
046821,Vermilion Local,1533.3021,3,90.9976,343.5813,633.1444,454.6421,10.9368,450.789,62.26,10.22,7127242.64,12406246.87,8091.2,2257840.84,1581.2123,1503.6283,351078.91,1567817.12
046847,Amanda-Clearcreek Local,1446.3477,4,109.4163,379.2035,566.0193,391.7086,0,380.4302,59.11,9.64,6760457.11,11776594.92,8142.3,1092207.95,1453.2647,1446.3477,214548.81,7619122.55
046854,Berne Union Local,780.137,2,61.5365,180.629,300.3967,234.3352,3.2396,231.2342,31.81,6,3718005.58,6906711.72,8853.2,2150112.64,788.9505,777.5104,415866.61,1879774.66
046862,Bloom-Carroll Local,2270.3169,4,143.1445,502.1652,926.4008,660.1165,38.4899,669.4167,92.63,15.14,10597446.73,18388608.89,8099.58,0,2262.0645,2261.8114,260533.88,5382523.02
046870,Fairfield Union Local,1916.2908,4,159.8431,436.8594,745.4822,514.9674,59.1389,558.8202,79.16,12.78,9040820.76,15608216.28,8145.01,0,1915.0901,1916.2908,207235.04,11302169.33
046888,Liberty Union-Thurston Local,1133.6364,3,80.2351,271.2048,454.723,288.7276,38.746,313.0267,46.84,7.56,5349365.34,9455330.6,8340.71,2025439.9,1171.1622,1083.318,256904.06,4161198.92
046896,Pickerington Local,11366.8599,15,451.9596,2587.7441,4613.8888,3577.5575,135.7098,3601.331,459.71,75.78,52656831.72,91835432.21,8079.23,0,10989.9893,11366.8599,189246.72,71253420.95
046904,Walnut Township Local,466.627,2,31.1468,111.1531,180.7892,143.5379,0,140.8252,18.94,6,2452448,4892818.26,10485.5,0,475.0114,449.1211,546363.71,1239393.66
046920,Miami Trace Local,2324.777,3,174.2798,556.0177,976.7064,617.7731,0,580.1927,94.84,15.5,10850164.92,18802318.04,8087.79,3689958.89,2344.9659,2299.2108,275165.34,6041648.09
046946,Canal Winchester Local,3649.3363,4,244.1412,792.5085,1418.451,1064.7233,129.5122,1126.4548,150.03,24.33,17145502.58,29892486.82,8191.21,0,3556.9347,3649.3363,239876.14,19474206.3
046953,Hamilton Local,3130.7956,4,243.0231,789.3625,1218.1212,859.0485,21.2403,864.4643,128.19,20.87,14657654.37,25481151.47,8138.87,0,2950.0394,3130.7956,183772.47,28267750.33
046961,Gahanna-Jefferson City,8108.7185,12,571.9889,1833.4769,3216.2352,2422.2805,64.7369,2427.0542,330.28,54.06,37793659.46,65815601.76,8116.65,1483475.51,7868.2993,8108.7185,329525.85,9502273.65
046979,Groveport Madison Local,6153.9121,1,457.1112,1485.3703,2355.4099,1752.7847,103.2361,1795.5297,252.31,41.03,28845272.58,50196454.38,8156.84,0,6122.0477,6114.9067,279787.78,39462359.73
046995,New Albany-Plain Local,4648.3203,5,205.1478,997.7726,1919.6623,1525.7376,0,1517.5145,186.93,30.99,21428928.22,37701615.09,8110.8,0,4630.6694,4638.2372,345188.5,4683259.15
047001,Reynoldsburg City,7011.402,1,511.671,1620.5422,2746.276,2053.8972,79.0156,2091.9217,286.35,46.74,32754045.97,57036354.16,8134.8,0,7193.241,6784.746,177774.13,54946975.68
047019,Hilliard City,15587.5412,23,1095.0308,3492.4807,5919.2658,4896.6103,184.1537,4981.4534,634.96,103.92,72656968.04,126247490.41,8099.26,12036692.03,15612.7182,15531.4062,293410.86,30685770.34
047027,Dublin City,16550.9494,22,1092.46,3597.5752,6672.3181,5135.7341,52.8619,5117.1977,671.08,110.34,76840093.08,133671272.32,8076.35,0,15806.2083,16550.9494,346145.85,17177520.98
047043,Archbold-Area Local,1120.453,3,92.0763,264.4842,431.4253,323.5894,8.8778,320.9872,45.84,7.47,5242181.37,9316113.12,8314.6,567266.59,1134.9384,1112.1381,301880.17,2865585.72
047050,Evergreen Local,1071.2558,3,105.0094,250.4135,405.2741,285.4211,25.1377,300.3458,44.32,7.14,5060263.61,9013694.85,8414.14,2759328.95,1091.5016,1061.9191,340184.74,1530745.46
047068,Fayette Local,298.3161,2,26.7672,79.4852,107.0903,72.1198,12.8537,80.252,12.46,6,1815244.19,3872028.34,12979.61,0,308.2073,294.6785,266115.7,3334853.03
047076,Pettisville Local,462.9469,2,32.7561,110.2548,177.2623,120.6323,22.0414,133.3843,19.21,6,2478998.17,4910180.5,10606.36,0,478.8608,441.5352,199521.3,3950797.85
047084,Pike-Delta-York Local,1073.8468,3,76.2691,211.9631,429.7808,332.1243,23.7095,342.0945,43.84,7.16,5015030.01,8974961.34,8357.77,0,1112.7746,1039.9582,232889.22,6450227.94
047092,Swanton Local,1090.4831,3,79.4687,259.4302,456.0362,295.548,0,270.456,44.44,7.27,5084847.08,9085085.24,8331.25,1114002.61,1129.0029,1054.8728,270635.92,3541059.59
047167,Berkshire Local,1283.9784,3,95.7093,317.1801,491.3565,374.3226,5.4099,366.8625,52.39,8.56,5993452.53,10495772.09,8174.41,2908276.63,1295.6223,1281.6355,396589.82,1226216.32
047175,Cardinal Local,699.3057,3,51.3285,146.397,313.0954,184.8865,3.5984,181.443,28.5,6,3392520.3,6443232.41,9213.76,825649.29,726.5563,687.215,624682.71,792176.93
047183,Chardon Local,2314.2015,5,140.0131,463.3563,895.0466,812.1722,3.6133,805.3213,93.23,15.43,10684963.94,18661514.99,8063.91,2059673.85,2418.5648,2216.8597,394909.21,2063025.2
047191,Kenston Local,2372.3251,3,88.3586,554.0547,971.3848,751.8496,6.6774,747.2617,95.58,15.82,10954398.88,19112928.23,8056.62,590197.34,2405.442,2357.3114,497008.63,2163531.87
047225,West Geauga Local,1963.1395,4,118.5637,409.8893,776.4637,630.4302,27.7925,643.7027,79.7,13.09,9124404.59,15870288.26,8084.14,1714515.59,2053.0678,1884.2662,604523.24,1776074.7
047241,Beavercreek City,7526.7555,1,526.7038,1791.9905,3101.8247,2092.3699,13.8666,2035.3772,306.59,50.18,35082593.23,61066465.02,8113.25,1968470.52,7527.1837,7478.9237,359082.03,7306311.98
047258,Cedar Cliff Local,551.3523,2,33.3179,124.0414,235.4371,158.5558,0,150.8134,22.35,6,2787766.68,5426623.6,9842.39,0,552.0832,547.5449,290066.3,3804548.39
047266,Greeneview Local,1247.4214,3,90.6926,308.8136,537.1074,297.7339,13.0739,285.95,51.2,8.32,5852835.02,10245330.62,8213.21,488382.86,1256.0166,1226.4006,267573.73,4827111.74
047274,Bellbrook-Sugarcreek Local,2536.6584,4,100.3923,596.8786,1072.3818,767.0057,0,741.464,102.27,16.91,11719436.78,20440511.63,8058.05,2851056.03,2559.0618,2472.9653,343386.28,2322364.71
047308,Rolling Hills Local,1430.3858,5,109.2466,335.2618,581.9117,367.7856,36.1801,383.3593,58.95,9.54,6734890.3,11761885,8222.88,0,1448.8502,1406.451,258886.59,8091643.51
047332,Finneytown Local,1138.9482,2,90.6867,261.5335,458.7191,328.009,0,312.971,46.4,7.59,5309048.43,9419773.28,8270.59,2417019.85,1167.5571,1097.8,276562.91,3630565.54
047340,Forest Hills Local,6355.788,9,217.7512,1428.5849,2613.3578,2068.138,27.956,2069.5184,255.69,42.37,29309408.7,51403434.63,8087.66,9398378.96,6482.904,6214.4037,302972.45,5950468.35
047365,Northwest Local ,7434.1364,11,537.8661,1753.0022,3009.0385,2134.2296,0,2014.1506,302.52,49.56,34621407.15,60288826.07,8109.73,12018758.49,7740.158,7074.9471,302304.26,11567451.73
047373,Oak Hills Local ,6950.2327,9,308.4063,1584.1153,2863.8066,2193.9046,0,2130.4741,280.1,46.33,32099142.05,56188111.12,8084.35,10313084.7,7088.1449,6799.6816,235902.93,14034310.72
047381,Southwest Local,4114.5593,6,223.9879,1053.7664,1690.7961,1129.0195,16.9895,1083.3726,167.41,27.43,19159381.3,33547340.22,8153.33,0,4149.9901,4092.9398,258519.76,15116990.15
047399,Three Rivers Local ,1797.4784,3,124.1907,389.89,736.0323,547.3654,0,529.0382,72.88,11.98,8344616.59,14505426.25,8069.88,3524034.3,1833.3284,1754.892,275122.42,1848623.73
047415,Arcadia Local,575.774,3,34.0316,137.3396,221.9642,156.2305,26.2081,174.9668,23.79,6,2929367.52,5683946.96,9871.84,0,581.5033,575.774,344846.34,3558297.94
047423,Arlington Local,610.1767,2,44.0475,157.0763,235.9329,160.8218,12.2982,170.4,25.11,6,3059168.3,5839165.62,9569.63,0,598.7093,610.1767,198549.14,6299737.45
047431,Cory-Rawson Local,491.1849,2,39.8047,83.1612,198.7115,151.1229,18.3846,163.8785,20.17,6,2573398.73,5068749.38,10319.43,0,494.2305,474.991,323326.26,3020423.35
047449,Liberty-Benton Local,1571.6869,4,131.2387,366.7307,614.7235,434.5251,24.4688,454.4002,64.55,10.48,7377994.14,12786616.45,8135.6,0,1533.3759,1571.6869,189627.07,7581053.81
047456,McComb Local,600.2172,3,36.3372,142.0713,229.7198,183.2806,8.8083,190.1153,24.46,6,2995251.25,5807613.48,9675.85,0,601.0792,600.2172,260955.42,5918930.52
047464,Van Buren Local,1017.601,3,69.788,229.3487,411.7964,274.4317,32.2362,301.0941,41.89,6.78,4785911.97,8608646.49,8459.75,0,1034.1789,995.5997,379115.89,1012559.34
047472,Vanlue Local,134.4959,2,10.4921,27.59,42.2965,49.1867,4.9306,52.9527,5.51,6,1131823.43,2815678.97,20935.06,0,149.8833,123.8606,429776.79,1550759.86
047498,Hardin Northern Local,386.07,2,29.8958,85.9276,152.306,100.2809,17.6597,111.7108,16.02,6,2165312.96,4422401.66,11454.92,0,374.9963,386.07,313220.58,2882612.67
047506,Ridgemont Local,457.1953,2,32.7203,100.4108,183.3737,118.1064,22.5841,134.062,18.97,6,2455398.03,4874341.02,10661.4,0,457.023,454.4632,274800.22,4146132.11
047514,Riverdale Local,897.817,4,58.8654,201.487,353.6158,260.4198,23.429,277.7498,36.79,6,4207708.5,7796557.86,8683.91,0,945.0731,846.9968,200846.29,6973984.45
047522,Upper Scioto Valley Local,436.8038,3,42.3157,139.4171,157.1692,97.9018,0,86.5483,18.09,6,2368864.17,4798043.67,10984.44,0,402.4939,436.8038,353578.55,3630265.5
047548,Conotton Valley Union Local,483.1929,2,46.1243,129.4746,199.4924,101.9554,6.1462,96.3519,20.03,6,2559631.98,5036393.63,10423.15,1356272.53,454.1434,483.1929,882361,999978.55
047571,Holgate Local,385.0492,2,26.7021,76.9983,153.7088,106.6506,20.9894,120.9024,15.95,6,2158429.58,4413506.4,11462.19,0,394.7088,374.1995,259032.97,3196250.5
047589,Liberty Center Local,1024.0967,3,98.219,243.0914,381.9496,251.8521,48.9846,283.668,42.81,6.83,4881295.87,8719769.68,8514.6,0,1000.9985,1024.0967,229374.47,7278500.18
047597,Patrick Henry Local,835.5915,3,76.3672,198.1965,325.4699,235.5578,0,222.0577,34.18,6,3951056.97,7332062.94,8774.7,1319753.63,828.8563,829.5858,390815.54,2863691.43
047613,Bright Local,649.1791,3,47.4858,163.4119,259.98,165.966,12.3353,167.6955,26.71,6,3216502.58,6146706.3,9468.43,0,651.5814,640.8702,186335.33,7007100.46
047621,Fairfield Local,823.0238,3,66.703,201.5199,319.5766,199.5516,35.6727,218.043,34.25,6,3957940.35,7307545.22,8878.9,0,852.9553,799.2642,126741.95,8326239.77
047639,Lynchburg-Clay Local,968.4056,3,67.823,224.234,399.3336,261.4546,15.5604,262.1612,39.66,6.46,4535160.46,8237870.92,8506.63,1550105.84,998.1157,940.2887,165089.55,7806941.14
047688,East Holmes Local ,1482.3959,8,144.565,429.8757,654.2902,248.3316,5.3333,244.381,61.58,9.88,7026942.04,12367633.3,8343,2843841.11,1478.4475,1482.3959,588435.68,1479922.09
047696,West Holmes Local,1673.6411,7,121.4409,398.3675,653.6934,470.1152,30.0242,485.1684,68.62,11.16,7845080.27,13745787.52,8213.1,7042524.79,1747.113,1623.2633,352307.86,1653988.04
047712,Monroeville Local,502.2213,2,38.047,110.7206,196.9457,145.8422,10.6657,143.0939,20.59,6,2614698.98,5135801.9,10226.17,0,521.9569,485.4999,224714.95,3370704.66
047720,New London Local,809.7739,3,60.4025,197.2048,325.7421,210.64,15.7845,210.5665,33.3,6,3864523.12,7182341.37,8869.56,0,804.3122,806.4975,164059.88,7685109.71
047738,South Central Local,680.8744,3,51.2179,177.5991,264.6023,174.623,12.8321,178.7722,28.05,6,3348270.03,6354520.77,9332.88,0,699.8833,651.8814,148096.47,7414643.4
047746,Western Reserve Local,875.0371,3,63.7822,210.4379,327.0133,234.9272,38.8765,239.439,36.28,6,4157558.21,7633482,8723.61,0,926.7729,833.1182,196173.1,5820589.7
047761,Oak Hill Union Local,1015.0694,2,70.5989,245.3648,421.7592,277.3466,0,258.7444,41.34,6.77,4730844.97,8522012.92,8395.5,1411758,1069.3873,961.2423,278629.28,7406645.89
047787,Buckeye Local ,1235.9366,5,96.9668,284.2573,468.1775,328.6808,57.8541,348.4775,51.32,8.24,5856768.38,10328921.91,8357.16,4227045.81,1248.7128,1213.8215,511796.6,2319236.12
047795,Edison Local,1251.2757,4,86.1588,275.1432,493.8036,349.3546,46.8155,371.4028,51.56,8.34,5890201.91,10345975.54,8268.34,2973531.36,1272.9246,1238.0913,465615.22,1469134.56
047803,Indian Creek Local,1743.8002,5,142.8261,414.1979,654.6634,458.7036,73.4094,510.4339,72.4,11.63,8262999.43,14278759.43,8188.3,0,1784.0475,1704.0914,264926.43,7029263.82
047829,Centerburg Local,1006.2598,3,72.2146,223.5881,388.9115,289.8364,31.7092,300.3685,41.38,6.71,4728878.29,8524621.63,8471.59,1730522.42,1021.702,1004.4792,285269.92,3744490.43
047837,Danville Local ,545.6362,2,41.9959,132.1476,232.2826,130.9157,8.2944,127.3494,22.45,6,2797600.07,5422686.75,9938.28,0,558.8835,538.2435,226803.48,5655247.38
047845,East Knox Local,890.7359,2,67.1299,227.2486,349.0843,230.6513,16.6218,228.1227,36.67,6,4195908.44,7665945.57,8606.31,563481.66,914.1996,864.6886,578194.88,1476446.72
047852,Fredericktown Local,1125.9872,3,84.1898,280.5209,448.0426,298.2349,14.999,283.3261,46.21,7.51,5282498.27,9370204.86,8321.77,498168.98,1165.8502,1095.5682,237512.29,5678436.17
047878,Kirtland Local,1025.5566,3,62.3087,212.0762,423.9531,327.2185,0,323.7014,41.41,6.84,4744611.73,8587197.92,8373.21,0,1069.6801,991.5882,397620.38,940341.42
047886,Madison Local ,2435.4501,4,166.6085,543.1076,967.0106,742.647,16.0764,747.3689,99.02,16.24,11333967.81,19710330.44,8093.1,1319103.88,2491.8667,2384.0935,186260.21,11217167.42
047894,Riverside Local,3898.6674,6,280.4959,890.4935,1504.9335,1207.82,14.9245,1204.8284,158.5,25.99,18141625.21,31813373.1,8160.06,2075191.34,3971.0914,3825.2835,339725.35,3659723.79
047902,Perry Local,1401.9927,3,84.5181,293.5657,532.4952,488.864,2.5497,487.6762,56.54,9.35,6479222.1,11368011.44,8108.47,961065.17,1404.2945,1384.5056,288931.96,2105180.5
047928,Dawson-Bryant Local,1051.8355,3,82.4984,260.2437,424.8479,277.1255,7.1201,263.8708,43.09,7.01,4926529.47,8832778.39,8397.49,30173.13,1101.0724,1010.5368,161624.55,11301346.03
047936,Fairland Local ,1238.0212,4,84.371,272.688,534.9356,346.0266,0,327.8679,50.29,8.25,5756467.78,10176037.23,8219.6,1022148.93,1310.6461,1159.5229,207869.96,6776401.37
047944,Rock Hill Local,1183.4651,3,103.9562,310.7595,465.4681,299.2948,3.9865,279.1995,48.63,7.89,5557833.25,9785924.68,8268.88,4344092.62,1178.844,1179.0075,376775.37,6090794.14
047951,South Point Local,1269.5564,4,108.4709,321.3314,508.0721,331.682,0,308.1843,52,8.46,5945268.9,10450026.49,8231.24,1123984.96,1296.2786,1247.5182,264138.19,8782017.74
047969,Symmes Valley Local,665.0699,2,56.0678,156.5093,268.4049,166.4264,17.6616,169.2454,27.49,6,3293203.04,6205487.54,9330.58,957516.98,685.3108,638.8351,273829.3,6663472.84
047985,Johnstown-Monroe Local,1588.5043,4,108.7694,363.1709,632.3846,426.5474,57.6319,447.069,65.52,10.59,7484194.78,12942266.06,8147.45,2753660.39,1633.3376,1529.393,411315.91,1499067.33
047993,Lakewood Local,1538.0917,4,108.7849,366.6923,615.7895,418.5803,28.2447,421.462,63.09,10.25,7211809.82,12508920.34,8132.75,2206350.59,1583.3877,1463.2423,528802.98,1712306.7
048009,Licking Heights Local,5055.2197,6,359.399,1121.1483,2076.3089,1451.4204,46.9432,1438.068,206.13,33.7,23583424.43,41181258.94,8146.28,0,4980.3168,5055.2197,243415.36,27319846.17
048017,Licking Valley Local,2020.6618,4,144.2056,447.56,831.2316,571.0239,26.6407,579.1423,82.55,13.47,9442023.16,16362922.65,8097.8,0,2032.3261,2014.5838,202829.93,11608103.27
048025,North Fork Local,1439.9932,4,101.2526,364.6904,551.8267,385.2309,36.9928,389.2346,59.31,9.6,6776190.54,11775688.98,8177.6,3076777.53,1466.2936,1398.2959,302959.83,3524621.33
048033,Northridge Local,1095.192,3,77.0335,251.7738,440.2838,305.9943,20.1066,305.895,44.86,7.3,5129097.36,9141350.84,8346.8,2444496.41,1109.1558,1070.5256,458289.55,1089379.48
048041,Southwest Licking Local,4843.9884,7,355.9835,1135.4827,1911.6335,1367.5829,73.3058,1359.7671,198.36,32.29,22680719.03,39557945.97,8166.4,0,4659.793,4843.9884,310605.75,13878746.95
048074,Benjamin Logan Local,1568.2086,3,113.2089,363.5657,620.7271,429.4762,41.2306,454.413,64.49,10.45,7369144.1,12761546.72,8137.66,4157978.62,1603.7671,1545.8547,319439.06,1729545.32
048082,Indian Lake Local,1293.3258,3,89.2937,295.3365,498.8115,406.2365,3.6477,394.3681,52.51,8.62,6011152.63,10548285.11,8155.94,2900004.91,1348.8924,1239.2172,458389.03,1460577.16
048090,Riverside Local,492.8828,2,40.677,112.096,198.5457,141.5642,0,127.4083,20.09,6,2565532.01,5065133.22,10276.55,283726.63,516.0104,458.8692,201464.13,4581995.27
048116,Avon Local,3997.048,5,123.7733,864.8836,1651.7982,1355.6361,0.9568,1347.5437,160.13,26.65,18366809.89,32435516.47,8114.87,0,4133.7908,3896.2893,274424.6,3722256.25
048124,Avon Lake City,3192.7951,7,100.3974,703.6397,1346.2484,1042.5096,0,1033.0842,128.07,21.29,14687154.54,25777162.51,8073.54,0,3296.3372,3068.3213,359299.26,2859778.33
048132,Clearview Local,1205.0207,3,80.0219,277.0451,520.9446,312.1761,14.833,307.895,49.27,8.03,5634533.7,9917214.3,8229.91,0,1261.4784,1117.5882,80257.74,13973595.76
048140,Columbia Local,1005.9275,3,69.8622,238.4648,426.7284,267.2095,3.6627,261.7095,41.03,6.71,4694461.42,8489503.51,8439.48,1160644.59,965.7821,1005.9275,358213.72,996261.74
048157,Firelands Local,1665.2011,3,112.9013,388.9713,680.1094,456.8354,26.3838,452.5577,68.15,11.1,7792963.3,13497865.64,8105.85,4572722.25,1697.4153,1640.7995,248702.92,2783318.5
048165,Keystone Local,1401.3234,3,98.0546,345.4543,550.3631,404.285,3.1665,392.464,57.09,9.34,6532322.42,11393410.61,8130.46,4457033.78,1477.1521,1337.7445,265781.14,1491027.88
048173,Midview Local,2471.2437,6,168.9292,542.0327,1030.9989,650.0866,79.1962,699.6142,101.73,16.47,11623069.55,20106155.12,8136.05,8825769.97,2502.0943,2432.0733,296096.4,2655861.64
048207,Anthony Wayne Local,3833.3839,6,102.7458,876.361,1657.5668,1196.7103,0,1152.3734,153.87,25.56,17644055.57,31062849.96,8103.25,2289586.22,3932.1055,3721.0755,346979.97,3535144.59
048215,Ottawa Hills Local,1015.7066,2,59.7817,228.5212,403.8467,323.2319,0.3251,323.4246,41.07,6.77,4704294.81,8496807.81,8365.42,0,1031.0217,993.8026,176195.08,2506103.59
048223,Springfield Local,3018.9304,6,219.7228,708.9055,1194.8172,847.7704,47.7145,833.7905,123.65,20.13,14138451.26,24563076.54,8136.35,1233199.89,3126.9482,2914.1166,272548.99,3509748.01
048231,Washington Local ,6528.1017,11,448.3068,1464.4953,2439.616,1754.2579,421.4257,2113.026,272.06,43.52,31032219,53711894.16,8227.8,0,6686.8625,6348.0447,143256.12,53188247.62
048256,Jefferson Local,945.9459,3,58.7529,231.5287,379.2588,276.4055,0,265.8241,38.41,6.31,4397492.98,8045796.93,8505.56,1516911.03,930.152,945.9459,348767.66,2687414.18
048264,Jonathan Alder Local,2272.6405,5,176.789,563.0297,911.5094,621.3124,0,605.8144,92.79,15.15,10614163.5,18393951.6,8093.65,3584536.09,2164.4117,2272.6405,298959.81,3866159.74
048272,Madison-Plains Local,1077.4678,4,83.9611,257.863,410.7334,324.9103,0,311.2247,43.87,7.18,5019946.7,9045568.28,8395.21,2776989.73,1081.4104,1077.4678,431783.29,1289817.06
048298,Austintown Local Schools,4068.9023,4,307.7245,941.3122,1557.3978,1195.1943,67.2735,1230.787,166.61,27.13,19051213.98,33328932.61,8191.14,0,4109.7154,4020.0814,226245.17,24526751.94
048306,Boardman Local,3537.0763,7,274.296,844.7505,1378.1584,1039.8713,0,1015.738,144.08,23.58,16486665.31,28799697.17,8142.23,23248.89,3649.4317,3435.377,338540,5459116.71
048314,Canfield Local,2418.045,4,171.8926,557.2127,987.3438,693.1511,8.4449,692.4733,98.46,16.12,11267100.75,19566311.1,8091.79,2062602.34,2441.7429,2402.1141,388455.9,2216296.56
048322,Jackson-Milton Local,764.1469,3,61.1704,202.3787,317.1176,183.4802,0,170.8564,31.34,6,3671788.64,6878984.77,9002.18,734119.21,772.0154,751.8758,449614.62,1515633.01
048330,Lowellville Local,447.0746,2,34.2392,99.8627,184.5187,128.454,0,125.3217,18.19,6,2378697.57,4773952.17,10678.2,0,445.3876,442.6852,146010.13,4766849.38
048348,Poland Local,1665.6591,3,121.8065,409.5382,650.2558,464.3324,19.7262,467.5177,68.2,11.1,7797879.99,13507639.45,8109.49,2769315,1695.0359,1635.8561,355234.03,1544041.43
048355,Sebring Local,364.0868,2,40.6891,90.0671,132.4002,100.6766,0.2538,96.842,14.99,6,2064029.02,4270180.45,11728.47,237125.69,374.0794,354.0286,196962.93,4358099.87
048363,South Range Local,1219.4812,3,90.0546,278.6922,497.2394,333.2451,20.25,346.3709,49.98,8.13,5714184.19,10033991.98,8228.08,1253708.3,1219.5096,1210.5817,250589.52,4192599.82
048371,Springfield Local,875.5333,3,70.1401,210.8806,343.2399,245.3303,5.9425,244.0267,35.82,6,4112324.61,7590275.42,8669.32,1112605.32,889.9191,871.7765,318480.4,2604880.76
048389,West Branch Local,1642.6537,4,126.3417,369.2276,633.3247,453.4102,60.3495,477.412,67.85,10.95,7748713.03,13387427.93,8149.88,3448311.65,1660.8693,1624.4475,232347.43,7241281.65
048397,Western Reserve Local,556.0557,3,47.904,122.0477,237.6745,142.3934,6.0361,137.2794,22.82,6,2833983.63,5541620.13,9965.94,0,548.0492,556.0557,298689.74,3372284.63
048413,Elgin Local,992.6062,3,76.4913,235.7718,417.6984,236.9981,25.6467,246.4508,40.99,6.62,4681678.02,8443523.14,8506.42,0,981.1051,981.7508,243446.36,6207465.89
048421,Pleasant Local,1246.6614,3,88.0865,300.7518,515.6797,338.8483,3.2951,328.6827,50.84,8.31,5816451.47,10207334.66,8187.74,0,1246.9594,1235.5919,231055.88,4915926.74
048439,Ridgedale Local ,604.0093,2,46.3118,139.6521,257.3943,160.6511,0,150.4714,24.63,6,3011968.02,5776181.04,9563.07,0,595.9788,604.0093,315586.45,4144696.12
048447,River Valley Local,1782.0928,4,123.7722,417.8404,757.5623,427.5958,55.322,442.8271,73.57,11.88,8402633.6,14490779.12,8131.33,0,1803.775,1777.4363,219595.82,9071344.35
