irn,district,base_cost_enrolled_adm,school_buildings,adm_kindergarten,adm_grades_1_3,adm_grades_4_8_non_cte,adm_grades_9_12_non_cte,adm_cte,adm_grades_9_12_total,funded_classroom_teachers,funded_special_teachers,teacher_base_cost,aggregate_base_cost,base_cost_per_pupil,temp_transitional_aid_guarantee,enrolled_adm_fy22,enrolled_adm_fy24,assessed_valuation_per_pupil_fy23,core_foundation_funding
045229,Bradford Exempted Village,489.9351,2,54.9451,120.4082,195.3153,119.0353,0.2312,108.2044,20.22,6,2578315.43,5071203.05,10350.77,0,488.6351,488.8756,156121.13,5824336.05
045237,Bridgeport Exempted Village,776.5123,3,66.8805,168.8963,316.7687,202.1565,21.8102,209.9114,32.06,6,3742589.06,6980690.14,8989.8,0,695.0723,776.5123,166044.69,8834262.08
045245,Harrison Hills City,1258.1449,2,96.1287,292.4486,514.9418,343.8703,10.7555,324.3784,51.45,8.39,5884301.88,10308383.56,8193.32,6076228.53,1279.5662,1228.3518,716512.74,1404487.81
045252,Caldwell Exempted Village,755.5222,2,67.2556,177.2803,266.6229,202.7994,41.5639,224.642,31.56,6,3693422.1,6823592.22,9031.62,0,734.4791,755.5222,270072.9,7023465.54
045260,Carey Exempted Village Schools,812.6948,2,68.4,168.7529,302.084,262.5536,10.9043,271.0526,33.17,6,3851739.71,7121369.43,8762.66,0,813.121,812.6948,162911.72,8450157.96
045278,Carrollton Exempted Village,1658.1728,3,109.5336,362.6106,661.5501,500.3576,24.1209,496.3456,67.58,11.05,7731996.26,13425466.35,8096.54,7212390.43,1712.7457,1596.7941,423625.28,1793543.11
045286,Chagrin Falls Exempted Village,1499.2266,4,57.7035,324.0995,613.2322,495.7652,8.4263,501.8223,60.34,9.99,6915824.72,12115453.63,8081.14,48195.75,1516.0223,1480.853,468259.8,1410366.2
045294,Chesapeake Union Exempted Village,1065.6433,3,74.971,278.8694,430.4547,276.3686,4.9795,254.1446,43.6,7.1,4985529.84,8926077.06,8376.23,0,1083.5533,1048.3999,189901.12,9271119.45
045302,Clyde-Green Springs Exempted Village,1811.5115,4,130.4651,415.209,711.6306,539.2334,14.9735,518.7588,73.84,12.08,8448850.56,14655450.27,8090.18,0,1870.6163,1752.8591,157107.55,12410207.77
045310,Coldwater Exempted Village,1512.8053,3,129.125,394.3567,590.3057,355.5859,43.4319,386.1209,62.8,10.09,7167559.55,12364823.87,8173.44,0,1439.3927,1512.8053,184550.29,10078850.39
045328,Columbiana Exempted Village,902.9506,3,56.3715,192.8019,354.8732,298.904,0,294.1568,36.47,6.02,4178208.34,7721848.77,8551.8,1044460.01,934.8091,864.3424,291698.86,2362142.14
045336,Covington Exempted Village,748.4108,3,64.4707,193.4306,305.8892,184.6202,0,169.6052,30.71,6,3609838.27,6779147.01,9058.06,0,745.612,748.4108,196144.12,6337152.18
045344,Crestline Exempted Village,509.0163,2,42.7,135.8805,199.3399,130.7472,0.3488,118.145,20.88,6,2643215.81,5180436.92,10177.35,0,523.7301,509.0163,162172.72,6654399.48
045351,Crooksville Exempted Village,1006.9626,3,78.3708,240.3014,394.281,279.1098,14.8995,273.0535,41.3,6.71,4721011.58,8518238.17,8459.34,0,1011.8248,994.9103,156104.68,11776331.74
045369,Fairport Harbor Exempted Village,530.9167,2,41.3521,114.2405,216.0298,159.2944,0,154.6889,21.58,6,2712049.56,5301595.84,9985.74,0,562.6557,514.5972,125891.21,6107768.42
045377,Georgetown Exempted Village,923.4204,2,68.975,234.6925,352.1831,230.686,36.8839,239.1542,38.33,6.16,4374876.17,7928316.93,8585.81,0,929.7659,922.4462,154191.45,9494840.64
045385,Gibsonburg Exempted Village,658.4517,3,45.5091,156.3866,265.2365,186.9631,4.3565,180.2947,26.85,6,3230269.33,6182792.96,9389.9,405772.01,670.7928,634.6758,218443.01,4953880.82
045393,Granville Exempted Village,2424.1324,4,81.1692,530.1453,984.5279,794.6071,33.6828,799.3148,97.79,16.16,11205150.37,19555001.37,8066.8,3288861.31,2446.1752,2405.7315,324056.16,2255484.73
045401,Greenfield Exempted Village,1789.4347,5,131.3485,437.9995,690.0297,489.5619,40.4951,509.1683,73.59,11.93,8409516.98,14569934.99,8142.2,0,1803.9444,1773.3412,140022.23,16716524.02
045419,Hicksville Exempted Village,870.6079,3,86.1066,213.0815,351.8186,197.1492,22.4519,205.9432,36.19,6,4148708.16,7613300.3,8744.81,0,873.8941,859.9975,177191.73,8769400.83
045427,Hubbard Exempted Village,1710.7009,3,124.905,395.3579,667.559,504.021,18.858,511.0447,69.85,11.4,7989631.13,13856892.85,8100.13,0,1738.8854,1667.8834,181840.22,9977416.09
045435,Indian Hill Exempted Village,2131.0805,4,113.1529,503.8967,892.0769,621.954,0,612.6239,86.28,14.21,9881575.79,17184477.05,8063.74,0,2127.0062,2131.0805,850898.39,1971965.48
045443,Leetonia Exempted Village School District,481.6237,2,45.2827,121.12,180.8048,134.0894,0.3268,129.5871,19.75,6,2532098.49,5005767.7,10393.52,298624.76,493.5729,466.8014,221907.98,4926939.75
045450,Lisbon Exempted Village,659.558,2,44.4644,141.6708,265.5451,207.8777,0,201.4492,26.7,6,3215519.24,6114291.36,9270.29,0,688.8348,629.1859,185849.47,7636035.1
045468,Loudonville-Perrysville Exempted Village,835.5026,3,70.6113,216.3346,325.3107,209.2011,14.045,204.0574,34.48,6,3980557.15,7361376.25,8810.72,1196506.23,861.9172,817.6122,335740.99,3540665.99
045476,Marysville Exempted Village,5277.6213,9,419.0642,1264.8785,2070.3263,1439.5331,83.819,1427.4871,216.73,35.18,24771298.21,43108455.97,8168.16,0,5324.7178,5205.2777,222959.97,19218330.6
045484,Mechanicsburg Exempted Village,789.095,3,52.9029,187.089,303.6098,230.5108,14.9824,231.3547,32.29,6,3765205.86,7032687.15,8912.35,0,818.7488,751.3118,173146.59,6684692.18
045492,Mentor Exempted Village,6537.4127,11,406.7714,1363.4011,2560.0898,2068.5943,138.556,2159.3811,266.33,43.58,30474665.67,53199403.82,8137.68,6631587.22,6753.0647,6301.8463,334033.32,6575516.01
045500,Milford Exempted Village,5490.4329,9,200.0608,1225.1059,2288.7934,1776.2718,0.201,1722.9385,220.62,36.6,25293451.34,44416385.33,8089.78,15551936,5678.173,5290.3479,280545.97,5164165.08
045518,Milton-Union Exempted Village,1273.9795,3,111.7174,321.679,511.4623,329.1208,0,308.5986,52.22,8.49,5969852.39,10440256.88,8195,0,1293.4576,1243.3297,206066.44,6368561.5
045526,Montpelier Exempted Village,799.1089,2,80.3662,188.041,335.3168,195.3848,0,187.3223,32.84,6,3819289.52,7054727.52,8828.24,0,772.3566,799.1089,137736.85,9229888.39
045534,Mount Gilead Exempted Village,916.7915,3,73.0655,215.1993,359.5211,233.5342,35.4714,254.9509,38.01,6.11,4338492.62,7916312.41,8634.8,1462512.3,939.4837,896.3771,293563.41,4666060.86
045542,Newcomerstown Exempted Village,843.9594,4,77,200.704,308.9819,250.8057,6.4677,238.2966,34.58,6,3990390.54,7447948.25,8825.01,0,832.8074,843.9594,197769.38,9215769.11
045559,New Richmond Exempted Village,1781.9148,4,119.884,401.2839,695.2079,565.5389,0,536.5713,72.2,11.88,8267916.13,14380291.48,8070.13,2032628.31,1897.2551,1672.6713,274194.58,2821388.17
045567,Newton Falls Exempted Village,818.9716,4,61.2094,178.0916,318.3391,229.1018,32.2297,246.9066,33.81,6,3914673.42,7311796.14,8928.02,0,838.183,809.82,210376.41,7479404.04
045575,Paulding Exempted Village,1208.1544,4,99.772,299.5466,466.0879,304.1251,38.6229,325.8107,50.07,8.05,5715167.52,10060926.41,8327.52,0,1235.0949,1195.194,215552.34,8243613.64
045583,Perrysburg Exempted Village,5203.4461,7,293.8762,1213.987,2100.3051,1562.1602,33.1176,1525.3866,211.19,34.69,24178344.67,42292829.57,8127.85,3022175.36,5137.2556,5168.0262,270202.33,6735787.73
045591,Rittman Exempted Village,754.3229,3,54.7393,184.4415,308.192,200.2174,6.7327,193.0963,30.87,6,3625571.69,6809200.96,9026.9,348192.14,793.3326,722.6151,210236.27,6357599.93
045609,Rossford Exempted Village,1491.8027,3,122.4,373.3791,609.1081,386.9154,0,357.1746,61.05,9.95,6981708.44,12107284.75,8115.88,1058664.93,1522.8125,1465.843,314950.3,1924483.6
045617,Tipp City Exempted Village,2299.0161,4,145.3426,487.5904,930.0388,707.015,29.0294,718.8992,93.47,15.33,10698730.68,18601623.59,8091.12,4112156.67,2356.4787,2240.8148,257072.89,3394083.47
045625,Upper Sandusky Exempted Village,1453.9283,5,102.9533,322.2858,582.005,435.8654,10.8189,435.1522,59.18,9.69,6772257.19,11881195.85,8171.79,72615.25,1491.1152,1411.5459,243596.72,6236424.14
045633,Versailles Exempted Village,1235.1837,3,95.4402,281.7074,469.0236,354.382,34.6305,380.1008,50.83,8.23,5807601.42,10174030.05,8236.86,856196.46,1246.3536,1231.7978,214803.21,6959052.37
045641,Wauseon Exempted Village,1681.669,4,144.5402,355.3087,654.4051,481.218,46.1969,509.7754,69.24,11.21,7910964,13684453.49,8137.42,0,1677.1099,1681.669,173056.16,12663653.46
045658,Wellington Exempted Village,878.801,3,75.5366,214.6837,333.0615,226.9751,28.5441,222.6647,36.43,6,4172308.3,7657135.39,8713.16,2400789.76,889.8555,875.5798,298080.4,1854167.02
045666,Windham Exempted Village,434.0157,3,35.066,101.683,184.0861,113.1806,0,107.3363,17.73,6,2333463.97,4755213.4,10956.32,0,451.4056,424.2912,124800.94,5595986.64
045674,Yellow Springs Exempted Village,588.2555,2,35.637,119.8736,230.5269,202.2179,0,195.9994,23.7,6,2920517.47,5647980.64,9601.24,265996.59,603.0933,576.1322,362306.35,1952892.14
045757,Allen East Local,987.0508,3,80.3865,242.348,407.9436,237.8535,18.5192,239.0763,40.71,6.58,4650211.16,8398322.87,8508.5,0,1003.5369,975.0816,160667.98,7333648.02
045765,Bath Local,1567.4913,4,115.3884,357.1319,665.5964,429.0852,0.2894,409.2326,63.83,10.45,7304243.7,12688049.95,8094.49,0,1603.6758,1528.549,208222.53,7011172.99
045773,Elida Local,1990.0331,3,163.7346,522.1654,791.0137,506.4043,6.7151,469.2161,81.66,13.27,9334839.18,16123283.88,8102.02,542299.63,2031.0218,1959.9651,229381.01,7257450.65
045781,Perry Local,681.4616,2,55.9126,161.5196,304.6594,159.3701,0,144.3806,27.91,6,3334503.29,6284978.42,9222.79,0,687.4589,681.4616,232017.3,6362785.47
045799,Shawnee Local,2175.1336,4,168.831,514.9851,878.5978,612.7197,0,576.3421,88.67,14.5,10145110.7,17587399.98,8085.66,1913143.38,2231.9281,2116.2682,247473.86,2989978.99
045807,Spencerville Local,935.2819,3,67.223,209.7972,366.168,275.8362,16.2575,276.3892,38.25,6.24,4374876.18,7997683.83,8551.09,0,964.4358,904.9376,172834.24,7817698.19
045823,Hillsdale Local,860.5079,2,81.0677,204.6694,339.5118,207.513,27.746,221.5857,35.76,6,4106424.57,7498321.39,8713.83,2154760.2,791.3953,860.5079,656876.29,907140.39
045831,Mapleton Local,739.325,3,56.5358,172.9227,289.0493,198.3459,22.4712,203.1973,30.5,6,3589188.14,6736492.54,9111.68,0,787.9663,698.8188,282840.19,4767480.94
045856,Buckeye Local,1625.0762,4,126.0192,381.8437,641.7966,475.4167,0,455.6763,66.18,10.83,7572695.3,13150356.82,8092.15,0,1642.4119,1596.372,209963.68,10487927.1
045864,Grand Valley Local,797.4195,3,59.9317,186.1088,297.6332,215.3224,38.4235,237.6137,33.1,6,3844856.34,7132784.7,8944.83,3239992.07,815.373,790.0684,358757.03,2249602.1
045872,Jefferson Area Local,1647.885,5,125.5913,398.4985,700.3761,423.4191,0,396.371,67.3,10.99,7698562.73,13382933.39,8121.28,0,1680.2562,1600.8253,217349.3,9021449.83
045880,Pymatuning Valley Local,1033.2598,3,84.0114,241.0841,371.9533,299.1306,37.0803,317.9132,42.7,6.89,4876379.17,8737260.67,8456.02,0,1029.6321,1032.0644,246601.23,9188107.31
045906,Alexander Local,1351.8673,2,102.2253,333.1537,517.8354,369.4789,29.174,371.5916,55.61,9.01,6354338.01,11061065.45,8182.06,980136.89,1400.5706,1309.2035,248565.17,7347566.34
045914,Federal Hocking Local,790.8007,4,63.7353,203.638,310.3111,202.7979,10.3183,199.9709,32.54,6,3789789.34,7118823.97,9002.05,175701.56,816.4535,762.467,293898.2,6096999.87
